date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5062755095,,,,,,,,0.4155594684,0.4887804205
08/1963,0.506935141,,,,,,,,0.4181273824,0.4817522499
09/1963,0.4846516248,,,,,,,0.3492221793,0.3975922116,0.4688995157
10/1963,0.4904563376,,,,,,,0.3821713797,0.4196195857,0.4794167926
11/1963,0.4746392323,,,,,,,0.3443410712,0.4413566835,0.476923022
12/1963,0.4833040259,,,,,,,0.3572507587,0.4406168559,0.4878576415
01/1964,0.4874963776,,,,,,,0.3762895216,0.4228576123,0.4829485966
02/1964,0.474733089,,,,,,,0.344183258,0.4591676224,0.4718153128
03/1964,0.4666968294,,,,,,,0.3382893094,0.4525240783,0.4663504437
04/1964,0.4602755322,,,,,,,0.349234386,0.4511463287,0.4500952928
05/1964,0.4588676045,,,,,,,0.3663995712,0.4516013452,0.4490177734
06/1964,0.4555927409,,,,,,,0.3492586936,0.451675362,0.4539823343
07/1964,0.4753652888,,,,,,,0.398520679,0.5097579747,0.4821976101
08/1964,0.4649068335,,,,,,,0.3991976932,0.4934076335,0.4767662897
09/1964,0.4563210516,,,,,,,0.4036575899,0.5025220847,0.4882405592
10/1964,0.444304482,,,,,,,0.3906002435,0.4915651786,0.4632147006
11/1964,0.440787368,,,,,,,0.3910364414,0.4925205589,0.4478671494
12/1964,0.4442858703,,,,,,,0.4006107043,0.4865212794,0.4524176743
01/1965,0.4378130052,,,,,,,0.3974556871,0.4818650246,0.4463440165
02/1965,0.424458558,,,,,,,0.3813923161,0.4613890222,0.4453219024
03/1965,0.4393019823,,,,,,,0.3679922243,0.4567667327,0.4265806368
04/1965,0.445377263,,,,,,,0.3786431966,0.4585006635,0.4318236471
05/1965,0.4307911251,,,,,,,0.3696831774,0.4475128078,0.425434517
06/1965,0.4342053077,,,,,,,0.3774323255,0.4420523558,0.4597172715
07/1965,0.4761262711,,,,,,,0.4456921715,0.5040335927,0.4360154619
08/1965,0.4705801649,,,,,,,0.4260770331,0.4955425551,0.4396743609
09/1965,0.4608835803,,,,,,,0.4053360267,0.4748072367,0.432750697
10/1965,0.4464461342,,,,,,,0.3885616749,0.4685919414,0.4113130065
11/1965,0.4368761874,,,,,,,0.3716958043,0.4651751201,0.3882369054
12/1965,0.4411622614,,,,,,,0.3596476493,0.463325618,0.3848947125
01/1966,0.444103431,,,,,,0.3890220332,0.3519455258,0.4439339008,0.3648141013
02/1966,0.4432259122,,,,,,0.3963128844,0.3481558277,0.4334836768,0.3635584979
03/1966,0.4537087608,,,,,,0.3900898566,0.3490606411,0.4350372375,0.362763456
04/1966,0.4671702756,,,,,,0.3635731863,0.3438494841,0.4492581952,0.377435221
05/1966,0.461041434,,,,,,0.4230243862,0.3292411727,0.4431414964,0.333356078
06/1966,0.4861057371,,,,,,0.3510600647,0.3453144311,0.4714748342,0.3005121581
07/1966,0.5129796169,,,,,,0.4012280952,0.3681241987,0.4669645252,0.5069776429
08/1966,0.5284930741,,,,,,0.3903638538,0.4021048935,0.4681733954,0.5564172222
09/1966,0.5606056283,,,,,,0.4153487818,0.4527900767,0.5161290289,0.6255194188
10/1966,0.5624402991,,,,,,0.4196147272,0.4449400301,0.5214711838,0.6349328666
11/1966,0.5349865932,,,,,,0.4230519692,0.4416431902,0.517693998,0.6144765735
12/1966,0.538015638,,,,,,0.4054772167,0.4796018314,0.4549010509,0.5873599023
01/1967,0.5330715094,,,,,,0.3929854423,0.4763465958,0.4287023027,0.5608779003
02/1967,0.5079603763,,,,,,0.3672851358,0.4276943615,0.3970130322,0.5240603858
03/1967,0.5138677889,,,,,,0.3575446829,0.4211686688,0.3788488056,0.5275043107
04/1967,0.5004892419,,,,,,0.3475210726,0.4204904151,0.3571808886,0.4978368764
05/1967,0.5073003745,,,,,,0.3272585788,0.4144188389,0.3711231845,0.4982379486
06/1967,0.5033766339,,,,,,0.3335506062,0.4100574923,0.3759196377,0.4860575531
07/1967,0.5112715132,,,,,,0.3671342752,0.4305594554,0.4164042822,0.494498326
08/1967,0.4949106539,,,,,,0.3518863638,0.4198774878,0.3948016872,0.4660247722
09/1967,0.4996136266,,,,,,0.3474854326,0.4341375382,0.3941804014,0.471553887
10/1967,0.4852922122,,,,,,0.3468598059,0.4177116009,0.3806014304,0.4680775028
11/1967,0.4985004024,,,,,,0.3642862404,0.423725545,0.3928945387,0.4833544497
12/1967,0.5394357168,,,,,,0.3697002129,0.4205716361,0.3929890974,0.495230343
