date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4605385464,0.5981970453,0.5697434441,0.4671048443,0.5634995919,0.4850102934,0.4397097794,0.3794085816,0.3740622057,0.5356889617
08/1963,0.4557309154,0.6008938689,0.5640635486,0.4680289605,0.5732219398,0.4852527236,0.440048065,0.3830036668,0.3796304233,0.5491954838
09/1963,0.4384207984,0.5778453527,0.5465149457,0.4454912453,0.5702910093,0.4556218157,0.4126650125,0.3592430109,0.358952273,0.5222838074
10/1963,0.4520521916,0.5736349863,0.5608674351,0.4498529983,0.5760741463,0.4622839766,0.4144030972,0.3631969837,0.3576965023,0.5383374854
11/1963,0.4553118951,0.5590431413,0.554560473,0.4334845698,0.5434393079,0.4445013466,0.3795440456,0.3421063119,0.3498606139,0.531680442
12/1963,0.4610967452,0.5456466353,0.5711272876,0.439773374,0.5761013112,0.4511523504,0.4041317862,0.3470478101,0.3523460203,0.5319677687
01/1964,0.4453317669,0.5383149013,0.5479510641,0.5456582421,0.5476944528,0.4641203104,0.4003267871,0.3374576595,0.348408144,0.5358384686
02/1964,0.4391232276,0.5227988306,0.5231214807,0.5360937545,0.5413201396,0.4478351643,0.3961391303,0.3290254789,0.3382122129,0.5384665271
03/1964,0.43525163,0.5145580618,0.5168179035,0.523113802,0.5315088955,0.4276040935,0.3904396262,0.3288862634,0.3305753251,0.5265639536
04/1964,0.4396770209,0.5165868655,0.5019838608,0.510361884,0.5124408693,0.4167814279,0.3890398096,0.3217607365,0.3261868661,0.5130517531
05/1964,0.4363530129,0.5120461944,0.4905142888,0.5141439277,0.5158206708,0.4525704718,0.3774459348,0.3312137488,0.3295629306,0.5130092554
06/1964,0.4350614845,0.5166616965,0.4845841206,0.5036055685,0.521791109,0.4547644911,0.3720432956,0.3308973682,0.3220725524,0.5003263369
07/1964,0.4819254817,0.5157851677,0.5659131115,0.447078346,0.5468258758,0.396218163,0.5203852144,0.3118630338,0.4599879629,0.4983048986
08/1964,0.459910124,0.5171809401,0.5507884658,0.440295323,0.5401692442,0.3864845171,0.5153624081,0.2978430511,0.4515525345,0.4882206601
09/1964,0.4645120193,0.5253436842,0.4826526217,0.452526445,0.5495084069,0.393373637,0.5175588576,0.2961443678,0.4561416621,0.487066042
10/1964,0.4549121979,0.5247786668,0.4732175735,0.4303664235,0.5267969503,0.3861673768,0.4980268875,0.2844740768,0.4447465032,0.4717611077
11/1964,0.4501168435,0.5257734972,0.4680290976,0.424755553,0.5183052709,0.3814377651,0.4935379806,0.2840182705,0.4465385063,0.4600399705
12/1964,0.4496375901,0.5359960278,0.4647506604,0.4387465979,0.5296399562,0.3792787523,0.4931378659,0.2868894233,0.4450573113,0.4567949818
01/1965,0.4434276304,0.5159714596,0.4645575391,0.4359228719,0.5354072382,0.3808511352,0.4872246516,0.278743936,0.4397483345,0.443841445
02/1965,0.4274100336,0.5079731154,0.4564887531,0.4131895139,0.5120513157,0.367743988,0.4735537492,0.268937208,0.4195624733,0.429007457
03/1965,0.4277149492,0.5042278593,0.5492349452,0.4143543654,0.4993397932,0.366610245,0.4651354746,0.2700976741,0.4053837551,0.4251491531
04/1965,0.4311557822,0.511912537,0.5662204273,0.4229918312,0.5006010457,0.3727988847,0.4718226899,0.269559475,0.4061110918,0.4250699777
05/1965,0.4269192798,0.4991122469,0.5587416141,0.4093317394,0.4839171744,0.3595567393,0.444334534,0.2535561644,0.3949858735,0.4067959515
06/1965,0.4329119342,0.4934257308,0.5620910774,0.4088739001,0.4883421266,0.3634202736,0.4522410987,0.2612414863,0.393326585,0.4103216615
07/1965,0.4754548094,0.5806780006,0.6058408783,0.4196150626,0.3671258993,0.4767341095,0.4560057693,0.3179289533,0.4514364534,0.464887843
08/1965,0.4675260976,0.5750980347,0.6026833359,0.4071096848,0.3763471,0.4744464063,0.4552691771,0.3103459232,0.4377647521,0.458245418
09/1965,0.4644328245,0.5685263909,0.6027933184,0.3881434806,0.371322221,0.4543666393,0.444508801,0.3010796468,0.4195213196,0.4469784811
10/1965,0.4574986991,0.5604839714,0.5775893666,0.3786426449,0.3548358987,0.4415553534,0.438673144,0.2794831053,0.4080528924,0.4369765473
11/1965,0.4516012812,0.5618087496,0.565626434,0.3688574085,0.3442851672,0.4207465974,0.4317919342,0.2672959395,0.3913915283,0.4282267607
12/1965,0.4554339219,0.5833089592,0.5761425128,0.3618772659,0.3401978576,0.4086107521,0.4255633324,0.2806550558,0.3859757727,0.4177312275
01/1966,0.4552239911,0.5780559526,0.5650526568,0.4000717802,0.3307835041,0.3947253543,0.4131923426,0.2751794297,0.3890150533,0.4197427474
02/1966,0.4663300691,0.5783573434,0.5601333373,0.3967723574,0.3266519847,0.3898095395,0.4256591829,0.2738116892,0.3750462488,0.4031127531
03/1966,0.4876819204,0.5853425548,0.5775582584,0.398497422,0.335344676,0.3929204889,0.4321198118,0.2799861686,0.375233591,0.433214285
04/1966,0.4939553812,0.6106140472,0.5937946695,0.4027115103,0.3476179948,0.400385596,0.4415213132,0.2904131312,0.4019126307,0.4388438229
05/1966,0.4874296595,0.6049860783,0.5744343497,0.389002995,0.3435324882,0.4176109129,0.4420230213,0.2894113695,0.3930996545,0.4290804565
06/1966,0.5057912695,0.6323718838,0.615363908,0.4062145223,0.3609019488,0.4384654493,0.4491053903,0.3161865757,0.4109434763,0.4537572124
07/1966,0.5111476755,0.6940763434,0.6403174389,0.4411545379,0.3837699879,0.4732103569,0.3335405238,0.449814989,0.4578705282,0.487087067
08/1966,0.5146300335,0.7006725847,0.6479822198,0.479718176,0.385968603,0.4840137337,0.3511740314,0.4511050989,0.46417,0.4969762488
09/1966,0.5710499077,0.7531204706,0.7048681446,0.4725971096,0.4150058578,0.5199851136,0.3821296321,0.4950463566,0.5089324897,0.5367136182
10/1966,0.545961246,0.7547862285,0.6940210242,0.4788006478,0.431274247,0.5347251706,0.3889757881,0.4891930816,0.5079181406,0.5536783494
11/1966,0.4955634239,0.7006273043,0.6520900056,0.4553176612,0.4319105192,0.525111174,0.3719891772,0.4887969117,0.4965274301,0.5551222729
12/1966,0.5011093258,0.7177030079,0.6488703033,0.4557059258,0.4254138452,0.5280376866,0.3553829272,0.5099915322,0.4835039679,0.5310676717
01/1967,0.4841557802,0.6924347192,0.6489605181,0.452979336,0.4219017995,0.5273994723,0.3629349761,0.5063439829,0.4794158494,0.5332394942
02/1967,0.4737173301,0.6520266221,0.6003340876,0.4688280296,0.3896654282,0.4830589123,0.3401010565,0.4500965455,0.4394778707,0.4766974671
03/1967,0.4823827985,0.6548480363,0.6048481698,0.4658649854,0.4104447949,0.485562276,0.3378645258,0.4558692651,0.4518310361,0.467808486
04/1967,0.4752860854,0.6355416385,0.5828465499,0.4421454467,0.3925388853,0.4648215959,0.3362551705,0.4649429243,0.4383254642,0.4499292167
05/1967,0.4664826605,0.6323763955,0.5676596201,0.5764924493,0.3821067904,0.4323603809,0.3123559752,0.4265853772,0.416979985,0.4300620796
06/1967,0.4898866541,0.6702752669,0.5884517707,0.4449503666,0.397539699,0.4601558755,0.316827406,0.449614995,0.4294498427,0.4408742481
07/1967,0.528324168,0.705146073,0.6332679928,0.3721879745,0.3981004474,0.4397704975,0.465431592,0.3700542527,0.4666035695,0.4490126066
08/1967,0.5181991956,0.7143863856,0.5941905615,0.3581867195,0.4027937475,0.4221591377,0.4318171027,0.3629532103,0.4382301476,0.4243806173
09/1967,0.5298994303,0.7232661532,0.6058709347,0.3639186884,0.4106696775,0.4194855499,0.436280034,0.3614989432,0.4297671382,0.4289326337
10/1967,0.5334463996,0.7121137707,0.5896456228,0.3451060847,0.3905522759,0.4088562742,0.4208936713,0.3584098201,0.4131234246,0.4082954479
11/1967,0.5657763697,0.7433264694,0.6047463401,0.3474997537,0.3825708164,0.4173008093,0.4382217346,0.377165838,0.4169970958,0.4289172369
12/1967,0.5428437485,0.7447821664,0.6171504398,0.4818559707,0.4327418573,0.4195925495,0.4313377773,0.3812015882,0.4258583527,0.4314189323
01/1968,0.5175256426,0.725422878,0.5917289264,0.4552702083,0.3856297432,0.3918961122,0.4319231422,0.3638371239,0.4075072545,0.3892973481
02/1968,0.520427935,0.7231782356,0.6098663813,0.3457740168,0.4093354011,0.4047455225,0.4583577519,0.3682210896,0.4289565104,0.4028420673
03/1968,0.5340649339,0.7462682875,0.6296153997,0.3603854541,0.4298948429,0.4168382892,0.4575809831,0.3835558765,0.443349873,0.410231474
04/1968,0.559103278,0.756657672,0.6285255718,0.4968172177,0.4255664875,0.4120793374,0.4735503631,0.3836950947,0.4370081879,0.3956232345
05/1968,0.5451157568,0.7314616701,0.5989104837,0.5438314607,0.3760525338,0.3794885907,0.4650483809,0.3572831412,0.3885053843,0.3591748645
