date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,,,,,,,,,,0.5036273461
08/1963,,,,,,,,,,0.5040015195
09/1963,,,,,,,,,,0.4818323055
10/1963,,,,,,,,,,0.488064098
11/1963,,,,,,,,,,0.4730280171
12/1963,,,,,,,,,,0.4815832645
01/1964,,,,,,,,,,0.485121618
02/1964,,,,,,,,,,0.4727893616
03/1964,,,,,,,,,,0.4647995269
04/1964,,,,,,,,,,0.4583383204
05/1964,,,,,,,,,,0.4571843946
06/1964,,,,,,,,,,0.4538206909
07/1964,,,,,,,,,,0.4757498349
08/1964,,,,,,,,,,0.4653015604
09/1964,,,,,,,,,,0.4577789377
10/1964,,,,,,,,,,0.4456397954
11/1964,,,,,,,,,,0.4421556566
12/1964,,,,,,,,,,0.4453442189
01/1965,,,,,,,,,,0.4389991193
02/1965,,,,,,,,,,0.4253907146
03/1965,,,,,,,,,,0.4385235021
04/1965,,,,,,,,,,0.4445119289
05/1965,,,,,,,,,,0.4302389024
06/1965,,,,,,,,,,0.4335931815
07/1965,,,,,,,,,,0.4761233346
08/1965,,,,,,,,,,0.4702565821
09/1965,,,,,,,,,,0.4599121982
10/1965,,,,,,,,,,0.4456697988
11/1965,,,,,,,,,,0.4358953434
12/1965,,,,,,,,,,0.4392826776
01/1966,,,,,,,,,,0.4406171777
02/1966,,,,,,,,,,0.4392703947
03/1966,,,,,,,,,,0.4488512561
04/1966,,,,,,,,,,0.4617022835
05/1966,,,,,,,,,,0.4553953804
06/1966,,,,,,,,,,0.4793790003
07/1966,,,,,,,,,,0.5060465448
08/1966,,,,,,,,,,0.5208588162
09/1966,,,,,,,,,,0.5549815106
10/1966,,,,,,,,,,0.5568359305
11/1966,,,,,,,,,,0.5317532585
12/1966,,,,,,,,,,0.532268791
01/1967,,,,,,,,,,0.526424206
02/1967,,,,,,,,,,0.4992557624
03/1967,,,,,,,,,,0.5032339017
04/1967,,,,,,,,,,0.4901737385
05/1967,,,,,,,,,,0.4955276314
06/1967,,,,,,,,,,0.4917731825
07/1967,,,,,,,,,,0.501359882
08/1967,,,,,,,,,,0.4847930013
09/1967,,,,,,,,,,0.4896612657
10/1967,,,,,,,,,,0.4756188486
11/1967,,,,,,,,,,0.488419194
12/1967,,,,,,,,,,0.5231142335
01/1968,,,,,,,,,,0.4979160403
02/1968,,,,,,,,,,0.4834350215
03/1968,,,,,,,,,,0.4989026325
