date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.8622673404,0.7030546929,0.7057744026,0.6330335174,0.5612667883,0.4791033572,0.4511182555,0.4692994374,0.429795838,0.3708106335
08/1963,0.8847152366,0.6918859809,0.7120842845,0.6394051176,0.5575577131,0.4764567304,0.4527941954,0.4700514229,0.4286816063,0.3699855242
09/1963,0.8035129276,0.6827778137,0.6759209614,0.5965268584,0.5356981444,0.4444059361,0.4324937752,0.4501938679,0.41174299,0.3496252887
10/1963,0.790238215,0.7029349162,0.6837379823,0.5958764812,0.5520173446,0.4571861828,0.4295710707,0.4583892499,0.4141665855,0.3524091548
11/1963,0.7508898577,0.7018379784,0.6755353987,0.5849100533,0.5373300981,0.4509543602,0.4231319715,0.4515414025,0.4015867003,0.3150481193
12/1963,0.7737617959,0.7310929213,0.6879964371,0.5933012431,0.5432405312,0.4548135151,0.4272772445,0.4557842041,0.3987178387,0.3424048657
01/1964,0.7662422175,0.7313358666,0.672171391,0.6008310781,0.5210416831,0.4372371527,0.4111289742,0.4451057091,0.4403306994,0.3421157774
02/1964,0.7681118716,0.7025076908,0.6602683569,0.5539869691,0.5034013969,0.4303117768,0.4032898552,0.4354601657,0.4266364665,0.3373481987
03/1964,0.7249201462,0.7107428726,0.6460165939,0.542302028,0.5009686652,0.4239144478,0.3930565602,0.4350065194,0.4193213851,0.3349388432
04/1964,0.7016848488,0.7029934287,0.629116002,0.5296857326,0.4875286593,0.416887839,0.3848848357,0.4316617864,0.4193421094,0.3336049265
05/1964,0.7194993433,0.6694770208,0.6242574795,0.5530998942,0.4856986231,0.420436295,0.382102534,0.4341642787,0.413444425,0.3206876781
06/1964,0.7002293397,0.6839831717,0.6260226341,0.5418053077,0.4807143673,0.4166486027,0.3754898667,0.4370285758,0.4147726058,0.313377111
07/1964,0.9472040341,0.6867536817,0.4929502104,0.5244071083,0.4946556694,0.4872093138,0.3958099598,0.4253429459,0.4003916045,0.4658995027
08/1964,0.9322407457,0.6600049337,0.4847726418,0.5061036363,0.4896460937,0.4921615744,0.385004798,0.4186802873,0.379847432,0.4489463471
09/1964,0.945920668,0.68708311,0.4935020637,0.5017574988,0.4985411204,0.5031619256,0.3872019054,0.4303082917,0.3771806634,0.3389370104
10/1964,0.8815425916,0.6569773914,0.4747088597,0.4782972964,0.4841288541,0.5026748271,0.3767555031,0.422116501,0.3643424795,0.3332628824
11/1964,0.9040392636,0.6319114729,0.4684658907,0.4796638366,0.4790017107,0.5021175202,0.3743878145,0.4142930041,0.3648506198,0.3288801632
12/1964,0.9681686794,0.6303112716,0.4580479594,0.4693767048,0.4750393866,0.5108374623,0.3702617869,0.4133804217,0.3739777089,0.3271214356
01/1965,0.9798321708,0.6122079561,0.4664052089,0.4607140356,0.4648455704,0.4869061247,0.3662741793,0.4112285341,0.3655352364,0.3304813259
02/1965,0.925056734,0.5764758603,0.4461736443,0.4409593326,0.4537318807,0.4821369719,0.3517643114,0.4056576541,0.3519671153,0.3174683743
03/1965,0.9120126013,0.5679688377,0.43829496,0.4348730157,0.4496315962,0.4850381387,0.3492894856,0.4145997438,0.3543726355,0.4362026717
04/1965,0.9075601228,0.5711253164,0.4459514607,0.4392219595,0.4566309822,0.494495536,0.3497095418,0.4270396395,0.3526766455,0.4436461806
05/1965,0.8935632944,0.5397894078,0.4307289692,0.4165695695,0.4407670537,0.4861223445,0.3359837195,0.4164399848,0.3304642692,0.4362804283
06/1965,0.9334414848,0.5468482475,0.4258922374,0.4226621423,0.4410535688,0.4773370402,0.3418963874,0.4225815456,0.345454661,0.4347687951
07/1965,0.9392162102,0.7895620244,0.7126672522,0.5301497441,0.3673957245,0.4651544844,0.4403544479,0.438320978,0.4244471749,0.2828139548
08/1965,0.8966893586,0.7446839358,0.701750657,0.5396658422,0.3633920277,0.4529242876,0.4358340622,0.4397348493,0.4164852428,0.2755442006
09/1965,0.8672304507,0.7143516334,0.684515022,0.5322223458,0.3574095926,0.4362818559,0.4311659906,0.434243772,0.4101880003,0.2662961029
10/1965,0.8486315209,0.6829289803,0.666512717,0.5241347645,0.3390032693,0.42613498,0.4262883061,0.4226597279,0.3953200863,0.2526992106
11/1965,0.8054241133,0.6390171372,0.6352208582,0.5280390123,0.336281632,0.4127924071,0.4204019813,0.4253198973,0.3889053117,0.2392631408
12/1965,0.8093797662,0.62361068,0.6443763766,0.5457465461,0.3414813733,0.4160937143,0.4243356222,0.4103256907,0.3878808965,0.2504113928
01/1966,0.7681326867,0.6068722098,0.6260290741,0.5386001787,0.3312947632,0.4851416886,0.4222460637,0.4148114624,0.3880271563,0.2515881388
02/1966,0.7387007498,0.5636033133,0.6109656512,0.543023066,0.3365991494,0.4884738759,0.4299451932,0.4212990227,0.3849063662,0.2478418889
03/1966,0.7319757021,0.5725615238,0.6194707927,0.5490633952,0.3497932529,0.5010787217,0.4461082048,0.4427420694,0.3978293997,0.2467723277
04/1966,0.7657141931,0.5812049383,0.6273583773,0.5776525896,0.3621067465,0.5142760282,0.4516455604,0.4500313055,0.4061781681,0.2570022419
05/1966,0.7558116856,0.5621913604,0.619320535,0.5667899343,0.3600863967,0.5064092519,0.4485451376,0.4383078584,0.3973114681,0.2573385808
06/1966,0.8177857278,0.6103432894,0.6574424094,0.594101715,0.3821466932,0.5264431352,0.4677694304,0.4532890566,0.4194930131,0.2737449546
07/1966,0.5318416378,0.6911346937,0.6108490877,0.6354602329,0.577830829,0.4961985236,0.4598253034,0.5956952197,0.3648035432,0.2862540556
08/1966,0.5345765233,0.7103219757,0.6282293682,0.6514108797,0.5891857592,0.5084123015,0.4564545574,0.6023782605,0.4788237154,0.2785018915
09/1966,0.57934228,0.7988201208,0.6859523318,0.7109333425,0.6187745272,0.5591196328,0.4946721105,0.6428336314,0.4092515405,0.3026487745
10/1966,0.6036977189,0.7781004324,0.6935351498,0.7220795711,0.609863522,0.5555241814,0.4906429924,0.6500686261,0.4086894286,0.3063244532
11/1966,0.5930108878,0.7595165562,0.6779324304,0.6858705837,0.5822137443,0.5095192868,0.4709197062,0.6094006846,0.3900512198,0.2952259932
12/1966,0.5998335645,0.7512138805,0.6618544798,0.6870654611,0.5798963983,0.5192388271,0.4867446395,0.6253094069,0.385662161,0.2815454793
01/1967,0.600104928,0.7305098216,0.6480363979,0.668621033,0.5852692894,0.5340162479,0.4846397865,0.6053022425,0.3725444133,0.2808245255
02/1967,0.5510814073,0.6630437128,0.5874688243,0.6113791363,0.5560038269,0.5196053368,0.4453673571,0.5677990773,0.4453200642,0.2587271852
03/1967,0.5587179883,0.6677039725,0.62221121,0.6187601303,0.5564802229,0.5349414441,0.4499781165,0.5777187867,0.4444233431,0.2489551313
04/1967,0.5434215609,0.6601136571,0.6103792997,0.5968930484,0.543184424,0.5212502997,0.4300371109,0.5637859018,0.4226227368,0.2436501815
05/1967,0.5168401589,0.6449774361,0.5843705818,0.5857351807,0.515775293,0.5048773227,0.4089321979,0.5591660241,0.3988320718,0.3940813725
06/1967,0.5419602663,0.6497537965,0.6083273587,0.6123095829,0.5415493951,0.5350199325,0.4327418658,0.5900668862,0.4193077221,0.2353070043
07/1967,0.5494566996,0.7006647995,0.6168235017,0.6805328466,0.6005769616,0.463141873,0.4862587893,0.3518239145,0.2417411489,0.5344936931
08/1967,0.5248317878,0.6467876239,0.6046726911,0.6818953918,0.570516165,0.4299519643,0.4615452574,0.3440979162,0.2337313649,0.5067264282
09/1967,0.5264370464,0.6500345041,0.6181784344,0.6924613141,0.5768103814,0.4349128246,0.4701413997,0.348719476,0.2384557046,0.5100290659
10/1967,0.4864507608,0.6417977507,0.6031881864,0.6757052606,0.5679845461,0.4202225203,0.4607547583,0.3361723133,0.2244199492,0.4938379359
11/1967,0.5228559885,0.673818618,0.6194102906,0.6980669511,0.5888556109,0.4389436402,0.4775558918,0.3428263916,0.2188769681,0.5107249715
12/1967,0.5402008645,0.7511692094,0.6380720033,0.6977069716,0.5818793238,0.4399884083,0.4718352095,0.3501868382,0.3804247894,0.5172618866
01/1968,0.5121356268,0.6731383158,0.6027327708,0.6829758363,0.5519314502,0.4292111517,0.4582378837,0.3286604304,0.3606030846,0.4859783754
02/1968,0.5331103967,0.6894249761,0.6132842766,0.6787789067,0.5732445835,0.4484196166,0.4691639447,0.3472360999,0.2169472063,0.5051737445
03/1968,0.5556853485,0.7043462661,0.6374562455,0.6971213814,0.5867964209,0.4591692231,0.4729758439,0.3633336192,0.2239325952,0.5309324283
04/1968,0.5518710241,0.7010942851,0.6392427752,0.7036441083,0.594065071,0.468028154,0.4756856559,0.3637892316,0.3932924324,0.5179290842
05/1968,0.4994853666,0.6355349127,0.6180181631,0.6724602482,0.5612272141,0.4351448584,0.4674344567,0.3840163253,0.3607942427,0.4669524599
06/1968,0.503186323,0.6174960698,0.6113812575,0.6896489492,0.55830577,0.4328201458,0.4621079615,0.3881812747,0.3579511249,0.4616354877
07/1968,0.4916419728,0.6739746707,0.5646450792,0.5498974389,0.60530904,0.5148959277,0.3572335848,0.4976013576,0.4408598268,0.4663240631
