date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2475701481,0.3712767997,0.4943613898,0.5330083596,0.5678367039,0.6130645072,0.459337927,0.8059752316,1.0397466047,1.2907971095
08/1963,0.2504704923,0.3681853676,0.4935586253,0.5303836354,0.5682781027,0.6076822049,0.4562986206,0.8063032758,1.0563319126,1.3242182278
09/1963,0.2358458692,0.3541548574,0.4741828641,0.4997758765,0.5376407579,0.5842486354,0.4314900803,0.7728178929,0.9940211711,1.2429221381
10/1963,0.2357355638,0.3622894195,0.4738340495,0.5141779874,0.5543580109,0.6003548264,0.4333761931,0.7895235636,1.013919022,1.2276183693
11/1963,0.2218306527,0.3630998226,0.4615394399,0.5129440253,0.5486495066,0.5914953455,0.3909388079,0.7839205455,0.9836311149,1.2246480785
12/1963,0.2249753069,0.3668448462,0.4587502776,0.5126620656,0.5589652421,0.5965758579,0.4210821171,0.7971731135,0.9980035596,1.2422357924
01/1964,0.2763479519,0.3484439554,0.4481921565,0.4969789067,0.5416993545,0.5707215785,0.417249759,0.7937692098,0.9764394263,1.2301244509
02/1964,0.2595866314,0.3399181964,0.4320602583,0.4868213779,0.5415865695,0.5508250146,0.4136510167,0.7734734088,0.9600239301,1.1875097954
03/1964,0.2573306199,0.3328504827,0.4269572843,0.4774276757,0.5345259855,0.5440132181,0.4104755323,0.7581038162,0.9166542201,1.1507010651
04/1964,0.254573628,0.3318517654,0.4255601271,0.4709718854,0.5220372174,0.5356398255,0.4044801188,0.7216766416,0.8748249756,1.0971941473
05/1964,0.2661343415,0.3253253251,0.4236791109,0.4701893119,0.5103759705,0.5274623184,0.3908750485,0.7219713802,0.8850589027,1.0991272478
06/1964,0.2648359872,0.3203614483,0.4267544364,0.4633954091,0.5063212228,0.5185802257,0.382281648,0.7208966487,0.9047115592,1.0947591002
07/1964,0.3206531906,0.2941531336,0.4201164778,0.4303758524,0.4872020567,0.552369415,0.4294136495,0.7352957541,0.8560274681,0.9394288448
08/1964,0.3133479533,0.2905859703,0.4185873171,0.4166116634,0.4711685601,0.5375847971,0.4110452806,0.7188044639,0.8425853734,0.9124997353
09/1964,0.2276691022,0.2957694044,0.4260973075,0.4246212343,0.4810445333,0.5504143403,0.4081114317,0.7292170164,0.8415816289,0.9184446784
10/1964,0.2242589701,0.287949147,0.4211589161,0.4122875634,0.4613472165,0.5368377154,0.396698037,0.7147121758,0.816317126,0.8626988848
