date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.703947536,,,,,,,,,0.5034848479
08/1963,0.5697625422,,,,,,,,,0.503944873
09/1963,0.6363122995,,,,,,,,,0.4817344354
10/1963,0.527537944,,,,,,,,,0.4880410299
11/1963,0.3668434145,,,,,,,,,0.4733132787
12/1963,0.633086617,,,,,,,,,0.481530696
01/1964,0.4353181432,,,,,,,,,0.485147174
02/1964,0.5018356842,,,,,,,,,0.4727483782
03/1964,0.3980640501,,,,,,,,,0.4649159199
04/1964,0.3913315265,,,,,,,,,0.4584589955
05/1964,0.4039711535,,,,,,,,,0.457279142
06/1964,0.3680781891,,,,,,,,,0.4539834062
07/1964,0.436004749,,,,,,,,,0.4758195343
08/1964,0.3869340142,,,,,,,,,0.4654848629
09/1964,0.50307319,,,,,,,,,0.4576787275
10/1964,0.3965245924,,,,,,,,,0.4457218029
11/1964,0.4095518371,,,,,,,,,0.4423234978
12/1964,0.4356108796,,,,,,,,,0.4453616381
01/1965,0.3875676009,,,,,,,,,0.439104144
02/1965,0.2160295519,,,,,,,,,0.4258092483
03/1965,0.2774987256,,,,,,,,,0.4387575583
04/1965,0.2757097852,,,,,,,,,0.4447492316
05/1965,0.2758064936,,,,,,,,,0.4304399422
06/1965,0.2794682147,,,,,,,,,0.4338204529
07/1965,0.3570266606,,,,,,,,,0.4762932796
08/1965,0.359591582,,,,,,,,,0.4704924715
09/1965,0.3158656074,,,,,,,,,0.4602240847
10/1965,0.3147270981,,,,,,,,,0.4458525805
11/1965,0.2974032395,,,,,,,,,0.4360920875
12/1965,0.2548173891,,,,,,,,,0.4395043987
01/1966,0.2408129058,,,,,,,,,0.4408538099
02/1966,0.2177791767,,,,,,,,,0.4394236723
03/1966,0.2322940919,,,,,,,,,0.4489949164
04/1966,0.303488731,,,,,,,,,0.4618214779
05/1966,0.3720130684,,,,,,,,,0.4554725567
06/1966,0.4695663159,,,,,,,,,0.4793861332
07/1966,0.4623235629,,,,,,,,,0.5061103103
08/1966,0.5521755326,,,,,,,,,0.5208170125
09/1966,0.5421000722,,,,,,,,,0.5550079574
10/1966,0.7029205732,,,,,,,,,0.5565229209
11/1966,0.5888444844,,,,,,,,,0.5316267856
12/1966,0.579242407,,,,,,,,,0.5321669594
01/1967,0.4594371155,,,,,,,,,0.5266054834
02/1967,0.3873930168,,,,,,,,,0.4995783061
03/1967,0.3615559025,,,,,,,,,0.5036761062
04/1967,0.3172916596,,,,,,,,,0.490734866
05/1967,0.2883494145,,,,,,,,,0.496259192
06/1967,0.2918622596,,,,,,,,,0.4924301312
07/1967,0.3160521572,,,,,,,,,0.5020823696
08/1967,0.3495372564,,,,,,,,,0.485232275
09/1967,0.2993610166,,,,,,,,,0.4902321099
10/1967,0.3313348154,,,,,,,,,0.4760560132
11/1967,0.5964429293,,,,,,,,,0.4882054523
12/1967,0.2940855395,,,,,,,,,0.5235187993
01/1968,0.2836964657,,,,,,,,,0.4983387195
02/1968,0.3266005296,,,,,,,,,0.4836684616
03/1968,0.3505621833,,,,,,,,,0.4991421118
04/1968,0.3520760465,,,,,,,,,0.5304147913
05/1968,0.291546026,,,,,,,,,0.508768364
06/1968,0.237127867,,,,,,,,,0.5070994403
07/1968,0.3534824573,,,,,,,,,0.5093041912
08/1968,0.3491634265,,,,,,,,,0.4869842955
09/1968,0.3559147234,,,,,,,,,0.4802090722
10/1968,0.3198353251,,,,,,,,,0.4622412218
11/1968,0.3158875119,,,,,,,,,0.4578356028
12/1968,0.3199638436,,,,,,,,,0.4372109932
01/1969,0.2567949837,,,,,,,,,0.4471781407
02/1969,0.2201751856,,,,,,,,,0.4510113741
03/1969,0.2571952657,,,,,,,,,0.4743685868
04/1969,0.2649340815,,,,,,,,,0.4602169962
05/1969,0.2590529368,,,,,,,,,0.4508417611
06/1969,0.2657061438,,,,,,,,,0.4525027104
07/1969,0.276201052,,,,,,,,,0.5225663075
08/1969,0.3218340636,,,,,,,,,0.5570351854
09/1969,0.2833922321,,,,,,,,,0.5361949067
10/1969,0.2678947843,,,,,,,,,0.5514059303
11/1969,0.2720865483,,,,,,,,,0.5260545339
12/1969,0.2790301571,,,,,,,,,0.5499581259
01/1970,0.344127307,,,,,,,,,0.5541731824
02/1970,0.4553877224,,,,,,,,,0.5938466509
03/1970,0.3841478337,,,,,,,,,0.5677230818
04/1970,0.3924164168,,,,,,,,,0.5657493684
05/1970,0.4172527195,,,,,,,,,0.6254304306
06/1970,0.4247595127,,,,,,,,,0.6616819093
07/1970,0.6073600603,,,,,,,,,0.7430424783
08/1970,0.5421225119,,,,,,,,,0.6931241687
09/1970,0.5101189984,,,,,,,,,0.6638271591
10/1970,0.4525347944,,,,,,,,,0.6407037692
11/1970,0.627843043,,,,,,,,,0.6524547215
12/1970,0.473956653,,,,,,,,,0.6243094187
01/1971,0.4293317164,,,,,,,,,0.5836253503
02/1971,0.4224784996,,,,,,,,,0.5577393507
03/1971,0.3487969918,,,,,,,,,0.5518510982
04/1971,0.313974852,,,,,,,,,0.5388497764
05/1971,0.2980837443,,,,,,,,,0.5232290116
06/1971,0.310037549,,,,,,,,,0.5466321129
07/1971,0.4492236569,,,,,,,,,0.5629545865
08/1971,0.3435745401,,,,,,,,,0.586096526
09/1971,0.2803512491,,,,,,,,,0.5674389981
10/1971,0.4069231107,,,,,,,,,0.5714275229
11/1971,0.4054314914,,,,,,,,,0.5934155952
12/1971,0.4142281821,,,,,,,,,0.5971422006
01/1972,0.3646791104,,,,,,,,,0.5555508981
02/1972,0.3839985054,,,,,,,,,0.5420214331
03/1972,0.3798902171,,,,,,,,,0.5407625802
04/1972,0.3603383441,,,,,,,,,0.5412014115
05/1972,0.3770472728,,,,,,,,,0.5394536011
06/1972,0.3942788085,,,,,,,,,0.536170077
07/1972,0.4382792361,,,,,,,,,0.5679226375
08/1972,0.4764691788,,,,,,,,,0.5831339196
09/1972,0.4607693468,,,,,,,,,0.56334935
10/1972,0.4383885603,,,,,,,,,0.5721957313
11/1972,0.5380793984,,,,,,,,,0.5722739385
12/1972,0.4753340784,,,,,,,,,0.5346115672
01/1973,0.3894690575,,,,,,,,,0.5263955642
02/1973,0.3500749012,,,,,,,,,0.5459197351
03/1973,0.3250654529,,,,,,,,,0.5729851791
04/1973,0.3705491988,,,,,,,,,0.5640665179
05/1973,0.4127574732,,,,,,,,,0.5884291536
06/1973,0.4579548945,,,,,,,,,0.6045933244
07/1973,0.7000076298,,,,,,,,,0.6557955538
08/1973,0.5675806863,,,,,,,,,0.6256747119
09/1973,0.5187696757,,,,,,,,,0.6374504744
10/1973,0.536454872,,,,,,,,,0.6117408533
11/1973,0.6091464158,,,,,,,,,0.6166708969
12/1973,0.8515997745,,,,,,,,,0.6877071826
01/1974,0.8485502384,,,,,,,,,0.6696949638
02/1974,0.7452274564,,,,,,,,,0.6688347939
03/1974,0.8377542566,,,,,,,,,0.6687805979
04/1974,0.8678322825,,,,,,,,,0.6852816263
05/1974,0.9007471004,,,,,,,,,0.7194191949
06/1974,1.0091431492,,,,,,,,,0.7578182172
07/1974,0.9908003173,,,,,,,,,0.8392924419
08/1974,1.0866462066,,,,,,,,,0.9076938903
09/1974,1.0386021029,,,,,,,,,1.0007779059
10/1974,1.1185990186,,,,,,,,,1.1279927587
11/1974,1.0236884867,,,,,,,,,0.9660166088
12/1974,1.1256309258,,,,,,,,,1.0076991054
01/1975,1.170835382,,,,,,,,,1.03400107
02/1975,0.8664470556,,,,,,,,,0.9090218848
03/1975,0.7312736396,,,,,,,,,0.8626937092
04/1975,0.8529535399,,,,,,,,,0.832008921
05/1975,0.8835272324,,,,,,,,,0.7944830909
06/1975,0.8759260978,,,,,,,,,0.7551544479
07/1975,0.7374754595,,,,,,,,,0.7915863695
08/1975,0.7916675972,,,,,,,,,0.8443841417
09/1975,0.84508252,,,,,,,,,0.8690422004
10/1975,0.8928622702,,,,,,,,,0.9030490087
11/1975,0.8823665671,,,,,,,,,0.852733684
12/1975,0.7658444573,,,,,,,,,0.8313671069
01/1976,0.8319702475,,,,,,,,,0.8411921498
02/1976,0.7142693303,,,,,,,,,0.7484839574
03/1976,0.6771632659,,,,,,,,,0.7475264212
04/1976,0.5483282748,,,,,,,,,0.7280608333
05/1976,0.5340456713,,,,,,,,,0.7362370805
06/1976,0.5573215667,,,,,,,,,0.7470650944
07/1976,0.5380462995,,,,,,,,,0.7760528254
08/1976,0.5359429256,,,,,,,,,0.7812904672
09/1976,0.5775604652,,,,,,,,,0.7843515254
10/1976,0.5833401151,,,,,,,,,0.7661498838
11/1976,0.5873459147,,,,,,,,,0.7822549955
12/1976,0.5785875441,,,,,,,,,0.7812791727
01/1977,0.5284776081,,,,,,,,,0.7367632478
02/1977,0.560009299,,,,,,,,,0.7658747106
03/1977,0.5763987604,,,,,,,,,0.7818959411
04/1977,0.6058491727,,,,,,,,,0.7892671308
05/1977,0.5584038713,,,,,,,,,0.786939703
06/1977,0.5608304741,,,,,,,,,0.7993816549
07/1977,0.6522763605,,,,,,,,,0.8507274682
08/1977,0.6648311146,,,,,,,,,0.861979551
09/1977,0.634016754,,,,,,,,,0.8791385908
10/1977,0.6598702969,,,,,,,,,0.8774646182
11/1977,0.687449865,,,,,,,,,0.9148596305
12/1977,0.614013441,,,,,,,,,0.8832244592
01/1978,0.5986652499,,,,,,,,,0.8748199095
02/1978,0.6892861279,,,,,,,,,0.9285748484
03/1978,0.7100194586,,,,,,,,,0.9454988474
04/1978,0.6175922751,,,,,,,,,0.9177265972
05/1978,0.6016261448,,,,,,,,,0.8453329829
06/1978,0.5632023333,,,,,,,,,0.8352244916
07/1978,0.6192991587,,,,,,,,,0.9398596352
08/1978,0.5972033759,,,,,,,,,0.8901324676
09/1978,0.5273439616,,,,,,,,,0.8600642978
10/1978,0.5595148729,,,,,,,,,0.8674390235
11/1978,0.7071791003,,,,,,,,,0.9766975446
12/1978,0.6894793423,,,,,,,,,0.951001938
01/1979,0.6636264368,,,,,,,,,0.932683887
02/1979,0.5551741748,,,,,,,,,0.8912207607
03/1979,0.6479377171,,,,,,,,,0.9260176158
04/1979,0.632854642,,,,,,,,,0.8742978303
05/1979,0.7019596657,,,,,,,,,0.8714336397
06/1979,0.7692658718,,,,,,,,,0.8911944009
07/1979,0.7995746142,,,,,,,,,0.9498220325
08/1979,0.7978293093,,,,,,,,,0.9369927115
09/1979,0.7618455248,,,,,,,,,0.8862995708
10/1979,0.74956003,,,,,,,,,0.887263207
11/1979,0.8525300803,,,,,,,,,0.9570412165
12/1979,0.8146204722,,,,,,,,,0.9087421949
01/1980,0.7356398172,,,,,,,,,0.884418093
02/1980,0.7128428638,,,,,,,,,0.8379812391
03/1980,0.6215872367,,,,,,,,,0.8510886581
04/1980,0.7325670668,,,,,,,,,0.9583694169
05/1980,0.5813277519,,,,,,,,,0.9148820859
06/1980,0.4352209329,,,,,,,,,0.8709308337
07/1980,0.5025923456,,,,,,,,,0.9582276559
08/1980,0.4475332,,,,,,,,,0.8988399633
09/1980,0.4311734022,,,,,,,,,0.8864469301
10/1980,0.4395162627,,,,,,,,,0.8605482092
11/1980,0.4459499571,,,,,,,,,0.8457323349
12/1980,0.432622391,,,,,,,,,0.7740612238
01/1981,0.4107090197,,,,,,,,,0.7899571031
02/1981,0.4263991702,,,,,,,,,0.8208174665
03/1981,0.4641843502,,,,,,,,,0.8107377238
04/1981,0.4066525186,,,,,,,,,0.7805143987
05/1981,0.4171016158,,,,,,,,,0.793101498
06/1981,0.451586906,,,,,,,,,0.7922296688
07/1981,0.5511464692,,,,,,,,,0.88636608
08/1981,0.6465848151,,,,,,,,,0.8890196653
09/1981,0.5936400597,,,,,,,,,0.9462305622
10/1981,0.8491136888,,,,,,,,,1.0052084901
11/1981,0.584086188,,,,,,,,,0.9544890836
12/1981,0.5393378248,,,,,,,,,0.9159136748
01/1982,0.557184686,,,,,,,,,0.9400891613
02/1982,0.5550260462,,,,,,,,,0.964609432
03/1982,0.5663883585,,,,,,,,,1.0188010136
04/1982,0.5753536329,,,,,,,,,1.0290868336
05/1982,0.5401454514,,,,,,,,,0.9902828294
06/1982,0.5366817441,,,,,,,,,1.0210439551
07/1982,0.6269611146,,,,,,,,,1.1592715201
08/1982,0.6569931949,,,,,,,,,1.1831930693
09/1982,0.5895511881,,,,,,,,,1.0707718422
10/1982,0.5855049646,,,,,,,,,1.0516985116
11/1982,0.5374251047,,,,,,,,,0.9458393934
12/1982,0.5038661846,,,,,,,,,0.9110274413
01/1983,0.5045247564,,,,,,,,,0.8912019992
02/1983,0.4868311255,,,,,,,,,0.8611676781
03/1983,0.4428488447,,,,,,,,,0.8441926223
04/1983,0.4472271976,,,,,,,,,0.8188774726
05/1983,0.426342223,,,,,,,,,0.7666039705
