date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5465853783,,,,,,,,,0.3826538298
08/1963,0.5481293782,,,,,,,,,0.3807025299
09/1963,0.5240033068,,,,,,,,,0.3640347508
10/1963,0.5302925608,,,,,,,,,0.3696932404
11/1963,0.5202852453,,,,,,,,,0.3464430778
12/1963,0.526285809,,,,,,,,,0.3589909471
01/1964,0.513913782,,,,,,,,,0.392812133
02/1964,0.4997696608,,,,,,,,,0.3854495869
03/1964,0.4901610873,,,,,,,,,0.3818214745
04/1964,0.4832169529,,,,,,,,,0.3768381611
05/1964,0.4835880482,,,,,,,,,0.3719636694
06/1964,0.4806316476,,,,,,,,,0.3677443569
07/1964,0.4661273459,,,,,,,,,0.5322079924
08/1964,0.456444136,,,,,,,,,0.5168142368
09/1964,0.4463454991,,,,,,,,,0.5280331697
10/1964,0.4345035824,,,,,,,,,0.5140516392
11/1964,0.431697306,,,,,,,,,0.5057999066
12/1964,0.435754613,,,,,,,,,0.5028180268
01/1965,0.4288313441,,,,,,,,,0.5006550056
02/1965,0.4143823756,,,,,,,,,0.4934154433
03/1965,0.4280894498,,,,,,,,,0.5012124271
04/1965,0.4330922764,,,,,,,,,0.5140753713
05/1965,0.4186905197,,,,,,,,,0.5011810822
06/1965,0.4217808219,,,,,,,,,0.5063600062
07/1965,0.4925139081,,,,,,,,,0.3974691994
08/1965,0.4879005178,,,,,,,,,0.3870712154
09/1965,0.4791587107,,,,,,,,,0.3712841903
10/1965,0.4651297646,,,,,,,,,0.3569317916
11/1965,0.4568119688,,,,,,,,,0.3427568676
12/1965,0.4619627249,,,,,,,,,0.340156743
01/1966,0.4569024188,,,,,,,,,0.3617777267
02/1966,0.4563821329,,,,,,,,,0.3572937063
03/1966,0.4687815306,,,,,,,,,0.3562458358
04/1966,0.4827572357,,,,,,,,,0.3641989283
05/1966,0.4780018806,,,,,,,,,0.3531524671
06/1966,0.5034424445,,,,,,,,,0.3710545085
07/1966,0.5122685502,,,,,,,,,0.4615294599
08/1966,0.5200447445,,,,,,,,,0.5276417896
09/1966,0.5631464898,,,,,,,,,0.4981007571
10/1966,0.5652729066,,,,,,,,,0.498350492
11/1966,0.5394897783,,,,,,,,,0.4778682011
12/1966,0.539067992,,,,,,,,,0.4838059696
01/1967,0.5347332096,,,,,,,,,0.4686302975
02/1967,0.4971046216,,,,,,,,,0.5178922984
03/1967,0.5012770781,,,,,,,,,0.5200780137
04/1967,0.4872823074,,,,,,,,,0.5156215257
05/1967,0.4965112304,,,,,,,,,0.4876161057
06/1967,0.4901428384,,,,,,,,,0.5057300888
07/1967,0.516182331,,,,,,,,,0.3882728938
08/1967,0.4959646439,,,,,,,,,0.3927612724
09/1967,0.5009826468,,,,,,,,,0.3963953729
10/1967,0.4870675746,,,,,,,,,0.3822163483
11/1967,0.5024748814,,,,,,,,,0.3793552737
12/1967,0.5408706859,,,,,,,,,0.3913479747
01/1968,0.5140817129,,,,,,,,,0.3764379512
02/1968,0.4948409004,,,,,,,,,0.3902991268
03/1968,0.5100382271,,,,,,,,,0.4068429338
04/1968,0.5476584212,,,,,,,,,0.3995603966
05/1968,0.5098011429,,,,,,,,,0.4933048703
06/1968,0.5086831475,,,,,,,,,0.4829915232
07/1968,0.5139728432,,,,,,,,,0.4107914185
08/1968,0.4893081913,,,,,,,,,0.4235939577
09/1968,0.4822995203,,,,,,,,,0.4258848637
10/1968,0.4644528899,,,,,,,,,0.4056117979
11/1968,0.4598393435,,,,,,,,,0.4049039092
12/1968,0.4397073812,,,,,,,,,0.3781987858
01/1969,0.4486855678,,,,,,,,,0.397601336
02/1969,0.4522514719,,,,,,,,,0.3964145332
03/1969,0.4754789169,,,,,,,,,0.4240232133
04/1969,0.461112641,,,,,,,,,0.4178841391
05/1969,0.4514908285,,,,,,,,,0.4139194061
06/1969,0.4533230717,,,,,,,,,0.4141933569
07/1969,0.5564288905,,,,,,,,,0.3702855621
08/1969,0.5947702141,,,,,,,,,0.3913260318
09/1969,0.5737087497,,,,,,,,,0.3725569867
10/1969,0.5930264329,,,,,,,,,0.3762091857
11/1969,0.5656406531,,,,,,,,,0.3592551609
12/1969,0.5936775022,,,,,,,,,0.3701814371
01/1970,0.5982406299,,,,,,,,,0.3748878054
02/1970,0.6416128111,,,,,,,,,0.4021174214
03/1970,0.6132388028,,,,,,,,,0.3843058048
04/1970,0.6127539105,,,,,,,,,0.3788376934
05/1970,0.675540941,,,,,,,,,0.4229193815
06/1970,0.7136902456,,,,,,,,,0.4501459506
07/1970,0.7394714312,,,,,,,,,0.8201602578
08/1970,0.6886034453,,,,,,,,,0.7997326583
09/1970,0.6591630339,,,,,,,,,0.7785935373
10/1970,0.636566675,,,,,,,,,0.7363267027
11/1970,0.6486174349,,,,,,,,,0.7510744585
12/1970,0.6204161128,,,,,,,,,0.7198762816
01/1971,0.5808765364,,,,,,,,,0.6451459724
02/1971,0.5556586694,,,,,,,,,0.6028517717
03/1971,0.549740586,,,,,,,,,0.5926920747
04/1971,0.5367994358,,,,,,,,,0.576143428
05/1971,0.5207855602,,,,,,,,,0.5700944946
06/1971,0.5441609788,,,,,,,,,0.5944459263
07/1971,0.5606741508,,,,,,,,,0.6399317597
08/1971,0.5828962496,,,,,,,,,0.6732353658
09/1971,0.5641341368,,,,,,,,,0.6576744948
10/1971,0.5685518009,,,,,,,,,0.6728972106
11/1971,0.5894441134,,,,,,,,,0.7371739138
12/1971,0.5931606235,,,,,,,,,0.7597900556
01/1972,0.5527164289,,,,,,,,,0.6486521007
02/1972,0.5392241005,,,,,,,,,0.6394746602
03/1972,0.5385918412,,,,,,,,,0.6047570561
04/1972,0.5390443357,,,,,,,,,0.5992745689
05/1972,0.5376266043,,,,,,,,,0.590178275
06/1972,0.5342975427,,,,,,,,,0.5930911769
07/1972,0.5548862421,,,,,,,,,0.7272546444
08/1972,0.5702545059,,,,,,,,,0.7430988543
09/1972,0.5503885771,,,,,,,,,0.7283982491
10/1972,0.5584766463,,,,,,,,,0.7459763294
11/1972,0.5595545912,,,,,,,,,0.7346995609
12/1972,0.5229049952,,,,,,,,,0.6843696061
01/1973,0.5137902302,,,,,,,,,0.6901747779
02/1973,0.5326068969,,,,,,,,,0.7172787665
03/1973,0.5588036884,,,,,,,,,0.7563914672
04/1973,0.5499270017,,,,,,,,,0.751023936
05/1973,0.5729560213,,,,,,,,,0.7982650903
06/1973,0.5880382088,,,,,,,,,0.8330179096
07/1973,0.6713643427,,,,,,,,,0.5838577945
08/1973,0.6415523751,,,,,,,,,0.5511070571
09/1973,0.6516480793,,,,,,,,,0.5689117337
10/1973,0.6258042242,,,,,,,,,0.5447127729
11/1973,0.6317231049,,,,,,,,,0.545995021
12/1973,0.6992746717,,,,,,,,,0.6345911414
01/1974,0.6780752855,,,,,,,,,0.6313441707
02/1974,0.6768758689,,,,,,,,,0.6296603139
03/1974,0.6774236914,,,,,,,,,0.6283637535
04/1974,0.6946811601,,,,,,,,,0.6414023838
05/1974,0.7313016196,,,,,,,,,0.6639166672
06/1974,0.7789794133,,,,,,,,,0.663704081
07/1974,0.8666179657,,,,,,,,,0.7716255556
08/1974,0.9474859088,,,,,,,,,0.8130055614
09/1974,1.0493285048,,,,,,,,,0.8845871727
10/1974,1.1832377179,,,,,,,,,0.9948418973
11/1974,1.0049580951,,,,,,,,,0.8726982722
