date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1.7701304543,,,,,,,,,
08/1963,1.8017399267,,,,,,,,,
09/1963,1.5683539259,,,,,,,,,
10/1963,1.5765224359,,,,,,,,,
11/1963,1.4910951118,,,,,,,,,
12/1963,1.4765478424,,,,,,,,,
01/1964,1.6100654664,,,,,,,,,
02/1964,1.3513049451,,,,,,,,,
03/1964,1.4277939042,,,,,,,,,
04/1964,1.3634788635,,,,,,,,,
05/1964,1.3246928127,,,,,,,,,
06/1964,1.2638509716,,,,,,,,,
07/1964,0.3271830855,0.4599756129,0.6457030458,0.4441041865,0.5242178779,1.4915745172,1.2748278184,0.4666183985,0.7836390439,0.2798654114
08/1964,0.3244276045,0.4373782171,0.6345706251,0.4400806528,0.5317339505,1.4831429651,1.2801699726,0.4541550388,0.7504878636,0.2685474588
09/1964,0.3214596534,0.4448529664,0.634646227,0.4500598938,0.5474670903,1.5657399167,1.2870039857,0.481410941,0.7215241416,0.2665542153
10/1964,0.3123442937,0.4294456421,0.5687229472,0.4457967859,0.5383264812,1.4924933276,1.190171783,0.4579517113,0.717530367,0.249955784
11/1964,0.314715192,0.4091398025,0.553477021,0.4327723923,0.5530993456,1.4524848576,1.169091755,0.4005272216,0.7277117063,0.2552254533
12/1964,0.3164305562,0.3941208823,0.5920354184,0.4086444047,0.5896915816,1.5310476983,1.2292550155,0.4009139018,0.7123052847,0.2415834555
01/1965,0.3350937996,0.3794798526,0.6237518052,0.4102681486,0.5851781123,1.5974277611,1.226586871,0.4010392831,0.6106862829,0.2390745864
02/1965,0.3096128596,0.355590485,0.6067188085,0.3911146252,0.5252812467,1.5489052159,1.1879733131,0.3861098296,0.5541687798,0.2244525109
03/1965,0.2878627303,0.3472078338,0.6209019954,0.3531461184,0.5448234551,1.5674136516,1.2170130407,0.3526437393,0.5941232782,0.2232824546
04/1965,0.2910089668,0.3576360901,0.6185477565,0.3598962829,0.58555749,1.5764670286,1.1843535256,0.3515889767,0.5902340688,0.2241541219
05/1965,0.284070897,0.3520919121,0.5877488949,0.3423838271,0.5601282171,1.5252845584,1.1013710797,0.3371401146,0.5449201897,0.2139092348
06/1965,0.3013042864,0.3538668607,0.6072516114,0.3344788587,0.6077052462,1.5776145778,1.2013866777,0.3133677937,0.5470356528,0.2158858129
07/1965,0.6805418649,0.3750836275,0.7307539418,0.5610783468,0.4378196652,0.2607248293,1.0348478695,0.8415792146,0.5336824989,0.3168621356
08/1965,0.7032582734,0.3670409312,0.7018006807,0.5588243882,0.4249154606,0.2517274015,0.9618196969,0.8064979449,0.5101309247,0.3269245872
09/1965,0.6462701469,0.3606631273,0.67545656,0.5483137872,0.4197193903,0.2420599758,0.9263340625,0.7941217362,0.4975768098,0.3231893217
10/1965,0.6025126042,0.3427337875,0.6765806756,0.5486763094,0.4181808942,0.2191082029,0.8749790039,0.768854777,0.4966667946,0.3348704003
11/1965,0.5616611625,0.3199821644,0.6642222544,0.5446434918,0.4001724043,0.2178234659,0.8248338387,0.7534862709,0.4775317375,0.3165654703
12/1965,0.4954044341,0.3459279737,0.6632722105,0.5563271183,0.4065224643,0.2247226701,0.773766108,0.7618061232,0.499497912,0.3209489392
01/1966,0.4579418333,0.3408195696,0.6644630965,0.554408466,0.3918972631,0.2150024187,0.7627458991,0.7113370706,0.5014865955,0.3109667535
02/1966,0.4395345151,0.3414401282,0.620994495,0.5369310211,0.3766037838,0.2207542205,0.6981554075,0.669392773,0.4565304511,0.3395786712
03/1966,0.4016518149,0.3516762469,0.6271450976,0.5457643962,0.3833561706,0.2309339956,0.704145492,0.6670728966,0.4891191132,0.3534196988
04/1966,0.3869423952,0.3685637695,0.641778698,0.5784372053,0.4033563369,0.2324618898,0.7048117067,0.69661994,0.5059259253,0.3478621368
05/1966,0.3549223209,0.3855637686,0.6179358851,0.5550373725,0.3954863888,0.2223228272,0.7014775106,0.6917816574,0.4999717126,0.3282165725
06/1966,0.4000986948,0.4191851676,0.658957422,0.5832035936,0.4162749045,0.2444460009,0.7623507424,0.7607765912,0.5149751633,0.3443205758
07/1966,0.1643351987,0.4024941076,0.7315649363,0.3834885684,0.35511621,0.6402391422,1.0624488133,0.4467452832,1.1898769734,0.36044363
08/1966,0.168017257,0.4061730484,0.7574412033,0.3826845174,0.3827429854,0.6465321275,1.1100173173,0.4512584571,1.1965767994,0.3839155343
09/1966,0.1796736343,0.4580156484,0.8426435001,0.4254648683,0.4240431741,0.7202931948,1.1852071192,0.5133579879,1.3245665812,0.423672003
10/1966,0.1813490471,0.4656679321,0.8809691942,0.4183791898,0.4242781034,0.7190287956,1.2250239485,0.5120537503,1.3097678795,0.4836719742
11/1966,0.1739560391,0.4768386357,0.8500080082,0.4252903097,0.3868549953,0.6741128162,1.1608520058,0.5582398143,1.2933053849,0.4807109161
12/1966,0.1553731289,0.413016142,0.8056839989,0.4600419804,0.3813385244,0.6406936302,1.1885131684,0.4923597334,1.2492076844,0.4282804741
01/1967,0.156741331,0.4006975729,0.7835600938,0.4622029171,0.4124999485,0.6269658099,1.1619801486,0.4774511058,1.195353317,0.4145888633
02/1967,0.145438825,0.3763683995,0.6991710019,0.4082286461,0.4020423054,0.5709280507,0.9968611909,0.3987006975,1.0566294406,0.3608393117
03/1967,0.1358568044,0.3687736233,0.7005711139,0.4227217378,0.4093320864,0.5618700074,0.9898307263,0.3845259197,1.0251248053,0.3568359998
04/1967,0.1296851359,0.4451290797,0.9472306652,0.4006320849,0.4109793357,0.7926275597,0.9266850732,0.3642897564,0.9710575188,0.3403733606
05/1967,0.3831656321,0.4424526195,0.9122463168,0.357715293,0.3795502678,0.7828934667,0.9066547788,0.4366840234,0.901187089,0.301258155
06/1967,0.1227154802,0.4706926988,0.6707933655,0.3899665608,0.4096956504,0.7985211056,0.9555790966,0.4352561185,0.9096115862,0.3141308861
07/1967,0.1557636469,0.3659712119,0.6812801437,0.7880511054,1.1138607173,0.7079871246,0.3951812405,0.8874764581,0.4776714899,0.441285917
08/1967,0.151530507,0.3232769355,0.6587502612,0.7535318735,1.0673961717,0.6868820166,0.4589493967,0.8405948346,0.4557012351,0.4154115331
09/1967,0.1539176121,0.3254587836,0.6832163188,0.7620336775,1.0587145714,0.732010056,0.4664869352,0.8302306415,0.4588903283,0.4160618116
10/1967,0.1411759537,0.3128221361,0.6867763393,0.7668917132,1.0879129391,0.6840891679,0.465225351,0.8195553815,0.4407579166,0.4070602194
11/1967,0.1324041674,0.3319368467,0.7239238341,0.7772647919,1.119693499,0.7533591968,0.4950434551,0.8777592153,0.4359190971,0.3993078832
12/1967,0.4551043221,0.3407429553,0.776909786,0.7844902294,1.1598653269,0.7535270488,0.4775354403,0.881610099,0.4457290434,0.4632793425
01/1968,0.4376759952,0.3429556849,0.7027814387,0.7551323649,1.0933918693,0.7003423115,0.4235310173,0.8112051535,0.4322526206,0.4252322816
02/1968,0.1318799989,0.3655988425,0.7536409155,0.7468010522,1.0931448343,0.7084388215,0.3668225407,0.8347256792,0.4608245736,0.4419925729
03/1968,0.1354911817,0.3755695666,0.7826318253,0.7559349889,1.1327065138,0.7461963402,0.4047018097,0.8686433284,0.4770822525,0.4749597667
04/1968,0.5311173138,0.3783776513,0.7984480753,0.7640163335,1.1436706247,0.7545827233,0.403235864,0.864443062,0.485636892,0.4725964062
