date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6993930966,0.6393330406,0.6428422868,0.4802056792,0.5255129298,0.4310623395,0.4679007411,0.3774026882,0.9085007413,0.9490268875
08/1963,0.7017793969,0.6512693139,0.6411447376,0.4754316289,0.5254572733,0.4359333954,0.4636571514,0.3799955363,0.9153861575,0.9481787301
09/1963,0.6586227856,0.6137117051,0.5982917564,0.452125114,0.5054714766,0.4179413531,0.43613702,0.3619030459,0.8538090086,0.8896482718
10/1963,0.6814987059,0.6403052615,0.6084716275,0.4586062094,0.5051146564,0.4171130605,0.4448235667,0.3610816509,0.8641861108,0.9254803317
11/1963,0.6352184051,0.6218233308,0.6054453416,0.425200427,0.4941172843,0.3986128013,0.4267781942,0.3547698319,0.8576120033,0.9045730033
12/1963,0.6400222975,0.6252564197,0.6174661672,0.4472989575,0.4825626126,0.4033858196,0.4334148783,0.3640829877,0.8718781045,0.8988575839
01/1964,0.6215502421,0.6106362308,0.6080998149,0.4315462361,0.4725501727,0.5712568325,0.4458863294,0.3553877068,0.8573282135,0.8633989879
02/1964,0.6075081758,0.6081082447,0.5965877687,0.4174676548,0.4566262219,0.559027965,0.4139388214,0.342138885,0.853059052,0.8331663661
03/1964,0.5823235539,0.599065579,0.5751004002,0.4140145694,0.4475714543,0.5445200745,0.4113747745,0.3446192758,0.8337787626,0.805053541
04/1964,0.5499096526,0.5807616678,0.5693317976,0.4057447921,0.4469579025,0.5342398813,0.4001498527,0.3432039233,0.80139646,0.7445441197
05/1964,0.5485631626,0.5751954578,0.5654321273,0.3945308322,0.4408654278,0.5340795048,0.4316828715,0.3410758612,0.8032270995,0.7654321489
06/1964,0.5497406631,0.5710951291,0.5525013067,0.3868359659,0.4455629467,0.5319310754,0.4345421588,0.3374530341,0.7832155451,0.7522470887
07/1964,0.6535538346,0.5970970481,0.3269283387,0.5541156472,0.4703926798,0.4376844658,0.4769170109,0.5121568037,0.5266245604,0.5503947623
08/1964,0.6358334364,0.5813034642,0.3211382482,0.5429943444,0.4612395619,0.4293628204,0.4659445604,0.5042227125,0.5226669919,0.5367723546
09/1964,0.6234876373,0.5897140755,0.3281746048,0.5512939377,0.4736645774,0.3827699982,0.4742144269,0.519428964,0.5293712312,0.5449881602
10/1964,0.5987299419,0.5707729608,0.3177180042,0.5247652019,0.4526830768,0.3807673191,0.4568909862,0.5077938482,0.5090841049,0.5316423846
11/1964,0.5963817883,0.5695316548,0.3147934407,0.5146057173,0.4484782054,0.3819965384,0.4513484988,0.4942497114,0.5129063848,0.5236419378
12/1964,0.5993348303,0.5747001415,0.3260196347,0.5207116067,0.4406396865,0.3923812665,0.4391200981,0.4939494523,0.5099236384,0.5211817113
01/1965,0.5784218828,0.5684892582,0.3221377759,0.5222681422,0.4464983876,0.3796746811,0.43365718,0.4880401227,0.5065577151,0.5196011797
02/1965,0.5557916979,0.534342352,0.3068866895,0.5265178831,0.4238317629,0.3686358334,0.4181079388,0.4868718897,0.4847243444,0.4961557406
03/1965,0.5506513696,0.5241200936,0.3046768038,0.5392950541,0.4252902736,0.4195553655,0.4135868291,0.500062629,0.4759217115,0.4851497549
04/1965,0.5574774183,0.5319108597,0.3135441966,0.547310348,0.4351509665,0.4200239718,0.422926658,0.512190936,0.4739024078,0.4952675922
05/1965,0.521988048,0.5084477077,0.2982264782,0.5360279931,0.4148933464,0.40287804,0.4150150361,0.5018525966,0.4575406232,0.4766535001
06/1965,0.5304774263,0.5086483204,0.2975837534,0.5465412173,0.4139632154,0.4061010161,0.4128189237,0.5095245513,0.4667590863,0.4761808233
07/1965,0.5812770736,0.4350072189,0.5293888181,0.4384865644,0.4577798459,0.5059764386,0.5283013896,0.4941521232,0.3880094637,0.4933872135
08/1965,0.5811601335,0.4353667639,0.518536915,0.430389113,0.4480194315,0.5029370407,0.517970317,0.486198282,0.3951594131,0.4697611839
09/1965,0.5548443452,0.4245481231,0.5032359001,0.4227008165,0.44035508,0.492619792,0.5021346338,0.4686590869,0.3925155851,0.4418287779
10/1965,0.5318857008,0.4231632205,0.4870723645,0.4017807465,0.4224077379,0.4820617447,0.4836845651,0.4505532716,0.379818703,0.4249047844
11/1965,0.513566923,0.4180254292,0.4666802699,0.3812304958,0.4098980116,0.4785315338,0.4736371889,0.4732507628,0.3764859315,0.4030545451
12/1965,0.5157924726,0.4124535155,0.4762331141,0.3981696317,0.4107741266,0.5022868523,0.4669180108,0.4200991152,0.3817566875,0.3931197805
01/1966,0.4838846313,0.3947419748,0.4760401242,0.3872649763,0.4088803852,0.5608447304,0.4551117039,0.4483150746,0.3777332265,0.3899330357
02/1966,0.4651320409,0.4030939712,0.4714003518,0.3848550975,0.4066768821,0.5654891554,0.4492810227,0.4324561245,0.3786612934,0.3727695729
03/1966,0.4650995003,0.4067557223,0.47815257,0.3908611165,0.4154778192,0.5671867714,0.4605174699,0.4425433889,0.3937386654,0.4044395566
04/1966,0.478761356,0.4130290729,0.4885668243,0.406251178,0.4267632926,0.5925627162,0.4749298882,0.4575807186,0.4078681869,0.4082436245
05/1966,0.4689129686,0.4369106299,0.484808513,0.4069830156,0.4137679312,0.5829924327,0.4586554151,0.4335533616,0.4100952062,0.3918054997
06/1966,0.5097199075,0.4589686834,0.5068004059,0.4380885682,0.4316576546,0.6083371175,0.4956255068,0.4583041648,0.4191298433,0.4249583828
07/1966,0.3305868979,0.4590684271,0.3270604815,0.3856808646,0.5278345804,0.5358452923,0.5727956711,0.6622905436,0.4724176534,0.6482535779
08/1966,0.3513037576,0.4713055173,0.3178436507,0.4408946217,0.5452029433,0.5390540909,0.5810663117,0.6644759914,0.4825728473,0.6604143719
09/1966,0.3876799547,0.518875718,0.3426548184,0.4177559755,0.578363982,0.5865733046,0.6239723862,0.7106930981,0.5238665075,0.7794285939
10/1966,0.4007810611,0.5169453478,0.3464082772,0.4238953177,0.5972720262,0.5803339668,0.6387609215,0.7005092097,0.5292859166,0.744581818
11/1966,0.376033266,0.5213085126,0.3310116394,0.4154251854,0.595317279,0.5465859413,0.6027261663,0.657056272,0.5194217946,0.7264935491
12/1966,0.363744936,0.4948168371,0.3224536624,0.429962633,0.5820716292,0.5430637532,0.6111154192,0.6826998437,0.5013469313,0.6924954542
01/1967,0.3760072198,0.4949236184,0.3192452765,0.4235351772,0.5994658907,0.536983098,0.5960804978,0.6845082911,0.4841527287,0.6830729881
02/1967,0.3529714649,0.4414726224,0.2959923275,0.4487491285,0.5446766975,0.5013202305,0.5526868997,0.6445528908,0.4517856501,0.6371726788
03/1967,0.356322272,0.4474868055,0.2840716414,0.4574720555,0.535409994,0.4990969546,0.5624044039,0.6531752309,0.4943022807,0.6263316946
04/1967,0.3436437243,0.4502011745,0.269025422,0.4329722273,0.5394239893,0.4984474735,0.5431547195,0.6250918152,0.4768678808,0.5994132672
05/1967,0.3228650658,0.4393321377,0.4844621249,0.4016831323,0.4951399514,0.4915778292,0.5376323362,0.6089266155,0.4597743562,0.5702706585
06/1967,0.3430417604,0.4438607316,0.2598558709,0.4254777978,0.5255633161,0.5006313194,0.5666573222,0.630748593,0.4816621493,0.5967410579
07/1967,0.5027073454,0.4476909335,0.4042858373,0.3756850519,0.2870313788,0.6348415789,0.5975087971,0.4774692154,0.5896186125,0.5859914839
08/1967,0.4727783856,0.4232541409,0.3935247124,0.3679190696,0.287572042,0.5911607681,0.5943220356,0.4385092884,0.5619220876,0.5488594932
09/1967,0.4889758353,0.4348403407,0.3939489531,0.3699340123,0.2827254471,0.6074550665,0.6038340141,0.4445267134,0.5639167827,0.5488628575
10/1967,0.4716411525,0.4263375917,0.3756370702,0.3576969133,0.2726309915,0.5962325303,0.5847957551,0.4266219278,0.5449708528,0.5190097666
11/1967,0.4739329245,0.443157292,0.3916622673,0.3543713927,0.2670159282,0.6166098575,0.5993869814,0.4505433487,0.5854980312,0.5352795972
12/1967,0.4724187786,0.4947735271,0.4003197874,0.365309581,0.4460107732,0.6237141874,0.596473888,0.4599030627,0.598708876,0.5400317511
01/1968,0.4619018632,0.4186572999,0.3753719723,0.3541295264,0.426803243,0.5900737875,0.5765820675,0.4435174587,0.5728526443,0.4810626687
02/1968,0.4919952324,0.4515417591,0.3924706312,0.3795140252,0.2594010247,0.6044016944,0.5885057455,0.4645610545,0.5813902052,0.5408518292
03/1968,0.4683816578,0.4769490608,0.4041005068,0.389176686,0.268641468,0.6271699651,0.6062311814,0.4845843062,0.603779077,0.5778984612
04/1968,0.5103209437,0.4655335552,0.4106814717,0.3816538034,0.4284526632,0.6183428011,0.6044646515,0.4835611406,0.6189649558,0.5730586328
05/1968,0.4692206937,0.4178191659,0.3840541706,0.4341724477,0.4000326131,0.588744479,0.5850686793,0.4425097742,0.5713781071,0.5050847663
06/1968,0.4632822857,0.4142710684,0.3863002064,0.4353121412,0.4000947352,0.5918785607,0.5810850615,0.444750852,0.5587136943,0.5006766045
07/1968,0.4449778088,0.424287933,0.3713531176,0.4459522458,0.4933773555,0.7302303005,0.4512591028,0.4764047646,0.5788110626,0.5528961679
08/1968,0.4631136704,0.4459713201,0.3808156841,0.4446437464,0.5021757914,0.7363465211,0.2724682634,0.4945343651,0.5930248575,0.5595750342
09/1968,0.4525896799,0.4284988139,0.37406543,0.4372498902,0.4983020923,0.7300049745,0.2708922064,0.4891589483,0.5747709022,0.5461396707
10/1968,0.419910542,0.4084497718,0.3587596843,0.4249301834,0.4802974214,0.7002130055,0.2626314026,0.4559176307,0.5461545982,0.5127117962
11/1968,0.4243942462,0.4073594652,0.3460561976,0.4220631393,0.4698066499,0.6865364041,0.2730903071,0.4471644542,0.5373646182,0.5097806116
12/1968,0.408988834,0.3865714904,0.3265080367,0.4017040032,0.4523165472,0.6586679683,0.2556837498,0.4474110766,0.5182307559,0.4723625625
01/1969,0.4000419915,0.3778687489,0.3297444918,0.4269174834,0.4632375749,0.6685643317,0.2601866508,0.4604451409,0.5220895101,0.4683609839
02/1969,0.4106478451,0.3902338778,0.3349531161,0.4245653211,0.4689755879,0.6700994161,0.2693674154,0.4649516225,0.5279056812,0.4723837046
03/1969,0.4411164582,0.4093950005,0.3563057871,0.4458679138,0.4902343382,0.7100945604,0.2788723406,0.4807037825,0.5666334568,0.5126024687
04/1969,0.4410057657,0.4181679001,0.3428980013,0.4325731022,0.4613703689,0.6948329726,0.26573781,0.4677534852,0.555710995,0.4957736727
05/1969,0.4357807623,0.4196213097,0.3383160199,0.4244947123,0.4521014067,0.6669500625,0.2600241582,0.4540994381,0.5506376251,0.4903003218
06/1969,0.4457579902,0.4296157059,0.3370332094,0.4235567679,0.453996904,0.6637082697,0.2634711551,0.4595354467,0.5473673565,0.484996664
07/1969,0.456108753,0.4610220515,0.4582996024,0.5753718906,0.580109244,0.5839599041,0.4538252577,0.3409181126,0.665569309,0.7398783989
08/1969,0.5068747098,0.4893917573,0.4988383916,0.6048232956,0.6161136405,0.6265697015,0.4887776558,0.3570938361,0.7201936744,0.8199458532
09/1969,0.4634505027,0.4648685814,0.4663593741,0.6031551284,0.5995579133,0.5894113117,0.4763091526,0.3395611799,0.6773340661,0.7773660932
10/1969,0.474628557,0.4680096647,0.4879683005,0.6073992269,0.6174588537,0.6289767085,0.4804732537,0.3443527363,0.706585079,0.7845860475
11/1969,0.4398496545,0.4516951028,0.4572490288,0.5899204173,0.5939899467,0.6105417512,0.4665825404,0.3281360449,0.6627678454,0.7273688275
12/1969,0.4588803959,0.4809362179,0.4787973979,0.5989959547,0.6164592292,0.6329563889,0.4866550009,0.3477532411,0.6909816833,0.7554215226
01/1970,0.4567265876,0.4740382142,0.4996429974,0.6142370562,0.6215450657,0.6418082541,0.4912360395,0.3449442313,0.6995731389,0.7644942092
02/1970,0.5015706852,0.5148357711,0.5361887473,0.6748154184,0.6594481412,0.7182156634,0.5344462499,0.3591462127,0.7529956045,0.8167937536
03/1970,0.4811316323,0.4985957473,0.5117751519,0.6448164851,0.6256010457,0.6682618752,0.504745538,0.3643651514,0.7109836803,0.7741285613
04/1970,0.4988463613,0.5093689036,0.5140055794,0.648547944,0.62394362,0.6820797974,0.4938728,0.3533345546,0.7190977954,0.7768818692
05/1970,0.5870224398,0.5586116112,0.5756713498,0.7410148097,0.6830602728,0.7442465135,0.5370366163,0.3917681107,0.7913779376,0.9068873989
06/1970,0.6594630232,0.575426316,0.5996929307,0.7855419116,0.7279532398,0.7373310325,0.5820315384,0.4184708569,0.8268223619,1.0065259964
07/1970,0.7677692962,0.8162670572,0.6615988449,0.4109999362,0.8323968379,0.756430575,0.6267117705,0.9519915446,0.8346926842,0.9274079324
08/1970,0.7131163699,0.7765199328,0.6047753977,0.3999888864,0.7642184436,0.7018689183,0.5930794455,0.8722394697,0.7543922688,0.8852430702
