date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5826745172,0.515929482,0.5928853465,0.4834791586,0.4791527473,0.4415950674,0.445064356,0.5307165973,0.617230494,0.8361712918
08/1963,0.4999604919,0.555058843,0.4619203839,0.4105897463,0.4285128309,0.5665724009,0.5408429405,0.5308675749,0.7269980854,0.7657682638
09/1963,0.6329537452,0.4688815182,0.51257741,0.447504081,0.4713201133,0.4406224494,0.473809945,0.4452615748,0.6634923529,0.8511839723
10/1963,0.652338137,0.5306161285,0.4953849869,0.4556028328,0.3835010573,0.5246556379,0.5650024181,0.6039577521,0.5219233532,0.5923948547
11/1963,0.4334959778,0.3937679858,0.3923933196,0.4795470449,0.4071541279,0.6030334994,0.5673172418,0.5391580401,0.5669800427,0.7397784284
12/1963,0.5697313356,0.5105542617,0.5422027924,0.4672412639,0.4016614072,0.3464106555,0.4382090441,0.6585856027,0.6047548757,0.7175100786
01/1964,0.5140371893,0.4418064054,0.5019421434,0.4195712674,0.5024426614,0.4255314674,0.6515603155,0.5146938641,0.6968330574,0.5873335188
02/1964,0.4710143462,0.4603222147,0.4413490499,0.3908624917,0.467804805,0.384682991,0.5586142453,0.6219016913,0.6453770895,0.5958524077
03/1964,0.449604326,0.6685594111,0.4526151099,0.4507454499,0.5066567589,0.4605648573,0.3877232373,0.4462412184,0.4263052949,0.6053593919
04/1964,0.6220160634,0.4717676151,0.5997260761,0.4396585014,0.4279388274,0.413327574,0.4057768605,0.5009234296,0.4688547622,0.7672182449
05/1964,0.5957726599,0.5565367515,0.4522854055,0.3670362042,0.4325994086,0.4006108824,0.5020678175,0.4321635218,0.5399281647,0.7487959565
06/1964,0.4775579353,0.6036166259,0.4110633171,0.3881950169,0.406818248,0.4496191506,0.405252198,0.5151376538,0.6606950543,0.6233153547
07/1964,0.6293740888,0.5157671349,0.4711615984,0.4580056693,0.5489305354,0.4007304572,0.3738254725,0.6292958652,0.5614203972,0.6723544286
08/1964,0.5539769439,0.5033914603,0.4568892398,0.3533476508,0.4156147702,0.4922285355,0.5118370214,0.4245554604,0.7058172355,0.5847445696
09/1964,0.5685572344,0.5256371867,0.5150756138,0.4513747516,0.3968582145,0.3856443209,0.540563232,0.5695187225,0.4944548512,0.5066353489
10/1964,0.5660928582,0.6121960885,0.5275532893,0.4238560341,0.3140210902,0.4191268031,0.4108633215,0.5223377331,0.5509946033,0.4963211877
11/1964,0.5784507296,0.4290483038,0.4927426418,0.5269035621,0.3499250183,0.3776371096,0.4679029302,0.4666482641,0.4990804639,0.5771670798
12/1964,0.5658301327,0.4372882426,0.3884707302,0.383818236,0.3593223456,0.4057229285,0.5161683674,0.6344128349,0.5301066168,0.7436080444
01/1965,0.413789802,0.4679465481,0.3895986148,0.3858989063,0.3536393261,0.4393461229,0.5386710359,0.6438396321,0.4923066363,0.702206698
02/1965,0.6989509009,0.4172202581,0.4371092932,0.4457217072,0.2741248844,0.5989912791,0.4393145954,0.4618910516,0.4144436738,0.4488537324
03/1965,0.4914948486,0.4640132792,0.5001796551,0.4265515586,0.3949115281,0.404721105,0.4133089575,0.489304508,0.4474243845,0.6020833205
04/1965,0.5271872479,0.3785967011,0.5540127416,0.5286494336,0.4091973601,0.3797655022,0.4577872084,0.4495253179,0.4504252423,0.4705242137
05/1965,0.444189987,0.3883717733,0.4440559869,0.3579001611,0.4576736673,0.4103811998,0.4730068076,0.5052755311,0.3952856417,0.6364271551
06/1965,0.4808332108,0.4346409913,0.4390258313,0.4343386663,0.3005153245,0.4519936162,0.3928525164,0.6008034939,0.6287010896,0.7036007
07/1965,0.6620467533,0.399238408,0.4117443197,0.4641319049,0.4219913634,0.5698451738,0.5577682107,0.6012896896,0.597544029,0.7049557861
08/1965,0.5566473222,0.5741452435,0.4989191965,0.4806560774,0.3508760208,0.4475622855,0.5706344463,0.4675688317,0.5141072945,0.5322119509
09/1965,0.4848430065,0.4868723174,0.3560560881,0.5199953454,0.3288024965,0.5752121567,0.4533856464,0.4574238993,0.5665711556,0.5975307636
10/1965,0.4568103269,0.4168196403,0.3445849706,0.4269500172,0.4093108721,0.5786697737,0.4561973848,0.4984019166,0.6045592464,0.6478840338
11/1965,0.484232019,0.4562969862,0.4966006776,0.4249773995,0.3828859416,0.5109687837,0.3742419882,0.4027840372,0.5365183451,0.4568028813
12/1965,0.4886444675,0.469966229,0.3873747745,0.3498441814,0.4800338087,0.3434004563,0.4209208641,0.5540285741,0.501574282,0.6531756453
01/1966,0.5669079104,0.6254257646,0.4666369006,0.4219744409,0.3970535803,0.4485499585,0.3748972613,0.4821959483,0.4642130471,0.3826549277
02/1966,0.5664900447,0.4944660226,0.4423660894,0.3958152748,0.4595694812,0.388153339,0.4509405997,0.4106143851,0.4906246316,0.4783350686
03/1966,0.311998276,0.4935785213,0.4799754179,0.4397030876,0.4827112337,0.4276916492,0.4480643848,0.4109655354,0.4761415555,0.4057065465
04/1966,0.3607993456,0.4676619919,0.4719775259,0.4337728681,0.3387087238,0.5548513664,0.6055167852,0.4764704308,0.497027429,0.7036290622
05/1966,0.4237578282,0.3938483596,0.4795444173,0.3994444211,0.4005528951,0.4688404598,0.4095135596,0.5857127629,0.6434034845,0.5554961057
06/1966,0.4599221838,0.4443984308,0.4454305732,0.4935459206,0.4786192194,0.4713611369,0.5092394248,0.5422644792,0.5338365673,0.5937074568
07/1966,0.5317540948,0.5219725141,0.4736191486,0.4181698938,0.6034902083,0.4126018242,0.4406071333,0.6220170051,0.6323783499,0.5578835681
08/1966,0.4445810738,0.5038161786,0.4870480005,0.598783799,0.6550404268,0.4616716593,0.5537039534,0.4378127044,0.587716085,0.5243024059
09/1966,0.5464781461,0.5899640394,0.7385262038,0.6577097912,0.4403580524,0.4469018398,0.5294740534,0.6522412384,0.5532474668,0.6837983468
10/1966,0.5421490145,0.5357585611,0.521109223,0.4384110817,0.4507634305,0.6725472429,0.5861580228,0.5444331447,0.7027038303,0.7584575602
11/1966,0.5410311147,0.4510277539,0.55803068,0.5556398925,0.5675049086,0.4678647772,0.564693887,0.606910052,0.5664173843,0.5399839096
12/1966,0.4273787684,0.3815404061,0.5875061584,0.3793009302,0.4901103462,0.5968629895,0.564496621,0.6108414556,0.739649221,0.8453381533
01/1967,0.500017903,0.5667897652,0.4237172638,0.4533429583,0.651193831,0.4743611886,0.5681491998,0.5918857958,0.4761558784,0.5904136519
02/1967,0.5983194372,0.699129592,0.5566534393,0.7087026887,0.5747840909,0.529109056,0.4768237324,0.3520838725,0.5822907384,0.378181695
03/1967,0.517772517,0.4182288564,0.4647412731,0.5456090869,0.3678476297,0.5128547691,0.561258298,0.5959093654,0.5826626813,0.5129234506
04/1967,0.4220591736,0.5239659401,0.4660651239,0.5938030458,0.4380179385,0.4268576527,0.5550374751,0.5311669099,0.4335655115,0.5141442775
05/1967,0.4221784694,0.3499871879,0.3822312073,0.4999832021,0.5883734318,0.5864852597,0.5946310726,0.4628332074,0.5836790328,0.5899008875
06/1967,0.4356968407,0.6170612762,0.4676382294,0.5225818636,0.5116832221,0.4513096628,0.5712005662,0.4141366021,0.5175223492,0.5483879271
07/1967,0.4704532441,0.4844103686,0.5443802915,0.5621861486,0.6200580609,0.439356315,0.4854201987,0.423817959,0.5472437816,0.4940196295
08/1967,0.4658218606,0.4245715345,0.6015380966,0.4882078179,0.400282086,0.423883156,0.4672414941,0.6550374535,0.5132692256,0.4538993261
09/1967,0.511403877,0.5242137795,0.5796265643,0.5112762056,0.4355038313,0.4913676327,0.4378871682,0.4373315671,0.6100761296,0.5119415079
10/1967,0.4332954025,0.4202086543,0.4986858021,0.4458453481,0.4875486286,0.4895213059,0.56330088,0.4774881012,0.4853794852,0.4397597749
11/1967,0.3532930962,0.4690784218,0.5388278565,0.4512315248,0.4195853928,0.5292895,0.5259750271,0.5481707408,0.6360493047,0.4945470127
12/1967,0.4257392967,0.4108822029,0.4906917493,0.4696862346,0.5962396321,0.5422274066,0.5687238339,0.5154548723,0.5418394857,0.5462669923
01/1968,0.4444293715,0.464510782,0.4874086663,0.4330161091,0.58500179,0.4786876663,0.5175431474,0.6166447534,0.4290918265,0.4027921447
02/1968,0.5420511352,0.6085677244,0.5078388347,0.6268438912,0.5149561086,0.5649154903,0.3902129159,0.4077335203,0.5058617484,0.4687747876
03/1968,0.498685452,0.4601649922,0.6002173343,0.4026588912,0.6276154306,0.4768429488,0.5396676935,0.5265190759,0.5217705564,0.478435166
04/1968,0.3561204331,0.4224117205,0.5116545074,0.460105089,0.5470416689,0.6192490193,0.6349555314,0.5800769765,0.6000272727,0.498824727
05/1968,0.4098023787,0.5907786424,0.4340829637,0.4232822266,0.3884001318,0.4321875603,0.6728338936,0.5989853663,0.5812657432,0.6462292998
06/1968,0.3471725955,0.4158453172,0.4390729634,0.4931587734,0.4592637908,0.6312610853,0.5306808422,0.5673330445,0.4755135381,0.436696265
07/1968,0.4841537281,0.544111631,0.5407744407,0.391546519,0.5645242592,0.5042222829,0.5488068443,0.4734125001,0.5345154703,0.3708955976
08/1968,0.5008923584,0.6241330104,0.4522762866,0.6570921205,0.3361912317,0.5278127965,0.5105925692,0.5438581508,0.4611050734,0.3819099865
09/1968,0.4721042632,0.5593814464,0.5687384573,0.3642093801,0.5113736227,0.414795409,0.6010691843,0.5101445392,0.5003161772,0.458899083
10/1968,0.3717642014,0.5453883993,0.6204222577,0.4552342339,0.4733391908,0.409654865,0.4876478381,0.4893082713,0.4100198858,0.4158228977
11/1968,0.3887238558,0.4558639941,0.5677003006,0.4921535866,0.4846821633,0.5986721178,0.3245304612,0.3890491252,0.4675279247,0.3787896962
12/1968,0.3791199403,0.4417147084,0.4180138577,0.4774056152,0.5606996988,0.2846471045,0.407634683,0.4456683074,0.5483010418,0.5370628581
