date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.5501241218,0.4521969601,0.3854944096,0.4677100572,0.4554548999,0.4950292114,0.4938799151,0.6230154499,0.4885465439,0.7390179908
09/1963,0.5358804522,0.4563942192,0.4744268127,0.4677881567,0.3876311402,0.5055438352,0.4394401528,0.4599641915,0.4589978054,0.674147436
10/1963,0.7055014331,0.4093687721,0.4395470183,0.3715065917,0.4185981716,0.5028545275,0.5062833628,0.5680636675,0.595223928,0.4981389151
11/1963,0.3190814823,0.5220009595,0.4212382596,0.4626022146,0.3767824744,0.5823012721,0.6879004808,0.4792647724,0.5393729206,0.7370910733
12/1963,0.6498743146,0.3881961,0.5486342253,0.473324941,0.3867855855,0.3410850529,0.3884175699,0.6160716317,0.6052443778,0.6006207584
01/1964,0.5024465642,0.4625705073,0.443654815,0.4121537523,0.5268534096,0.3612685618,0.677060799,0.6482416032,0.5324096238,0.7614130039
02/1964,0.5026440991,0.3907779957,0.4625769311,0.3976123039,0.6062638826,0.3606854745,0.5520794395,0.565456849,0.617857102,0.7544993261
03/1964,0.6726636504,0.3990330532,0.4505679292,0.5024879963,0.4804404593,0.4603673314,0.3596346293,0.4436232327,0.4445737568,0.469027343
04/1964,0.501715933,0.5923490545,0.4429607826,0.4296121412,0.4599562809,0.4022641569,0.4286605539,0.4130221145,0.4901479251,0.7347030166
05/1964,0.5558231323,0.6190116075,0.3294659076,0.4700809885,0.4841551354,0.3390557314,0.3908563652,0.5080500534,0.4448248588,0.7048973861
06/1964,0.5805693722,0.4421588496,0.493532957,0.2994490819,0.4151722292,0.433906036,0.4003452094,0.452605304,0.5643014399,0.7604073551
07/1964,0.555822204,0.4730790916,0.4803278867,0.4895439413,0.4990736811,0.3866239781,0.4020927251,0.4399552672,0.5571571913,0.631414693
08/1964,0.4433693848,0.4204290713,0.3966195265,0.3456779081,0.4767548801,0.4966165781,0.4962577865,0.4079853639,0.4589519922,0.7241812671
09/1964,0.5577808339,0.5078792041,0.52453873,0.418445303,0.3600984973,0.3808502185,0.500465829,0.5677559241,0.5738437564,0.4523765412
10/1964,0.5879805772,0.561850817,0.4177760112,0.3939863381,0.2666813121,0.4167822936,0.3677328098,0.474134762,0.5716521041,0.4317086331
11/1964,0.4168584409,0.484199417,0.5369665522,0.4756218941,0.3427909324,0.3370357549,0.4830890098,0.4092215422,0.4572573903,0.575246167
12/1964,0.5090098179,0.4418002774,0.3801230735,0.3543386273,0.5079233199,0.2738896862,0.500355305,0.5264337244,0.630901211,0.6015019009
01/1965,0.4093710781,0.3501684055,0.3722342809,0.4913207607,0.3434538069,0.4527669235,0.3786835885,0.6451979765,0.5551713731,0.4741643434
02/1965,0.4627378552,0.3361013715,0.4840637797,0.3914921032,0.3353366032,0.477147654,0.4356599307,0.4825386138,0.3702997006,0.3874516357
03/1965,0.4310959872,0.4712964863,0.4825092513,0.3984457211,0.3643311303,0.3974148392,0.4123474461,0.4474490305,0.4469217589,0.4897796938
04/1965,0.384906543,0.5945523928,0.5639424219,0.3895220572,0.3235924856,0.4413788934,0.4492361381,0.4011776957,0.4148809447,0.4185996669
05/1965,0.3728464541,0.4259415956,0.3482068108,0.4352886111,0.4409706968,0.4994532488,0.4900740099,0.4458999687,0.4175914439,0.4794464175
06/1965,0.438814107,0.3761408866,0.5239146324,0.4214461617,0.2944594495,0.4459082376,0.378800434,0.6019667486,0.442430561,0.6983306558
07/1965,0.6563601782,0.4187195408,0.4452428654,0.3095291702,0.5523657656,0.4215751841,0.4749913955,0.5897965609,0.516488451,0.6252999565
08/1965,0.5278131183,0.5754247743,0.3800556627,0.5969406374,0.3382599487,0.4695189545,0.4497506739,0.4839905084,0.5314991945,0.4316442665
09/1965,0.4737318984,0.3491224505,0.5020821441,0.497028957,0.3120608746,0.5091531187,0.5310231651,0.4496031429,0.5302181007,0.5646196615
10/1965,0.4872501606,0.3384521539,0.4586234008,0.3448363493,0.4372602916,0.5856869479,0.4285289939,0.4824662674,0.5968025265,0.5736630794
11/1965,0.4095838328,0.4894936613,0.4245868452,0.4199444696,0.4210418344,0.3965376827,0.398339083,0.3721188154,0.5266602322,0.4572168538
12/1965,0.4698721229,0.3642628611,0.3382742535,0.4569507638,0.4447055447,0.280955821,0.5139716925,0.5787533254,0.3773068564,0.6751018004
01/1966,0.6856886746,0.461860491,0.4016361278,0.3918879437,0.4822979718,0.3068396944,0.5542529164,0.5034650302,0.4862117768,0.3490240493
02/1966,0.5253143115,0.4469967427,0.411414801,0.4095821852,0.4997553365,0.4449167274,0.4307030155,0.3548000751,0.5411440875,0.4315984665
03/1966,0.4399092791,0.4603009011,0.5577567932,0.4466742049,0.4741884614,0.4220288284,0.4259463115,0.4047816282,0.4560547297,0.5012033373
04/1966,0.4828658275,0.4681647758,0.4596626056,0.3441177215,0.3458126559,0.5732152654,0.5409269604,0.6027076063,0.4546219991,0.6347962706
05/1966,0.4747863559,0.3707841575,0.375587526,0.3981100243,0.6172731213,0.3646502142,0.4132175139,0.6382841223,0.6542959883,0.6453074628
06/1966,0.4729067642,0.5118478419,0.4137895691,0.2943810649,0.6496676728,0.4963817673,0.5291512721,0.4373539896,0.5763338843,0.5385548776
07/1966,0.5943748882,0.5847340983,0.5126542306,0.5584738928,0.5661174902,0.3916505438,0.375047673,0.6347989393,0.624997917,0.6009096487
08/1966,0.4553312255,0.510619023,0.6125097263,0.5675522737,0.6287685972,0.514394752,0.541989035,0.5023369396,0.5387055173,0.5643444085
09/1966,0.5534368538,0.634429258,0.7910703328,0.6595732807,0.533737031,0.5591792938,0.430785169,0.4878931365,0.6112860596,0.6828133816
10/1966,0.5056663241,0.5342117578,0.4368144468,0.4611871565,0.4297388492,0.6985970095,0.567043921,0.4939312147,0.7234204058,0.8462966511
11/1966,0.547090142,0.4324171276,0.7423841068,0.5397794016,0.5316730887,0.4387437916,0.5704787181,0.6192186496,0.5807692547,0.5146120563
12/1966,0.4142430378,0.5217457054,0.4676369255,0.4669489524,0.4055843944,0.5893013659,0.7586385309,0.6257013976,0.7140365079,0.915269328
01/1967,0.5240259667,0.4094854044,0.5530534348,0.5370333494,0.6449710869,0.4431477833,0.6270531751,0.59618246,0.4655029698,0.5558613254
02/1967,0.7576326602,0.732781593,0.6146274751,0.6153451041,0.5678531375,0.3826400824,0.4418894816,0.5328413027,0.5406758786,0.3512088378
03/1967,0.3950511976,0.4714165363,0.624602746,0.4691402421,0.3168267095,0.5343499674,0.5512638325,0.6522951513,0.6717743586,0.5521208315
04/1967,0.386871985,0.6253457584,0.6034233014,0.5306501114,0.3527413227,0.5365285561,0.5130561624,0.651128071,0.4320161293,0.4276142128
05/1967,0.3718403663,0.3717644952,0.4342500491,0.4834198519,0.6771794922,0.6088841063,0.6167548755,0.4965836119,0.5379413803,0.6242796034
06/1967,0.5259585422,0.5214561941,0.4645951749,0.579081857,0.593368013,0.4204086472,0.7409537934,0.3981709926,0.4742735013,0.5648938131
07/1967,0.4997742879,0.6146637324,0.5873031389,0.6265111636,0.4266532548,0.4865416055,0.4508310576,0.4365305258,0.5673869898,0.5182295739
08/1967,0.4198469095,0.6320924798,0.5423427567,0.3777966989,0.6240534538,0.3713684024,0.617674473,0.5745253085,0.5231273983,0.4662404276
09/1967,0.4720741024,0.6044521766,0.5909688515,0.5571847357,0.4374018344,0.3634249451,0.5929924995,0.4741186211,0.4681974432,0.6321025649
10/1967,0.3944548246,0.5036648731,0.4907709055,0.4744367246,0.4517002015,0.4854623395,0.6450828278,0.4560641262,0.4989090795,0.4687622175
11/1967,0.4070477171,0.5377603329,0.534355205,0.6143729628,0.2600951319,0.4098422837,0.649541332,0.5698185264,0.5241785988,0.6470945084
12/1967,0.4345540377,0.4835895184,0.526140545,0.4550072735,0.7207475377,0.518551582,0.6364009626,0.5064499415,0.5697976227,0.5386299858
01/1968,0.4933847532,0.5446320711,0.4831123199,0.58940802,0.6259923037,0.496003645,0.466400402,0.6223756402,0.5119314159,0.363618893
02/1968,0.7027269751,0.6097906204,0.5629294329,0.5884162032,0.5494380672,0.581247927,0.3648712603,0.4247530674,0.5535610096,0.4958351828
03/1968,0.5402524215,0.4361224036,0.5898426702,0.6526848116,0.3107386481,0.6821595555,0.5030080343,0.5771005225,0.5132278528,0.5320041131
04/1968,0.416708613,0.501385412,0.4388226066,0.477628793,0.5935146216,0.6493483536,0.6153879684,0.6882889595,0.5553322419,0.620111767
05/1968,0.6308155382,0.4470922727,0.4152911261,0.3587331446,0.450146041,0.4876848804,0.6945327578,0.639335717,0.6091820864,0.7038921216
06/1968,0.4869433211,0.4784439059,0.484734718,0.4137865829,0.6452223133,0.4663407497,0.6153894698,0.5661158878,0.4957897013,0.4025669419
07/1968,0.5097447797,0.6255057514,0.5116439152,0.4223788144,0.5843951617,0.5841565722,0.3984001667,0.5508199499,0.449602523,0.5782931758
08/1968,0.5677299079,0.7084695537,0.5149650359,0.6976464261,0.4301817085,0.3083935309,0.5436371759,0.5110041878,0.5241149784,0.4530345767
09/1968,0.657511477,0.5665820655,0.3330227517,0.6663246504,0.436358937,0.4373314311,0.5596917579,0.5115166704,0.5624776704,0.5157531731
10/1968,0.4502767025,0.7350288339,0.4853452644,0.4606730065,0.5175158502,0.3034629077,0.49456577,0.4777655146,0.4835629585,0.4123543945
11/1968,0.4395961892,0.4951671516,0.5660709739,0.4846627772,0.495340739,0.6388221025,0.4140373831,0.3168038014,0.4062915572,0.4753013899
12/1968,0.4437950589,0.4345864818,0.5150630873,0.6357194246,0.3055641856,0.4057590346,0.4225919633,0.438913734,0.5751876992,0.6283676612
01/1969,0.468399085,0.5467056354,0.5841304775,0.5716469152,0.5225555892,0.4483851486,0.2935307943,0.4495708048,0.5299131226,0.3573007898
02/1969,0.5934290259,0.3841444273,0.5056597592,0.5497038079,0.4545763394,0.2874168338,0.4904474816,0.5297428383,0.4268961619,0.4511270777
03/1969,0.4079909173,0.4592686428,0.4396278311,0.325631426,0.6780523061,0.4823208437,0.6027120184,0.5520342705,0.479349779,0.4889582443
04/1969,0.4473648793,0.4235008952,0.3801901669,0.5272519514,0.4316510823,0.526617953,0.5586298787,0.4397777333,0.5119986211,0.5626660949
05/1969,0.409254593,0.3946163664,0.5405085752,0.3329410675,0.5742993905,0.4007200853,0.530645958,0.6350722722,0.5748711398,0.5030383437
06/1969,0.5049215823,0.426789199,0.4448829658,0.4292011466,0.5928088018,0.2747615014,0.5304064156,0.4130755078,0.5262822502,0.4399024591
07/1969,0.4343021711,0.4383485523,0.3965538071,0.5086360864,0.6531608312,0.6490006225,0.550288606,0.5395769964,0.71703997,0.5141690493
08/1969,0.5863814948,0.5062064447,0.6846628011,0.6208583808,0.4582144081,0.4379144887,0.5441187156,0.6013380194,0.6579973167,0.6420071759
09/1969,0.5908756282,0.4825406883,0.4342863489,0.577413426,0.4675843928,0.4287468249,0.5293753357,0.7329838501,0.7286029659,0.8343773568
10/1969,0.411176299,0.5656011428,0.5660403766,0.4372172287,0.474319588,0.5276686368,0.6024624909,0.5374223179,0.6236028511,0.8638592501
11/1969,0.5283226392,0.513003466,0.5330736579,0.5282054279,0.2973113657,0.7122806368,0.6162813198,0.4851197425,0.6021306899,0.4336316156
12/1969,0.4501576128,0.5530101398,0.4928721535,0.6770267114,0.4318337145,0.4805104922,0.5251648248,0.5181912186,0.6714384302,0.6463421551
01/1970,0.3118012759,0.5909656402,0.5718623265,0.4734311177,0.3441885511,0.7667303676,0.6049711357,0.6907877675,0.6489081078,0.7964720558
02/1970,0.8031474331,0.7082149927,0.3823453167,0.774143585,0.6847920024,0.7033039673,0.4079100064,0.4666857922,0.6335986928,0.6471684579
03/1970,0.6946870186,0.670124309,0.566969256,0.3849370854,0.4394107821,0.5977300735,0.5350980862,0.6138004606,0.716891674,0.7611552474
04/1970,0.613297308,0.7008508348,0.6101060088,0.576486198,0.4865659297,0.4569811665,0.4299419208,0.6022425819,0.6046438194,0.5388366723
05/1970,0.7552451834,0.5812579094,0.620758469,0.6318068959,0.570655574,0.430455321,0.6726525303,0.581357609,0.6335560724,0.6973911289
06/1970,0.621103078,0.8414762083,0.8336354536,0.5220979012,0.5843173019,0.5924224996,0.7008265452,0.4862067431,0.9394657446,0.6847164437
07/1970,0.7217135337,0.815991995,0.5099527404,0.8005140673,0.6596227682,0.3719350323,0.8180536473,0.7720851459,1.1553207678,0.9950436399
08/1970,0.7060209039,0.5957604683,0.7079990521,0.6878520254,0.5161051359,0.7465925792,0.7598387152,0.5650042809,0.803196442,0.7844292965
09/1970,0.7359309393,0.6289751336,0.595353517,0.6964484949,0.4842237579,0.6119320216,0.6928685826,0.7313073096,0.7686454083,0.7024962759
10/1970,0.7086744153,0.6892219926,0.5291903417,0.6083720249,0.4943116485,0.6105229577,0.6247704106,0.515486198,0.7990171323,0.7886927022
11/1970,0.6291875692,0.4976415048,0.6260568422,0.5655595026,0.6211534416,0.5193313533,0.7188838311,0.664714883,0.7300719308,0.9184633891
12/1970,0.5421207576,0.6913424762,0.5143469974,0.512756166,0.5359168822,0.602943492,0.4227972019,0.7387330492,0.8994223017,0.8854617021
01/1971,0.8394577968,0.4973217264,0.7382877288,0.7266535306,0.6013669154,0.3773270852,0.5344459965,0.412635987,0.4669773559,0.4474550315
02/1971,0.6158690455,0.5437549884,0.4450205506,0.5987569723,0.5363602914,0.4960366221,0.4194038666,0.4795514441,0.4859490932,0.7313037204
03/1971,0.5843626287,0.4411935406,0.5717788821,0.6390800038,0.5844364255,0.349185703,0.4233862802,0.6444142179,0.5008966835,0.8221363246
04/1971,0.4026532702,0.541668481,0.5765533978,0.4092797156,0.3527624491,0.5768416797,0.6522341548,0.612541112,0.6588997234,0.6470854896
05/1971,0.4765068919,0.534513389,0.5379097595,0.6104205685,0.442012522,0.3905138823,0.5108932353,0.5772595908,0.6155541266,0.6574211614
06/1971,0.495054342,0.5979183833,0.3830968481,0.4629893657,0.5059574294,0.3793388323,0.734973522,0.6480893145,0.6301377486,0.6114823304
