date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6827052479,0.5342320713,0.5553116083,0.4031278575,0.5285490032,0.5269463471,0.6773402018,0.5456566923,1.026774825,0.742110276
08/1963,0.6902185186,0.5387713689,0.5416803034,0.4021245915,0.5337110721,0.5314510409,0.6919296197,0.5490172756,1.0352742705,0.7715539413
09/1963,0.646850129,0.5120250401,0.5253725355,0.3854554228,0.5005192517,0.5017314111,0.6455540708,0.5201604869,0.962805919,0.6926123478
10/1963,0.6777739369,0.5237733208,0.5424378287,0.3840721073,0.5018637528,0.4995243415,0.663993938,0.5320810091,0.9663235907,0.6806725938
11/1963,0.6822247631,0.5230002702,0.527584105,0.3590199071,0.4918055563,0.4973854247,0.6500002369,0.499713801,0.9445795696,0.6503987961
12/1963,0.6866637869,0.5256652581,0.5353532252,0.3649074981,0.496460142,0.5063146892,0.6653075523,0.5062474687,0.9519767761,0.6698453693
01/1964,0.6396105294,0.5144928039,0.5146602976,0.4094249104,0.4823310894,0.4928878622,0.6406184359,0.4941235314,0.9390701487,0.6681399321
02/1964,0.6436765661,0.5093943439,0.4854535804,0.3920012802,0.4798512152,0.479125185,0.6373167351,0.4741001541,0.9093173454,0.663556144
03/1964,0.6273513558,0.4905986117,0.4840956858,0.3867540293,0.4636255348,0.4721934955,0.627861345,0.4786579845,0.8896202486,0.6225844446
04/1964,0.6181809941,0.4800326809,0.4747517043,0.3881634698,0.4550125215,0.4609907209,0.5966394257,0.4568239352,0.8444970321,0.5996706304
05/1964,0.5841730107,0.4747461721,0.4689515658,0.3824932813,0.4595131254,0.4546269954,0.6014733951,0.4783003955,0.8723627396,0.5975507452
06/1964,0.5708319105,0.4709890292,0.4660612758,0.3822289862,0.4570088118,0.4455798368,0.6081527447,0.4786924642,0.8450484726,0.5808981586
07/1964,0.5428305542,0.4834233762,0.3388000315,0.4874919145,0.4201933498,0.4900756245,0.4677838563,0.6541382785,0.7218981901,0.5577958031
08/1964,0.5276256786,0.4675877337,0.3304884974,0.4901168345,0.4077833628,0.4846358403,0.457658341,0.6343668304,0.7061323721,0.5375714597
09/1964,0.5239977756,0.4808043125,0.3388454222,0.5005647122,0.3587877752,0.4860504525,0.4649083782,0.655095146,0.7099964161,0.5334734914
10/1964,0.5051079978,0.4613688693,0.3251892201,0.496429849,0.3496415559,0.4745667164,0.4483160784,0.633558784,0.6700433911,0.523039864
11/1964,0.4996016699,0.4525571837,0.3167710325,0.4949246408,0.3476781241,0.4747409432,0.4481660285,0.6273548227,0.6744933509,0.5226790458
12/1964,0.5018692927,0.4513447192,0.3232045124,0.5007910537,0.3542306626,0.471719289,0.4410950474,0.6249101023,0.6923019461,0.517498662
01/1965,0.4767775405,0.4599983156,0.3171892443,0.482727689,0.3500289152,0.4686146807,0.4367619395,0.624877714,0.7121887751,0.5193088216
02/1965,0.4546128385,0.4285697436,0.3107256679,0.4772984052,0.3383051739,0.4675806235,0.4151086866,0.5979065874,0.6780378957,0.491656664
03/1965,0.4530314976,0.4457140224,0.3119209818,0.4758494992,0.3952234842,0.4536929794,0.4077715437,0.599714875,0.66337367,0.484351416
04/1965,0.4603989564,0.4554599525,0.3208351833,0.4854694379,0.3979651873,0.460669888,0.4120930327,0.6046143744,0.6661541802,0.4842450903
05/1965,0.4347249094,0.440587824,0.311589705,0.4750925733,0.3771507248,0.4357716176,0.4015827761,0.5917611266,0.6513215363,0.460016521
06/1965,0.4388714927,0.437526151,0.3108984045,0.4661408605,0.3889498987,0.4447415326,0.4044565346,0.5887749139,0.670134606,0.4732836638
07/1965,0.3562759351,0.4054831378,0.435073119,0.5349876197,0.3703378735,0.4955757126,0.6417991079,0.568793354,0.6914135118,0.8280798139
08/1965,0.3464594215,0.40073946,0.4264802408,0.5287538734,0.3655744464,0.5017240981,0.6323958997,0.5752526051,0.6807651198,0.772309915
09/1965,0.3312863707,0.3854673224,0.4210565538,0.5208073741,0.3541562298,0.5028427838,0.6181994979,0.5505309232,0.6495649984,0.7460495988
10/1965,0.3203567932,0.3708081861,0.401805485,0.506151909,0.3465607418,0.4813187639,0.5896702343,0.536877321,0.6343967019,0.7132986843
11/1965,0.3060631946,0.3587020538,0.3869356687,0.503515177,0.336829159,0.4729193554,0.5710744026,0.5642979347,0.6102706984,0.6647177691
12/1965,0.308564424,0.35988857,0.401954363,0.5220601253,0.3344807609,0.4687354627,0.5670387866,0.5081063054,0.6224797579,0.6232564062
01/1966,0.3059869666,0.3515346396,0.3940841882,0.5105266523,0.3691301793,0.4642855084,0.5547012244,0.5358221572,0.6036493224,0.6255581241
02/1966,0.3020577996,0.3488713582,0.3928048502,0.5112619483,0.3762579593,0.458495848,0.5359811247,0.5171843497,0.5963880814,0.5744249887
03/1966,0.2964074876,0.3525043702,0.4030262825,0.5209368777,0.395585638,0.471803471,0.5444665843,0.5190203697,0.6013240021,0.5766431878
04/1966,0.3010061506,0.3559883369,0.4232142725,0.5412553807,0.4023122587,0.486614781,0.5613470818,0.5299463901,0.6263780174,0.6012728929
05/1966,0.2841461428,0.3651337866,0.4246974323,0.5320536392,0.3977309898,0.4726897085,0.554428453,0.5170236413,0.6204895243,0.5775725252
06/1966,0.2985446618,0.3824568014,0.4454409077,0.5639603142,0.4111469953,0.504735191,0.5889774883,0.562016864,0.6559365501,0.6315850189
07/1966,0.3146326094,0.2962338626,0.5683399822,0.392952739,0.4445296215,0.6323681216,0.5742004643,0.8118156338,0.6198885219,0.6708138922
08/1966,0.3279414479,0.2997515953,0.5829605549,0.3974928258,0.5344274282,0.6383574259,0.5589216186,0.8229460606,0.6340907982,0.6761344104
09/1966,0.3686909318,0.326477006,0.6070334361,0.4367330059,0.487463947,0.6869344159,0.5979495508,0.8796928101,0.7131945445,0.7400275358
10/1966,0.378691482,0.3352251976,0.6131457922,0.4387586968,0.495529137,0.6860187707,0.6007370771,0.8813933947,0.6941128547,0.7478461099
11/1966,0.3624265959,0.3250321434,0.595637482,0.4323458264,0.4750338011,0.6426203375,0.5691204862,0.8379334751,0.6822968917,0.7287982513
12/1966,0.3365348783,0.2981400488,0.5923662583,0.4436041001,0.4708653202,0.6543985214,0.6044793247,0.8389829538,0.6533487259,0.7182193065
01/1967,0.3406141336,0.29195202,0.5935957055,0.4435838783,0.4636145836,0.6355103624,0.6152900895,0.8272442555,0.6280378429,0.7083071673
02/1967,0.3163888033,0.2707712845,0.542026693,0.4052654288,0.5107956664,0.5958380171,0.5825445636,0.739067804,0.5805751577,0.6326517783
03/1967,0.3131339412,0.2659951675,0.5516459983,0.4220292318,0.5049989255,0.5943004814,0.5869847822,0.7440551015,0.5730297394,0.6413860549
04/1967,0.331096788,0.2549993118,0.5200583705,0.4044940909,0.4824037349,0.5754792415,0.566025638,0.7093272966,0.612821926,0.6032225153
05/1967,0.3114396371,0.467213594,0.4964003564,0.3792789251,0.4673851353,0.569105625,0.5451381713,0.6845858875,0.6047664701,0.5769063225
06/1967,0.3115760611,0.2462211293,0.5232658529,0.4049367211,0.4852917644,0.6014206844,0.56988417,0.7115579466,0.586128747,0.5894462032
07/1967,0.2158202974,0.4158335038,0.4940912476,0.388906135,0.5130879221,0.5659516201,0.6144809141,0.445154001,0.8208930729,0.5872792195
08/1967,0.2096079169,0.397828007,0.4704084002,0.3627942968,0.5147037817,0.5572202495,0.6070009083,0.4185117924,0.7662386359,0.5441485955
09/1967,0.2136858685,0.4039653445,0.4758647025,0.3634268082,0.5214678639,0.5420641396,0.6223116669,0.4158978411,0.7692984466,0.555338079
10/1967,0.2002616737,0.385513831,0.4534861704,0.3527901691,0.5001510546,0.5516273435,0.6000182133,0.413310533,0.7516036613,0.5456341408
11/1967,0.1923472345,0.3924722984,0.4868407004,0.3701274329,0.4899443904,0.5670789846,0.6222808548,0.4262388569,0.7608887599,0.570425919
12/1967,0.3308555733,0.4249766118,0.4909668935,0.3661822407,0.522493001,0.5774223153,0.6274349835,0.429082892,0.7619059828,0.5654683437
01/1968,0.3043496586,0.3851963902,0.4626922366,0.3553272713,0.4900752158,0.5361089785,0.6145372958,0.4135448095,0.6985879271,0.5320726805
02/1968,0.1883155765,0.4149080406,0.4830537137,0.3813339126,0.5217240197,0.5492498935,0.6085101791,0.418332005,0.7307367517,0.5156108662
03/1968,0.1915317846,0.4315524275,0.5064544811,0.3944888863,0.54769398,0.5683085293,0.6286468362,0.4266776333,0.7667142332,0.5361271236
04/1968,0.3392954292,0.4355298697,0.5062938747,0.3861527187,0.543167544,0.5695269141,0.6277654466,0.42279746,0.7643259413,0.5390914278
05/1968,0.3153985828,0.3969793815,0.4541741678,0.4192365991,0.4939267427,0.5377548758,0.6265604346,0.3824257669,0.6907712419,0.4948588283
06/1968,0.3058726903,0.3910050474,0.4616925245,0.4219115142,0.4744296694,0.5340021661,0.6368584879,0.3805116794,0.6743389233,0.4825604667
07/1968,0.2932227885,0.3817854529,0.4157046052,0.57486032,0.4924378942,0.6703221999,0.451809097,0.5496128922,0.6058567924,0.5948574213
08/1968,0.3090345982,0.3974740209,0.2617972463,0.6024148096,0.4964199037,0.6598301646,0.4616903322,0.5710859997,0.6217467915,0.6136756344
09/1968,0.3023730695,0.3848392633,0.2602951397,0.6016927879,0.4859286233,0.6537391363,0.4588780294,0.5575229382,0.6118743156,0.6039923197
10/1968,0.2941870789,0.3652774241,0.2537478428,0.5640944116,0.4655862616,0.6374972748,0.4300848661,0.5253922675,0.5746444028,0.5738922111
11/1968,0.2893788282,0.362930788,0.2625867562,0.5615715257,0.4587418055,0.6148811724,0.427195211,0.5236767974,0.5643809362,0.5666973611
12/1968,0.2783229432,0.3396378036,0.2468539999,0.5413313689,0.4364379298,0.5908036828,0.4234215146,0.5027215668,0.5419888869,0.5395630087
01/1969,0.2817773472,0.3468840755,0.2577344436,0.543910295,0.4341161662,0.6169840266,0.4302663591,0.5124892356,0.5311373769,0.5278003146
02/1969,0.2888313431,0.3515840614,0.2667566313,0.5528214106,0.4420775986,0.6134902201,0.4342857349,0.5109958998,0.5361799742,0.524429918
03/1969,0.3038955008,0.3690346811,0.2742005757,0.5958280349,0.4709752124,0.6414808065,0.449256284,0.5410337159,0.5843363963,0.5612739844
04/1969,0.3033391566,0.3624241937,0.2603140513,0.5757658631,0.4482875613,0.6269651675,0.42450617,0.5276574291,0.5726277859,0.5514424788
05/1969,0.2953090232,0.3563261594,0.2550254527,0.5797640342,0.4386642946,0.6041822327,0.4179981558,0.5197792477,0.562304639,0.5335925696
06/1969,0.3025059451,0.3579204575,0.2587590589,0.5777859327,0.4299406423,0.6035250968,0.4191516688,0.5259234459,0.5703310226,0.5309279959
07/1969,0.5264473122,0.4546488135,0.4954645488,0.441124213,0.5298510876,0.6552268579,0.3495480813,0.6717866177,0.5453361051,0.6169440153
08/1969,0.5792863802,0.4875122635,0.5262219129,0.4697995196,0.5712913463,0.6941922946,0.3729108704,0.7083388944,0.5852543222,0.6739936776
09/1969,0.5378098448,0.4570667968,0.5095144124,0.4495216132,0.5517674318,0.6815102975,0.3547117024,0.6694311654,0.5594817554,0.6409313096
