date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3264724446,0.4776860375,0.3940601944,0.4349522466,0.4205234094,0.6158589779,0.6128836734,0.5895776618,0.8322099131,1.0813000493
08/1963,0.3339347917,0.4798688455,0.3908746001,0.5378228078,0.4120675569,0.5075972728,0.6074756175,0.6697836418,0.8792024191,1.1362185693
09/1963,0.3247334816,0.4622795745,0.3798326355,0.4885192739,0.430891753,0.5055013496,0.5804403854,0.6156489121,0.7575601168,1.1118048044
10/1963,0.3246065784,0.4363240546,0.3992036036,0.5538287386,0.3919717707,0.5976436249,0.6617924118,0.5757154826,0.9095943202,1.0971086888
11/1963,0.4356064647,0.3146605923,0.4021451897,0.3340022736,0.5703843026,0.5108719273,0.6792965547,0.6301219286,0.909848335,1.0776041522
12/1963,0.3151029412,0.4314326445,0.4262200785,0.4093207123,0.4392836561,0.5792507879,0.5973537966,0.7347893596,0.8346803913,1.0793323687
01/1964,0.3684791979,0.4583530531,0.4187348263,0.3631184705,0.5161394241,0.6948928748,0.5307776119,0.6423224707,0.7372591659,1.1162815596
02/1964,0.3362664027,0.4375188735,0.3910027661,0.356951767,0.5474023942,0.5048655389,0.5989874197,0.6976606719,0.765603972,0.9997126242
03/1964,0.3072139298,0.4127520113,0.4117007624,0.3966699021,0.6145940561,0.557424259,0.4937373935,0.6106322298,0.7757698822,0.9789552397
04/1964,0.3213778402,0.4958607995,0.401008156,0.4104204755,0.5401387701,0.5119724662,0.5075779155,0.5888795057,0.8507543995,0.8890200465
05/1964,0.2875155373,0.5065056911,0.4065002045,0.4707856212,0.3278906102,0.5206361771,0.5219130927,0.5681431286,0.9033904346,0.9109215654
06/1964,0.294139248,0.412519659,0.4259256534,0.4784536303,0.3781092873,0.4257283111,0.6141958917,0.6447876149,0.7183945357,0.8572065051
07/1964,0.3503866396,0.441939318,0.4543219288,0.5582208842,0.3425171379,0.4436421615,0.6874484283,0.732231818,0.5476466059,0.9266549964
08/1964,0.3280645136,0.4500325676,0.4518846822,0.5860222215,0.3901353465,0.3716245341,0.6210824364,0.6291253362,0.6973758606,0.8985112969
09/1964,0.3316716696,0.4333539058,0.4561112335,0.3992544425,0.4362114747,0.4289112975,0.5137961911,0.6597533727,0.6903049652,0.8727918899
10/1964,0.3192590846,0.4539380717,0.3735193433,0.556471566,0.3941663881,0.4045537711,0.5061454411,0.7223248875,0.5814127494,0.8520185434
