date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6367112611,0.5077007023,0.5092376045,0.379945382,0.4210491776,0.5398310971,,,0.5072193256,0.7782459204
08/1963,0.6807711176,0.4900147273,,,,,,,,0.561246234
09/1963,0.6152226032,0.4701796845,,,,,,,,0.5424471525
10/1963,0.6296813107,0.476050089,,,,,,,,0.5581455721
11/1963,0.6049197313,0.4609167018,,,,,,,,0.5540798063
12/1963,0.6010765333,0.4705497555,,,,,,,,0.5407073831
01/1964,0.6458420889,0.5050068842,0.4282428299,0.3727445759,0.494407279,0.5552838854,,,0.3845507005,0.6019676599
02/1964,0.6307981217,0.5484389919,0.4003107197,0.3564484833,0.487457921,0.5493194841,,,0.3723365612,0.5762562326
03/1964,0.5068597814,0.5234427005,0.3454542411,0.3534155253,0.480622998,0.5350733584,,,0.3645473718,0.5731770141
04/1964,0.5071669815,0.5115948303,0.3408769906,0.3520919787,0.4704196569,0.5278199129,,,0.3618896458,0.5561202665
05/1964,0.5005027326,0.5133670077,0.3509454435,0.3506467765,0.4745313436,0.529090258,,,0.3486120159,0.5487925404
06/1964,0.5044955902,0.5099532958,0.353228408,0.342984872,0.4776065238,0.5222451625,,,0.3465839327,0.5421341755
07/1964,0.5234632752,0.5430461225,0.3900049379,0.3580679097,0.4872096789,0.5378086561,,,0.3797584363,0.5780328428
08/1964,0.528166467,0.5295156195,0.3811881757,0.3406758907,0.4866729282,0.5221029129,,,0.3754771541,0.5682938372
09/1964,0.5374198404,0.5394946679,0.2986050094,0.3414283354,0.502309073,0.5268939689,,,0.3902948749,0.5866160594
10/1964,0.5378221863,0.5161748736,0.2926262771,0.330698475,0.4826445384,0.5100939885,,,0.374932225,0.575851179
11/1964,0.537524529,0.4834953625,0.3047554092,0.3292902301,0.4839428881,0.5093915617,,,0.3658678807,0.5585059516
12/1964,0.5500615667,0.4826691463,0.3018055596,0.3331591351,0.4831031431,0.519203094,,,0.3608963454,0.5577127949
01/1965,0.447820644,0.4725685699,0.3404214426,0.3848743332,0.3592067832,0.4808455117,,,0.6368056026,0.6194911003
02/1965,0.4438866013,0.4592629509,0.3179929506,0.3616164779,0.3537748605,0.4635651613,,,0.6069127869,0.5855189487
03/1965,0.4075115193,0.478192861,0.4194724918,0.3577671328,0.3509684867,0.4683925511,,,0.6144072304,0.5651059738
04/1965,0.4153665992,0.4802254032,0.4372305277,0.3597419461,0.3555772915,0.4757811082,,,0.6188875324,0.5685011929
05/1965,0.3999319083,0.4741967636,0.4059712265,0.3444497335,0.339223815,0.4674584859,,,0.601252297,0.5528047415
06/1965,0.4074493352,0.463368606,0.4261451266,0.3518816053,0.3517636972,0.4647709607,,,0.5995102327,0.5542920948
07/1965,0.4978539544,0.5368792796,0.3596280326,0.4017763381,0.3937526566,0.5081638226,,,0.6581558165,0.6072723955
08/1965,0.489429419,0.5325351257,0.351456293,0.3920516459,0.3938063966,0.5020087029,,,0.6439648624,0.5833699958
09/1965,0.476441322,0.5306748272,0.3364012727,0.3746529005,0.3893430715,0.4909034813,,,0.621518251,0.5605446347
10/1965,0.4673866759,0.5207461432,0.3225004559,0.3498899955,0.3760148321,0.4797681557,,,0.602322478,0.544344356
11/1965,0.4526633944,0.5154206582,0.3151798645,0.3637303134,0.362216927,0.4645141034,,,0.5812576244,0.5336410672
12/1965,0.4510014371,0.5261186459,0.3206907854,0.3420360466,0.3705568113,0.4665718998,,,0.6034727148,0.5097175543
01/1966,0.4944792916,0.3975198334,0.5359613475,0.3133779373,0.3442635533,0.3709268203,0.508882228,,0.5374972449,0.5254754846
02/1966,0.4872470444,0.384123998,0.532876383,0.3056906083,0.3537472195,0.34394907,0.5427162783,,0.5300879704,0.5134092508
03/1966,0.4819160129,0.3924588134,0.5311575882,0.304393424,0.3678225259,0.3483261692,0.5628250261,,0.5528448154,0.526232749
04/1966,0.4947393943,0.4038502555,0.5668782872,0.3154551024,0.3695671891,0.3617904863,0.5741609325,,0.5685371103,0.5404882836
05/1966,0.4884933996,0.3930193882,0.5595131346,0.3091846691,0.3585849796,0.3678545603,0.5629159933,,0.5530742191,0.5424513098
06/1966,0.514748919,0.4197608099,0.5779177308,0.3273583216,0.368212951,0.3957333359,0.5937326338,,0.5860463674,0.5776784882
07/1966,0.5635472376,0.3383038269,0.6266746191,0.4530423501,0.4051682049,0.4610026229,0.520203914,,0.6223059997,0.6256330324
08/1966,0.5722860543,0.3548802561,0.6393882843,0.4495639673,0.3824267194,0.5440955132,0.6025549266,,0.6204421644,0.5983564438
09/1966,0.6446244891,0.3846661765,0.6852849197,0.4827615244,0.4165413973,0.5928979869,0.5743652381,,0.6715915956,0.6387518413
10/1966,0.6362881255,0.3816008075,0.7105752904,0.4932864592,0.4138302663,0.6078549955,0.5777719459,,0.6508509132,0.6414879289
11/1966,0.6452670315,0.3650338203,0.6615869084,0.4823982275,0.4053954902,0.5815678701,0.5437064724,,0.6013833318,0.616767343
12/1966,0.6133450306,0.3133422408,0.6781466163,0.5017421244,0.4143319205,0.5811540087,0.5487176619,,0.6110791987,0.6150649526
01/1967,0.4475295938,0.4134978905,0.6050755691,0.5873993587,0.3669853578,0.5154054249,0.6593811626,,0.5461918699,0.6583417928
02/1967,0.4054016949,0.3824585316,0.5625202145,0.5417681103,0.3913817439,0.4710022271,0.6307026503,,0.5150965768,0.5948371319
03/1967,0.4002952031,0.3772203918,0.5535186261,0.5377984297,0.4085414082,0.4772964397,0.6417742127,,0.5407711002,0.5925421825
04/1967,0.3909288913,0.4570481952,0.4430032383,0.5195096646,0.4000429053,0.4598277621,0.6216812377,,0.5266402802,0.5993920234
05/1967,0.382158386,0.5722631603,0.4228318352,0.5054641685,0.3840988769,0.4265659773,0.6161172057,,0.5075324163,0.5854919305
06/1967,0.3699780669,0.4694233725,0.4335020986,0.527501597,0.4122963981,0.4429564135,0.6419017978,,0.5408597193,0.5589575056
07/1967,0.4333489081,0.6361889073,0.458936641,0.3304988588,0.3731951694,0.4665200447,0.6632338767,,0.5559872761,0.5715064884
08/1967,0.4158795609,0.6492608725,0.4350204035,0.3208475904,0.3729410689,0.4360898531,0.6255121502,,0.5122311887,0.5627281135
09/1967,0.4259568268,0.6421272774,0.4310745184,0.3322117295,0.3744436454,0.4831640365,0.621348945,,0.5231274712,0.5606990562
10/1967,0.4185873709,0.6451860552,0.4043426622,0.3152598899,0.358994995,0.4628186941,0.6150401118,,0.5183180081,0.5406371649
11/1967,0.4358409067,0.6676168803,0.4189846195,0.3138761356,0.3596603037,0.4800359144,0.6464875173,,0.5431175208,0.5534440873
12/1967,0.4372210105,0.653005362,0.4222039102,0.5519377472,0.3741563791,0.4928322135,0.6436888872,,0.5608127861,0.5632661041
01/1968,0.3260001152,0.4099467285,0.5276221781,0.4082980564,0.5552682381,0.4372288966,0.5338301753,,0.3096387212,0.6297997525
02/1968,0.3546093059,0.4252117808,0.5236748176,0.4298439293,0.4233490432,0.4363062797,0.5572520923,,0.3386580239,0.6267235519
03/1968,0.3599963472,0.4421181899,0.5432697231,0.4513241973,0.432445784,0.458837726,0.5732157328,,0.3696080665,0.6423003536
04/1968,0.364398124,0.4547243771,0.536941028,0.4409075708,0.5787919868,0.4564031173,0.5824329242,,0.373045906,0.6394695472
05/1968,0.3286578684,0.417604226,0.5080632404,0.3991250971,0.5444414986,0.4467748116,0.595003271,,0.3350622205,0.5968490763
