date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1.0999361294,0.9203919191,0.7417858743,0.5890169841,0.5665768894,0.59630347,0.6073427702,0.5670883066,0.3983857066,0.2524837138
08/1963,1.1181858929,0.927690409,0.7429105579,0.5930603202,0.5708637677,0.5968879904,0.6176775036,0.561040846,0.3996548069,0.2513431782
09/1963,1.0630555295,0.878356132,0.7088222904,0.5654391036,0.5456937418,0.5723475103,0.5812290683,0.5406761694,0.3791140615,0.2412922143
10/1963,1.105244656,0.8909062517,0.722562759,0.5762737054,0.5597802659,0.5703258844,0.5771500744,0.5606787208,0.382307756,0.2442963516
11/1963,1.082753623,0.8785445826,0.7232403819,0.5666893174,0.5447897427,0.5560091787,0.5655352799,0.5512810691,0.374304072,0.2294038229
12/1963,1.0986831812,0.8732483525,0.7387676666,0.5779185035,0.5519066893,0.5445885118,0.5703775971,0.5580045253,0.3795871792,0.2412712821
01/1964,1.0725816498,0.8505000847,0.7209307513,0.5668867519,0.537368776,0.53368495,0.5542823123,0.5340308457,0.3673195829,0.2618154658
02/1964,1.0604680502,0.8280590454,0.7087177086,0.5604310831,0.5308768085,0.5203164903,0.5509542038,0.5111967444,0.3569490313,0.2542309311
03/1964,0.9975014345,0.8184059633,0.6985124773,0.5509098741,0.5279324935,0.5112223727,0.5349985139,0.5054970707,0.3550574824,0.2483972449
04/1964,0.9667838998,0.7860637684,0.6817811689,0.5478434057,0.5180544954,0.5133117138,0.5235779479,0.4924543268,0.3477883709,0.2470265746
05/1964,0.9815081847,0.8121587788,0.6864477552,0.5466460036,0.5246229657,0.5040832094,0.5230973452,0.4886039634,0.3462912203,0.2455153013
06/1964,0.9708450441,0.8005693264,0.6777543828,0.5440913088,0.5258056886,0.5034125115,0.5159906943,0.4824981442,0.3452465691,0.2432231213
07/1964,1.0301826419,0.8437775407,0.6790927051,0.5497947975,0.499329276,0.6165170212,0.5553394446,0.5327418523,0.3897126923,0.2500880851
08/1964,1.0346662865,0.8218043983,0.669892963,0.5252579743,0.5005698086,0.6038556729,0.540082675,0.5236739789,0.3819772512,0.2406740637
09/1964,1.066295482,0.8319650052,0.676020801,0.5262848369,0.5091017273,0.6174447336,0.5420897409,0.5262139492,0.3936083267,0.2230654563
10/1964,1.0417378752,0.7982585102,0.6519789669,0.5127364355,0.5110083432,0.5946151851,0.5195234775,0.5039460566,0.3825838411,0.2174303159
11/1964,1.014660834,0.7852893833,0.6429811182,0.5146275282,0.5122650159,0.5902229663,0.5133977477,0.4984368432,0.3761259319,0.216357526
12/1964,1.0451899862,0.7839799063,0.6463458582,0.5141334918,0.525299071,0.5823205042,0.5214246999,0.495048136,0.3678589531,0.2223937266
01/1965,1.0605647372,0.7728531734,0.6355441265,0.5175312668,0.5063147444,0.5704382461,0.5180850909,0.4933401269,0.361948951,0.2197858097
02/1965,1.0112486242,0.7362268001,0.6092339429,0.4966147007,0.5009286733,0.5529145743,0.4950484531,0.4786695863,0.3558241876,0.2105237025
03/1965,0.9875916085,0.7168319527,0.597224885,0.4934474783,0.4981747589,0.5589107382,0.4863003264,0.4774224319,0.3595501798,0.2322244083
04/1965,0.9930457786,0.7241459045,0.5980810932,0.4967850721,0.5061794452,0.561759566,0.4846715407,0.4887810783,0.3692587445,0.2353378049
05/1965,0.9641349975,0.6924428011,0.5782791173,0.49240048,0.4942253999,0.54736231,0.4703493778,0.4601941659,0.3605958243,0.2259555794
06/1965,0.9816543126,0.68934028,0.5873776273,0.4962844906,0.4879859506,0.5432955914,0.4775457854,0.4683580308,0.3623800993,0.2305899543
07/1965,1.1064017436,0.7814338639,0.6285602604,0.5600324375,0.5713148153,0.6856492279,0.4743677209,0.514370268,0.347862591,0.221824501
08/1965,1.0835843927,0.7601974153,0.6166072882,0.550804053,0.5688190372,0.6680949217,0.4691823823,0.513221744,0.3418657406,0.2187787025
09/1965,1.0221772207,0.7349407295,0.6086293376,0.5402654094,0.5659067194,0.6566839197,0.4564002243,0.5013673566,0.3364285252,0.2117945216
10/1965,0.9932001077,0.7235118607,0.5986712249,0.5261520187,0.5578721393,0.640407537,0.4368118337,0.4808037087,0.3262950092,0.203531496
11/1965,0.9515121513,0.6917373875,0.582070708,0.5116689093,0.563976916,0.6224808285,0.4277710245,0.4668415946,0.3225036701,0.1961028297
