date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,0.1309770711
09/1971,,,,,2.6027031986,,,,,0.1352021379
10/1971,1.9320586434,1.1729004349,0.8453546327,0.835244031,1.0832844663,0.4718394364,0.6530162677,0.6828265387,0.3031775283,0.2135284067
11/1971,1.8279310282,1.2741979714,0.9549709025,0.7837427724,0.6782507119,0.7297425936,0.5178674972,0.2522436025,0.2269674192,0.1995244655
12/1971,1.7136678871,1.4783800805,0.9658920607,0.9491894613,0.5576353581,0.7449858205,0.4282079396,0.2604935895,0.2263461846,0.1917180791
01/1972,1.4554128097,1.2757052765,0.9038274916,0.7500680172,0.5652994389,0.6789524038,0.39026051,0.230069651,0.2086019066,0.204975819
02/1972,1.0346513066,1.2314535448,0.893400719,0.9213204484,0.6804017372,0.6347221645,0.4515239684,0.1844248626,0.2096862614,0.3300864279
03/1972,1.1164971832,1.0238781514,0.9541708292,0.6650518577,0.6278036096,0.5940273326,0.2802468417,0.2308457574,0.2285825157,0.3762649998
04/1972,1.1894716166,1.0824408584,0.8951429466,0.8524256751,0.623054563,0.5690327813,0.2722613624,0.226965542,0.2522808878,0.4327881875
05/1972,0.9555079547,0.9037644462,0.7109597252,0.7838679017,0.4256842684,0.3037714212,0.2968855129,0.6198744796,0.7839705474,0.35712381
06/1972,0.9568613637,0.7093263409,0.6067924085,0.3675021051,0.4584027337,1.0787346931,0.6105951364,0.6516121584,0.3909603434,0.2666348479
07/1972,1.0968110874,0.8783789301,0.4793230984,0.3273227821,1.2253599381,0.9214148559,0.6542969531,0.6039538874,0.338739067,0.2645429093
08/1972,1.0578603013,1.1090018751,0.6764471662,0.4337284404,0.2171396876,0.8558561859,0.6698647489,0.5778591,0.3484890709,0.3268986953
09/1972,1.1547895987,1.0217484518,0.9236967843,0.7301762677,0.4345551207,0.3641774012,0.2443371771,0.3160732958,0.5361359891,0.3337552033
10/1972,1.1188921907,0.9648738116,1.0438125449,0.8454868958,0.6185950615,0.4743334427,0.2894359642,0.2436185973,0.3179009968,0.4066981792
11/1972,1.3520144024,0.8784365954,0.8874039238,0.8262402974,0.6917645134,0.4740947497,0.3222438022,0.2324689005,0.1945089873,0.40466585
12/1972,1.182102337,0.8310105501,0.856496692,0.7879243144,0.6458829115,0.4340161381,0.3069735486,0.2104589671,0.1732232127,0.3598216388
01/1973,1.1508484046,0.848211585,0.8471315403,0.7658357227,0.6483714076,0.4385435551,0.3067629108,0.1948343444,0.1700554267,0.3387916558
02/1973,1.0384492718,1.1464417276,0.8519397689,0.8410061342,0.5776652453,0.4111899274,0.2008758813,0.2246123466,0.4654535581,0.3062204238
03/1973,1.523033868,1.0616823386,0.953122317,0.6922099151,0.5792816775,0.5303213701,0.2164570936,0.3684876135,0.2173346391,0.4185253238
04/1973,1.5050163705,1.2084261123,0.9037270906,0.8075525231,0.5619066042,0.510983041,0.2108709666,0.3527715867,0.2098772599,0.5211895777
05/1973,1.4179897962,0.9467833484,0.9267410552,0.6524779965,0.5072809794,0.2540790805,0.3598711471,1.0778320133,0.7264204308,0.2898079258
06/1973,1.421960372,1.0127515822,0.4736576154,0.3276400937,1.1745597662,0.8850087331,0.7600641623,0.7231312638,0.4425674656,0.2748772091
07/1973,1.555537631,1.0002686991,0.6125547466,0.4452104081,1.2016315154,0.9195411967,0.6850946721,0.7486108838,0.411538656,0.3068871772
08/1973,1.6487787324,1.0441733099,0.8286385073,0.5818815972,0.2651163527,0.7850430598,0.6319850124,0.7587854861,0.5215921018,0.3675252235
09/1973,1.9091776025,1.2280804332,1.0108492004,0.8436021948,0.6702807887,0.5120295387,0.2669105353,0.4116522622,0.5491759115,0.3699281395
10/1973,1.7051579042,1.0877429001,1.0253036041,0.7959733603,0.7213305839,0.5001708993,0.3448522694,0.2626154969,0.4393047298,0.4810664917
11/1973,1.7112420741,1.2033462059,0.869747893,0.8458511877,0.7418168176,0.6655309286,0.4350653961,0.2963534678,0.2840342328,0.4858473719
12/1973,2.1934108027,1.3469620272,1.0991288749,0.9098077084,0.8178570864,0.7017582316,0.6245947848,0.269630554,0.2733853033,0.4938099258
01/1974,2.1815611582,1.2654643035,1.1263374304,0.8786193385,0.7536702592,0.6916593345,0.5981223334,0.2789058633,0.2316539128,0.5015876174
02/1974,1.241882208,1.3435230442,1.1137740508,0.9397451985,0.6294766436,0.7262882721,0.5701466355,0.300559439,0.5245985344,0.4444207898
03/1974,1.5100307635,1.3563008396,1.0955226125,0.9671370378,0.7428630978,0.5732416447,0.5430742102,0.4428600061,0.2623193181,0.5924836168
04/1974,1.5905283172,1.4381874526,1.1477889402,1.042925911,0.7808164714,0.5820686356,0.5816637707,0.4088351275,0.2850726907,0.6523685257
05/1974,1.7148980629,1.4041511789,1.1132272154,0.94848547,0.5896275479,0.5331216268,0.4042250662,0.9274919791,0.8397676595,0.4596585745
06/1974,1.7471795851,1.2635034315,0.8016375147,0.6224223033,0.684401194,1.2459233495,1.1168189208,0.880875237,0.5858785156,0.3725940378
07/1974,1.848588365,1.3973394305,1.1118989537,0.5962453258,1.3683321306,1.3190840609,1.0551547826,0.8302919518,0.620132166,0.4220327599
08/1974,2.0760478988,1.449365961,1.2994267769,0.9737749266,0.5803470674,0.7396234262,1.3491081107,1.1152847571,0.620488706,0.5833512063
09/1974,2.3830932348,2.1229419186,1.3888613356,1.5322274161,0.9852464949,0.8031682695,0.6458719372,0.5534203461,1.3092000237,0.8959573122
10/1974,2.6324094423,2.2509699001,1.5525283805,1.7626502945,1.0081270255,1.006656339,0.9316111572,0.7500711218,0.5674798085,1.3810580355
11/1974,2.018866605,2.1233501593,1.7415712053,1.2406057172,1.0591875856,0.9518176164,0.7025106851,0.666996109,0.5042614463,1.1194943901
12/1974,2.1280699349,2.2432866286,1.5543193669,1.3409919797,1.0882956349,0.9811755389,0.8458703981,0.6049582418,0.4813739136,0.9395344882
01/1975,2.1777417565,2.2250716157,1.609252378,1.3551539319,1.1658378726,0.994625013,0.8564996945,0.6069410671,0.5514604789,0.9758899261
02/1975,2.0258047702,1.509912664,1.1150824909,1.1892006233,1.023785874,0.9238334926,0.5884395681,0.3935930754,1.2912270672,0.6591093839
03/1975,2.1641723529,1.6594348295,1.2608141985,1.1633276366,1.1185978886,0.7414138775,0.5131157068,0.5403999068,0.5124122382,0.7920861147
04/1975,2.2327681999,1.59675663,1.2313537907,0.9455109544,1.0642313082,0.6707448104,0.5507953313,0.5319941823,0.5210289106,0.756491218
05/1975,2.3096112027,1.4089911279,1.3776476182,0.877353058,0.6190518131,0.6843160201,0.4631765053,0.8099291416,0.9738293194,0.4910643263
06/1975,2.2615302893,0.9614219983,1.0710908504,0.7732833303,0.7522739333,1.1455259209,0.8580463368,0.7568338223,0.6109976159,0.2947819285
07/1975,2.2623303465,1.2121278159,1.0943836629,0.6308452297,1.0244401555,0.9931572675,0.799748756,0.8633237323,0.6634287018,0.3382994789
08/1975,2.5197535765,1.3654894375,0.9977693018,0.4906846741,1.0870403858,1.2376626462,1.15891963,0.8946580692,0.5375433506,0.3845089415
09/1975,2.3986771947,1.4083694888,1.0282340831,0.6871220004,0.4892400599,1.5170525547,1.0705325714,1.0990546001,0.6509441375,0.3895091811
10/1975,2.3946157418,1.5149931537,1.0897250257,0.8051217577,0.4515960681,1.5535709886,1.2280585155,1.1114695787,0.6673762767,0.4043651773
11/1975,2.35391381,1.5980382857,0.92360323,0.6708332753,0.5780398875,1.662077213,1.0040870932,1.0960146676,0.7375093437,0.3597278291
12/1975,2.0937300629,1.4598285692,0.8770943925,0.6604492425,0.8815567024,1.1710056871,1.0824829824,0.9134484857,0.5590737164,0.3531612678
01/1976,2.0194794044,1.5072034803,0.8946995901,0.6924224714,0.8589201536,1.2041108786,1.0990407208,0.9639944298,0.5632921369,0.3613419816
02/1976,1.629296469,1.2414164049,0.9530459877,0.5990138813,0.6506510114,1.1212737251,1.0062026775,0.8508722444,0.6076165638,0.3033917578
03/1976,1.5654476194,1.2243501629,0.6949387254,0.4799797733,1.2043939831,1.1403878164,0.9615382576,0.8596718098,0.5182012319,0.3090330834
04/1976,1.6890309477,1.2107157463,0.8132540922,0.5106531815,0.8413160958,1.1265184317,0.9873863916,0.7908615928,0.4953210221,0.3046865096
05/1976,1.7710879899,1.3492725779,0.9725145492,0.5938745661,0.5629672715,0.5734457044,1.2034604642,0.9459620001,0.6064540063,0.369586482
06/1976,1.688187718,0.9106971125,0.6856117018,1.3999209355,1.0964336002,1.123141861,0.811548838,0.635642445,0.4207123065,0.4030030921
07/1976,1.4699611067,0.9310717218,1.2295142513,0.9842169245,1.1878882032,0.9833026776,0.7736826122,0.6530722406,0.4277663939,0.4594445306
08/1976,1.4590740466,0.9353289084,1.2490584253,1.276699187,1.0876780574,0.9402428747,0.67305728,0.6273014739,0.3957621223,0.4920462311
09/1976,1.3823433821,1.0955797013,1.3504736245,1.1670802225,1.0481743612,0.8078181471,0.636367957,0.6137931805,0.4049860706,0.4661639528
10/1976,1.312891428,1.0834829554,1.2976412518,1.1118951795,0.9867430141,0.8020301363,0.625010641,0.5888875451,0.3914540373,0.4494240239
11/1976,1.3656404768,0.8887520001,1.4172618788,1.2929465439,0.9833119294,0.8537741973,0.8493904945,0.5533006376,0.4305991717,0.357798719
12/1976,1.2445789622,1.1475042799,1.6228115368,1.2220197913,0.8676938962,0.9423116777,0.7806420186,0.533267588,0.4243695491,0.3551445982
01/1977,1.1668820562,1.0621631959,1.5359257541,1.1504281177,0.8137817079,0.8675360144,0.754615202,0.497497903,0.3958433492,0.3482970992
02/1977,1.3000014877,1.0479682275,0.8768742546,1.4439423724,0.9578911525,0.9019269465,0.7651482498,0.668997026,0.377981627,0.3623701662
03/1977,1.3380933479,1.0198721142,1.4546897816,1.1712871735,0.9735673291,0.8935386148,0.7478690016,0.5374950346,0.4242078257,0.3977636056
04/1977,1.3285307562,1.0238164184,1.4268297627,1.08634224,1.0303132128,0.8708947909,0.7463118972,0.5248687172,0.4403445084,0.4387409781
05/1977,1.7319214889,0.9383167311,0.8664514888,0.613602114,0.8883375778,1.1968514576,0.9802370173,0.6831483979,0.4214456668,0.4884254248
06/1977,1.505610828,0.9007747788,1.0854631635,1.2146730286,1.0445849489,0.9763081451,0.7579314847,0.6038736253,0.4186796447,0.5522508891
07/1977,1.352043657,1.179693304,1.3669314956,1.1916577419,1.0317827383,0.9550731705,0.7546947453,0.6610819021,0.4589608103,0.5896059943
08/1977,1.0773181025,1.7014380756,1.34326888,1.0962413072,1.0230899481,0.9540246215,0.852278297,0.6503318158,0.4663149236,0.5986772959
09/1977,1.4480659427,1.4976310752,1.3367989208,1.15173541,1.0259008909,0.9106219645,0.786711203,0.6687853554,0.4799725273,0.5570191933
10/1977,1.3439874265,1.5615680176,1.3358364771,1.130283267,1.0161339176,0.9285435885,0.7830656423,0.6908164629,0.4778894032,0.5485705246
11/1977,1.3115252057,1.3380024815,1.4682077189,1.1080734604,1.1569896713,0.9981535838,0.8829581152,0.6978832473,0.5157237242,0.5037172249
12/1977,1.4473440294,1.753369173,1.3191139779,1.0738956795,1.0500588577,0.9424483679,0.8098200698,0.6385752196,0.4653848784,0.4895631447
01/1978,1.4239408334,1.7560549953,1.2799381347,1.0559407992,1.0368747466,0.9333046826,0.7941746743,0.6253896509,0.4561712968,0.4920662196
02/1978,1.4698004066,1.2765707379,1.4469256635,1.2168507258,1.105565987,1.0022196178,0.9339138852,0.8048769784,0.5454174408,0.4049252111
03/1978,1.500861609,1.7879507109,1.3847702403,1.148840761,1.0894134965,1.0638233438,0.8518198858,0.7809713989,0.5904293753,0.4947092094
04/1978,1.5265308609,1.6315981835,1.3402894664,1.1057830324,1.0508897745,1.0006215949,0.8042062654,0.7123885348,0.564799049,0.5109127449
05/1978,1.6467973622,1.1192485404,0.7182747161,0.6156368929,1.5051939132,1.1096041893,0.9898088424,0.8101819305,0.4838792732,0.4985245135
06/1978,1.5774129826,0.7924613858,1.4175210027,1.1750186074,1.0595847944,0.9182970831,0.7900542611,0.614791926,0.4967399378,0.5471611281
07/1978,1.5088593746,1.5606623921,1.3339082858,1.1444629405,1.1932890306,1.034220418,0.8737792906,0.6743885236,0.588862336,0.549944534
08/1978,1.1690203526,1.4746224379,1.2881083548,1.2222047644,1.0599720369,0.9506507833,0.7909526016,0.7269291545,0.5115629182,0.5607584642
09/1978,1.2791465221,1.4764096848,1.2566485608,1.0747315633,1.0070644745,0.8651259298,0.7732524981,0.5045376383,0.5436382133,0.5246855488
10/1978,1.2445027409,1.4653378574,1.2273116453,1.1697069867,0.9926285762,0.8666900315,0.7708106829,0.5217105206,0.5712755661,0.5204240368
11/1978,1.1875958329,1.2431458484,1.519347736,1.2328967114,1.2501846962,1.1208826362,0.8840798758,0.7173784606,0.5424662951,0.4809492045
12/1978,1.4272399888,1.7274819826,1.394112174,1.1799327433,1.1641976173,0.9947941891,0.8263216305,0.6712676187,0.517786958,0.4509702842
01/1979,1.553240588,1.688267838,1.2993842682,1.1194733914,1.1422448745,0.987936193,0.7892972858,0.6390054353,0.4934437193,0.4327616942
02/1979,1.4015424266,1.1129963912,1.4188466865,1.1990171295,1.2351514265,0.9208999964,0.9347642416,0.6886299235,0.5441842853,0.3444382829
03/1979,1.2746185804,1.6158583703,1.3190549154,1.3157060704,1.1325804414,0.9456342779,0.8739584697,0.6451682809,0.6820615389,0.3992329784
04/1979,1.2575857915,1.4756053863,1.2626323225,1.2224575186,1.0683114887,0.8822334056,0.7974449027,0.6205912706,0.6355047496,0.4057729266
05/1979,1.3256396457,1.1431650348,0.7132875411,0.8554090572,1.3231677375,1.2368599481,0.9860276623,0.8367538703,0.4935974028,0.5584557454
06/1979,1.1335484766,1.0613134936,1.4330656614,1.2951522565,1.0564885559,0.960475931,0.874282892,0.6048125941,0.6690774196,0.5705679779
07/1979,1.2558881337,1.6172991839,1.2134921057,1.3675759887,1.1393759604,0.970456584,0.9057742568,0.6430662441,0.7697450104,0.6147961889
08/1979,1.1652277858,1.4100532141,1.3651564953,1.2777331099,1.0863624206,0.9942093732,0.7277086029,0.7793430163,0.6830905599,0.4831030225
09/1979,1.2873387609,1.3554387562,1.3978971621,1.1584572304,1.0883724883,0.9251044679,0.6237224231,0.748137469,0.6304642528,0.4384694258
10/1979,1.1820501214,1.396082628,1.4491145573,1.13406897,1.1191595666,0.9225477556,0.6359689852,0.7524593349,0.6333821397,0.4354699316
