date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1.4500988133,1.1787209834,0.8681745718,0.6453901073,0.6470272593,0.5125102277,0.4304476453,0.5388894537,0.301534211,0.2381887976
08/1963,1.4788667662,1.2120440882,0.8684413926,0.6495326425,0.6367038896,0.5080294652,0.4304582949,0.5472827576,0.3012637976,0.2380394972
09/1963,1.3816182391,1.1272198497,0.8244099659,0.6217694867,0.610707199,0.4892213296,0.4112205467,0.5226650154,0.2904746667,0.2265342669
10/1963,1.4553233137,1.1254844043,0.8219213768,0.6151020847,0.6174680362,0.5055592514,0.4161844773,0.5374628207,0.2999506881,0.2281433607
11/1963,1.4155705156,1.1043622145,0.8132280324,0.5992138172,0.6076073105,0.4966945848,0.4109122764,0.5361457602,0.2929994615,0.2121271027
12/1963,1.3941555098,1.12757156,0.8205574642,0.5898884309,0.6178084937,0.5014117531,0.4188807941,0.5392016054,0.2984224724,0.2234438089
01/1964,1.3649914574,1.1281247802,0.7858834865,0.5794936101,0.6011400395,0.4775608447,0.4068015794,0.5326407377,0.2829430736,0.2492077993
02/1964,1.3220334526,1.0935515309,0.7735333405,0.5661031756,0.5878832914,0.4619143688,0.3929910622,0.5277761744,0.2794505296,0.2412913075
03/1964,1.2500542453,1.06261587,0.7704288807,0.5541214556,0.5717662136,0.4593359981,0.3917588412,0.5157103415,0.2777618719,0.2352950588
04/1964,1.1996830694,0.9989077164,0.7404056931,0.5542960248,0.5548186535,0.4536277144,0.3867948991,0.5132174496,0.2733168636,0.2341547093
05/1964,1.2257694937,1.0465815576,0.7344698345,0.5447901299,0.556971003,0.4471539725,0.3810096372,0.5120086774,0.2757168167,0.2340430712
06/1964,1.1860003533,1.0329785749,0.7243647881,0.5462109691,0.5476809613,0.4414460153,0.3789370441,0.5094168162,0.2768560701,0.2308622232
07/1964,1.3821931889,0.93875574,0.8624610671,0.5410276763,0.5525365066,0.5038824773,0.4306148447,0.4286402621,0.3017607892,0.2450373674
08/1964,1.3861994811,0.9142835787,0.8519536755,0.5451163008,0.5366014374,0.4908608888,0.4206777098,0.420252584,0.2926782998,0.2346962762
09/1964,1.4284179396,0.9266324504,0.8602188528,0.5558950949,0.5385269169,0.5036051063,0.4238849695,0.4304680964,0.2960907756,0.2121905052
10/1964,1.380768909,0.8798990369,0.8247274186,0.5538316783,0.5176268362,0.4890484592,0.4148453412,0.4149417162,0.2862475032,0.2072571285
11/1964,1.328663737,0.8715451624,0.8203222664,0.5527499425,0.517117456,0.4792108616,0.4099304829,0.409387995,0.2828326914,0.2077931934
12/1964,1.374911577,0.8969870634,0.8328934596,0.5652136752,0.5107603476,0.4785247115,0.399714371,0.4097467907,0.2766956398,0.2162493564
01/1965,1.4076313648,0.899975815,0.8472430009,0.5427146956,0.5041407876,0.4761469599,0.3929726143,0.4000514227,0.2748903967,0.2126861981
02/1965,1.3107655906,0.8394329333,0.8166731497,0.5378941861,0.4854529871,0.4686566961,0.3809964732,0.3882075842,0.2651782331,0.2027006125
03/1965,1.2725522037,0.806987134,0.8172803946,0.5377879812,0.4770819899,0.4781093073,0.3757815311,0.3936826681,0.2665142063,0.226570322
04/1965,1.2951996266,0.8066556355,0.8230985644,0.5452325209,0.4793831268,0.4869119652,0.3838462625,0.3977793338,0.2716856368,0.2287031328
05/1965,1.2481362243,0.7631882491,0.7985975924,0.5313426875,0.4682645661,0.4815852616,0.3691740743,0.3856715019,0.2601674875,0.2189956713
