date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,0.1309770711
09/1971,,,,0.1352021379,,,,,,2.6027031986
10/1971,1.1471694913,0.5562392935,0.6470794548,0.6476204328,0.8659932745,0.5434057914,0.4730772516,1.0874962596,0.4331916261,1.0067105252
11/1971,1.7668322265,0.3092999845,0.3341058438,0.4621977849,0.4579625623,0.6872113511,0.730135902,0.8842924803,0.9062440061,0.862626451
12/1971,1.6657882676,0.4166749609,0.2846347593,0.4082711291,0.438653845,0.6148790428,0.7274834647,0.9032460643,0.7769892985,0.9443078127
01/1972,1.4021869018,0.3053860433,0.3024048338,0.3705300393,0.4263922453,0.6143704793,0.618774208,0.8387233928,0.7225565774,0.8343289693
02/1972,0.9771087395,0.2582585186,0.2238112663,0.3351758446,0.5959777217,0.5953862995,0.7122557682,0.9063454474,0.7178451793,0.9944264415
03/1972,0.7168370026,0.1873239139,0.3679707598,0.3920508126,0.5028029661,0.6434895528,0.7117187337,0.6642412166,0.8332353173,0.8996767635
04/1972,0.9953491779,0.3154714294,0.2152620467,0.3825558417,0.3689026595,0.6511669581,0.719630681,0.6839891971,0.8329806361,0.7450369716
05/1972,0.6831219183,0.2307652261,0.1874957772,0.4086400178,0.3456402098,0.568227948,0.6800949248,0.7148020888,0.8343194863,0.7409252953
06/1972,0.6152181346,0.2177967565,0.1775796706,0.3685670119,0.4210306826,0.5829530011,0.7207981908,0.670551175,0.9639640094,0.7194395582
07/1972,0.7037564058,0.2105788029,0.2056010473,0.365438361,0.473008625,0.6298031065,0.8428384803,0.7578188243,0.9332172387,0.7985730797
08/1972,0.4904771187,0.1811127072,0.3216165351,0.446098448,0.4376951736,0.6659688031,0.7933292436,0.8015073055,1.1144999728,0.8525997021
09/1972,0.4561837762,0.1907688596,0.2950287852,0.4091515355,0.4624217728,0.7138382098,0.7990832185,0.8158069393,0.8656954482,1.1889153457
10/1972,0.2954221602,0.2053408084,0.283117677,0.4607236549,0.4249332821,0.7244170912,0.7902179183,0.8700735893,0.8546395487,1.2210278081
11/1972,0.4874438262,0.2348667696,0.3039479729,0.3757300413,0.5777286087,0.8904195293,0.7239272485,0.8375192722,0.8866580879,1.0537972245
12/1972,0.5169858261,0.2104387377,0.2798178597,0.367312205,0.5571969489,0.7317177831,0.730452982,0.8193540872,0.8526996625,0.9639500101
01/1973,0.3800311468,0.2150792393,0.2873563088,0.3710866952,0.5688295784,0.7309962247,0.751727459,0.8694041081,0.6480943077,1.0044865479
02/1973,0.6543750109,0.168208152,0.2541249441,0.4721593632,0.6489015373,0.6150355272,0.8520668248,0.7240284736,0.8786924614,0.8356967733
03/1973,0.4171901566,0.1804528166,0.3603344346,0.4735943647,0.6560076393,0.7629553944,0.838279696,0.6933238221,1.0523733152,0.9773958335
04/1973,0.3144633038,0.1731738476,0.3273140072,0.4132221448,0.6982892276,0.7726096729,0.8191580299,0.6933117346,1.0425467524,1.326406263
05/1973,0.2466299943,0.200401896,0.3548835027,0.4173907941,0.6723376929,0.7678015103,0.7788684423,0.9916014512,0.8620192119,1.2475332807
06/1973,0.2585583038,0.2074881248,0.3735326114,0.5150067411,0.729829938,0.7650394439,0.8194585511,1.1183232014,0.8780876804,1.3416441607
07/1973,0.2705306461,0.2320716647,0.4436836924,0.6118677566,0.7643521447,0.801166294,1.0391077886,1.2579380261,0.89576603,1.5328701019
08/1973,0.2162121002,0.273825388,0.4329108642,0.6301619903,0.8737425831,0.8978650551,0.886654398,0.8797275665,1.3972484491,1.5586920291
09/1973,0.2096444871,0.3011465134,0.5116313014,0.7216796684,0.9515882234,0.8719783369,1.1430259954,0.9053756169,1.4258842513,1.618950227
10/1973,0.2202397027,0.3024424976,0.44728565,0.7934209152,0.776153879,0.825470448,0.8543365747,1.058959448,1.2268829579,1.4880172741
11/1973,0.29746587,0.2268688227,0.4502375731,0.6313674825,0.8778679701,0.7551323442,0.9359546449,1.0122961095,1.2141592083,1.3957928072
12/1973,0.2962337228,0.2500492456,0.5034090492,0.7903548736,0.9149770535,0.9890624252,1.114588991,1.199475963,1.5308956692,1.532777807
01/1974,0.3108057314,0.2439589895,0.5133148445,0.6982826664,0.8007165468,1.0159539369,0.8503980466,1.1778857293,1.4493680786,1.590385398
