date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.8117281738,0.5618546927,0.6658220856,0.5127001724,0.4456213042,0.5097925974,0.4661178971,0.479538272,0.4701454153,0.4603776421
08/1963,0.4455096864,0.7048158676,0.6475036395,0.5332291533,0.6009995031,0.3874540308,0.5459212631,0.4697862563,0.5071023189,0.4650235102
09/1963,0.7159740139,0.4941430149,0.7052647477,0.5020203644,0.4099583492,0.6607535843,0.4630045953,0.4347340486,0.4690195581,0.4397455407
10/1963,0.9347203663,0.7789870955,0.6049530917,0.7680913055,0.4586138255,0.5266242605,0.4248922978,0.3591606018,0.4858684694,0.4309317178
11/1963,0.7233863034,0.6146458836,0.4037258734,0.501234242,0.6851709065,0.5002402205,0.3325861792,0.4197583903,0.3356751561,0.388553097
12/1963,0.8143724611,0.5140299616,0.5898809716,0.482441701,0.4785090702,0.5453443785,0.4273589028,0.5180675233,0.3908799672,0.5165331003
01/1964,0.3457955984,0.4980150753,0.374331508,0.5471186513,0.4641769268,0.7106568506,0.6265592245,0.7195009059,1.0714508836,0.9016114174
02/1964,0.461201123,0.5035647652,0.5093073561,0.6128001674,0.4824029267,0.5426752861,0.470329952,0.3883471344,0.4366028298,0.3964288084
03/1964,0.7293342393,0.6637243452,0.6110175458,0.7054947599,0.5191980174,0.4039045695,0.3768100476,0.4138571327,0.4410780407,0.3974795741
04/1964,0.6756196925,0.765678838,0.434667396,0.5653723311,0.3643770776,0.4519137949,0.4485394465,0.4354936054,0.4540707825,0.3499503012
05/1964,0.6025297437,0.4307680019,0.4627303629,0.4265995344,0.4688305131,0.4672390872,0.3856554234,0.4569550144,0.4968133508,0.3923624615
06/1964,0.5358789318,0.5604723897,0.5999918921,0.4926855461,0.3671126814,0.4238165453,0.5948261257,0.3992542781,0.3489233822,0.4789766832
07/1964,0.7069512945,0.5697789145,0.4629904842,0.5286256628,0.5151199105,0.4441445861,0.5083046849,0.4396172897,0.3838624177,0.4157593098
08/1964,0.5664197387,0.7026722928,0.5205491231,0.5008871038,0.5038609074,0.4049441839,0.439076641,0.4116629365,0.4785153303,0.3895555718
09/1964,0.7142920626,0.4381783799,0.4732736519,0.6386724114,0.4980852192,0.4234489786,0.4449886717,0.4111330883,0.4056842352,0.480340818
10/1964,0.7112100759,0.7614139215,0.6326148593,0.4956601355,0.7042313677,0.4672309876,0.4642685012,0.4352842549,0.2757784444,0.3754629333
11/1964,0.6714026037,0.3892462452,0.5048987327,0.5105706376,0.4530225564,0.4653197576,0.3341776121,0.3785654943,0.3748477955,0.4887109649
12/1964,0.6261664894,0.5130235328,0.496108534,0.5521315257,0.5316047369,0.3345126275,0.3208077545,0.3387956537,0.5165508138,0.4864265373
01/1965,0.3522457328,0.400582663,0.414285118,0.4112651573,0.4260029239,0.4354346187,0.4932958836,0.7337058735,0.6771626983,0.7489593493
02/1965,0.3470610329,0.3586990388,0.5112587909,0.6001483412,0.3584285508,0.4361196913,0.432081723,0.3695719645,0.3634659699,0.43049028
03/1965,0.6944998556,0.554613183,0.4683372384,0.5288166241,0.4899177025,0.3797446031,0.3201564755,0.4868982705,0.4068632835,0.4259318561
04/1965,0.6855229798,0.5088349179,0.3875291432,0.4459462855,0.4370139726,0.3978423129,0.3649498808,0.4962637868,0.5006747254,0.4856395078
05/1965,0.5595067698,0.4299926432,0.4753682564,0.5504800021,0.4328707472,0.4200852899,0.3046657207,0.525140097,0.3404867031,0.4445252095
06/1965,0.5269373196,0.5974970647,0.4849773026,0.6255792196,0.3196727052,0.3971438849,0.3926244266,0.4356472596,0.4022656912,0.4875237391
07/1965,0.6947013739,0.5213158666,0.6773434187,0.4778113275,0.4080229202,0.6030295897,0.4412858714,0.4943677715,0.4236010279,0.4188075561
08/1965,0.6015478375,0.5875663611,0.5893100152,0.3960944914,0.4924419514,0.4464843177,0.4444320868,0.4436522102,0.3659553691,0.457810536
09/1965,0.5190492316,0.5038563513,0.4492116898,0.4927319748,0.6183876218,0.417814801,0.4829646457,0.4120617632,0.3581826462,0.569202582
10/1965,0.64480722,0.6714575116,0.5202409279,0.6674992519,0.5201045171,0.4556899814,0.462629583,0.3796658375,0.3850283627,0.3858572182
11/1965,0.6797335249,0.3548755364,0.6498533657,0.552569861,0.4054903232,0.3851658842,0.3572990867,0.4501915327,0.3420171801,0.4238837429
12/1965,0.6248808426,0.5021805884,0.655078891,0.4924332965,0.4651392715,0.4494453081,0.3213055597,0.3158604203,0.4463682603,0.4918724086
01/1966,0.3864852648,0.4342206465,0.5102225178,0.5396333123,0.3524239687,0.421648595,0.341372788,0.3740831978,0.6710052036,0.5509313327
02/1966,0.3270493061,0.3926913568,0.5760273013,0.4822995493,0.3533959578,0.396469089,0.5071698156,0.4788937845,0.4472308093,0.3512042432
03/1966,0.5488388911,0.3607790775,0.5316998341,0.5634069044,0.4738933126,0.4451127002,0.3039286856,0.4794828756,0.4231716882,0.4731260559
04/1966,0.5004127893,0.5314974876,0.4627788781,0.333055095,0.3126900777,0.5435807818,0.5777425289,0.4285080154,0.4622647335,0.5776986404
05/1966,0.3832479648,0.4830175745,0.6129928922,0.5347760808,0.3660714853,0.4974269142,0.3930856811,0.4071925151,0.5262924682,0.4328957968
06/1966,0.4691673395,0.6029213701,0.3732307237,0.3779262472,0.6004265757,0.3631273593,0.4815045864,0.5739640207,0.4574128608,0.6121681191
07/1966,0.618319041,0.6225136287,0.4772328327,0.574702112,0.6534358112,0.4894039281,0.4678071653,0.417629236,0.4210358241,0.4117552949
08/1966,0.7199133486,0.6657830406,0.6694769309,0.5312167699,0.4249752947,0.4237862377,0.5143308827,0.5158697312,0.4948509808,0.4478241851
09/1966,0.6097229347,0.6029311943,0.5746143565,0.6990848465,0.7058693747,0.4321929149,0.5749141915,0.4121836415,0.5031638702,0.5560727328
10/1966,0.545612833,0.6422689541,0.7048535054,0.6556502488,0.6893946143,0.5918423652,0.6847285735,0.4478492429,0.3724928535,0.4491502223
11/1966,0.5677041124,0.7611402167,0.4704179921,0.6513129219,0.410116101,0.4929705089,0.6338628113,0.4773714443,0.427626639,0.4346751966
