date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,0.4860618823,0.3031671955,0.4236133277,0.4116898373,0.2969544597,0.524909891,0.2555641123,0.3707162516,0.2547111223,0.4513378717
02/1973,0.513750401,0.2198907922,0.5092357431,0.3982536922,0.4368054119,0.5559544209,0.5262913909,0.693715209,0.3096948185,0.5336752357
03/1973,0.5444052808,0.2896912265,0.5431751452,0.4902461708,0.385784551,0.3102623375,0.5427685766,0.7475359572,0.7903330501,0.3378677793
04/1973,0.4913200286,0.2932082065,0.4604031363,0.3225438706,0.4701414102,0.3051174652,0.4092480322,0.5754207459,0.4196168459,0.4812913172
05/1973,0.6334155714,0.2263288355,0.5769918825,0.3620336853,0.3750396408,0.3969960235,0.3986047835,0.7475858294,0.4112037862,0.4535312896
06/1973,0.6458908225,0.2092235617,0.4163029616,0.3211289562,0.4793831734,0.3445055677,0.5584952121,0.5286460367,0.2548934706,0.5894106236
07/1973,0.7100904637,0.2930847383,0.3049695326,0.4988829406,0.3363556882,0.3956345978,0.4368527622,0.7012017794,0.2624285933,0.6389677984
08/1973,0.639995038,0.3106613379,0.278841421,0.4210294161,0.2928836107,0.3075784578,0.4789584845,0.4686286491,0.355031704,0.7460378782
09/1973,0.6336080448,0.2652073467,0.3084467421,0.5076754537,0.5746000161,0.2318565173,0.2829542724,0.6273645775,0.2915638011,0.6771649215
10/1973,0.5477809568,0.2771071107,0.2498843333,0.3885035835,0.236909747,0.4744471261,0.4050896723,0.5760520764,0.3337776596,0.6506853447
11/1973,0.5166105209,0.3019680358,0.278715268,0.3019252255,0.5071528639,0.3437530818,0.3619420777,0.4686538432,0.3173433314,0.7340826273
12/1973,0.3339104214,0.4077616819,0.2570024554,0.5189411292,0.3765706193,0.4507895715,0.4612901752,0.3113177321,0.3927144598,0.8068386636
01/1974,0.6065295428,0.2984209176,0.278281485,0.3906526963,0.4203202389,0.234947476,0.4122475941,0.4379793703,0.3082494511,0.736684936
02/1974,0.3621706088,0.3116464531,0.4480388872,0.3535851476,0.4827867562,0.6808573298,0.6781432682,0.4333884803,0.6807075626,1.014350852
03/1974,0.3439795264,0.3326711314,0.4209075524,0.3982377967,0.6136430704,0.6246422296,0.4978466101,0.4073732477,0.7171068944,0.9901554507
04/1974,0.3521183423,0.3261012555,0.3872223419,0.5072024995,0.429049209,0.5070398542,0.4988324155,0.6050900324,0.7350475128,1.0004520592
05/1974,0.3722327795,0.3495406002,0.3937095622,0.5056280591,0.5650548001,0.4909352166,0.6106496702,0.5775904275,0.695229882,0.9652176202
06/1974,0.4810000672,0.5315399586,0.4146148962,0.3427101272,0.4571812312,0.4961904303,0.796020096,0.8293742818,0.9953368277,1.1424039884
07/1974,0.3783028448,0.5194509974,0.472293068,0.3733946108,0.6613905581,0.5077492563,0.796140683,0.5163923144,0.9468166,1.1730253415
08/1974,0.4523913898,0.5226390867,0.45101557,0.407549292,0.8309035692,0.5510777333,0.5688853144,1.1079936273,0.9914284751,1.286925779
09/1974,0.610860224,0.7793690745,0.6267226341,0.6278429132,0.4947274856,1.1101731585,1.0597547646,0.6552428446,1.221887902,1.4099010912
10/1974,0.6112793476,0.601844858,0.6306899457,0.6217680943,0.7233961437,0.6236022884,1.2078799264,1.031051845,1.2832945289,1.3653598879
11/1974,0.5178009881,0.5073717097,0.6537629496,0.5343441304,0.454280015,0.8969920063,0.9902731646,1.1121071302,1.2492103101,1.4151752158
12/1974,0.4796493075,0.5353612447,0.666185351,0.4798267787,0.6760041736,0.6025143844,0.815347053,0.9760934422,1.3002851926,1.5629072112
01/1975,0.7429129481,0.537013716,0.6352251194,0.6902551506,0.6458260822,0.5349990427,0.7775768269,1.1929175814,1.1923480453,1.5476149547
02/1975,0.5881067707,0.5845384325,0.4396050896,0.4544742514,0.684872937,0.760595687,0.8481663302,1.0632668487,1.1843720837,1.1667496207
