date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4021722012,0.4649893359,0.404036929,0.3333573696,0.5151047981,0.6198416497,0.8438246585,1.0308740043,0.7396145537,1.1701392836
08/1963,0.3990666679,0.4654296803,0.4029891083,0.3334199618,0.5141877583,0.6273183909,0.8560475956,1.0422525668,0.7353920813,1.183183488
09/1963,0.383060569,0.4508603615,0.3849102855,0.3206217589,0.483036241,0.5860344071,0.808199464,0.9804518343,0.6990091835,1.1228211581
10/1963,0.3958567288,0.4525502199,0.3917675735,0.3245741201,0.4836633709,0.5906759549,0.8351469103,0.9859463076,0.7143277591,1.1368603244
11/1963,0.3997421465,0.4436074716,0.3648828792,0.3073282727,0.4815596141,0.5809615744,0.8247645425,0.9482877709,0.7046453468,1.1288060809
12/1963,0.404251245,0.4438242455,0.3780646988,0.3142877017,0.4897258752,0.5919909625,0.8401426418,0.9763207878,0.7135814499,1.132088586
01/1964,0.3938861158,0.4328324559,0.3698514086,0.4012016798,0.4829731347,0.585139234,0.7993904451,0.9505025408,0.6966827494,1.117167669
02/1964,0.3874794111,0.4209853111,0.3519104475,0.3926300068,0.4764309383,0.5822921062,0.7919171773,0.947881209,0.7014180096,1.0972799474
03/1964,0.3833838142,0.4148448344,0.350879337,0.3895302,0.4585704977,0.5695594348,0.7620901859,0.9063520035,0.6896559527,1.0462162338
04/1964,0.3885960976,0.4147523668,0.3431120035,0.3788688901,0.4478766201,0.5533241388,0.7491591948,0.8886775227,0.6561951291,1.0205448054
05/1964,0.3859123972,0.409145529,0.3421497774,0.3868459344,0.4513555941,0.5602833507,0.7531335505,0.8620717175,0.6625228869,0.9981111283
06/1964,0.3852261965,0.4105744887,0.3387977327,0.3915442302,0.4389715646,0.5569954925,0.7374225131,0.8228183196,0.6501790161,1.0003549395
07/1964,0.380366279,0.4566203965,0.3632932592,0.3845067018,0.5353570032,0.5294537982,0.7917911652,0.7561061673,0.931795596,0.9524328117
08/1964,0.3600690707,0.4570148712,0.3516355002,0.3750341183,0.5208781888,0.5192326628,0.7749994345,0.7529503083,0.9175408706,0.927289584
