date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.1995134296,0.333889759,0.4157413164,0.5279883749,0.5767065005,0.719791975,0.8527754658,0.9856817158,1.1883157743,1.6991540485
08/1963,0.2029400064,0.3364827481,0.4294845295,0.5341447492,0.601306064,0.7181359606,0.8634918161,1.028093552,1.23873696,1.7545683261
09/1963,0.1933239715,0.3202273228,0.4037412377,0.5130034251,0.5674770105,0.6823659377,0.8245168323,0.9956504235,1.1489639352,1.6560665871
10/1963,0.1948738735,0.326120555,0.4186044784,0.5084139827,0.5701481797,0.694569699,0.8386498661,1.0133557958,1.2241800818,1.8922855456
11/1963,0.2016558463,0.3303162043,0.4088748001,0.5021531136,0.5775009514,0.6935768313,0.79384699,0.9778101192,1.1566314289,1.7075146967
12/1963,0.2113011567,0.3376759168,0.415455301,0.4987191929,0.593468753,0.7105876458,0.8059389097,0.9832978964,1.1854201741,1.7241009108
01/1964,0.2235127723,0.3336432606,0.4135232456,0.4848429193,0.5764172698,0.6880793268,0.8029053472,1.0107240921,1.2549441931,1.8926900608
02/1964,0.1976958883,0.3033323239,0.4022764457,0.4660446623,0.5662309673,0.6626995824,0.7853487224,0.948117011,1.1989130313,1.8705719837
03/1964,0.1925549973,0.2996449563,0.39051947,0.4580450899,0.5576353489,0.6569236798,0.7730313902,0.9281235792,1.13979069,1.7992371211
04/1964,0.1922662894,0.2915705217,0.3759094251,0.4557906672,0.5473939647,0.6262015373,0.7505435253,0.8970529619,1.1232877477,1.781863728
05/1964,0.1992917526,0.2957490752,0.3879217481,0.452046763,0.5475874556,0.6427710399,0.7647809857,0.9248972168,1.1057465561,1.7764976878
06/1964,0.2109077647,0.3095447625,0.3849016761,0.4510387902,0.5427836944,0.6409580332,0.7513883487,0.915285017,1.1679177988,1.7627080489
07/1964,0.224950021,0.3202819466,0.3901455723,0.4719533058,0.5676084724,0.6519188623,0.7703076126,0.9237178085,1.1457715063,1.6162102091
08/1964,0.2165092345,0.3182263783,0.3872085601,0.4694501378,0.5547022373,0.6430996943,0.7508623666,0.8972391006,1.1122922804,1.6121614548
09/1964,0.2018489753,0.3228665363,0.3889703358,0.4817701591,0.5577410215,0.638571242,0.7713115659,0.910991843,1.1402007378,1.6562554736
10/1964,0.1971983718,0.3161955233,0.3836082833,0.4756759274,0.5487910103,0.6312316568,0.7490277009,0.8754400427,1.0815952456,1.5464940616
11/1964,0.1956968218,0.3040893902,0.3715913388,0.4594329887,0.5065473092,0.6070966893,0.7353581969,0.8579404699,1.0445620812,1.5038379513
12/1964,0.2005405847,0.2997209569,0.3727031212,0.4592854737,0.520512165,0.6118579765,0.7308204836,0.8492165819,1.0820863987,1.5682587834
01/1965,0.1961187722,0.3014015606,0.3731635134,0.4620078299,0.5158747782,0.6108004144,0.7284833143,0.8708986159,1.1021223249,1.6011568682
02/1965,0.1856012155,0.2819217212,0.3449678394,0.4248375372,0.4888663456,0.5863085187,0.703726728,0.83346379,1.0389258704,1.5119704782
03/1965,0.1809841595,0.258974236,0.341935444,0.4158148796,0.492188151,0.5839909742,0.680408654,0.8100210197,1.0267908473,1.5173451446
04/1965,0.1992204846,0.2761326643,0.3458644299,0.4153600225,0.5033288138,0.5759465131,0.6737455323,0.8073353893,1.0131879145,1.4913160031
05/1965,0.1887318572,0.2695934055,0.3425087832,0.4049342435,0.4823589067,0.5434801224,0.650813124,0.7861963809,0.9849012951,1.4216285208
06/1965,0.177169422,0.2550655681,0.3410797426,0.4008811405,0.4752982835,0.5459124488,0.6583970695,0.7877464424,1.0025251072,1.4709276463
07/1965,0.2045836577,0.3291033358,0.3929175689,0.4681850971,0.5485457445,0.6432725072,0.7760326184,0.9079406907,1.1153734312,1.6573473363
08/1965,0.2003233707,0.3130520779,0.3838336893,0.456034257,0.5448476846,0.6237267149,0.7423205849,0.8815887711,1.0762356849,1.5946928173
09/1965,0.1771163085,0.286917118,0.3762067724,0.4479806625,0.5440304365,0.6135732356,0.7239017812,0.8410390121,1.0791673603,1.6101071732
10/1965,0.1851479638,0.2927736797,0.363592359,0.4338641913,0.5110394865,0.573460239,0.7003764234,0.80797746,1.0526122691,1.5192871484
11/1965,0.1788625835,0.2815412016,0.351407234,0.419860706,0.4964075847,0.5697844587,0.6642268446,0.7720524584,0.955920584,1.3701857125
12/1965,0.152371545,0.2586272727,0.3476453021,0.4091877936,0.4914745134,0.5850752308,0.6564007875,0.7691082285,0.9675278218,1.4217790442
01/1966,0.1558724708,0.2492010732,0.3355927752,0.4028683498,0.4693236841,0.530828906,0.6183530063,0.7330117963,0.8969305771,1.3490456203
02/1966,0.1542427081,0.2519460406,0.3297877339,0.3931937442,0.4593752358,0.5220012578,0.6180259651,0.7056766448,0.8636142985,1.3235712705
03/1966,0.152810322,0.2531127074,0.3281871523,0.38743911,0.4620201316,0.5331741777,0.6147469108,0.7196555211,0.8857059559,1.3426177383
04/1966,0.1543412859,0.2595014311,0.3342610809,0.4020039542,0.4712373965,0.5496148194,0.6453164672,0.7252202864,0.8859054183,1.3809082448
05/1966,0.1435897207,0.2515324694,0.326010557,0.3890707503,0.4626999614,0.5350178888,0.636449407,0.7327385387,0.900506014,1.4290247748
06/1966,0.1486246581,0.2673230558,0.344709637,0.4232170915,0.5090695558,0.5759127916,0.6752293391,0.7788327883,0.9624277546,1.5144659339
07/1966,0.1622391162,0.2996709383,0.3760987906,0.4670205899,0.5468095584,0.6301980409,0.7222074126,0.8270121186,1.0157784186,1.6106435405
08/1966,0.1630095318,0.3116665976,0.3970359517,0.4721652358,0.5616986659,0.6344984174,0.7295318616,0.8168730023,1.0177725569,1.635525747
09/1966,0.1686020631,0.3414947299,0.4406278642,0.5214468781,0.6348732264,0.7096443536,0.7751351286,0.9145717147,1.1356960324,1.7897299036
10/1966,0.1603909875,0.3317042909,0.4455867612,0.5297294801,0.644526881,0.7348352615,0.8117165221,0.934937468,1.1532974446,1.8499422136
11/1966,0.1688865138,0.3181573258,0.4101854731,0.5188891675,0.6056250086,0.692985479,0.7830572745,0.9220594995,1.1465147342,1.8173987052
12/1966,0.1581405223,0.3114621653,0.4157736118,0.4998975125,0.5943650909,0.6970407925,0.7831023192,0.9210504203,1.1938346462,1.8989783049
01/1967,0.1449068831,0.2984281368,0.403242637,0.4847991076,0.5741327348,0.6786193598,0.7635636691,0.8943414886,1.1893166342,1.8674662484
02/1967,0.1346181294,0.268028821,0.3594240326,0.4308106782,0.5202296395,0.5925342322,0.6706177214,0.7879060348,1.0375614242,1.5987976184
03/1967,0.134761117,0.2695841786,0.3593530967,0.4296965838,0.5200597632,0.6007951169,0.6774612167,0.7890111842,1.055351092,1.6075547949
04/1967,0.1273372435,0.253999959,0.3441081956,0.413418956,0.4976334509,0.5743409196,0.6476422749,0.7539316148,0.9948493926,1.5064700458
05/1967,0.140399866,0.2430303376,0.3234691816,0.406749046,0.4797836139,0.5647900036,0.6468033606,0.7501369332,0.9828209002,1.4762267241
06/1967,0.1207683144,0.2465771805,0.3347534254,0.4156453561,0.5006564502,0.5739008924,0.6757310451,0.769509515,1.0066255476,1.5782427937
07/1967,0.1340256545,0.271329141,0.3665658174,0.4311178177,0.5015938773,0.5934152736,0.6971365086,0.7847420351,0.975127407,1.4967883216
08/1967,0.1330098573,0.2454768825,0.3381511198,0.4175508686,0.4741949678,0.5747883336,0.6588621608,0.7617835514,0.9028222611,1.4033486507
09/1967,0.1345287356,0.251267436,0.345050163,0.4148969088,0.4851498255,0.583507252,0.6635905536,0.761447454,0.9153538994,1.3932241098
10/1967,0.1270089929,0.2422900491,0.3308203485,0.4054703484,0.4672854456,0.5590784024,0.6417231295,0.7515482746,0.8701055875,1.3340169174
11/1967,0.1241549476,0.2523890246,0.3457013031,0.4162258468,0.4936344937,0.5795654265,0.6602649412,0.7823909594,0.9178729963,1.4309837968
12/1967,0.1347625707,0.2428218815,0.344305401,0.4207555515,0.4899520728,0.5760559259,0.6795180853,0.7949665254,0.9481326451,1.4708412825
01/1968,0.1257866161,0.2299607039,0.2998851386,0.3829108345,0.4584851619,0.5451214289,0.6453343207,0.7753155244,0.8880486682,1.3918694734
02/1968,0.1195383205,0.2335231115,0.3038854784,0.3941473242,0.4698970599,0.5566311864,0.635866902,0.7582386612,0.8729852413,1.3911470053
03/1968,0.1239331634,0.2519907577,0.3262737224,0.4142733483,0.4930901147,0.5836558181,0.6551801767,0.7842710979,0.927039716,1.4603727314
04/1968,0.1323129598,0.2408834728,0.3224602364,0.4213210553,0.494946558,0.6007612837,0.6854318639,0.8000775355,0.9304583919,1.4764958173
