date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,930,,,,,,,,113,930
08/1963,927,,,,,,,,118,930
09/1963,924,,,,,,,6,118,926
10/1963,924,,,,,,,9,115,926
11/1963,919,,,,,,,11,122,922
12/1963,915,,,,,,,16,117,932
01/1964,912,,,,,,,22,119,917
02/1964,911,,,,,,,24,117,933
03/1964,912,,,,,,,28,118,929
04/1964,910,,,,,,,34,119,930
05/1964,909,,,,,,,41,119,938
06/1964,906,,,,,,,49,117,937
07/1964,904,,,,,,,53,848,208
08/1964,902,,,,,,,52,845,223
09/1964,902,,,,,,,58,841,229
10/1964,896,,,,,,,61,834,238
11/1964,893,,,,,,,66,829,245
12/1964,893,,,,,,,74,815,253
01/1965,890,,,,,,,74,811,262
02/1965,887,,,,,,,81,801,271
03/1965,881,,,,,,,81,798,285
04/1965,880,,,,,,,86,794,285
05/1965,877,,,,,,,90,796,288
06/1965,877,,,,,,,101,793,284
07/1965,876,,,,,,,101,801,282
08/1965,874,,,,,,,109,802,284
09/1965,873,,,,,,,112,807,282
10/1965,867,,,,,,,116,805,279
11/1965,864,,,,,,,117,808,278
12/1965,864,,,,,,,119,809,281
01/1966,857,,,,,,2,126,798,278
02/1966,856,,,,,,4,123,812,280
03/1966,855,,,,,,4,123,809,285
04/1966,856,,,,,,6,121,802,287
05/1966,854,,,,,,9,125,791,286
06/1966,851,,,,,,12,125,807,279
07/1966,848,,,,,,21,120,809,275
08/1966,848,,,,,,27,125,825,264
09/1966,848,,,,,,27,125,819,272
10/1966,845,,,,,,27,124,819,280
11/1966,843,,,,,,31,123,815,286
12/1966,842,,,,,,31,769,164,293
01/1967,837,,,,,,33,760,163,299
02/1967,837,,,,,,33,756,175,295
03/1967,836,,,,,,36,751,174,301
04/1967,836,,,,,,36,748,173,302
05/1967,832,,,,,,39,743,171,312
06/1967,828,,,,,,44,730,182,309
07/1967,824,,,,,,44,721,181,323
08/1967,817,,,,,,47,712,180,330
09/1967,815,,,,,,52,701,192,327
10/1967,805,,,,,,59,690,208,324
11/1967,802,,,,,,67,678,213,331
12/1967,799,,,,,,67,672,226,327
01/1968,790,,,,,,73,661,234,328
02/1968,780,,,,,,73,657,240,327
03/1968,777,,,,,,79,650,254,321
04/1968,772,,,,,,80,648,253,335
05/1968,766,,,,,,88,636,262,341
06/1968,763,,,,,,93,640,259,340
07/1968,760,,,,,,97,634,251,346
08/1968,751,,,,,,109,626,259,332
09/1968,749,,,,,,117,635,253,335
10/1968,740,,,,,,117,639,252,341
11/1968,736,,,,,,121,638,243,354
12/1968,731,,,,,8,120,648,231,361
01/1969,726,,,,,14,124,636,239,363
02/1969,722,,,,,19,655,108,241,357
03/1969,719,,,,,21,650,108,258,360
04/1969,713,,,,,28,640,117,257,366
05/1969,710,,,,,34,633,129,253,379
06/1969,708,,,,,41,624,142,263,368
07/1969,707,,,,,46,615,151,272,366
08/1969,705,,,,,48,608,151,295,360
09/1969,701,,,,,59,595,169,283,376
10/1969,699,,,,,59,591,181,295,365
11/1969,700,,,,,59,587,181,295,374
12/1969,700,,,,,66,579,186,302,371
01/1970,699,,,,,65,577,199,296,374
02/1970,698,,,,,71,571,206,306,367
03/1970,698,,,,,71,570,216,297,387
04/1970,696,,,,,71,568,216,304,393
05/1970,696,,,,,75,561,221,297,399
06/1970,694,,,,,79,554,238,291,399
07/1970,693,,,,,79,551,233,306,392
08/1970,692,,,,,80,546,232,319,391
09/1970,691,,,,,86,544,235,320,388
10/1970,690,,,,,86,542,233,319,402
11/1970,688,,,,,90,549,228,311,415
12/1970,686,,,,,94,551,229,327,402
01/1971,683,,,,,99,546,234,317,408
02/1971,682,,,,,104,546,235,307,421
03/1971,681,,,,,104,552,224,305,431
04/1971,681,,,,,103,555,223,311,425
05/1971,679,,,,,109,558,216,318,423
06/1971,679,,,,,109,557,217,308,440
07/1971,675,,,,,116,559,220,321,424
08/1971,672,,,,,123,566,230,334,401
09/1971,671,,,,,589,109,231,325,415
10/1971,670,,,,,588,109,231,326,429
11/1971,670,,,,4,584,117,230,335,423
12/1971,668,,,,8,579,129,233,354,406
01/1972,665,,,,13,572,138,236,340,425
02/1972,663,,,,13,570,137,236,340,442
03/1972,662,,,,20,560,146,248,333,442
04/1972,661,,,,23,556,145,260,320,456
05/1972,660,,,,25,554,154,253,333,454
06/1972,659,,,,26,547,153,252,332,469
07/1972,658,,,,32,538,164,266,330,453
08/1972,658,,,,34,531,168,272,332,455
09/1972,657,,,,37,524,175,272,331,466
10/1972,656,,,,40,520,182,265,341,469
11/1972,656,,,,42,515,188,277,349,455
12/1972,655,,,,53,503,196,278,360,454
01/1973,664,,,,54,507,210,281,345,3313
02/1973,664,,,,54,505,216,274,356,3330
03/1973,664,,,,54,501,217,289,362,3308
04/1973,661,,,,54,496,216,296,353,3272
05/1973,662,,,,61,488,227,296,347,3229
06/1973,661,,,,61,483,224,294,359,3163
07/1973,662,,,,63,479,231,284,357,3124
08/1973,659,,,,63,478,231,283,353,3099
09/1973,659,,,,67,470,231,284,370,3039
10/1973,658,,,,67,466,238,287,357,3001
11/1973,656,,,,67,466,237,286,370,2992
12/1973,653,,,,71,465,243,288,369,2894
01/1974,653,,,,71,464,244,289,374,2797
02/1974,652,,,,71,467,236,287,373,2788
03/1974,651,,,,71,458,240,288,369,2775
04/1974,651,,,,71,456,239,286,369,2774
05/1974,649,,,,75,457,241,276,370,2765
06/1974,646,,,,76,457,237,275,381,2732
07/1974,647,,,,80,458,236,283,365,2714
08/1974,648,,,,79,450,236,283,363,2699
09/1974,647,,,,82,454,230,278,374,2646
10/1974,644,,,,82,451,228,277,377,2619
11/1974,645,,,,84,447,232,285,372,2575
12/1974,644,,,,84,441,231,282,372,2551
01/1975,645,,,,83,445,228,285,368,2518
02/1975,645,,,,83,445,228,285,367,2506
03/1975,644,,,,83,444,226,283,367,2522
04/1975,643,,,,87,443,224,291,368,2519
05/1975,643,,,,85,439,227,289,369,2540
06/1975,642,,,,87,442,230,280,368,2526
07/1975,642,,,,90,443,222,280,367,2553
08/1975,640,,,,96,443,224,282,354,2561
09/1975,637,,,,96,443,223,281,354,2587
10/1975,637,,,,96,447,218,280,355,2582
11/1975,633,,,,96,448,217,280,367,2581
12/1975,632,,,,103,444,224,281,366,2555
01/1976,630,,,,103,443,223,279,363,2574
02/1976,628,,,,103,421,216,287,334,2553
03/1976,630,,,,103,442,224,298,343,2577
04/1976,629,,,,103,431,214,289,337,2585
05/1976,625,,,,105,438,221,289,342,2596
06/1976,624,,,,105,436,220,287,352,2604
07/1976,625,,,,112,436,219,294,359,2590
08/1976,622,,,,473,88,215,300,355,2608
09/1976,609,,,,409,80,198,260,302,2550
10/1976,619,,,,471,88,224,301,339,2645
11/1976,609,,,,464,95,218,294,334,2656
12/1976,617,,,,470,96,222,292,353,2644
01/1977,617,,,,470,95,223,302,338,2643
02/1977,614,,,,459,95,216,295,330,2618
03/1977,614,,,,470,95,222,294,335,2638
04/1977,613,,,,468,97,221,293,350,2619
05/1977,612,,,,469,97,227,286,350,2632
06/1977,611,,,,467,103,232,287,361,2605
07/1977,610,,,,466,110,224,306,339,2613
08/1977,608,,,,464,110,223,303,337,2604
09/1977,607,,,,463,111,221,303,334,2594
10/1977,605,,,,459,119,214,296,346,2582
11/1977,603,,,,459,119,214,293,353,2575
12/1977,602,,,,458,118,214,306,341,2569
01/1978,600,,,,457,119,213,306,336,2568
02/1978,595,,,2,450,119,213,302,334,2556
03/1978,594,,,2,451,118,213,303,337,2551
04/1978,592,,,5,447,127,225,291,337,2520
05/1978,590,,,5,445,127,213,299,335,2553
06/1978,589,,,8,438,127,222,285,349,2532
07/1978,588,,,8,435,126,222,290,337,2523
08/1978,585,,,10,433,127,229,280,337,2526
09/1978,584,,,13,423,134,223,286,335,2519
10/1978,585,,,13,426,135,229,279,339,2527
11/1978,581,,,16,421,135,228,289,330,2532
12/1978,582,,,18,416,145,226,281,2093,768
01/1979,578,,,20,415,149,227,287,2072,781
02/1979,574,,,21,411,156,226,277,2059,792
03/1979,570,,,21,405,156,225,277,2049,800
04/1979,571,,,21,404,154,233,274,2038,820
05/1979,570,,,23,402,154,231,274,2021,831
06/1979,568,,,26,397,163,229,288,1987,847
07/1979,568,,,23,398,162,229,288,1972,861
08/1979,565,,,26,392,163,227,285,1960,880
09/1979,565,,,26,390,162,225,285,1942,896
10/1979,564,,,26,390,164,232,284,1926,906
11/1979,565,,,26,388,166,235,281,1919,920
12/1979,564,,,29,386,167,234,290,1894,940
01/1980,563,,,29,383,171,227,287,1880,961
02/1980,559,,,32,374,169,232,293,1846,997
03/1980,558,,,32,374,169,232,293,1835,1018
04/1980,556,,,32,369,167,242,281,1820,1043
05/1980,553,,,37,362,172,235,286,1808,1050
06/1980,554,,,37,360,172,234,283,1801,1068
07/1980,553,,,37,358,179,226,293,1783,1101
08/1980,552,,,43,350,186,229,290,1770,1132
09/1980,550,,,43,353,189,234,285,1751,1153
10/1980,545,,,49,343,188,232,291,1731,1198
11/1980,544,,,49,343,192,240,290,1718,1242
