date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,76,84,77,80,79,82,89,80,91,98
08/1963,76,84,77,80,79,82,89,81,91,98
09/1963,76,84,77,80,79,82,89,81,91,98
10/1963,76,84,77,80,79,82,89,81,91,98
11/1963,76,84,77,80,79,82,89,81,90,97
12/1963,76,84,77,80,79,82,89,80,90,98
01/1964,76,84,77,80,78,81,89,81,91,97
02/1964,76,84,77,80,79,82,89,80,91,98
03/1964,76,84,77,80,79,82,89,80,90,98
04/1964,76,84,77,80,79,82,89,81,90,98
05/1964,76,84,77,80,79,82,89,81,91,98
06/1964,76,84,77,80,79,82,89,81,91,98
07/1964,82,87,93,87,87,95,97,101,113,129
08/1964,82,86,93,87,88,95,97,101,114,129
09/1964,82,87,93,87,88,95,97,101,114,129
10/1964,82,86,93,87,88,95,97,101,114,129
11/1964,82,87,93,87,88,95,97,101,114,129
12/1964,82,87,93,87,88,95,97,101,114,129
01/1965,82,87,93,87,88,95,97,101,114,129
02/1965,82,87,93,87,88,95,97,101,114,129
03/1965,82,87,93,86,88,95,97,101,114,129
04/1965,82,87,93,87,88,95,97,101,114,129
05/1965,82,87,93,87,88,95,97,101,114,129
06/1965,82,87,93,87,88,94,97,101,114,129
07/1965,94,93,99,94,104,102,103,119,122,145
08/1965,94,93,99,94,104,102,103,119,122,145
09/1965,94,93,99,94,104,102,103,119,122,145
10/1965,94,93,99,94,104,102,103,118,122,145
11/1965,94,93,99,94,104,102,103,118,122,145
12/1965,94,93,99,94,104,101,103,118,121,145
01/1966,93,93,99,93,102,101,102,118,122,144
02/1966,94,93,99,93,104,102,103,118,122,145
03/1966,94,93,99,94,104,102,103,118,122,145
04/1966,94,93,99,94,104,102,103,118,122,145
05/1966,94,93,98,94,104,102,103,118,120,145
06/1966,94,93,99,94,104,102,103,118,122,144
07/1966,99,105,107,103,112,117,116,121,151,163
08/1966,99,105,107,103,113,117,116,121,151,163
09/1966,99,105,107,103,113,117,116,121,151,163
10/1966,99,105,107,103,113,116,116,121,151,163
11/1966,99,105,107,103,113,116,116,121,151,163
12/1966,99,105,107,103,113,116,116,121,151,163
01/1967,99,105,107,103,113,116,116,121,151,163
02/1967,99,104,107,103,113,116,116,121,151,163
03/1967,99,105,107,103,113,116,116,121,151,163
04/1967,99,105,107,103,113,116,116,121,151,163
05/1967,99,105,107,103,113,115,116,121,151,163
06/1967,99,105,106,103,113,115,116,121,151,163
07/1967,115,129,120,123,133,138,143,138,176,225
08/1967,115,129,120,123,133,138,143,138,176,224
09/1967,115,129,119,122,133,138,143,138,176,223
10/1967,116,129,119,122,133,138,143,138,176,223
11/1967,116,129,118,121,133,138,142,138,176,224
12/1967,116,128,118,121,133,137,142,138,176,224
01/1968,116,129,118,121,133,137,143,138,176,224
02/1968,116,129,118,119,132,137,143,138,175,223
03/1968,116,129,118,120,132,137,143,138,175,223
04/1968,116,129,117,120,132,137,142,138,175,223
05/1968,116,129,117,120,132,137,142,138,174,223
06/1968,116,129,117,120,132,136,141,137,174,223
07/1968,115,136,123,130,144,130,157,176,188,225
08/1968,115,136,123,130,143,129,156,175,188,225
09/1968,115,136,123,130,143,129,156,175,188,225
10/1968,115,136,123,130,143,129,155,175,187,224
11/1968,115,135,123,129,143,129,156,175,187,224
12/1968,115,135,123,129,143,129,156,175,188,224
01/1969,115,135,123,129,143,129,155,175,188,224
02/1969,115,135,122,129,141,129,155,175,188,223
03/1969,115,135,122,129,141,129,155,175,188,223
04/1969,115,134,121,127,141,129,155,175,188,223
05/1969,115,135,120,127,142,129,154,174,188,223
06/1969,115,134,120,128,142,129,155,174,188,223
07/1969,125,140,139,163,155,150,171,167,224,221
08/1969,125,140,139,163,153,150,171,166,224,221
09/1969,125,140,138,163,154,150,171,166,223,221
10/1969,125,140,136,162,154,150,171,167,223,221
11/1969,125,140,138,161,154,149,171,167,223,221
12/1969,125,140,138,161,154,150,171,167,223,221
01/1970,125,140,138,162,154,150,171,167,223,221
02/1970,125,140,138,161,154,150,171,166,222,220
03/1970,125,140,138,162,154,150,170,167,223,221
04/1970,125,140,137,162,154,149,171,167,223,220
05/1970,124,140,137,162,154,149,171,167,223,220
06/1970,124,140,137,160,153,149,170,167,221,220
07/1970,131,156,151,160,174,168,183,190,218,259
08/1970,131,156,150,160,175,168,181,190,218,258
09/1970,131,156,150,160,174,168,179,189,218,258
10/1970,131,155,149,160,173,167,178,190,218,258
11/1970,131,154,149,160,173,167,177,189,218,258
12/1970,131,152,148,160,173,166,178,188,218,257
01/1971,131,152,146,160,174,165,177,187,218,256
02/1971,130,152,146,160,174,164,176,186,218,256
03/1971,129,152,146,159,173,164,176,185,218,255
04/1971,129,152,145,159,173,163,175,185,217,255
05/1971,129,152,145,158,169,164,175,184,215,253
06/1971,129,150,144,156,169,164,174,183,214,253
07/1971,135,155,159,170,166,186,173,187,242,260
08/1971,135,155,159,170,165,186,171,187,242,259
09/1971,135,155,158,170,165,186,171,187,242,259
10/1971,135,155,158,170,164,186,172,187,242,259
11/1971,135,155,158,170,164,186,172,187,242,259
12/1971,135,155,158,169,163,186,172,187,240,259
01/1972,135,155,158,168,163,185,172,187,237,259
02/1972,135,155,157,168,163,183,172,187,237,259
03/1972,135,153,158,168,163,182,172,187,237,258
04/1972,135,153,158,168,163,182,172,186,237,257
05/1972,135,153,157,168,163,182,172,186,236,256
06/1972,134,153,157,168,163,181,172,186,236,255
07/1972,140,174,186,154,183,190,188,204,252,257
08/1972,140,174,187,153,183,190,188,203,253,255
09/1972,140,173,186,154,183,190,187,202,251,253
10/1972,140,173,186,154,183,189,187,202,251,251
11/1972,140,173,185,154,183,190,187,202,251,249
12/1972,140,173,185,154,183,189,187,202,251,250
01/1973,140,173,186,154,182,189,187,201,251,247
02/1973,140,173,185,154,182,189,187,201,251,247
03/1973,139,173,185,154,181,188,187,200,250,247
04/1973,139,173,185,152,182,188,186,199,249,246
05/1973,139,173,185,153,182,188,186,199,249,243
06/1973,139,171,185,153,181,187,185,197,247,242
07/1973,185,220,241,204,224,220,253,259,347,350
08/1973,184,218,241,204,224,220,252,260,346,349
09/1973,183,218,240,203,223,219,251,259,347,349
10/1973,183,218,239,203,222,218,251,258,346,348
11/1973,183,218,240,202,222,219,251,256,347,348
12/1973,184,217,240,201,221,218,251,255,347,346
01/1974,184,217,239,200,222,219,251,255,345,346
02/1974,184,215,236,197,221,217,251,255,344,345
03/1974,184,216,234,198,220,216,251,253,341,343
04/1974,184,216,232,198,220,217,251,253,341,342
05/1974,184,216,232,197,220,217,250,252,338,338
06/1974,184,216,233,195,220,216,249,251,340,335
07/1974,225,242,292,262,274,294,284,354,388,493
08/1974,223,241,291,261,275,297,281,355,387,491
09/1974,221,240,290,258,272,293,280,354,386,491
10/1974,224,238,287,257,272,292,275,352,387,484
11/1974,224,236,289,254,271,287,278,352,387,476
12/1974,222,236,288,254,271,286,277,349,386,476
01/1975,221,235,288,253,270,288,277,346,385,474
02/1975,221,235,289,253,271,287,275,346,382,474
03/1975,220,234,288,254,273,284,276,346,383,475
04/1975,220,233,289,254,273,284,275,346,383,475
05/1975,220,232,289,254,273,286,274,346,383,477
06/1975,220,232,288,254,273,286,272,342,380,473
07/1975,249,268,311,288,286,293,327,364,444,512
08/1975,250,268,312,285,285,291,326,362,446,509
09/1975,250,268,312,284,284,295,327,363,448,512
10/1975,248,267,311,284,280,294,329,363,445,511
11/1975,251,267,311,285,282,293,326,363,444,513
12/1975,250,267,312,285,279,291,325,363,443,509
01/1976,248,268,309,285,282,289,327,363,441,511
02/1976,246,263,304,279,275,283,323,356,432,496
03/1976,247,268,306,284,282,289,327,364,439,509
04/1976,243,264,302,280,278,287,322,358,433,504
05/1976,246,265,302,281,281,286,322,363,440,506
06/1976,243,265,305,283,281,288,322,364,440,505
07/1976,252,242,301,277,334,320,304,373,469,492
08/1976,251,242,302,277,332,321,302,374,471,496
09/1976,247,234,291,257,311,297,279,341,438,452
10/1976,252,240,301,277,328,321,299,372,473,492
11/1976,250,240,298,275,327,320,295,367,471,483
12/1976,250,240,298,275,327,320,297,370,474,489
01/1977,250,238,297,274,324,318,297,370,474,488
02/1977,248,233,292,271,318,312,295,366,468,480
03/1977,249,237,293,270,320,314,297,367,471,491
04/1977,250,237,294,267,319,312,296,366,467,490
05/1977,249,237,291,266,319,313,295,365,470,488
06/1977,249,234,289,266,318,313,293,364,467,489
07/1977,248,289,285,269,305,306,360,361,432,505
08/1977,247,287,280,270,304,305,358,363,432,503
09/1977,245,284,277,269,304,303,357,363,431,498
10/1977,245,283,275,267,302,299,354,361,432,498
11/1977,244,282,273,265,300,299,355,359,431,496
12/1977,244,283,273,263,296,300,354,359,430,493
01/1978,244,280,273,264,294,298,352,361,426,492
02/1978,243,282,273,261,291,294,346,359,419,489
03/1978,243,282,271,260,289,294,346,359,418,489
04/1978,243,280,269,259,286,294,344,359,416,486
05/1978,241,280,270,258,289,291,344,358,415,482
06/1978,242,279,268,255,288,290,338,355,409,481
07/1978,260,272,263,266,315,345,336,357,385,470
08/1978,257,273,263,266,313,345,332,358,384,468
09/1978,255,272,260,263,309,342,330,355,383,468
10/1978,254,273,259,263,311,342,328,354,383,461
11/1978,254,271,259,264,309,342,325,355,383,457
12/1978,253,271,258,263,308,341,323,353,381,453
01/1979,251,271,258,263,303,341,323,353,377,452
02/1979,253,272,255,260,302,339,319,351,376,446
03/1979,252,269,253,257,297,338,319,349,374,446
04/1979,253,268,253,256,296,338,316,344,374,446
05/1979,251,268,252,253,294,336,316,342,375,444
06/1979,250,268,251,252,291,333,313,341,373,441
07/1979,245,282,276,288,292,293,360,367,373,482
08/1979,244,281,274,290,291,292,355,365,371,477
09/1979,243,278,273,289,290,290,356,362,368,473
10/1979,243,277,271,287,290,288,354,359,365,472
11/1979,242,278,272,288,288,287,353,356,366,471
12/1979,241,276,270,286,289,286,353,355,365,467
01/1980,240,276,268,283,285,286,349,352,363,465
02/1980,241,275,267,280,280,284,345,347,358,460
03/1980,240,275,265,276,280,284,344,347,355,459
04/1980,239,274,262,276,278,283,342,344,353,454
05/1980,237,269,261,275,278,282,343,345,351,453
06/1980,237,269,260,275,278,281,342,346,347,452
07/1980,299,307,283,282,319,314,318,342,395,472
08/1980,298,307,284,280,319,314,318,341,394,469
09/1980,296,306,284,280,315,313,314,340,393,469
10/1980,294,302,281,278,311,311,311,336,390,465
11/1980,295,302,281,278,312,310,311,335,390,463
12/1980,291,298,278,277,311,309,308,334,390,460
01/1981,291,297,277,276,311,310,308,333,388,457
02/1981,291,295,277,276,307,307,308,329,386,453
03/1981,290,291,274,275,306,306,307,327,381,447
04/1981,287,290,273,275,304,302,306,325,379,444
05/1981,285,286,271,273,303,301,305,323,378,444
06/1981,284,286,271,273,303,300,304,321,374,440
07/1981,383,347,266,304,297,296,330,319,404,451
08/1981,382,346,264,303,297,294,331,319,401,449
09/1981,379,343,264,305,297,293,329,318,396,445
10/1981,376,339,263,304,295,292,326,315,388,439
11/1981,378,338,262,303,293,292,327,314,391,439
12/1981,376,335,260,303,294,290,328,313,390,437
01/1982,372,330,256,300,291,290,325,312,388,437
02/1982,370,332,257,300,291,289,325,312,383,436
03/1982,372,330,254,299,291,289,320,309,380,435
04/1982,369,328,252,298,288,289,315,307,377,432
05/1982,366,328,252,297,287,287,312,304,377,429
06/1982,366,327,254,294,285,286,314,304,373,420
07/1982,530,377,314,308,295,300,356,315,358,467
08/1982,524,371,314,309,297,296,353,314,356,464
09/1982,526,371,314,307,295,296,349,313,355,464
10/1982,522,367,313,303,296,293,348,311,351,459
11/1982,514,363,306,303,291,293,345,310,350,458
12/1982,510,363,306,303,289,292,348,310,348,458
01/1983,504,363,306,303,288,290,344,308,348,455
02/1983,501,362,304,302,281,288,344,305,345,447
03/1983,499,359,303,301,282,286,341,305,345,443
04/1983,498,357,300,300,282,285,339,304,342,441
05/1983,487,355,300,300,281,285,339,302,340,438
06/1983,480,356,298,299,281,286,336,302,340,435
07/1983,599,330,395,287,258,304,363,334,398,463
08/1983,593,329,393,287,257,302,364,333,399,462
09/1983,588,325,390,283,255,302,364,333,397,459
10/1983,584,323,389,282,253,300,361,331,395,456
11/1983,578,318,387,282,252,299,361,331,391,456
12/1983,575,318,387,280,250,298,360,329,392,455
01/1984,565,318,384,279,251,297,360,326,390,451
02/1984,556,312,381,277,249,297,359,325,387,450
03/1984,549,308,376,275,244,294,357,324,386,448
04/1984,544,306,377,274,243,294,355,324,384,444
05/1984,544,306,377,271,242,293,355,323,384,440
06/1984,536,304,372,270,242,291,353,320,384,439
07/1984,677,401,361,327,286,362,309,374,394,451
08/1984,673,400,360,328,285,359,307,373,392,449
09/1984,660,400,359,327,285,358,306,372,386,445
10/1984,646,397,355,322,283,354,303,371,385,439
11/1984,638,397,354,321,281,350,302,365,384,432
12/1984,623,395,350,318,276,347,300,364,382,427
01/1985,615,391,350,316,275,345,298,363,380,424
02/1985,601,389,348,315,273,344,298,357,378,421
03/1985,597,386,343,312,272,344,294,356,375,419
04/1985,594,384,340,313,269,340,291,354,373,412
05/1985,591,383,340,312,265,340,290,351,372,410
06/1985,584,380,337,310,264,339,288,349,368,400
07/1985,657,447,439,339,336,367,345,322,409,436
08/1985,651,447,433,338,335,365,344,320,405,433
09/1985,644,440,433,335,334,359,341,316,404,424
10/1985,638,435,429,331,332,356,338,312,401,421
11/1985,627,432,428,330,330,356,334,308,397,417
12/1985,616,431,423,328,329,353,333,306,393,414
01/1986,603,428,421,327,327,350,332,301,393,405
02/1986,598,426,418,327,326,348,327,298,391,404
03/1986,589,423,413,325,322,345,327,298,389,404
04/1986,584,420,411,324,320,345,324,294,386,399
05/1986,576,413,410,324,321,339,322,290,384,398
06/1986,565,409,407,323,316,339,319,287,382,396
07/1986,576,411,403,359,344,318,367,362,446,430
08/1986,569,412,399,355,344,315,365,362,443,422
09/1986,562,408,396,351,343,315,362,360,442,417
10/1986,555,403,392,344,341,310,360,355,439,414
11/1986,546,398,388,338,337,308,357,351,432,410
12/1986,532,394,385,336,335,305,351,347,428,407
01/1987,520,389,381,330,327,299,340,339,417,394
02/1987,519,388,377,328,323,296,337,336,412,392
03/1987,516,388,376,326,321,296,335,335,410,393
04/1987,508,386,373,324,317,293,334,333,407,391
05/1987,507,383,369,323,315,292,334,330,404,391
06/1987,505,381,366,321,314,291,332,330,403,389
07/1987,598,328,408,329,404,363,355,431,425,454
08/1987,594,327,406,328,400,358,353,428,424,452
09/1987,583,325,397,325,397,355,350,425,422,449
10/1987,577,326,390,323,396,354,346,421,420,444
11/1987,570,323,391,321,388,352,344,417,415,438
12/1987,566,321,389,319,387,351,335,414,412,429
01/1988,558,318,386,316,387,348,331,412,404,426
02/1988,552,316,380,313,385,346,329,409,402,425
03/1988,546,313,379,312,377,338,326,406,399,420
04/1988,543,309,377,310,371,336,324,401,398,420
05/1988,542,307,375,307,370,332,322,396,396,412
06/1988,533,306,369,306,364,328,319,393,385,409
07/1988,602,319,431,342,348,417,406,439,423,501
