date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1844,,,,,,,,,129
08/1963,1846,,,,,,,,,129
09/1963,1845,,,,,,,,,129
10/1963,1845,,,,,,,,,129
11/1963,1845,,,,,,,,,129
12/1963,1851,,,,,,,,,129
01/1964,1841,,,,,,,,,129
02/1964,1856,,,,,,,,,129
03/1964,1858,,,,,,,,,129
04/1964,1864,,,,,,,,,129
05/1964,1878,,,,,,,,,129
06/1964,1880,,,,,,,,,129
07/1964,1925,,,,,,,,,88
08/1964,1934,,,,,,,,,88
09/1964,1942,,,,,,,,,88
10/1964,1941,,,,,,,,,88
11/1964,1945,,,,,,,,,88
12/1964,1947,,,,,,,,,88
01/1965,1949,,,,,,,,,88
02/1965,1952,,,,,,,,,88
03/1965,1957,,,,,,,,,88
04/1965,1957,,,,,,,,,88
05/1965,1963,,,,,,,,,88
06/1965,1967,,,,,,,,,88
07/1965,1869,,,,,,,,,191
08/1965,1878,,,,,,,,,191
09/1965,1883,,,,,,,,,191
10/1965,1876,,,,,,,,,191
11/1965,1876,,,,,,,,,191
12/1965,1883,,,,,,,,,190
01/1966,1871,,,,,,,,,190
02/1966,1884,,,,,,,,,191
03/1966,1885,,,,,,,,,191
04/1966,1881,,,,,,,,,191
05/1966,1874,,,,,,,,,191
06/1966,1884,,,,,,,,,190
07/1966,1904,,,,,,,,,169
08/1966,1919,,,,,,,,,170
09/1966,1922,,,,,,,,,169
10/1966,1926,,,,,,,,,169
11/1966,1929,,,,,,,,,169
12/1966,1930,,,,,,,,,169
01/1967,1923,,,,,,,,,169
02/1967,1927,,,,,,,,,169
03/1967,1929,,,,,,,,,169
04/1967,1926,,,,,,,,,169
05/1967,1928,,,,,,,,,169
06/1967,1924,,,,,,,,,169
07/1967,1924,,,,,,,,,169
08/1967,1918,,,,,,,,,168
09/1967,1920,,,,,,,,,167
10/1967,1919,,,,,,,,,167
11/1967,1923,,,,,,,,,168
12/1967,1924,,,,,,,,,167
01/1968,1919,,,,,,,,,167
02/1968,1910,,,,,,,,,167
03/1968,1914,,,,,,,,,167
04/1968,1922,,,,,,,,,166
05/1968,1927,,,,,,,,,166
06/1968,1929,,,,,,,,,166
07/1968,1982,,,,,,,,,106
08/1968,1971,,,,,,,,,106
09/1968,1982,,,,,,,,,107
10/1968,1984,,,,,,,,,105
11/1968,1987,,,,,,,,,105
12/1968,1995,,,,,,,,,104
01/1969,1998,,,,,,,,,104
02/1969,1998,,,,,,,,,104
03/1969,2012,,,,,,,,,104
04/1969,2018,,,,,,,,,103
05/1969,2035,,,,,,,,,103
06/1969,2043,,,,,,,,,103
07/1969,1972,,,,,,,,,185
08/1969,1982,,,,,,,,,185
09/1969,1998,,,,,,,,,185
10/1969,2007,,,,,,,,,183
11/1969,2012,,,,,,,,,184
12/1969,2020,,,,,,,,,184
01/1970,2026,,,,,,,,,184
02/1970,2036,,,,,,,,,183
03/1970,2056,,,,,,,,,183
04/1970,2064,,,,,,,,,184
05/1970,2066,,,,,,,,,183
06/1970,2074,,,,,,,,,181
07/1970,2099,,,,,,,,,155
08/1970,2104,,,,,,,,,156
09/1970,2108,,,,,,,,,156
10/1970,2115,,,,,,,,,157
11/1970,2125,,,,,,,,,156
12/1970,2133,,,,,,,,,156
01/1971,2131,,,,,,,,,156
02/1971,2139,,,,,,,,,156
03/1971,2141,,,,,,,,,156
04/1971,2142,,,,,,,,,156
05/1971,2148,,,,,,,,,155
06/1971,2154,,,,,,,,,156
07/1971,2213,,,,,,,,,102
08/1971,2225,,,,,,,,,101
09/1971,2238,,,,,,,,,102
10/1971,2252,,,,,,,,,101
11/1971,2262,,,,,,,,,101
12/1971,2276,,,,,,,,,101
01/1972,2288,,,,,,,,,101
02/1972,2301,,,,,,,,,100
03/1972,2311,,,,,,,,,100
04/1972,2321,,,,,,,,,100
05/1972,2333,,,,,,,,,100
06/1972,2339,,,,,,,,,99
07/1972,2221,,,,,,,,,220
08/1972,2231,,,,,,,,,219
09/1972,2242,,,,,,,,,220
10/1972,2252,,,,,,,,,221
11/1972,2261,,,,,,,,,221
12/1972,2278,,,,,,,,,221
01/1973,5153,,,,,,,,,221
02/1973,5178,,,,,,,,,221
03/1973,5174,,,,,,,,,221
04/1973,5128,,,,,,,,,220
05/1973,5091,,,,,,,,,219
06/1973,5028,,,,,,,,,217
07/1973,4839,,,,,,,,,361
08/1973,4807,,,,,,,,,359
09/1973,4763,,,,,,,,,357
10/1973,4716,,,,,,,,,358
11/1973,4720,,,,,,,,,354
12/1973,4629,,,,,,,,,354
01/1974,4540,,,,,,,,,352
02/1974,4522,,,,,,,,,352
03/1974,4503,,,,,,,,,349
04/1974,4496,,,,,,,,,350
05/1974,4484,,,,,,,,,349
06/1974,4457,,,,,,,,,347
07/1974,4426,,,,,,,,,357
08/1974,4402,,,,,,,,,356
09/1974,4358,,,,,,,,,353
10/1974,4326,,,,,,,,,352
11/1974,4235,,,,,,,,,405
12/1974,4254,,,,,,,,,351
01/1975,4221,,,,,,,,,351
02/1975,4207,,,,,,,,,352
03/1975,4217,,,,,,,,,352
04/1975,4223,,,,,,,,,352
05/1975,4243,,,,,,,,,349
06/1975,4226,,,,,,,,,349
07/1975,4199,,,,,,,,,398
08/1975,4205,,,,,,,,,395
09/1975,4227,,,,,,,,,394
10/1975,4221,,,,,,,,,394
11/1975,4230,,,,,,,,,392
12/1975,4211,,,,,,,,,394
01/1976,4222,,,,,,,,,393
02/1976,4158,,,,,,,,,384
03/1976,4225,,,,,,,,,392
04/1976,4200,,,,,,,,,388
05/1976,4225,,,,,,,,,391
06/1976,4238,,,,,,,,,390
07/1976,4211,,,,,,,,,424
08/1976,4235,,,,,,,,,426
09/1976,4017,,,,,,,,,391
10/1976,4266,,,,,,,,,421
11/1976,4252,,,,,,,,,418
12/1976,4273,,,,,,,,,421
01/1977,4268,,,,,,,,,420
02/1977,4215,,,,,,,,,412
03/1977,4251,,,,,,,,,417
04/1977,4246,,,,,,,,,415
05/1977,4258,,,,,,,,,415
06/1977,4254,,,,,,,,,412
07/1977,3801,,,,,,,,,867
08/1977,3787,,,,,,,,,862
09/1977,3774,,,,,,,,,859
10/1977,3764,,,,,,,,,857
11/1977,3760,,,,,,,,,856
12/1977,3753,,,,,,,,,855
01/1978,3747,,,,,,,,,852
02/1978,3721,,,,,,,,,850
03/1978,3721,,,,,,,,,848
04/1978,3696,,,,,,,,,848
05/1978,3723,,,,,,,,,844
06/1978,3712,,,,,,,,,838
07/1978,3964,,,,,,,,,565
08/1978,3961,,,,,,,,,566
09/1978,3957,,,,,,,,,560
10/1978,3975,,,,,,,,,558
11/1978,3977,,,,,,,,,555
12/1978,3974,,,,,,,,,555
01/1979,3974,,,,,,,,,555
02/1979,3963,,,,,,,,,553
03/1979,3954,,,,,,,,,549
04/1979,3968,,,,,,,,,547
05/1979,3963,,,,,,,,,543
06/1979,3962,,,,,,,,,543
07/1979,3972,,,,,,,,,529
08/1979,3971,,,,,,,,,527
09/1979,3971,,,,,,,,,520
10/1979,3974,,,,,,,,,518
11/1979,3981,,,,,,,,,519
12/1979,3988,,,,,,,,,516
01/1980,3985,,,,,,,,,516
02/1980,3995,,,,,,,,,507
03/1980,4005,,,,,,,,,506
04/1980,4007,,,,,,,,,503
05/1980,4003,,,,,,,,,500
06/1980,4012,,,,,,,,,497
07/1980,4069,,,,,,,,,461
08/1980,4089,,,,,,,,,463
09/1980,4097,,,,,,,,,461
10/1980,4119,,,,,,,,,458
11/1980,4163,,,,,,,,,455
12/1980,4177,,,,,,,,,451
01/1981,4219,,,,,,,,,451
02/1981,4245,,,,,,,,,448
03/1981,4258,,,,,,,,,446
04/1981,4290,,,,,,,,,444
05/1981,4343,,,,,,,,,444
06/1981,4395,,,,,,,,,444
07/1981,4535,,,,,,,,,351
08/1981,4597,,,,,,,,,350
09/1981,4625,,,,,,,,,344
10/1981,4621,,,,,,,,,340
11/1981,4666,,,,,,,,,338
12/1981,4694,,,,,,,,,339
01/1982,4693,,,,,,,,,335
02/1982,4708,,,,,,,,,335
03/1982,4716,,,,,,,,,333
04/1982,4693,,,,,,,,,333
05/1982,4681,,,,,,,,,331
06/1982,4679,,,,,,,,,330
07/1982,4618,,,,,,,,,381
08/1982,4605,,,,,,,,,381
09/1982,4606,,,,,,,,,379
10/1982,4579,,,,,,,,,380
11/1982,4544,,,,,,,,,376
12/1982,4603,,,,,,,,,376
01/1983,4613,,,,,,,,,374
02/1983,4608,,,,,,,,,370
03/1983,4622,,,,,,,,,370
04/1983,4665,,,,,,,,,372
05/1983,4686,,,,,,,,,373
06/1983,4728,,,,,,,,,373
07/1983,4893,,,,,,,,,264
08/1983,4966,,,,,,,,,263
09/1983,5042,,,,,,,,,260
10/1983,5094,,,,,,,,,259
11/1983,5165,,,,,,,,,261
12/1983,5246,,,,,,,,,259
01/1984,5327,,,,,,,,,257
02/1984,5359,,,,,,,,,253
03/1984,5396,,,,,,,,,252
04/1984,5438,,,,,,,,,252
05/1984,5457,,,,,,,,,252
06/1984,5485,,,,,,,,,252
07/1984,5314,,,,,,,,,425
08/1984,5328,,,,,,,,,422
09/1984,5333,,,,,,,,,420
10/1984,5299,,,,,,,,,421
11/1984,5294,,,,,,,,,416
12/1984,5288,,,,,,,,,413
01/1985,5294,,,,,,,,,411
02/1985,5283,,,,,,,,,408
03/1985,5276,,,,,,,,,405
04/1985,5266,,,,,,,,,405
05/1985,5265,,,,,,,,,404
06/1985,5253,,,,,,,,,403
07/1985,5094,,,,,,,,,561
08/1985,5101,,,,,,,,,555
09/1985,5097,,,,,,,,,549
10/1985,5103,,,,,,,,,545
11/1985,5121,,,,,,,,,542
12/1985,5132,,,,,,,,,537
01/1986,5128,,,,,,,,,537
02/1986,5113,,,,,,,,,538
03/1986,5118,,,,,,,,,536
04/1986,5135,,,,,,,,,533
05/1986,5142,,,,,,,,,530
06/1986,5194,,,,,,,,,525
07/1986,5528,,,,,,,,,251
08/1986,5577,,,,,,,,,250
09/1986,5605,,,,,,,,,253
10/1986,5626,,,,,,,,,252
11/1986,5661,,,,,,,,,250
12/1986,5693,,,,,,,,,246
01/1987,5687,,,,,,,,,239
02/1987,5696,,,,,,,,,236
03/1987,5758,,,,,,,,,236
04/1987,5799,,,,,,,,,234
05/1987,5827,,,,,,,,,233
06/1987,5880,,,,,,,,,232
07/1987,5829,,,,,,,,,344
08/1987,5869,,,,,,,,,343
09/1987,5910,,,,,,,,,342
10/1987,5954,,,,,,,,,340
11/1987,5939,,,,,,,,,337
12/1987,5914,,,,,,,,,334
01/1988,5897,,,,,,,,,332
02/1988,5877,,,,,,,,,331
03/1988,5843,,,,,,,,,329
04/1988,5828,,,,,,,,,328
05/1988,5811,,,,,,,,,324
06/1988,5789,,,,,,,,,320
07/1988,5507,,,,,,,,,595
08/1988,5496,,,,,,,,,594
09/1988,5478,,,,,,,,,588
10/1988,5453,,,,,,,,,585
11/1988,5453,,,,,,,,,582
12/1988,5423,,,,,,,,,576
01/1989,5387,,,,,,,,,573
02/1989,5376,,,,,,,,,571
03/1989,5353,,,,,,,,,569
04/1989,5327,,,,,,,,,568
05/1989,5317,,,,,,,,,565
06/1989,5297,,,,,,,,,559
07/1989,4217,,,,,,,,,1611
08/1989,4233,,,,,,,,,1597
09/1989,4218,,,,,,,,,1587
10/1989,4195,,,,,,,,,1578
11/1989,4190,,,,,,,,,1576
12/1989,4195,,,,,,,,,1564
01/1990,4211,,,,,,,,,1556
02/1990,4207,,,,,,,,,1546
03/1990,4205,,,,,,,,,1539
04/1990,4213,,,,,,,,,1536
05/1990,4211,,,,,,,,,1533
06/1990,4211,,,,,,,,,1524
07/1990,3986,,,,,,,,,1741
08/1990,3982,,,,,,,,,1739
09/1990,3980,,,,,,,,,1724
10/1990,3975,,,,,,,,,1719
11/1990,3954,,,,,,,,,1717
12/1990,3938,,,,,,,,,1704
01/1991,3932,,,,,,,,,1696
02/1991,3913,,,,,,,,,1691
03/1991,3903,,,,,,,,,1688
04/1991,3881,,,,,,,,,1687
05/1991,3882,,,,,,,,,1682
06/1991,3887,,,,,,,,,1678
07/1991,3820,,,,,,,,,1776
08/1991,3831,,,,,,,,,1764
09/1991,3852,,,,,,,,,1761
10/1991,3866,,,,,,,,,1756
11/1991,3892,,,,,,,,,1752
