date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1,,,,,,,,,
08/1963,1,,,,,,,,,
09/1963,1,,,,,,,,,
10/1963,1,,,,,,,,,
11/1963,1,,,,,,,,,
12/1963,1,,,,,,,,,
01/1964,1,,,,,,,,,
02/1964,1,,,,,,,,,
03/1964,1,,,,,,,,,
04/1964,1,,,,,,,,,
05/1964,1,,,,,,,,,
06/1964,1,,,,,,,,,
07/1964,5,3,3,3,3,4,3,4,3,4
08/1964,5,3,3,3,3,4,3,4,3,4
09/1964,5,3,3,3,3,4,3,4,3,4
10/1964,5,3,3,3,3,4,3,4,3,4
11/1964,5,3,3,3,3,4,3,4,3,4
12/1964,5,3,3,3,3,4,3,4,3,4
01/1965,5,3,3,3,3,4,3,4,3,4
02/1965,5,3,3,3,3,4,3,4,3,4
03/1965,5,3,3,3,3,4,3,4,3,4
04/1965,5,3,3,3,3,4,3,4,3,4
05/1965,5,3,3,3,3,4,3,4,3,4
06/1965,5,3,3,3,3,4,3,4,3,4
07/1965,8,8,12,10,9,8,6,12,9,8
08/1965,8,8,12,10,9,8,6,12,9,8
09/1965,8,8,12,10,9,8,6,12,9,8
10/1965,8,8,12,10,9,8,6,12,9,8
11/1965,8,8,12,10,9,8,6,12,9,8
12/1965,8,8,12,10,9,8,6,12,8,8
01/1966,8,8,12,10,9,8,6,12,8,8
02/1966,8,8,12,10,9,8,6,12,9,8
03/1966,8,8,12,10,9,8,6,12,9,8
04/1966,8,8,12,10,9,8,6,12,9,8
05/1966,8,8,12,10,9,8,6,12,9,8
06/1966,8,8,12,10,9,8,6,12,9,8
07/1966,14,16,14,12,18,10,16,11,10,15
08/1966,14,16,14,12,18,10,16,11,10,15
09/1966,14,16,14,12,18,10,16,11,10,15
10/1966,14,16,14,12,18,10,16,11,10,15
11/1966,14,16,14,12,18,10,16,11,10,15
12/1966,14,16,14,12,18,10,16,11,10,15
01/1967,14,16,14,12,18,10,16,11,10,15
02/1967,14,16,14,12,18,10,16,11,10,15
03/1967,14,16,14,12,18,10,16,11,10,15
04/1967,14,16,14,12,18,10,16,11,10,15
05/1967,14,16,14,12,18,10,16,11,10,14
06/1967,14,16,14,12,18,10,16,11,10,14
07/1967,18,16,15,12,15,17,18,20,15,19
08/1967,18,16,15,12,15,16,18,20,15,20
09/1967,18,16,15,12,15,16,18,20,15,20
10/1967,18,16,15,12,15,16,18,20,15,20
11/1967,18,16,15,12,15,16,18,20,15,20
12/1967,18,16,15,12,15,16,18,20,15,19
01/1968,18,16,15,12,15,16,18,20,15,20
02/1968,17,16,14,12,15,16,18,20,15,19
03/1968,17,16,14,12,15,16,18,20,15,20
04/1968,17,16,14,12,15,16,18,20,15,20
05/1968,17,16,14,12,15,16,18,20,15,20
06/1968,16,16,14,12,15,16,18,20,15,20
07/1968,30,25,23,24,17,21,14,23,32,23
08/1968,30,25,23,24,17,21,12,23,32,23
09/1968,30,25,23,24,17,21,12,23,32,23
10/1968,30,25,23,24,17,21,12,23,32,23
11/1968,30,25,23,24,17,21,12,23,32,23
12/1968,30,25,23,24,17,21,12,23,32,23
01/1969,30,25,23,24,17,21,12,23,32,23
02/1969,30,25,23,24,17,20,12,23,32,23
03/1969,30,25,23,24,17,20,12,23,32,23
04/1969,29,25,23,24,17,20,12,22,32,23
05/1969,29,24,23,24,17,20,12,22,32,23
06/1969,30,24,23,24,17,20,12,22,32,23
07/1969,33,29,26,25,19,22,22,29,35,33
08/1969,33,29,26,25,19,22,22,29,35,33
09/1969,33,29,26,25,19,22,22,29,35,33
10/1969,33,29,26,24,19,22,22,28,35,33
11/1969,33,29,26,25,19,22,22,28,35,33
12/1969,33,29,26,25,19,22,22,28,35,33
01/1970,33,29,26,25,19,22,22,28,35,33
02/1970,33,29,26,25,19,22,21,28,35,32
03/1970,33,29,26,25,19,22,22,29,35,33
04/1970,32,29,26,25,19,22,22,29,35,33
05/1970,32,29,26,25,19,22,22,29,35,33
06/1970,32,29,26,25,19,22,22,29,35,33
07/1970,67,32,33,29,24,30,33,32,44,66
08/1970,67,32,33,30,24,30,33,32,44,66
09/1970,67,32,33,30,24,30,33,32,44,66
10/1970,67,32,33,30,24,30,33,32,44,66
11/1970,66,32,33,30,24,30,33,32,44,66
12/1970,66,32,33,30,24,30,33,32,44,66
01/1971,66,32,33,30,24,29,33,32,44,66
02/1971,66,32,33,30,24,29,33,32,44,66
03/1971,66,32,33,30,24,29,33,32,44,65
04/1971,66,32,33,30,24,29,33,32,44,65
05/1971,66,32,33,30,24,29,33,32,44,65
06/1971,66,32,32,30,24,29,33,32,43,65
07/1971,190,146,132,131,117,120,120,134,124,196
08/1971,190,145,132,130,117,120,120,134,124,196
09/1971,190,145,132,130,117,120,120,134,124,196
10/1971,190,145,132,131,117,120,120,134,124,196
11/1971,190,145,132,131,117,120,120,134,124,196
12/1971,190,145,132,131,117,120,120,134,124,196
01/1972,190,144,132,131,117,120,120,134,124,196
02/1972,190,143,132,131,117,120,120,133,124,196
03/1972,190,143,132,131,117,120,120,133,124,196
04/1972,189,143,132,131,117,120,120,133,124,196
05/1972,189,143,132,131,117,120,120,133,124,196
06/1972,188,143,132,131,117,120,120,133,123,196
07/1972,243,175,156,128,152,149,151,164,173,207
08/1972,241,175,156,128,151,149,151,164,173,207
09/1972,240,175,156,128,150,147,149,164,173,206
10/1972,240,175,156,128,150,146,149,163,173,205
11/1972,239,175,156,128,150,147,149,162,173,205
12/1972,240,175,156,128,150,147,149,162,173,204
01/1973,240,174,156,128,150,147,148,162,173,204
02/1973,240,174,156,128,150,147,148,162,172,204
03/1973,240,174,155,128,150,147,147,161,172,203
04/1973,240,173,153,127,149,147,147,161,172,203
05/1973,239,173,154,127,149,147,146,161,171,203
06/1973,236,172,153,127,149,146,146,161,170,201
07/1973,232,186,167,157,155,144,155,158,184,213
08/1973,230,185,168,156,155,143,155,158,183,213
09/1973,230,185,167,156,154,144,154,158,183,213
10/1973,229,185,166,156,153,144,153,158,183,212
11/1973,230,185,166,156,152,142,153,157,183,212
12/1973,230,184,166,156,152,141,153,157,182,211
01/1974,230,185,165,156,152,142,153,157,182,210
02/1974,226,184,163,156,152,142,153,156,181,209
03/1974,226,183,164,156,152,141,153,155,178,207
04/1974,226,182,164,155,152,140,153,155,179,207
05/1974,225,181,164,155,152,140,153,154,177,207
06/1974,225,178,163,155,152,139,153,154,178,206
07/1974,352,234,202,200,197,179,186,210,221,291
08/1974,349,233,202,200,196,179,184,208,220,292
09/1974,345,233,200,200,196,178,183,207,220,289
10/1974,338,231,197,198,194,179,183,208,220,285
11/1974,342,231,200,197,193,178,183,207,218,284
12/1974,341,231,200,198,194,177,183,204,216,283
01/1975,339,231,202,197,195,176,181,205,218,280
02/1975,338,231,202,197,195,175,181,203,218,279
03/1975,338,231,202,198,193,176,181,203,218,278
04/1975,337,231,202,198,191,175,181,204,217,278
05/1975,337,231,201,197,191,174,181,204,217,277
06/1975,336,228,201,197,190,175,182,202,216,275
07/1975,420,330,266,231,241,272,254,253,250,430
08/1975,422,329,265,231,240,272,254,252,251,426
09/1975,422,329,265,231,241,270,254,253,250,427
10/1975,423,328,264,228,242,270,253,251,250,424
11/1975,423,328,264,230,241,267,253,252,250,424
12/1975,421,326,261,229,241,268,252,251,250,423
01/1976,419,325,261,230,240,266,250,252,246,422
02/1976,407,313,258,229,237,260,244,247,243,411
03/1976,418,324,259,230,240,265,249,250,244,420
04/1976,409,318,257,225,239,261,248,248,241,411
05/1976,413,321,257,227,240,264,247,247,242,417
06/1976,414,321,258,226,239,264,247,247,241,413
07/1976,473,324,313,229,238,231,290,310,311,437
08/1976,476,323,312,227,237,231,290,313,307,440
09/1976,438,294,296,215,222,219,276,291,287,409
10/1976,474,322,311,228,236,230,291,313,305,433
11/1976,470,320,305,226,235,227,290,312,301,430
12/1976,472,322,308,227,237,227,290,313,304,430
01/1977,469,321,307,227,235,227,289,313,302,430
02/1977,465,315,301,222,232,224,284,308,298,424
03/1977,465,317,306,225,233,226,288,310,300,431
04/1977,465,314,306,224,230,226,286,309,299,430
05/1977,461,314,305,224,231,226,286,308,301,429
06/1977,458,312,305,223,230,226,284,306,300,429
07/1977,469,354,274,251,252,237,299,296,285,408
08/1977,466,350,275,250,253,238,297,294,285,404
09/1977,462,349,274,248,253,237,296,294,283,400
10/1977,458,348,273,246,252,237,296,293,277,399
11/1977,458,348,271,246,252,235,295,292,275,395
12/1977,458,349,271,245,251,236,295,291,274,391
01/1978,458,348,269,244,251,232,293,292,274,389
02/1978,454,346,267,242,249,229,287,291,275,384
03/1978,455,344,268,243,248,230,284,290,275,381
04/1978,453,343,267,242,246,229,283,288,272,382
05/1978,452,341,266,242,245,228,279,289,272,382
06/1978,447,342,266,239,244,228,279,285,271,376
07/1978,431,309,230,264,232,228,245,287,316,452
08/1978,432,305,231,264,229,227,240,287,316,452
09/1978,429,303,228,261,229,224,241,283,313,450
10/1978,429,305,227,258,229,225,239,282,313,441
11/1978,428,302,224,258,229,224,240,282,310,443
12/1978,425,301,225,257,226,223,240,280,309,441
01/1979,418,299,225,257,227,224,239,279,309,438
02/1979,412,296,221,254,227,223,238,279,305,439
03/1979,409,293,222,254,224,223,237,277,302,438
04/1979,408,292,222,255,221,221,236,275,302,438
05/1979,407,291,222,255,221,221,236,272,298,434
06/1979,406,288,221,254,221,221,235,271,294,429
07/1979,425,312,264,227,209,217,229,292,291,416
08/1979,422,310,262,226,209,217,229,288,291,412
09/1979,420,310,261,225,207,214,227,288,290,409
10/1979,419,308,261,224,207,213,226,287,290,404
11/1979,419,306,259,224,208,213,226,287,289,404
12/1979,418,300,258,222,208,212,227,288,288,403
01/1980,416,297,258,219,207,210,226,286,285,399
02/1980,413,296,253,218,205,210,223,285,279,393
03/1980,411,295,253,217,204,209,220,284,279,393
04/1980,410,295,251,216,204,208,215,282,276,388
05/1980,409,293,252,215,204,207,215,283,273,386
06/1980,410,294,253,214,202,204,215,282,271,384
07/1980,361,302,252,232,235,238,249,263,293,358
08/1980,361,301,252,232,235,238,249,263,291,357
09/1980,358,299,251,230,234,238,248,262,289,356
10/1980,356,293,248,228,232,236,246,261,291,351
11/1980,355,293,248,229,231,235,245,261,289,354
12/1980,351,292,247,227,231,231,246,258,287,350
01/1981,350,292,245,225,229,231,246,258,287,350
02/1981,348,290,244,222,227,230,244,258,284,348
03/1981,346,286,242,222,227,229,242,257,282,344
04/1981,342,287,240,221,226,228,241,256,279,341
05/1981,341,285,237,221,226,227,239,255,276,340
06/1981,339,285,234,221,225,227,238,252,274,338
07/1981,405,266,256,193,204,225,223,234,286,463
08/1981,403,268,252,194,205,225,221,233,284,459
09/1981,400,265,250,194,204,223,220,232,284,454
10/1981,395,262,249,194,203,223,216,231,280,445
11/1981,399,261,249,194,203,220,216,229,280,448
12/1981,396,261,247,194,200,223,217,228,279,447
01/1982,391,256,246,193,201,221,217,227,276,443
02/1982,389,256,246,192,201,220,216,225,275,443
03/1982,389,254,244,191,201,219,215,224,274,438
04/1982,386,253,241,188,200,217,214,223,272,436
05/1982,385,252,241,186,199,215,212,223,271,435
06/1982,383,250,242,186,199,213,211,222,267,432
07/1982,401,296,229,211,195,184,200,257,298,436
08/1982,394,293,229,210,192,185,199,258,296,430
09/1982,396,293,230,211,194,185,200,256,294,425
10/1982,394,292,227,210,193,184,198,254,291,420
11/1982,388,289,226,210,190,184,197,254,288,415
12/1982,389,290,224,210,189,182,197,254,286,416
01/1983,384,289,221,209,187,182,196,254,284,411
02/1983,378,284,221,206,185,182,192,253,282,407
03/1983,376,282,220,206,182,182,192,252,282,407
04/1983,375,279,220,206,182,181,192,251,278,406
05/1983,371,278,219,205,183,181,191,250,275,403
06/1983,370,277,217,205,181,180,191,249,275,402
07/1983,574,251,261,254,196,220,174,250,252,429
08/1983,572,251,261,252,195,219,174,249,251,426
09/1983,570,251,258,250,192,220,172,245,250,424
10/1983,566,252,253,250,190,220,173,244,249,419
11/1983,562,250,251,249,189,220,172,241,248,419
12/1983,561,250,251,248,188,220,172,242,246,417
01/1984,556,249,248,243,188,219,174,242,244,415
02/1984,547,249,247,242,188,219,173,239,244,410
03/1984,540,244,243,242,187,215,171,237,243,407
04/1984,534,242,243,240,188,214,171,236,243,406
05/1984,533,242,243,239,187,213,171,235,242,404
06/1984,529,238,242,237,187,212,170,233,242,399
07/1984,586,256,240,222,210,238,219,254,282,472
08/1984,581,253,238,222,211,237,218,253,282,467
09/1984,575,253,236,221,209,236,216,251,278,464
10/1984,566,249,233,219,206,235,215,249,277,459
11/1984,560,249,229,216,207,232,216,248,275,454
12/1984,551,247,223,212,206,230,215,247,272,447
01/1985,544,245,222,213,203,228,213,245,270,444
02/1985,534,242,221,211,203,225,212,244,269,438
03/1985,531,239,220,211,201,224,212,243,267,433
04/1985,524,239,219,207,198,223,212,240,267,433
05/1985,521,237,217,207,199,223,210,240,264,430
06/1985,516,237,215,204,198,222,208,235,261,426
07/1985,703,291,243,214,201,215,210,226,309,430
08/1985,696,291,242,213,200,214,210,225,305,426
09/1985,687,289,243,211,195,213,210,223,303,419
10/1985,681,287,243,211,192,213,209,221,302,411
11/1985,680,280,242,206,190,212,209,221,301,404
12/1985,675,280,238,207,188,209,208,220,297,400
01/1986,666,278,229,205,188,207,208,219,295,399
02/1986,660,278,230,204,187,207,207,215,294,396
03/1986,655,276,228,203,187,207,207,212,291,397
04/1986,650,272,228,203,188,207,205,209,288,393
05/1986,645,269,225,201,185,207,204,206,287,390
06/1986,635,263,224,199,186,207,201,207,284,386
07/1986,670,365,243,233,207,219,215,272,290,402
08/1986,663,364,242,228,205,217,215,271,289,396
09/1986,658,362,241,224,204,216,215,270,283,389
10/1986,648,357,239,221,202,215,214,268,282,385
11/1986,636,353,236,219,197,213,212,264,277,381
12/1986,627,349,233,217,194,210,210,262,272,377
01/1987,612,340,231,211,191,208,207,259,266,368
02/1987,610,336,228,210,189,208,205,259,265,366
03/1987,610,335,227,209,189,208,205,256,265,363
04/1987,606,333,226,208,188,205,205,252,264,362
05/1987,606,331,225,206,186,204,204,250,263,359
06/1987,601,328,223,206,184,204,204,249,262,359
07/1987,521,343,219,251,205,242,226,285,328,423
08/1987,514,341,218,247,205,240,225,285,327,418
09/1987,507,338,218,246,205,239,225,279,326,412
10/1987,502,333,215,244,204,234,225,279,327,407
11/1987,497,330,215,243,201,231,224,276,324,401
12/1987,491,325,214,241,202,230,223,272,321,394
01/1988,489,323,212,239,200,229,223,270,317,386
02/1988,486,320,209,237,200,226,222,268,317,386
03/1988,480,319,207,235,199,226,220,265,313,381
04/1988,476,318,206,234,199,223,218,262,313,379
05/1988,474,317,204,231,198,217,218,255,313,375
06/1988,466,314,198,228,196,217,217,254,314,372
07/1988,583,319,315,221,209,225,251,263,306,423
08/1988,581,317,311,218,208,224,248,262,304,418
09/1988,577,317,310,217,204,220,247,259,300,412
10/1988,570,317,307,216,203,217,245,257,299,408
11/1988,567,315,303,215,198,215,245,257,297,407
