date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,97,78,77,82,88,77,76,78,86,80
08/1963,97,78,78,82,88,77,76,78,86,80
09/1963,97,78,78,82,88,77,76,78,86,80
10/1963,97,78,78,82,88,77,76,78,86,80
11/1963,97,77,77,82,88,77,76,78,86,80
12/1963,97,78,78,82,88,77,76,78,86,78
01/1964,97,77,78,82,88,77,76,77,86,80
02/1964,97,78,78,82,88,77,75,78,86,80
03/1964,96,78,78,82,88,77,75,78,86,80
04/1964,97,78,78,82,88,77,76,78,86,79
05/1964,97,78,78,82,88,77,76,78,86,80
06/1964,97,78,78,82,88,77,76,78,86,80
07/1964,119,94,94,101,97,96,88,84,95,96
08/1964,119,95,94,102,97,96,88,84,94,96
09/1964,119,95,94,102,97,96,88,84,95,96
10/1964,119,95,94,102,97,96,88,83,95,96
11/1964,119,95,94,102,97,96,88,84,95,96
12/1964,119,95,94,102,97,96,88,84,95,96
01/1965,119,95,94,102,97,96,88,84,95,96
02/1965,119,95,94,102,97,96,88,84,95,96
03/1965,119,95,93,102,97,96,88,84,95,96
04/1965,119,95,94,102,97,96,88,84,95,96
05/1965,119,95,94,102,97,96,88,84,95,96
06/1965,119,95,93,102,97,96,88,84,95,96
07/1965,131,108,111,119,103,99,99,95,103,101
08/1965,131,108,111,119,103,99,99,95,103,101
09/1965,131,108,111,119,103,99,99,95,103,101
10/1965,130,108,111,119,103,99,99,95,103,101
11/1965,130,108,111,119,103,99,99,95,103,101
12/1965,130,108,110,119,103,99,98,95,103,101
01/1966,129,108,110,119,102,98,98,94,102,101
02/1966,130,108,111,119,103,99,99,95,103,101
03/1966,130,108,111,119,103,99,99,95,103,101
04/1966,131,108,111,118,103,99,99,95,103,101
05/1966,131,108,111,117,103,98,98,95,103,101
06/1966,131,108,111,117,103,99,99,95,103,101
07/1966,152,127,116,125,124,112,106,99,114,114
08/1966,152,127,116,125,124,112,107,99,114,114
09/1966,152,127,116,125,124,112,107,99,114,114
10/1966,151,127,116,125,124,112,107,99,114,114
11/1966,151,127,116,125,124,112,107,99,114,114
12/1966,151,127,116,125,124,112,107,99,114,114
01/1967,151,127,116,125,124,112,107,99,114,114
02/1967,150,127,116,125,124,112,107,99,114,114
03/1967,151,127,116,125,124,112,107,99,114,114
04/1967,151,127,116,125,124,112,107,99,114,114
05/1967,151,126,116,125,124,112,107,99,114,114
06/1967,151,126,116,125,124,112,107,99,113,114
07/1967,190,149,147,159,145,128,135,117,130,132
08/1967,190,149,147,159,145,128,135,117,129,132
09/1967,189,149,146,159,145,128,134,117,129,132
10/1967,188,149,146,159,145,128,135,117,130,132
11/1967,188,149,144,159,145,128,135,117,130,132
12/1967,188,149,144,158,145,128,135,117,129,132
01/1968,188,149,145,158,145,128,135,117,130,132
02/1968,186,149,145,158,145,128,135,115,129,132
03/1968,186,149,145,158,145,128,135,115,130,132
04/1968,186,149,144,158,145,128,135,115,130,132
05/1968,185,149,144,158,145,128,135,115,130,132
06/1968,185,149,144,157,144,127,135,115,130,132
07/1968,197,161,161,167,159,130,150,128,124,142
08/1968,197,161,160,166,158,130,150,128,123,142
09/1968,197,161,160,166,158,130,150,128,123,142
10/1968,196,161,160,166,158,130,149,127,123,142
11/1968,195,161,160,166,157,130,150,127,123,142
12/1968,196,161,160,166,158,130,150,127,122,142
01/1969,196,161,160,165,158,130,150,127,122,142
02/1969,195,160,160,165,158,129,149,127,122,142
03/1969,195,160,160,165,158,129,149,127,122,142
04/1969,195,160,160,164,157,129,148,127,121,142
05/1969,195,159,159,164,157,129,149,126,122,142
06/1969,195,159,159,165,157,129,149,127,122,142
07/1969,210,172,176,180,160,166,146,152,140,149
08/1969,208,171,176,180,160,166,146,152,140,149
09/1969,208,171,176,180,160,165,146,152,140,149
10/1969,208,172,176,180,159,165,146,151,140,148
11/1969,208,171,176,180,159,165,145,152,140,149
12/1969,208,171,176,180,159,165,146,152,140,149
01/1970,208,172,176,180,159,165,146,152,140,149
02/1970,208,172,175,179,158,164,146,152,140,149
03/1970,207,172,176,180,159,165,146,152,140,149
04/1970,206,171,176,180,159,165,146,152,140,149
05/1970,206,171,176,180,159,165,146,152,140,148
06/1970,205,171,176,178,159,165,146,152,138,147
07/1970,224,193,202,188,169,178,163,161,149,161
08/1970,224,192,201,187,170,177,163,161,149,161
09/1970,223,192,200,186,170,177,162,161,149,161
10/1970,222,191,199,187,170,177,162,161,148,160
11/1970,222,190,197,187,170,177,162,161,148,160
12/1970,220,190,196,187,170,177,162,160,148,159
01/1971,218,189,197,186,170,175,162,160,148,159
02/1971,218,189,197,186,170,175,160,160,148,157
03/1971,217,189,197,183,170,175,160,160,148,156
04/1971,217,189,196,183,170,175,159,159,147,156
05/1971,212,188,196,183,169,175,159,160,146,154
06/1971,209,188,196,182,169,174,157,160,146,153
07/1971,219,202,198,190,183,165,167,173,153,181
08/1971,217,202,198,190,183,165,167,172,153,180
09/1971,217,201,198,190,183,165,167,172,153,180
10/1971,218,201,197,190,183,165,167,172,153,180
11/1971,218,201,197,190,183,165,167,172,153,180
12/1971,217,200,197,190,182,165,167,172,153,180
01/1972,215,200,196,190,182,165,166,171,153,180
02/1972,213,199,196,190,182,165,166,171,153,180
03/1972,211,199,196,189,182,165,166,171,153,180
04/1972,211,199,196,189,181,165,166,170,153,180
05/1972,211,199,196,188,181,164,166,170,153,179
06/1972,211,198,196,188,181,164,166,169,153,178
07/1972,248,202,192,201,171,192,166,195,168,192
08/1972,248,202,192,200,171,191,166,195,168,192
09/1972,246,201,192,200,170,189,165,195,168,192
10/1972,245,200,192,200,170,188,165,195,168,192
11/1972,245,199,192,199,170,188,165,195,168,192
12/1972,244,199,192,200,170,188,165,195,168,192
01/1973,242,199,191,200,170,188,165,195,167,192
02/1973,242,199,191,200,170,188,165,194,167,192
03/1973,241,199,191,200,170,187,165,193,167,190
04/1973,241,198,190,199,170,186,165,192,167,190
05/1973,241,197,190,198,170,185,165,193,167,190
06/1973,241,195,190,194,170,185,164,192,165,190
07/1973,305,259,243,248,232,221,246,231,240,277
08/1973,306,258,241,248,231,221,246,231,239,276
09/1973,305,257,242,248,230,221,245,229,240,274
10/1973,303,256,242,247,230,221,244,229,240,273
11/1973,303,257,242,246,230,221,245,228,240,273
12/1973,301,256,242,246,228,221,244,228,240,273
01/1974,302,257,239,246,229,221,243,227,240,273
02/1974,299,256,239,245,228,220,243,226,236,272
03/1974,298,255,238,243,226,220,243,227,235,270
04/1974,297,253,238,244,227,220,242,227,235,270
05/1974,295,252,237,242,226,219,241,226,235,270
06/1974,293,254,236,242,224,217,241,226,235,270
07/1974,368,320,309,302,262,275,276,289,309,398
08/1974,366,320,309,301,262,274,275,287,310,398
09/1974,364,321,308,299,258,274,274,285,307,395
