date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,53,52,53,53,52,52,53,52,52,52
08/1963,53,52,53,53,52,52,54,52,52,52
09/1963,53,52,53,53,52,52,54,52,52,52
10/1963,53,52,53,53,52,52,54,52,52,52
11/1963,53,52,53,53,52,52,54,52,52,52
12/1963,53,52,52,53,52,52,54,52,52,52
01/1964,53,52,52,52,52,52,54,52,52,52
02/1964,53,52,53,53,52,52,54,52,52,52
03/1964,53,52,53,53,52,52,54,52,52,52
04/1964,53,52,53,53,52,52,54,52,52,52
05/1964,53,52,53,53,52,52,54,52,52,52
06/1964,53,52,53,53,52,52,54,52,52,52
07/1964,98,88,86,79,79,80,80,78,83,86
08/1964,98,88,86,79,79,80,79,79,83,87
09/1964,98,88,86,79,79,80,80,79,83,87
10/1964,98,88,86,79,79,80,80,78,83,87
11/1964,98,88,86,79,79,80,80,79,83,87
12/1964,98,88,86,79,79,80,80,79,83,87
01/1965,98,88,86,79,79,80,80,79,83,87
02/1965,98,88,86,79,79,80,80,79,83,87
03/1965,98,88,86,79,79,80,80,79,82,87
04/1965,98,88,86,79,79,80,80,79,83,87
05/1965,98,88,86,79,79,80,80,79,83,87
06/1965,98,88,86,79,79,80,80,78,83,87
07/1965,108,95,105,84,95,84,89,90,103,117
08/1965,108,95,105,84,95,84,89,90,103,117
09/1965,108,95,105,84,95,84,89,90,103,117
10/1965,108,95,105,84,94,84,89,90,103,117
11/1965,108,95,105,84,94,84,89,90,103,117
12/1965,108,95,104,84,94,84,88,90,103,117
01/1966,108,95,103,84,94,84,86,90,103,117
02/1966,108,95,104,84,94,84,89,90,103,117
03/1966,108,95,105,84,94,84,89,90,103,117
04/1966,108,95,105,84,95,84,89,90,103,117
05/1966,108,95,105,84,95,83,89,90,103,115
06/1966,108,95,105,84,95,84,89,90,103,116
07/1966,125,109,109,104,97,100,98,98,96,136
08/1966,125,109,109,104,97,100,98,98,96,137
09/1966,125,109,109,104,97,100,98,98,96,137
10/1966,125,109,109,104,97,100,98,98,96,137
11/1966,125,109,109,104,97,100,98,98,96,137
12/1966,125,109,109,104,97,100,98,98,96,137
01/1967,125,109,109,104,97,100,98,98,96,137
02/1967,125,108,109,104,97,100,98,98,96,137
03/1967,125,109,109,104,97,100,98,98,96,137
04/1967,125,109,109,104,97,100,98,98,96,137
05/1967,124,109,109,104,97,100,98,98,96,137
06/1967,124,109,109,104,97,100,98,98,96,136
07/1967,143,125,109,117,104,105,113,107,111,155
08/1967,143,125,109,117,104,104,112,107,111,156
09/1967,143,125,109,117,104,104,112,107,111,155
10/1967,143,125,109,117,104,104,113,107,110,155
11/1967,143,124,109,117,104,104,112,107,111,155
12/1967,143,123,109,117,104,104,112,107,111,154
01/1968,143,123,109,117,104,104,112,107,111,155
02/1968,143,122,108,117,104,103,112,107,111,153
03/1968,143,122,108,117,104,104,112,107,111,153
04/1968,143,122,108,117,104,104,111,107,111,152
05/1968,143,122,108,117,104,104,111,107,111,152
06/1968,142,122,108,117,104,104,111,105,111,152
07/1968,163,147,133,113,114,125,124,133,140,228
08/1968,163,147,133,113,114,125,123,132,139,227
09/1968,163,147,133,113,114,125,123,132,139,227
10/1968,163,147,133,113,114,124,123,131,139,226
11/1968,163,147,133,113,114,125,123,131,139,224
12/1968,163,147,133,113,114,124,123,131,139,226
01/1969,163,147,133,113,114,124,123,131,139,225
02/1969,163,147,133,113,114,123,123,130,139,223
03/1969,163,147,133,113,114,123,123,130,139,223
04/1969,162,147,133,113,114,123,123,130,138,221
05/1969,163,147,133,113,114,123,122,129,138,221
06/1969,163,147,133,113,114,123,122,130,138,221
07/1969,196,173,140,151,127,120,126,143,124,210
08/1969,196,173,140,151,127,120,126,142,123,209
09/1969,196,173,139,151,127,120,126,143,122,209
10/1969,196,173,139,150,126,120,125,143,123,209
11/1969,195,173,139,150,127,119,126,143,123,209
12/1969,195,173,139,150,127,120,126,143,123,209
01/1970,196,173,139,150,127,120,126,143,123,209
02/1970,195,172,139,149,127,120,126,143,122,209
03/1970,196,172,139,151,127,120,126,143,122,209
04/1970,194,173,139,151,126,120,126,142,122,209
05/1970,194,172,139,151,126,120,126,142,122,209
06/1970,194,171,138,151,126,119,126,141,122,207
07/1970,248,187,150,138,141,136,139,134,140,228
08/1970,246,186,150,137,141,136,139,134,141,228
09/1970,246,185,149,137,141,136,139,134,141,226
10/1970,246,184,149,137,141,135,139,134,140,225
11/1970,245,184,149,137,141,134,139,134,140,224
12/1970,244,184,148,136,141,133,139,134,140,223
01/1971,243,184,148,136,139,133,139,134,138,223
02/1971,242,183,148,135,139,133,139,133,138,223
03/1971,239,182,148,135,139,133,139,133,138,222
04/1971,239,182,147,135,139,133,139,133,137,220
05/1971,238,182,148,133,139,133,139,133,134,216
06/1971,237,179,147,133,139,133,139,132,134,214
07/1971,220,185,155,137,129,151,161,152,167,272
08/1971,219,185,155,137,128,151,160,152,166,272
09/1971,219,185,155,137,128,151,160,151,166,272
10/1971,219,185,155,137,128,151,160,151,167,271
11/1971,219,185,155,137,128,151,160,151,167,271
12/1971,219,185,154,137,128,151,159,151,167,269
01/1972,219,185,154,137,128,150,159,151,166,266
02/1972,219,185,154,137,128,149,159,151,165,265
03/1972,218,185,154,137,128,150,159,150,164,264
04/1972,218,184,154,137,128,150,159,150,163,264
05/1972,219,184,154,137,127,150,159,150,163,261
06/1972,218,184,154,137,126,150,159,150,162,261
07/1972,233,162,138,152,154,166,152,173,190,280
08/1972,233,163,138,152,154,166,152,173,190,276
09/1972,232,163,138,151,154,165,152,170,188,277
10/1972,232,163,136,151,154,165,152,170,187,277
11/1972,232,163,136,150,154,164,152,170,187,277
12/1972,232,163,136,150,154,165,151,170,187,277
01/1973,231,162,136,150,154,165,151,171,187,276
02/1973,231,162,136,150,154,165,150,171,187,276
03/1973,229,162,135,150,153,165,150,171,187,276
04/1973,230,160,135,150,152,165,150,171,186,274
05/1973,229,160,135,150,153,165,150,171,185,273
06/1973,226,158,134,150,153,165,149,170,185,271
07/1973,257,173,170,160,157,162,153,163,186,300
08/1973,256,174,169,160,157,162,153,162,186,297
09/1973,255,174,169,160,156,161,153,161,186,299
10/1973,255,173,168,160,156,161,153,162,186,296
11/1973,254,173,168,160,156,161,152,162,184,297
12/1973,255,173,168,160,156,161,152,162,184,294
01/1974,254,173,168,160,156,160,152,162,185,295
02/1974,252,171,165,160,156,160,152,162,185,292
03/1974,250,171,165,158,154,160,152,162,184,292
04/1974,250,171,165,158,154,160,151,162,184,291
05/1974,251,171,165,156,153,159,151,162,183,290
06/1974,249,171,165,156,153,159,151,162,182,287
