date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,76,38,196,391,161,194,307,231,173,194
08/1963,74,126,151,273,252,281,98,286,135,288
09/1963,86,40,110,278,147,399,114,289,287,213
10/1963,72,68,102,178,427,212,137,239,319,209
11/1963,50,69,108,294,269,280,236,254,202,201
12/1963,76,59,229,211,271,304,334,149,215,121
01/1964,50,124,161,149,197,464,306,211,165,132
02/1964,50,121,118,194,294,307,355,171,249,115
03/1964,89,148,148,118,280,340,281,208,246,118
04/1964,66,91,217,161,283,197,351,301,155,160
05/1964,79,88,243,225,140,184,322,335,240,140
06/1964,70,183,145,102,256,260,231,372,214,165
07/1964,94,126,142,348,186,293,274,159,235,145
08/1964,71,211,98,313,187,252,366,115,317,81
09/1964,116,127,179,275,318,245,277,156,193,133
10/1964,175,257,130,256,278,180,90,294,292,66
11/1964,128,213,268,145,238,208,288,336,97,101
12/1964,129,255,274,211,119,226,164,302,282,62
01/1965,119,246,231,210,174,115,303,323,207,98
02/1965,126,255,271,270,208,193,124,392,145,45
03/1965,92,376,309,128,171,295,158,297,87,121
04/1965,244,212,211,238,318,197,265,117,119,113
05/1965,160,157,306,372,151,271,224,165,145,90
06/1965,151,168,288,192,311,374,116,145,184,117
07/1965,125,171,348,174,484,188,95,192,158,116
08/1965,113,234,234,183,422,163,241,136,144,190
09/1965,66,278,296,331,206,176,203,203,152,154
10/1965,35,359,279,184,146,287,130,255,229,154
11/1965,195,195,273,243,198,223,212,203,160,156
12/1965,190,278,290,345,135,183,140,160,185,158
01/1966,228,297,185,369,149,179,228,158,122,137
02/1966,332,148,267,205,320,152,199,195,111,138
03/1966,334,199,215,209,275,248,146,179,124,138
04/1966,334,321,194,213,211,204,131,132,185,138
05/1966,247,391,92,285,194,234,158,195,100,160
06/1966,185,369,288,228,83,170,292,257,98,95
07/1966,122,346,275,195,293,144,179,250,200,60
08/1966,188,191,275,191,364,202,75,295,228,71
09/1966,117,159,267,259,329,167,345,185,143,111
10/1966,118,223,174,320,246,263,187,215,239,101
11/1966,124,160,298,168,357,264,122,202,136,258
12/1966,175,171,269,216,320,241,170,299,187,42
01/1967,155,314,227,298,95,223,273,236,218,44
02/1967,163,302,111,347,334,252,230,59,210,79
03/1967,171,256,309,272,340,195,214,87,177,68
04/1967,250,305,223,242,188,296,242,98,158,84
05/1967,235,154,314,309,220,219,214,219,140,64
06/1967,235,170,450,237,300,244,106,168,115,59
07/1967,169,284,372,237,281,323,90,136,127,65
08/1967,162,354,287,223,391,152,105,232,117,55
09/1967,163,321,267,213,308,147,250,234,117,58
10/1967,232,174,154,246,413,264,64,335,139,56
11/1967,251,147,225,143,381,327,228,130,161,89
12/1967,159,247,145,206,246,293,281,253,193,59
01/1968,146,71,209,308,242,345,291,230,173,62
02/1968,204,213,242,70,300,292,187,293,161,106
03/1968,203,275,158,211,209,280,147,181,294,115
04/1968,305,149,200,164,237,288,116,233,117,271
05/1968,143,331,145,276,212,215,186,218,236,123
06/1968,152,310,369,187,158,142,176,238,231,125
07/1968,150,332,229,154,304,168,205,186,258,94
08/1968,98,360,199,182,185,240,197,304,225,79
09/1968,68,365,301,184,234,330,152,134,251,62
10/1968,72,201,382,323,337,129,185,195,192,66
11/1968,123,256,69,315,397,274,145,333,82,91
12/1968,132,225,203,224,395,166,335,144,156,112
01/1969,194,113,217,443,98,294,258,126,264,88
02/1969,229,95,156,307,362,294,151,241,170,90
03/1969,93,222,289,131,95,311,441,282,166,79
04/1969,142,100,209,263,214,208,355,368,170,85
05/1969,91,142,238,249,236,172,402,391,122,88
06/1969,71,248,223,264,281,288,143,165,336,120
07/1969,51,124,214,261,251,213,284,169,245,338
08/1969,52,137,157,197,213,291,465,180,265,203
09/1969,63,191,161,194,295,465,167,159,332,149
10/1969,124,209,225,110,387,204,250,176,282,216
11/1969,54,285,232,334,266,221,143,370,130,154
12/1969,147,204,220,379,234,135,376,219,151,132
01/1970,205,166,194,324,266,385,231,157,195,80
02/1970,207,216,325,326,236,289,182,241,110,80
03/1970,180,249,228,298,273,315,373,105,138,73
04/1970,176,272,143,247,219,342,403,67,183,189
05/1970,151,130,191,157,233,398,407,241,151,183
06/1970,84,204,164,182,160,483,383,279,155,153
07/1970,56,221,107,256,250,342,389,161,365,99
08/1970,62,211,114,192,353,192,240,267,325,296
09/1970,89,197,81,205,278,228,143,411,347,277
10/1970,84,186,230,142,210,149,286,265,288,424
11/1970,94,149,171,175,239,147,294,331,338,335
12/1970,54,181,183,176,202,276,336,161,368,344
01/1971,58,181,144,82,325,302,213,351,411,212
02/1971,63,210,355,207,243,236,310,344,113,206
03/1971,102,179,274,298,321,139,239,416,161,160
04/1971,47,89,358,293,200,277,271,292,313,150
05/1971,181,177,274,306,233,261,86,384,240,153
06/1971,245,268,315,147,228,178,301,227,258,135
07/1971,218,139,368,241,279,197,106,404,161,194
08/1971,38,244,305,283,314,156,302,325,249,102
09/1971,72,337,95,347,298,119,228,332,435,69
10/1971,136,170,354,220,196,173,392,129,445,130
11/1971,132,189,151,259,319,235,265,434,230,141
12/1971,54,240,185,252,257,266,336,378,189,213
01/1972,80,168,138,315,395,360,238,212,298,178
02/1972,103,187,346,299,406,305,154,252,181,161
03/1972,74,178,357,416,252,361,243,160,245,118
04/1972,141,169,448,320,423,242,101,130,189,251
05/1972,254,175,191,487,383,158,161,225,204,188
06/1972,148,326,168,473,300,220,302,186,188,120
07/1972,165,239,214,403,445,230,316,134,105,183
08/1972,176,245,266,231,315,390,205,268,194,153
09/1972,180,216,297,215,341,267,254,392,176,117
10/1972,126,283,337,263,194,290,348,257,205,163
11/1972,171,183,346,162,163,388,339,213,224,286
12/1972,142,170,243,483,186,306,329,148,192,293
01/1973,306,364,365,437,562,653,658,863,618,495
02/1973,293,613,481,210,504,725,984,714,311,510
03/1973,350,512,429,446,610,383,847,965,467,330
04/1973,379,331,581,497,761,864,407,853,340,277
05/1973,308,608,426,811,1022,302,443,445,615,276
06/1973,294,594,273,488,747,994,600,497,553,155
07/1973,303,424,745,624,353,694,729,800,383,94
08/1973,370,350,563,506,725,728,716,698,318,144
09/1973,283,290,700,753,316,1022,522,325,727,136
10/1973,300,361,496,586,602,765,590,727,302,298
11/1973,415,374,446,588,309,852,699,704,360,281
12/1973,368,339,851,334,598,454,672,629,546,150
01/1974,343,528,304,507,377,819,746,736,361,133
02/1974,388,279,426,285,1022,433,797,638,433,135
03/1974,364,404,378,313,833,667,660,586,520,90
04/1974,264,419,521,854,620,460,538,494,518,123
05/1974,263,416,547,964,568,680,396,321,364,280
06/1974,291,544,568,720,376,515,605,524,358,269
07/1974,442,346,880,251,585,416,629,275,668,259
08/1974,461,267,725,511,774,583,424,473,199,306
09/1974,488,523,663,396,605,641,512,260,359,232
10/1974,201,537,771,670,571,334,380,609,267,308
