date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,46,45,45,46,45,46,45,45,45,45
08/1963,46,45,45,47,45,46,45,45,45,45
09/1963,46,45,45,47,45,46,45,45,45,45
10/1963,46,45,45,47,45,46,45,45,45,45
11/1963,46,45,45,47,45,46,45,45,45,45
12/1963,46,45,45,47,45,46,45,45,44,45
01/1964,46,45,45,46,45,46,45,44,45,45
02/1964,46,45,45,47,45,46,45,45,45,45
03/1964,46,45,45,47,45,46,45,45,45,45
04/1964,46,45,45,47,45,46,45,45,45,45
05/1964,46,45,45,47,45,46,45,45,45,45
06/1964,46,45,45,47,45,46,45,45,45,45
07/1964,86,77,73,70,71,70,65,75,69,79
08/1964,86,77,73,70,71,70,66,75,70,79
09/1964,86,77,73,70,71,70,66,75,70,79
10/1964,86,77,73,70,71,70,66,75,70,79
11/1964,86,77,73,70,71,70,66,75,70,79
12/1964,86,77,73,70,71,70,66,75,70,79
01/1965,86,77,73,70,71,70,66,75,70,79
02/1965,86,77,73,70,71,70,66,75,70,79
03/1965,86,77,73,70,71,70,66,75,69,79
04/1965,86,77,73,70,71,70,66,75,70,79
05/1965,86,77,73,70,71,70,66,75,70,79
06/1965,86,77,73,70,71,70,66,74,70,79
07/1965,87,91,81,83,79,81,89,88,97,92
08/1965,87,91,81,83,79,81,89,88,97,92
09/1965,87,91,81,83,79,81,89,88,97,92
10/1965,87,91,80,83,79,81,89,88,97,92
11/1965,87,91,80,83,79,81,89,88,97,92
12/1965,87,91,80,83,79,80,89,88,97,91
01/1966,87,91,80,83,79,79,89,88,96,92
02/1966,87,91,80,82,79,81,89,88,97,92
03/1966,87,91,80,83,79,81,89,88,97,92
04/1966,87,91,81,83,79,81,89,88,97,92
05/1966,87,91,80,83,79,80,88,88,97,92
06/1966,87,91,81,83,79,80,89,88,97,92
07/1966,107,107,85,86,84,95,90,98,110,104
08/1966,107,107,85,86,84,95,91,98,110,104
09/1966,107,107,85,86,84,95,91,98,110,104
10/1966,107,107,85,86,84,95,91,98,110,104
