date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1973,,,,,,,,,
08/1963,1975,,,,,,,,,
09/1963,1974,,,,,,,,,
10/1963,1974,,,,,,,,,
11/1963,1974,,,,,,,,,
12/1963,1980,,,,,,,,,
01/1964,1970,,,,,,,,,
02/1964,1985,,,,,,,,,
03/1964,1987,,,,,,,,,
04/1964,1993,,,,,,,,,
05/1964,2007,,,,,,,,,
06/1964,2009,,,,,,,,,
07/1964,2013,,,,,,,,,
08/1964,2022,,,,,,,,,
09/1964,2030,,,,,,,,,
10/1964,2029,,,,,,,,,
11/1964,2033,,,,,,,,,
12/1964,2035,,,,,,,,,
01/1965,2037,,,,,,,,,
02/1965,2040,,,,,,,,,
03/1965,2045,,,,,,,,,
04/1965,2045,,,,,,,,,
05/1965,2051,,,,,,,,,
06/1965,2055,,,,,,,,,
07/1965,2060,,,,,,,,,
08/1965,2069,,,,,,,,,
09/1965,2074,,,,,,,,,
10/1965,2067,,,,,,,,,
11/1965,2067,,,,,,,,,
12/1965,2073,,,,,,,,,
01/1966,2061,,,,,,,,,
02/1966,2075,,,,,,,,,
03/1966,2076,,,,,,,,,
04/1966,2072,,,,,,,,,
05/1966,2065,,,,,,,,,
06/1966,2074,,,,,,,,,
07/1966,2073,,,,,,,,,
08/1966,2089,,,,,,,,,
09/1966,2091,,,,,,,,,
10/1966,2095,,,,,,,,,
11/1966,2098,,,,,,,,,
12/1966,2099,,,,,,,,,
01/1967,2092,,,,,,,,,
02/1967,2096,,,,,,,,,
03/1967,2098,,,,,,,,,
04/1967,2095,,,,,,,,,
05/1967,2097,,,,,,,,,
06/1967,2093,,,,,,,,,
07/1967,2093,,,,,,,,,
08/1967,2086,,,,,,,,,
09/1967,2087,,,,,,,,,
10/1967,2086,,,,,,,,,
11/1967,2091,,,,,,,,,
12/1967,2091,,,,,,,,,
01/1968,2086,,,,,,,,,
02/1968,2077,,,,,,,,,
03/1968,2081,,,,,,,,,
04/1968,2088,,,,,,,,,
05/1968,2093,,,,,,,,,
06/1968,2095,,,,,,,,,
07/1968,2088,,,,,,,,,
08/1968,2077,,,,,,,,,
09/1968,2089,,,,,,,,,
10/1968,2089,,,,,,,,,
11/1968,2092,,,,,,,,,
12/1968,2099,,,,,,,,,
01/1969,2102,,,,,,,,,
02/1969,2102,,,,,,,,,
03/1969,2116,,,,,,,,,
04/1969,2121,,,,,,,,,
05/1969,2138,,,,,,,,,
06/1969,2146,,,,,,,,,
07/1969,2157,,,,,,,,,
