date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,573,217,175,149,146,139,133,135,139,143
09/1963,587,211,163,148,142,134,141,134,144,142
10/1963,598,205,173,141,145,138,133,141,136,139
11/1963,587,207,177,158,135,132,142,142,129,140
12/1963,582,205,168,171,140,133,139,133,138,140
01/1964,586,195,174,161,150,132,139,128,132,139
02/1964,593,198,182,160,143,138,130,134,136,133
03/1964,600,205,174,148,149,129,138,142,134,132
04/1964,592,214,173,159,141,141,137,138,131,138
05/1964,570,231,171,163,134,141,154,135,133,142
06/1964,567,229,168,157,142,140,156,142,133,140
07/1964,561,231,170,156,150,139,142,148,129,145
08/1964,585,208,184,148,155,143,143,133,134,148
09/1964,575,232,180,157,152,142,135,140,141,146
10/1964,594,214,178,161,142,150,138,142,136,142
11/1964,610,205,182,157,145,145,144,144,135,142
12/1964,601,212,188,149,148,149,138,134,147,143
01/1965,603,219,176,158,152,136,139,148,133,149
02/1965,612,208,177,158,149,146,138,146,132,146
03/1965,601,228,177,156,140,145,149,141,135,138
04/1965,608,225,193,149,151,136,141,143,128,139
05/1965,630,214,189,167,146,134,138,135,133,131
06/1965,633,220,184,163,147,147,135,130,131,135
07/1965,616,233,175,175,138,143,133,136,137,138
08/1965,606,232,187,155,152,146,144,133,143,138
09/1965,555,269,174,177,159,140,142,139,140,145
10/1965,549,247,201,167,159,144,150,148,131,145
11/1965,552,250,192,159,162,154,145,149,142,137
12/1965,559,246,202,164,160,155,137,139,141,144
01/1966,568,252,193,159,148,156,134,142,135,143
02/1966,595,244,196,159,150,149,134,133,142,142
03/1966,596,242,205,153,157,138,142,140,139,140
04/1966,577,270,184,149,161,154,137,140,134,147
05/1966,603,232,185,162,148,148,142,135,148,144
06/1966,585,244,186,169,150,139,141,142,136,155
07/1966,581,237,181,171,161,138,147,135,148,142
08/1966,563,230,192,177,157,140,154,143,139,152
09/1966,548,235,201,173,153,146,144,145,146,165
10/1966,554,205,215,166,154,155,147,156,144,164
11/1966,531,244,190,177,156,154,153,154,146,169
12/1966,544,228,206,166,156,155,148,156,144,171
01/1967,544,249,199,171,155,154,153,135,145,165
02/1967,564,256,198,172,147,148,153,141,139,153
03/1967,588,269,182,170,154,143,144,140,142,144
04/1967,601,248,202,165,151,143,146,141,140,139
05/1967,612,235,206,162,143,151,148,146,134,139
06/1967,601,242,196,173,154,148,140,140,135,140
07/1967,619,233,187,166,155,141,145,136,138,137
08/1967,625,241,180,164,147,145,140,142,130,137
09/1967,618,245,188,153,148,149,139,141,133,138
10/1967,588,264,186,161,163,138,134,142,132,140
11/1967,602,253,172,169,156,151,135,132,136,142
12/1967,608,239,190,167,144,147,137,131,142,142
01/1968,583,270,187,169,138,133,144,141,139,142
02/1968,599,263,194,157,144,137,130,134,138,145
03/1968,591,274,193,166,138,148,127,132,129,148
04/1968,609,246,197,163,141,139,147,131,132,146
05/1968,580,261,200,167,155,143,135,133,135,141
06/1968,609,261,195,166,150,140,130,128,134,138
07/1968,631,258,197,153,150,134,132,130,128,134
08/1968,616,267,196,149,159,134,130,124,130,130
09/1968,597,267,201,165,160,136,130,130,129,130
10/1968,580,283,193,170,150,131,141,133,124,132
11/1968,565,268,227,164,152,134,134,138,125,131
12/1968,584,276,204,165,147,138,138,131,123,133
01/1969,544,307,193,176,150,136,142,135,124,136
02/1969,550,295,201,174,148,140,138,130,128,142
03/1969,553,295,189,170,148,148,147,136,130,140
04/1969,547,306,186,172,158,143,138,136,126,148
05/1969,540,299,211,174,155,144,135,136,135,142
06/1969,578,296,200,167,146,142,138,134,137,147
07/1969,586,289,205,163,159,139,139,134,137,146
08/1969,578,286,187,183,160,150,143,141,144,140
09/1969,530,291,216,191,160,159,143,143,145,144
10/1969,531,268,220,202,174,149,150,145,148,143
11/1969,578,272,215,178,170,149,155,138,141,151
12/1969,614,261,214,174,164,149,160,139,140,150
01/1970,633,246,209,170,173,163,150,142,137,148
02/1970,597,273,192,195,171,152,149,152,144,150
03/1970,601,259,209,185,158,160,156,155,145,159
04/1970,592,265,204,176,169,168,163,145,154,160
05/1970,594,259,203,185,180,177,144,146,159,154
06/1970,611,263,206,199,181,155,160,141,147,154
07/1970,602,261,224,191,180,157,159,150,144,154
08/1970,576,277,210,203,172,169,157,155,147,159
09/1970,527,322,213,198,184,162,161,153,147,164
10/1970,549,314,226,173,192,171,159,148,139,166
11/1970,580,307,216,202,175,173,152,145,143,154
12/1970,583,303,225,211,176,170,153,139,140,146
01/1971,581,294,237,193,188,166,161,143,135,149
02/1971,654,285,208,194,174,160,161,138,139,141
03/1971,695,279,202,185,168,149,159,147,136,141
04/1971,711,263,223,189,160,160,136,139,143,141
05/1971,705,276,218,183,169,149,145,142,132,148
06/1971,696,275,214,195,163,153,144,143,141,146
07/1971,669,282,221,196,165,149,152,146,143,148
08/1971,624,294,242,209,161,152,152,139,152,157
09/1971,610,314,230,193,177,158,152,152,150,161
10/1971,650,279,239,199,178,154,154,148,149,160
11/1971,663,285,222,197,181,160,158,146,148,163
12/1971,670,290,215,198,186,174,155,145,143,157
01/1972,620,331,230,199,185,175,154,150,148,149
02/1972,673,312,240,185,187,155,147,154,146,147
03/1972,697,331,210,188,174,163,156,146,145,146
04/1972,728,315,218,171,181,163,156,142,149,148
05/1972,729,303,225,189,180,157,152,145,149,152
06/1972,701,333,204,189,180,170,162,149,142,160
07/1972,701,309,214,196,187,174,159,155,153,155
08/1972,636,359,224,196,182,180,159,163,155,157
