date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,330,116,111,114,111,364,,,83,564
08/1963,329,116,111,114,111,362,,,83,562
09/1963,327,115,111,114,111,360,,,83,559
10/1963,324,115,111,114,111,359,,,83,557
11/1963,320,115,111,114,110,357,,,81,555
12/1963,321,114,110,114,110,357,,,81,551
01/1964,317,115,110,114,108,355,,,80,540
02/1964,318,115,110,114,109,355,,,80,545
03/1964,316,115,109,114,109,355,,,80,538
04/1964,318,115,109,114,108,353,,,80,539
05/1964,318,115,109,114,108,352,,,80,539
06/1964,315,115,109,114,107,351,,,80,534
07/1964,153,131,124,126,137,970,,,122,133
08/1964,153,131,123,126,136,965,,,123,133
09/1964,153,131,123,126,137,966,,,123,133
10/1964,152,131,123,126,136,960,,,122,130
11/1964,152,130,123,125,137,959,,,121,130
12/1964,152,130,123,125,137,953,,,121,130
01/1965,152,130,123,125,135,949,,,119,130
02/1965,152,129,123,125,134,945,,,119,130
03/1965,152,129,121,125,133,943,,,115,130
04/1965,152,129,122,125,133,934,,,116,129
05/1965,151,129,122,124,132,933,,,114,129
06/1965,151,129,122,124,132,928,,,113,129
07/1965,152,126,127,124,129,1017,,,141,135
08/1965,152,125,127,125,129,1018,,,141,134
09/1965,151,125,127,125,129,1012,,,141,134
10/1965,151,124,126,125,129,1001,,,141,134
11/1965,150,123,126,124,129,997,,,139,134
12/1965,149,123,126,124,128,995,,,139,134
01/1966,149,123,125,124,126,981,,,138,132
02/1966,150,123,125,123,128,984,,,138,131
03/1966,150,123,125,123,128,980,,,138,130
04/1966,150,123,125,123,127,976,,,137,129
05/1966,149,123,125,123,127,966,,,136,128
06/1966,149,123,125,123,126,964,,,134,128
07/1966,155,138,133,124,124,153,869,,140,140
08/1966,155,138,133,124,124,153,868,,140,140
09/1966,155,137,133,124,124,152,863,,140,140
10/1966,153,138,133,123,124,152,863,,140,138
11/1966,153,137,133,123,124,152,861,,140,137
12/1966,153,135,133,123,124,152,857,,139,136
01/1967,153,135,133,123,123,152,846,,138,136
02/1967,153,135,133,123,123,152,843,,138,135
03/1967,153,134,133,123,123,152,840,,138,135
04/1967,153,134,133,123,123,152,835,,138,134
05/1967,152,133,132,123,122,152,831,,138,134
06/1967,151,133,130,122,121,152,822,,137,134
07/1967,166,144,138,125,128,162,865,,131,138
08/1967,165,143,138,125,127,160,855,,130,138
09/1967,165,143,137,124,127,160,847,,130,137
10/1967,164,143,136,123,124,160,843,,129,133
11/1967,164,143,135,122,125,159,838,,128,132
12/1967,163,143,134,122,125,158,830,,127,132
01/1968,161,142,132,122,123,156,824,,126,131
02/1968,160,141,128,122,123,154,815,,124,130
03/1968,160,139,127,122,123,154,815,,123,129
04/1968,160,138,126,120,122,154,813,,123,129
05/1968,160,138,125,119,122,153,806,,122,129
06/1968,158,137,125,117,121,153,804,,122,128
07/1968,154,132,125,125,123,138,946,,40,162
08/1968,153,132,124,123,123,137,931,,40,160
09/1968,153,132,124,123,122,137,930,,40,159
10/1968,152,132,123,122,120,136,923,,40,158
11/1968,152,132,122,121,118,135,918,,40,155
12/1968,152,132,122,121,118,134,912,,40,154
01/1969,151,131,122,120,117,134,903,,40,154
02/1969,148,131,122,120,115,133,893,,40,153
03/1969,148,131,122,120,114,133,888,,40,152
04/1969,148,130,121,120,114,132,883,,40,148
05/1969,148,130,121,120,113,130,882,,40,148
06/1969,147,130,121,120,114,130,877,,40,147
07/1969,166,133,131,127,120,121,126,901,,145
08/1969,166,132,131,126,120,121,125,895,,144
09/1969,165,132,130,126,120,121,124,890,,144
10/1969,165,131,130,125,120,120,124,887,,142
11/1969,165,132,130,125,120,120,124,884,,141
12/1969,164,131,130,125,120,119,124,883,,141
01/1970,163,130,130,125,120,118,123,879,,141
02/1970,163,129,130,123,118,118,123,879,,141
03/1970,163,129,129,123,119,118,123,880,,140
04/1970,162,128,130,123,119,118,123,877,,139
05/1970,162,128,129,123,118,118,123,874,,139
06/1970,162,127,129,122,117,118,123,869,,138
07/1970,170,134,128,123,129,127,1098,,6,181
08/1970,169,134,126,123,129,127,1094,,6,181
09/1970,169,134,125,123,129,127,1090,,6,181
10/1970,169,134,125,123,129,127,1085,,6,180
11/1970,169,134,124,123,128,127,1083,,6,180
12/1970,168,134,124,123,127,127,1079,,6,180
01/1971,168,134,124,123,127,127,1072,,6,178
02/1971,168,134,124,122,127,127,1068,,6,178
03/1971,167,134,124,121,126,127,1063,,6,178
04/1971,167,134,124,121,125,127,1057,,6,178
05/1971,167,134,124,121,123,127,1052,,6,175
06/1971,167,133,124,121,123,127,1044,,6,175
07/1971,163,136,138,131,129,132,165,983,64,138
08/1971,163,136,138,130,128,132,164,981,64,138
09/1971,163,136,138,130,128,132,164,980,64,138
10/1971,163,136,138,130,127,132,164,981,63,138
11/1971,163,136,138,130,127,132,164,981,63,138
12/1971,163,136,138,130,127,132,163,977,63,138
01/1972,162,136,138,130,126,132,162,973,63,138
02/1972,162,136,138,130,125,131,161,971,63,138
03/1972,162,136,138,130,125,132,160,965,63,138
04/1972,162,136,138,130,125,132,159,963,62,137
05/1972,162,136,138,130,125,132,160,959,62,137
06/1972,162,136,138,130,125,132,160,950,61,137
07/1972,176,149,145,136,139,149,1182,,39,161
08/1972,176,149,145,136,139,149,1174,,39,161
09/1972,175,149,145,136,138,149,1165,,39,161
10/1972,175,148,145,136,138,148,1161,,39,161
11/1972,174,148,145,136,138,148,1158,,39,160
12/1972,174,148,145,136,138,148,1156,,39,160
01/1973,174,147,145,136,138,148,1150,,39,160
02/1973,174,147,145,136,138,148,1144,,39,160
03/1973,174,147,145,136,138,147,1138,,39,160
04/1973,173,147,144,136,138,146,1134,,38,160
05/1973,173,147,145,136,138,146,1129,,38,160
06/1973,171,147,145,136,137,146,1121,,38,160
07/1973,241,178,171,154,156,161,1029,,73,208
08/1973,241,178,171,154,156,161,1023,,73,206
09/1973,240,178,170,155,155,161,1016,,73,205
10/1973,240,177,170,155,155,160,1011,,73,206
11/1973,239,178,170,154,155,160,1008,,73,206
12/1973,240,178,169,154,154,159,1003,,73,206
01/1974,240,177,169,154,154,159,1000,,73,206
02/1974,238,177,169,153,154,159,992,,73,206
03/1974,239,177,169,153,153,159,983,,73,205
04/1974,239,176,169,153,153,159,977,,73,205
05/1974,238,175,168,153,152,158,975,,73,205
06/1974,239,175,169,153,152,156,969,,71,205
07/1974,629,3595,,,,,,,,458
08/1974,624,3567,,,,,,,,460
09/1974,619,3530,,,,,,,,454
10/1974,615,3499,,,,,,,,451
11/1974,606,3470,,,,,,,,449
12/1974,598,3440,,,,,,,,449
01/1975,593,3415,,,,,,,,442
02/1975,590,3395,,,,,,,,442
03/1975,593,3401,,,,,,,,435
04/1975,592,3399,,,,,,,,436
05/1975,592,3403,,,,,,,,435
06/1975,590,3386,,,,,,,,432
07/1975,287,306,318,315,322,1807,,322,415,411
08/1975,287,306,318,314,321,1802,,319,413,410
09/1975,285,304,319,315,320,1803,,324,416,412
10/1975,284,305,315,317,321,1790,,325,416,410
11/1975,284,305,316,317,321,1788,,323,414,408
12/1975,284,305,316,317,319,1770,,323,413,406
01/1976,283,304,314,314,318,1779,,318,412,408
02/1976,277,294,310,308,318,1731,,315,403,402
03/1976,282,303,313,312,316,1770,,313,409,408
04/1976,278,297,307,313,313,1753,,313,405,400
05/1976,280,298,311,310,312,1759,,315,403,406
06/1976,280,298,309,310,311,1766,,310,402,402
07/1976,338,388,324,2799,,,,,,627
08/1976,335,387,324,2794,,,,,,627
09/1976,325,380,318,2577,,,,,,602
10/1976,335,386,324,2782,,,,,,625
11/1976,333,383,322,2754,,,,,,620
12/1976,335,386,322,2764,,,,,,621
01/1977,333,383,318,2759,,,,,,618
02/1977,329,382,318,2709,,,,,,613
03/1977,329,380,317,2734,,,,,,617
04/1977,329,380,315,2724,,,,,,609
05/1977,328,380,316,2714,,,,,,613
06/1977,325,380,314,2711,,,,,,608
07/1977,270,242,272,287,236,259,312,1884,183,545
08/1977,267,241,270,286,233,253,312,1872,184,536
09/1977,266,239,268,283,231,251,310,1861,185,532
10/1977,266,236,269,281,232,251,306,1847,186,527
11/1977,265,235,268,282,230,250,307,1836,185,523
12/1977,263,234,267,281,230,249,305,1830,185,523
01/1978,263,233,266,280,230,249,304,1821,184,515
02/1978,261,232,264,274,229,246,302,1808,184,505
03/1978,260,232,264,274,228,246,303,1800,184,501
04/1978,258,232,262,272,226,245,302,1793,181,499
05/1978,256,230,261,269,226,245,303,1790,181,499
06/1978,255,229,261,268,224,244,302,1772,180,492
07/1978,319,330,295,299,298,289,298,1377,293,570
08/1978,316,328,292,298,299,287,298,1370,293,567
09/1978,313,324,286,294,300,289,294,1355,291,565
10/1978,310,324,284,295,299,288,289,1358,291,559
11/1978,309,322,284,294,299,287,288,1349,289,558
12/1978,308,320,284,293,297,285,288,1345,286,555
01/1979,307,314,283,292,297,283,287,1341,286,553
02/1979,303,310,280,290,297,283,286,1337,283,547
03/1979,300,309,277,287,294,283,283,1333,283,542
04/1979,301,307,276,285,294,282,281,1330,284,542
05/1979,300,304,275,285,293,279,279,1323,282,538
06/1979,300,303,273,285,291,277,276,1318,281,534
07/1979,350,311,351,310,316,289,323,1267,282,478
08/1979,348,308,350,306,314,289,319,1263,279,479
09/1979,348,306,349,306,314,286,319,1253,277,472
10/1979,346,305,343,305,311,286,316,1250,278,470
11/1979,348,304,340,303,310,284,316,1247,279,471
12/1979,346,304,339,303,310,284,314,1241,278,468
01/1980,342,302,338,301,310,280,313,1230,275,460
02/1980,338,296,337,299,309,277,310,1221,272,456
03/1980,335,295,334,297,309,277,308,1218,271,454
04/1980,333,295,332,295,305,273,308,1209,270,450
05/1980,332,294,330,296,304,271,306,1200,268,448
06/1980,334,291,328,294,302,273,306,1192,268,441
07/1980,368,325,290,322,311,317,311,1236,309,442
08/1980,369,323,289,321,311,317,309,1234,307,439
09/1980,366,320,285,319,310,317,309,1227,304,434
10/1980,359,319,283,318,308,312,308,1216,303,431
11/1980,360,319,281,319,307,310,309,1219,303,428
12/1980,358,318,281,317,302,311,306,1210,301,423
01/1981,357,318,282,311,302,309,303,1205,301,425
02/1981,356,316,282,309,300,305,302,1198,299,420
03/1981,354,313,277,307,296,300,302,1192,298,418
04/1981,352,312,278,306,290,302,300,1180,298,417
05/1981,351,311,275,304,288,299,302,1176,296,413
06/1981,351,309,273,301,288,299,302,1172,297,412
07/1981,584,328,376,325,353,287,289,999,232,529
08/1981,583,331,374,325,350,286,289,993,232,527
09/1981,582,331,371,323,347,287,287,987,232,524
10/1981,578,328,368,320,345,286,285,972,229,519
11/1981,577,327,369,323,347,285,286,967,229,519
12/1981,575,327,367,323,347,284,285,960,226,517
01/1982,573,323,364,321,343,283,282,948,226,509
02/1982,572,325,363,319,344,283,282,942,224,504
03/1982,571,322,363,316,343,283,281,937,224,500
04/1982,568,318,362,316,340,280,277,924,221,494
05/1982,565,318,360,314,337,281,276,915,219,493
06/1982,564,313,361,313,338,279,276,907,217,485
07/1982,490,356,307,316,339,371,361,1151,418,538
08/1982,485,351,306,315,336,369,363,1137,418,532
09/1982,485,349,305,313,334,367,362,1131,415,533
10/1982,484,344,304,313,329,366,361,1107,413,531
11/1982,479,341,299,311,326,366,358,1086,410,527
12/1982,477,340,301,313,327,365,356,1084,408,529
01/1983,474,336,300,312,326,361,354,1073,405,523
02/1983,469,334,299,306,323,359,352,1061,403,523
03/1983,463,332,298,303,322,358,352,1056,401,525
04/1983,464,331,295,300,320,357,351,1053,400,521
05/1983,464,329,294,299,318,357,347,1042,398,517
06/1983,461,328,294,300,316,355,348,1038,394,513
07/1983,619,343,342,325,335,380,357,1098,383,485
08/1983,620,339,343,326,333,377,357,1088,381,483
09/1983,618,337,342,321,333,372,355,1077,379,478
10/1983,614,338,340,319,332,370,353,1062,375,476
11/1983,613,335,339,318,330,368,351,1053,375,472
12/1983,612,333,336,317,329,367,351,1048,374,471
01/1984,608,330,335,315,328,365,348,1036,373,468
02/1984,603,330,334,314,326,363,345,1022,369,463
03/1984,603,329,331,310,326,358,339,1009,367,461
04/1984,601,328,329,310,327,358,337,997,366,459
05/1984,598,326,328,308,326,356,337,996,364,456
06/1984,594,324,326,307,325,356,336,987,361,451
07/1984,674,407,341,352,352,372,415,1170,319,466
08/1984,672,406,339,351,350,371,415,1150,318,463
09/1984,666,404,337,349,347,369,414,1135,317,461
10/1984,659,400,332,346,342,364,409,1123,315,455
11/1984,652,397,330,342,342,362,406,1111,312,454
12/1984,648,390,327,340,341,357,402,1099,310,447
01/1985,645,390,326,340,337,351,398,1092,309,440
02/1985,638,388,322,338,336,347,397,1071,307,438
03/1985,635,386,319,336,334,345,397,1061,304,436
04/1985,631,381,318,332,334,346,395,1049,302,431
05/1985,627,378,317,329,333,343,395,1042,299,428
06/1985,621,376,315,326,330,341,389,1029,296,427
07/1985,746,399,384,486,419,382,1429,168,419,400
08/1985,741,398,380,484,416,379,1410,166,415,398
09/1985,738,393,380,479,413,375,1386,162,409,397
10/1985,737,392,377,472,411,372,1364,163,407,394
11/1985,732,390,375,469,407,371,1347,161,405,392
12/1985,727,387,373,466,403,365,1333,161,402,388
01/1986,720,385,364,461,399,360,1311,161,401,385
02/1986,715,382,362,455,396,358,1302,159,398,381
03/1986,709,381,360,454,393,354,1291,158,397,378
04/1986,700,379,358,448,390,351,1281,156,396,374
05/1986,695,377,355,443,391,348,1258,155,394,372
06/1986,686,373,348,440,390,345,1246,155,393,369
