date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,156,110,110,110,110,360,,,80,193
08/1963,186,1581,,,,,,,,110
09/1963,185,1581,,,,,,,,112
10/1963,189,1582,,,,,,,,110
11/1963,189,1570,,,,,,,,114
12/1963,186,1571,,,,,,,,118
01/1964,154,120,122,120,127,971,,,117,131
02/1964,154,125,123,121,126,981,,,116,129
03/1964,151,126,125,121,126,978,,,114,131
04/1964,152,127,126,122,131,977,,,116,128
05/1964,153,127,129,120,134,978,,,120,130
06/1964,148,127,130,123,135,975,,,121,131
07/1964,151,130,125,125,138,970,,,121,130
08/1964,148,131,126,126,136,969,,,125,131
09/1964,151,131,125,125,139,976,,,122,134
10/1964,147,133,124,126,136,974,,,124,136
11/1964,150,133,122,125,136,980,,,122,136
12/1964,152,134,122,128,134,978,,,128,135
01/1965,141,123,127,125,128,999,,,141,128
02/1965,143,123,127,125,124,1005,,,144,130
03/1965,145,122,126,124,125,1010,,,139,128
04/1965,145,123,126,125,124,1011,,,134,131
05/1965,144,123,126,125,125,1015,,,140,129
06/1965,147,124,125,126,126,1020,,,138,128
07/1965,148,125,127,123,128,1018,,,138,130
08/1965,149,125,128,124,128,1025,,,143,130
09/1965,149,125,128,124,126,1026,,,142,131
10/1965,149,124,128,123,127,1028,,,141,131
11/1965,148,125,127,124,125,1028,,,140,133
12/1965,147,125,128,122,124,1040,,,135,131
01/1966,149,139,130,123,125,148,856,,137,134
02/1966,153,136,132,121,125,152,869,,136,132
03/1966,151,136,133,122,126,151,879,,133,132
04/1966,154,137,133,123,124,151,873,,137,133
05/1966,156,136,133,123,124,150,870,,139,132
06/1966,153,137,134,122,124,153,865,,140,136
07/1966,154,137,133,123,123,153,868,,139,137
08/1966,157,137,132,124,124,156,872,,137,139
09/1966,156,137,132,126,124,156,874,,136,139
10/1966,158,138,129,126,124,153,881,,133,139
11/1966,154,138,130,126,125,156,890,,126,143
12/1966,156,138,130,126,126,158,892,,125,140
01/1967,169,144,140,125,125,153,860,,135,138
02/1967,167,144,140,125,126,155,866,,131,139
03/1967,167,146,139,126,126,154,865,,134,136
04/1967,165,147,139,125,126,159,861,,132,136
05/1967,166,145,138,126,127,158,861,,131,135
06/1967,165,145,138,125,127,162,858,,133,135
07/1967,163,142,138,125,128,161,864,,130,136
08/1967,161,143,137,125,126,161,864,,132,135
09/1967,162,143,137,126,125,162,860,,135,134
10/1967,160,142,137,124,123,165,865,,129,133
