date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/1971,,,,,,,,,,1
01/1972,,,,,2,,,,,1
02/1972,6,4,3,5,3,4,3,3,5,3
03/1972,12,11,8,10,11,7,14,7,11,8
04/1972,17,21,12,11,16,13,17,13,12,15
05/1972,37,34,25,32,26,27,28,28,27,33
06/1972,83,76,68,64,61,65,62,61,75,66
07/1972,104,80,83,75,84,86,74,79,94,80
08/1972,90,69,61,63,59,60,68,64,66,62
09/1972,49,25,24,27,31,24,30,33,37,32
10/1972,23,15,15,12,15,11,14,12,11,14
11/1972,13,13,22,8,19,8,12,9,8,13
12/1972,22,19,18,16,19,16,16,12,13,14
01/1973,19,23,16,23,21,17,15,14,16,16
02/1973,35,26,16,18,20,19,20,15,21,21
03/1973,28,21,16,20,17,19,18,14,20,19
04/1973,36,18,15,20,24,15,16,20,17,24
05/1973,48,38,36,38,39,36,33,41,38,50
06/1973,102,83,79,80,78,88,76,87,87,95
07/1973,128,106,94,104,97,102,99,101,117,117
08/1973,116,79,86,77,80,72,71,81,84,88
09/1973,51,39,38,32,42,36,32,37,44,58
10/1973,26,26,19,20,15,24,20,19,22,24
11/1973,18,20,20,17,21,19,15,17,12,21
12/1973,30,17,24,24,25,24,23,26,15,24
01/1974,34,25,18,26,26,25,25,20,19,24
02/1974,40,29,25,18,21,23,26,16,18,29
03/1974,35,21,25,16,18,27,25,20,20,25
04/1974,32,25,24,30,17,19,30,23,27,28
05/1974,93,73,54,53,49,48,49,59,54,68
06/1974,161,122,105,103,110,112,111,110,120,128
07/1974,189,155,129,128,124,131,134,129,138,156
08/1974,162,138,91,96,107,104,105,113,110,134
09/1974,96,102,68,45,39,44,62,66,78,100
10/1974,72,88,39,35,32,30,31,29,50,59
11/1974,52,59,55,32,27,25,30,25,42,43
12/1974,56,76,55,32,36,29,36,41,52,41
01/1975,60,71,60,41,38,35,38,43,52,49
02/1975,49,66,64,43,34,27,38,42,39,41
03/1975,66,79,57,41,42,36,35,46,43,52
04/1975,75,80,68,40,40,44,39,49,49,54
05/1975,82,99,70,52,65,53,61,54,64,70
06/1975,152,150,125,124,111,110,120,118,126,146
