date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,1
09/1971,,,,,1,,,,,1
10/1971,6,12,5,7,5,5,6,9,4,7
11/1971,105,87,80,80,83,67,79,71,82,77
12/1971,186,126,121,114,122,102,115,111,121,120
01/1972,204,133,128,120,127,107,122,117,127,128
02/1972,140,97,85,78,85,74,83,89,81,90
03/1972,164,129,104,101,104,93,110,96,110,111
04/1972,177,149,127,124,128,116,124,118,132,131
05/1972,195,147,140,126,143,137,127,128,108,113
06/1972,203,165,161,163,143,130,111,103,113,121
07/1972,211,161,170,153,128,127,127,120,126,130
08/1972,201,126,125,145,145,126,139,132,120,123
09/1972,194,135,131,134,127,125,128,149,153,172
10/1972,195,139,139,121,144,133,149,138,151,159
11/1972,200,137,143,125,127,127,156,150,132,157
12/1972,215,147,146,123,134,137,154,144,152,155
01/1973,205,150,145,132,136,136,145,138,161,165
02/1973,137,112,103,97,87,94,98,111,122,105
03/1973,184,136,119,119,116,117,129,127,153,138
04/1973,228,157,131,143,137,147,157,147,175,154
05/1973,236,162,170,167,153,165,169,135,129,135
06/1973,253,207,185,190,184,127,140,143,140,153
07/1973,266,227,173,215,157,141,161,156,156,171
08/1973,237,161,154,151,167,196,179,163,151,172
09/1973,224,175,148,157,152,148,163,159,223,251
10/1973,233,193,179,150,156,156,166,182,191,226
11/1973,239,177,165,154,151,162,167,164,183,213
12/1973,264,181,170,173,151,171,171,172,210,203
01/1974,253,181,183,174,159,173,159,166,219,209
02/1974,202,140,136,129,126,135,112,139,178,138
03/1974,237,163,174,167,157,162,151,162,228,204
04/1974,289,179,197,183,194,185,171,177,259,230
05/1974,293,224,198,195,180,200,223,213,197,190
06/1974,323,233,209,189,268,168,186,198,195,198
07/1974,326,217,213,228,235,194,215,206,203,218
08/1974,282,183,176,195,187,240,216,226,199,227
09/1974,266,210,185,171,171,191,181,212,267,345
10/1974,295,209,197,187,190,188,203,195,237,317
11/1974,276,218,185,187,174,181,181,190,219,284
12/1974,304,220,192,190,181,183,182,196,244,267
01/1975,314,222,186,201,186,185,184,195,266,275
02/1975,226,166,141,134,119,134,138,171,179,158
03/1975,266,193,173,151,150,160,153,188,250,238
04/1975,311,233,201,179,173,169,179,200,270,246
05/1975,295,234,227,194,193,200,213,236,196,210
06/1975,298,299,238,206,227,185,189,191,207,208
07/1975,310,272,226,224,201,209,189,206,212,223
08/1975,310,234,193,224,204,183,189,196,185,210
09/1975,297,205,211,200,242,199,210,238,200,229
10/1975,303,213,228,220,240,199,203,219,199,219
11/1975,305,220,240,192,240,174,188,195,192,202
12/1975,320,237,223,206,246,200,204,198,202,207
01/1976,303,236,223,208,253,202,215,205,217,206
02/1976,203,154,152,145,169,134,142,143,126,150
03/1976,247,182,172,206,212,171,176,181,173,203
04/1976,290,221,194,222,250,204,206,202,196,213
05/1976,303,221,217,207,206,250,223,210,198,214
06/1976,332,278,226,224,211,198,201,191,199,217
07/1976,330,229,238,217,224,217,207,196,211,229
08/1976,270,219,242,200,199,206,190,190,188,230
09/1976,220,225,206,211,197,195,202,183,184,246
10/1976,278,249,223,226,222,215,214,211,191,266
11/1976,276,184,217,206,190,224,213,197,206,239
12/1976,292,239,221,204,228,213,204,203,227,239
01/1977,285,214,243,214,235,215,212,206,224,243
02/1977,237,115,184,174,171,162,156,162,151,163
03/1977,245,184,200,204,193,182,188,189,180,225
04/1977,269,217,227,234,231,211,214,212,204,241
05/1977,297,193,170,167,275,232,255,220,214,229
06/1977,354,212,237,217,214,230,200,191,207,234
07/1977,312,206,232,245,224,219,213,201,215,242
08/1977,308,239,199,216,190,181,191,185,196,241
09/1977,353,225,210,223,181,206,200,219,193,254
10/1977,336,238,203,228,188,199,205,212,192,266
11/1977,315,246,222,212,197,176,191,215,197,249
12/1977,309,274,213,216,198,198,200,199,201,244
01/1978,300,287,223,224,199,200,203,192,207,255
02/1978,199,198,159,156,156,133,168,138,143,181
03/1978,239,222,188,182,162,171,185,192,174,225
04/1978,272,250,220,202,191,196,213,216,191,256
05/1978,277,195,183,198,254,217,214,218,204,244
06/1978,314,289,230,196,189,204,209,194,195,222
07/1978,319,253,231,196,199,204,220,185,207,229
08/1978,328,245,198,195,197,198,174,188,188,220
09/1978,319,230,187,203,204,195,208,207,205,219
10/1978,304,231,190,209,214,203,210,213,211,225
11/1978,276,232,197,183,197,204,225,197,196,220
12/1978,305,248,194,204,197,219,208,182,195,224
01/1979,310,247,202,201,219,206,203,199,189,233
02/1979,226,194,150,144,164,156,153,146,136,161
03/1979,263,192,171,179,188,173,182,170,175,222
04/1979,282,232,188,210,204,196,195,194,199,237
05/1979,269,187,180,233,244,202,204,206,201,235
06/1979,344,270,218,195,195,181,201,177,192,224
07/1979,325,254,209,201,202,197,199,181,188,227
08/1979,318,215,207,183,189,204,175,172,175,200
09/1979,297,238,208,197,208,218,181,198,178,209
10/1979,277,244,195,214,212,227,180,207,185,210
11/1979,260,212,222,205,203,218,189,182,193,199
12/1979,308,223,221,199,216,200,188,189,193,206
01/1980,294,236,223,198,223,205,192,191,188,211
02/1980,211,190,148,149,148,156,143,135,144,159
03/1980,278,190,185,177,177,173,176,180,183,187
04/1980,282,222,202,189,196,181,203,195,206,211
05/1980,265,190,194,207,202,200,206,200,227,220
06/1980,313,297,196,185,191,191,200,187,182,205
07/1980,316,236,201,209,195,200,188,210,178,209
08/1980,259,220,209,185,186,214,191,193,179,192
09/1980,268,216,210,195,198,220,196,191,188,211
10/1980,268,211,216,199,192,220,201,195,200,219
11/1980,265,222,186,203,213,183,204,181,185,196
12/1980,273,230,204,204,202,199,192,188,179,210
01/1981,274,242,194,208,219,211,197,181,183,221
02/1981,200,188,138,128,148,152,152,142,141,152
03/1981,244,223,166,168,182,178,183,180,171,196
04/1981,254,239,192,180,192,191,201,195,202,214
05/1981,265,179,170,203,233,191,196,212,193,223
06/1981,290,293,197,170,195,191,205,198,178,201
07/1981,319,229,190,182,203,197,206,209,188,209
08/1981,282,212,187,188,200,196,185,198,176,208
09/1981,312,216,187,189,204,193,195,191,197,212
10/1981,264,231,196,191,203,201,205,203,189,226
11/1981,251,213,189,192,202,213,184,179,175,203
12/1981,275,239,205,197,191,222,184,188,176,220
01/1982,275,240,209,192,199,224,189,189,184,212
02/1982,192,175,152,152,133,151,158,140,130,147
03/1982,213,206,189,183,172,180,169,169,165,192
04/1982,232,221,206,208,183,204,188,184,197,213
05/1982,262,195,186,174,233,201,218,200,199,220
06/1982,231,366,224,185,192,197,182,187,193,194
07/1982,242,330,226,196,195,211,186,186,201,200
08/1982,220,339,204,186,179,192,199,190,175,203
09/1982,235,374,209,207,191,199,202,202,197,226
10/1982,242,360,220,208,194,200,199,207,205,231
11/1982,223,364,274,201,204,195,204,186,188,224
12/1982,249,586,206,227,190,212,212,219,175,231
01/1983,259,615,213,225,191,212,216,234,179,229
02/1983,199,356,300,171,138,159,163,169,172,199
03/1983,232,469,197,204,169,199,200,189,200,272
04/1983,276,546,240,223,209,229,231,226,229,314
05/1983,330,375,248,262,298,231,229,276,258,321
06/1983,307,598,388,207,212,208,259,224,243,307
07/1983,326,598,239,236,239,231,263,245,267,331
08/1983,322,497,253,239,189,231,239,233,243,307
09/1983,336,464,262,223,206,256,262,249,292,365
10/1983,352,442,272,231,205,248,265,256,282,380
11/1983,394,408,276,242,219,252,233,249,252,324
12/1983,394,471,270,255,253,250,257,265,258,342
01/1984,373,499,264,260,250,273,257,270,256,345
02/1984,295,425,239,179,167,200,210,186,209,287
03/1984,362,390,235,207,225,260,247,225,262,314
04/1984,380,456,268,262,250,298,251,279,300,344
05/1984,528,242,251,321,317,259,291,298,270,362
06/1984,555,526,297,240,234,258,285,272,278,333
07/1984,569,474,286,243,268,266,280,284,294,378
08/1984,573,393,292,235,235,242,237,301,303,350
09/1984,638,322,303,234,250,267,267,298,316,390
10/1984,607,342,328,237,232,284,268,290,317,410
11/1984,476,422,299,274,230,271,274,264,263,391
12/1984,403,512,299,270,249,300,278,290,252,374
01/1985,425,483,303,266,272,289,292,306,258,390
02/1985,346,434,249,213,166,197,215,208,251,271
03/1985,328,501,268,185,218,230,233,256,288,342
04/1985,415,488,319,217,244,266,270,266,337,366
05/1985,585,295,234,349,330,269,261,279,331,343
06/1985,525,612,296,261,220,237,282,279,304,357
07/1985,488,632,287,249,232,256,276,286,322,378
08/1985,467,521,299,238,226,245,242,282,297,369
09/1985,445,526,282,258,225,247,266,302,328,383
10/1985,448,507,281,286,227,243,273,298,332,365
11/1985,397,400,377,313,263,243,236,282,272,351
12/1985,410,517,327,280,261,250,246,272,260,393
01/1986,427,523,332,277,266,267,247,280,268,406
02/1986,328,375,327,213,204,190,197,203,224,328
03/1986,324,492,270,220,217,235,219,253,263,354
04/1986,383,490,315,259,235,272,257,272,307,367
05/1986,488,371,261,290,362,257,257,270,285,361
06/1986,413,551,425,284,247,243,249,270,259,357
07/1986,438,627,327,272,249,264,250,267,267,384
08/1986,454,528,302,262,237,242,258,256,271,345
09/1986,466,512,336,248,228,256,268,294,282,381
10/1986,484,479,340,253,251,257,245,317,303,391
11/1986,421,487,376,266,261,237,205,265,290,380
12/1986,439,579,333,301,259,249,221,253,293,366
01/1987,413,530,345,330,264,269,246,257,284,384
02/1987,321,373,325,255,193,175,196,203,251,299
03/1987,335,451,301,262,206,212,237,232,281,336
04/1987,403,459,386,310,232,251,266,263,311,375
05/1987,584,330,259,263,418,266,241,275,319,365
06/1987,498,629,395,292,230,229,231,291,309,326
07/1987,522,592,397,282,244,245,267,295,321,367
08/1987,523,506,356,282,246,280,264,298,263,355
09/1987,506,550,299,291,262,290,306,306,317,350
10/1987,527,552,303,326,256,284,327,315,327,353
11/1987,533,501,317,299,267,267,276,258,300,343
12/1987,543,531,347,312,261,278,259,277,333,354
01/1988,560,515,338,335,289,273,264,286,335,390
02/1988,432,361,364,238,242,216,184,209,261,284
03/1988,412,491,277,278,223,248,217,289,299,336
04/1988,522,486,344,272,287,305,249,321,339,396
05/1988,627,351,272,263,406,313,266,306,289,369
06/1988,558,627,389,245,253,266,240,302,310,315
07/1988,569,631,324,282,271,271,261,311,316,349
08/1988,620,520,297,227,271,268,241,272,275,319
09/1988,539,543,316,237,276,317,270,281,313,356
10/1988,546,521,317,257,281,300,282,305,340,355
11/1988,506,433,422,311,246,240,269,289,341,316
12/1988,497,651,315,303,244,256,260,294,314,337
01/1989,497,625,337,296,247,263,261,294,310,337
02/1989,443,432,362,211,206,212,194,220,253,271
03/1989,421,504,263,231,231,249,251,226,252,343
04/1989,501,533,329,268,266,301,263,253,307,377
05/1989,639,363,257,330,318,253,292,263,293,371
06/1989,558,618,406,269,239,263,264,276,277,325
07/1989,522,670,327,269,284,277,273,285,276,347
08/1989,528,548,328,256,283,247,284,250,258,335
09/1989,550,484,323,269,259,284,287,267,301,372
10/1989,563,467,352,285,263,306,286,265,296,389
11/1989,447,457,447,308,236,263,259,252,279,360
12/1989,457,585,409,275,233,264,256,284,293,351
01/1990,483,546,421,296,242,262,259,282,308,354
02/1990,435,352,363,294,205,210,206,206,242,314
03/1990,400,460,259,236,243,221,275,226,238,352
04/1990,463,478,323,250,275,246,296,260,284,395
05/1990,587,381,258,304,329,270,259,257,266,382
06/1990,473,682,385,280,240,236,269,243,271,351
07/1990,534,691,318,261,254,248,280,245,299,395
08/1990,546,575,316,247,242,238,293,254,259,360
09/1990,553,513,317,264,245,245,319,275,292,375
10/1990,605,465,319,277,242,256,328,294,300,385
11/1990,565,407,405,265,269,227,289,250,309,363
12/1990,525,555,354,271,267,238,268,274,316,355
01/1991,545,492,369,306,268,250,272,281,308,362
02/1991,446,334,329,264,238,191,212,223,244,309
03/1991,348,402,324,251,229,229,246,266,268,361
04/1991,442,368,422,290,271,266,277,283,309,362
05/1991,538,418,270,294,368,287,225,319,277,331
06/1991,434,611,512,266,273,225,269,286,273,342
07/1991,484,620,363,255,285,247,294,299,293,371
08/1991,505,467,384,246,247,256,269,295,269,385
09/1991,509,421,362,269,257,280,299,290,305,413
10/1991,518,412,388,274,258,284,292,302,309,419
11/1991,440,436,398,318,271,269,272,251,297,385
12/1991,461,442,473,287,286,251,280,262,323,396
01/1992,463,436,477,305,311,256,302,271,320,396
02/1992,372,320,393,264,225,214,247,242,235,295
03/1992,368,419,357,229,250,270,284,270,293,347
04/1992,460,420,447,280,293,308,301,305,346,376
05/1992,526,426,292,336,353,292,285,285,324,359
06/1992,494,556,476,288,276,257,286,312,296,385
07/1992,591,537,335,290,316,278,282,338,312,443
08/1992,576,521,330,252,269,292,293,326,272,411
09/1992,621,537,328,281,283,307,320,325,288,437
10/1992,639,507,357,294,281,320,334,334,299,420
11/1992,536,504,430,303,277,276,305,296,316,379
12/1992,580,542,382,313,299,286,326,317,326,434
01/1993,627,509,402,331,308,298,319,336,311,448
02/1993,468,381,293,308,234,219,224,278,235,320
03/1993,447,454,329,257,280,260,304,298,292,393
04/1993,564,464,380,311,297,301,357,333,351,428
05/1993,640,467,269,366,394,339,300,329,334,371
06/1993,578,681,513,312,297,291,311,310,329,335
07/1993,688,654,393,319,331,318,332,300,358,383
08/1993,671,556,339,297,303,322,289,302,372,385
09/1993,755,548,358,312,302,335,321,315,381,438
10/1993,777,523,374,335,320,333,321,324,387,433
11/1993,616,517,465,332,321,310,306,296,349,417
12/1993,684,561,438,360,330,338,330,299,413,438
01/1994,727,534,458,355,367,333,343,318,420,430
02/1994,535,445,358,330,261,275,288,256,287,353
03/1994,509,510,344,292,327,312,274,307,370,400
04/1994,695,524,435,337,362,388,337,328,437,429
05/1994,842,488,342,476,367,346,323,309,383,387
06/1994,702,862,495,328,351,320,275,338,391,383
07/1994,872,1066,455,348,363,343,296,373,401,438
08/1994,914,710,356,335,424,422,364,324,408,400
09/1994,901,728,368,385,449,437,397,343,458,495
10/1994,911,715,393,391,452,443,413,343,465,473
11/1994,899,641,461,389,378,393,389,323,423,463
12/1994,871,712,450,394,380,408,375,336,432,518
01/1995,894,692,465,393,409,420,373,369,440,500
02/1995,797,497,362,319,348,329,287,287,310,382
03/1995,623,583,325,378,417,370,323,345,363,436
04/1995,858,653,364,431,448,407,355,387,442,487
05/1995,995,402,412,482,469,419,428,384,399,417
06/1995,956,798,461,447,410,409,412,382,356,406
07/1995,822,891,457,479,435,443,424,419,383,458
08/1995,887,744,410,404,475,423,372,428,351,453
09/1995,957,704,384,465,451,474,424,409,410,465
10/1995,930,748,400,454,470,473,436,416,407,460
11/1995,992,576,532,409,409,408,421,359,397,446
12/1995,894,740,558,415,433,379,426,379,436,482
