date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,121,117,125,122,127,137,143,162,218,701
08/1963,121,117,125,122,126,136,143,162,218,694
09/1963,121,117,125,122,126,136,143,161,216,688
10/1963,121,117,124,122,126,135,142,160,216,683
11/1963,121,117,124,121,124,134,140,159,214,684
12/1963,121,117,123,121,124,134,139,158,213,683
01/1964,120,117,123,120,121,133,138,156,213,671
02/1964,121,117,123,120,122,133,139,156,211,673
03/1964,121,117,123,120,122,133,138,156,210,666
04/1964,121,117,123,120,121,133,137,156,210,670
05/1964,121,117,123,120,120,133,138,155,211,667
06/1964,121,117,123,120,121,132,138,155,209,658
07/1964,124,120,125,124,131,130,142,163,208,746
08/1964,124,120,125,122,131,130,141,162,206,740
09/1964,124,120,124,122,131,130,141,162,207,742
10/1964,124,120,124,122,131,129,141,161,203,735
11/1964,124,120,123,121,130,128,141,160,205,736
12/1964,124,120,123,121,130,128,141,160,205,730
01/1965,124,120,123,121,130,126,141,159,204,726
02/1965,124,120,123,121,130,125,140,158,204,722
03/1965,124,120,122,121,130,123,140,158,202,718
04/1965,124,120,122,121,130,124,138,158,200,713
05/1965,124,120,122,121,129,124,138,157,199,711
06/1965,124,120,122,121,129,124,138,157,198,706
07/1965,125,124,123,132,131,131,145,154,197,798
08/1965,125,123,123,132,131,130,145,154,197,795
09/1965,125,123,123,131,131,130,145,154,195,791
10/1965,125,123,123,131,130,130,145,153,194,781
11/1965,125,123,123,131,129,130,144,154,193,774
12/1965,125,122,123,131,129,130,142,154,193,772
01/1966,125,122,122,131,129,130,141,152,188,758
02/1966,125,121,123,131,128,130,139,153,191,762
03/1966,125,121,123,131,127,130,141,153,189,758
04/1966,125,121,123,131,127,130,140,153,189,752
05/1966,125,121,123,130,127,129,139,152,187,745
06/1966,125,121,123,131,125,129,138,150,185,745
07/1966,124,127,128,131,136,136,146,153,219,773
08/1966,124,127,127,130,136,136,146,153,219,772
09/1966,124,127,127,130,136,136,144,153,216,769
10/1966,124,126,127,130,135,136,144,153,216,765
11/1966,124,126,127,130,135,136,144,152,215,764
12/1966,124,126,127,130,135,136,144,151,211,761
01/1967,124,126,127,130,134,135,143,150,210,753
02/1967,124,126,127,130,135,134,143,150,210,749
03/1967,124,126,127,129,135,134,143,149,210,747
04/1967,124,126,127,129,135,134,142,149,209,742
05/1967,124,126,126,129,134,134,140,149,209,738
06/1967,124,126,126,127,133,129,139,149,209,732
07/1967,125,125,128,133,141,144,153,172,228,744
08/1967,125,124,127,133,140,142,152,171,227,735
09/1967,125,124,127,131,140,141,152,170,227,728
10/1967,124,124,124,129,140,141,150,169,226,721
11/1967,124,124,125,129,140,140,148,167,223,717
12/1967,124,124,125,128,139,140,148,166,223,708
01/1968,124,124,124,125,138,139,147,162,222,704
02/1968,124,123,123,124,138,135,144,162,218,698
03/1968,124,123,123,124,138,133,142,161,217,699
04/1968,123,123,122,124,137,133,142,161,214,697
05/1968,123,123,122,122,137,132,140,160,213,693
06/1968,123,123,122,121,137,132,138,157,213,690
07/1968,123,122,132,127,133,158,158,165,237,733
08/1968,123,121,130,126,133,157,156,162,236,721
09/1968,123,120,130,126,133,157,155,162,236,720
10/1968,122,120,129,125,131,155,153,162,234,717
11/1968,122,119,129,125,130,155,153,160,231,711
12/1968,122,119,127,125,130,153,152,160,232,706
01/1969,122,119,127,125,130,152,150,159,229,700
