date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,89,78,79,91,90,81,85,94,94,96
08/1963,89,78,79,91,90,81,85,95,94,96
09/1963,89,78,79,91,90,81,85,95,94,96
10/1963,89,78,79,91,90,81,85,95,94,96
11/1963,89,78,79,91,89,81,85,94,94,96
12/1963,89,78,79,91,89,81,85,95,93,96
01/1964,88,78,79,91,90,80,85,94,94,96
02/1964,89,78,79,91,90,81,85,94,94,96
03/1964,89,78,79,91,90,81,85,94,93,96
04/1964,89,77,79,91,90,81,85,95,93,96
05/1964,89,78,79,91,90,81,85,95,94,96
06/1964,89,78,79,91,89,81,85,95,94,96
07/1964,94,88,90,94,94,97,101,112,109,130
08/1964,94,87,90,94,94,97,101,113,110,130
09/1964,94,88,90,94,94,97,101,113,110,130
10/1964,94,88,89,94,94,97,101,113,109,130
11/1964,94,88,90,94,94,97,101,113,110,130
12/1964,94,88,90,94,94,97,101,113,110,130
01/1965,94,88,90,94,94,97,101,113,110,130
02/1965,94,88,89,94,94,97,101,113,110,130
03/1965,94,88,89,94,94,96,101,113,110,130
04/1965,94,88,89,94,94,97,101,113,110,130
05/1965,94,88,89,94,94,97,101,113,110,130
06/1965,94,88,90,94,94,97,101,113,109,130
07/1965,103,96,95,104,103,102,113,128,122,154
08/1965,103,96,95,104,103,102,113,128,122,154
09/1965,103,96,95,104,103,102,113,128,122,154
10/1965,103,96,95,104,103,102,113,128,121,154
11/1965,103,96,95,104,103,102,113,128,121,154
12/1965,103,96,95,104,102,102,113,128,120,154
01/1966,102,94,95,104,102,101,112,127,121,153
02/1966,103,96,94,104,103,102,113,128,121,154
03/1966,103,96,95,104,103,102,113,128,121,154
04/1966,103,96,95,104,103,102,113,128,122,153
05/1966,102,96,95,104,103,101,112,128,121,153
06/1966,103,96,95,104,103,102,112,128,122,153
07/1966,120,107,106,115,106,122,116,129,133,181
08/1966,120,107,106,115,106,123,116,129,133,181
09/1966,120,107,106,115,106,123,116,129,133,181
10/1966,120,107,106,115,106,123,116,129,133,180
11/1966,120,107,106,115,106,123,116,129,133,180
12/1966,120,107,106,115,106,123,116,129,133,180
01/1967,120,107,106,115,106,123,116,129,133,180
02/1967,119,107,106,115,106,123,116,129,133,180
03/1967,120,107,106,115,106,123,116,129,133,180
04/1967,120,107,106,115,106,123,116,129,133,180
05/1967,120,107,106,115,106,123,116,129,132,180
06/1967,120,107,106,114,106,123,116,129,132,180
07/1967,144,134,126,125,128,143,150,143,179,230
08/1967,144,134,126,125,128,143,150,143,179,229
09/1967,144,133,126,125,128,143,149,143,179,228
10/1967,145,133,126,125,128,143,149,143,179,228
11/1967,145,133,126,125,128,143,149,143,177,229
12/1967,145,133,126,125,128,142,148,143,177,229
01/1968,145,133,126,125,128,142,149,143,177,229
02/1968,145,133,126,124,128,141,147,143,176,229
03/1968,145,133,126,124,128,141,148,143,176,229
04/1968,145,132,126,124,128,141,148,143,175,229
05/1968,145,132,126,124,128,141,148,143,175,228
06/1968,145,132,126,124,127,141,147,143,174,228
07/1968,196,149,156,129,145,143,154,144,166,209
08/1968,196,148,156,129,145,141,153,144,165,209
09/1968,196,148,156,129,145,141,153,144,165,209
10/1968,196,148,156,128,145,140,153,144,165,208
11/1968,196,148,156,127,144,141,153,144,165,208
12/1968,196,148,156,128,145,140,153,144,165,208
01/1969,196,148,156,128,145,140,153,144,164,208
02/1969,196,148,156,127,145,140,153,143,163,207
03/1969,196,148,156,127,145,140,153,143,163,207
04/1969,195,148,156,127,145,140,152,143,163,205
05/1969,196,148,156,127,145,139,152,142,164,204
