date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,277,197,163,224,152,178,168,176,176,262
08/1963,259,177,158,250,132,166,175,187,211,260
09/1963,231,177,142,157,156,159,171,265,133,383
10/1963,289,194,266,106,170,177,170,169,175,258
11/1963,237,169,153,170,182,200,161,178,209,315
12/1963,209,188,153,225,142,163,157,174,202,367
01/1964,211,157,148,159,152,209,169,193,196,376
02/1964,306,192,185,184,160,256,111,169,204,218
03/1964,253,176,176,164,165,152,207,186,189,319
04/1964,224,152,175,169,191,170,211,180,224,297
05/1964,277,196,166,165,197,163,185,187,202,269
06/1964,226,173,165,178,172,219,165,202,192,317
07/1964,237,165,173,168,163,270,105,197,212,323
08/1964,268,182,173,184,189,176,207,182,196,265
09/1964,256,189,173,250,136,170,197,183,213,263
10/1964,267,170,164,168,186,185,277,115,180,317
11/1964,270,187,179,162,165,234,148,188,203,297
12/1964,260,178,176,175,246,128,185,193,213,281
01/1965,248,171,162,271,105,168,180,190,218,324
02/1965,316,216,166,185,174,176,187,161,214,245
03/1965,302,191,172,161,163,174,210,174,202,296
04/1965,331,194,196,176,195,143,171,178,185,276
05/1965,281,196,189,175,173,169,260,127,184,297
06/1965,264,209,191,213,160,166,166,184,167,335
07/1965,236,166,175,166,168,174,182,183,218,392
08/1965,254,198,196,187,165,165,230,178,208,288
09/1965,256,203,173,176,169,179,163,219,177,359
10/1965,227,195,172,196,165,178,209,191,199,335
11/1965,316,196,194,183,186,162,168,207,201,254
12/1965,301,196,201,182,196,209,178,172,188,250
01/1966,315,190,194,176,179,254,103,174,200,276
02/1966,330,220,194,191,196,189,186,183,182,204
03/1966,314,229,199,189,222,170,175,169,177,232
04/1966,322,183,227,142,201,169,169,183,200,276
05/1966,312,201,203,181,168,174,174,186,215,251
06/1966,228,160,174,161,167,193,180,213,237,361
07/1966,248,199,195,266,113,188,194,192,214,264
08/1966,226,189,178,224,155,193,191,223,236,274
09/1966,249,172,191,159,199,178,185,196,226,336
10/1966,214,205,179,253,155,191,195,200,214,289
11/1966,158,151,155,163,180,202,204,211,289,385
12/1966,244,211,193,218,188,225,191,183,191,255
01/1967,273,204,190,177,171,206,173,172,197,329
02/1967,374,240,203,174,179,174,176,181,191,204
03/1967,362,239,206,190,175,184,165,190,170,217
04/1967,297,219,179,173,184,171,171,205,212,284
05/1967,279,210,170,198,169,182,193,192,208,296
06/1967,304,212,199,214,198,176,181,181,181,247
07/1967,389,214,205,170,189,184,201,163,174,204
08/1967,307,203,192,187,186,177,178,174,219,263
09/1967,280,187,175,187,204,170,177,184,209,314
10/1967,373,224,198,189,164,171,195,169,178,225
11/1967,308,233,207,197,172,191,175,182,188,238
12/1967,247,190,192,188,203,141,192,191,206,341
01/1968,382,221,221,159,187,159,170,165,184,238
02/1968,361,227,193,177,174,183,174,179,196,213
03/1968,213,154,181,157,186,153,201,205,242,389
04/1968,205,196,167,187,206,194,190,199,215,329
05/1968,352,223,221,201,178,180,166,178,215,179
06/1968,401,233,206,195,175,168,172,171,179,195
07/1968,262,177,165,188,190,181,187,209,203,326
08/1968,255,194,188,183,165,212,196,205,209,270
09/1968,293,216,200,180,191,165,194,176,197,277
10/1968,304,227,182,179,172,186,195,203,187,254
11/1968,227,194,185,165,182,181,189,198,219,352
12/1968,284,185,178,172,169,197,184,188,256,286
01/1969,368,234,177,198,194,173,166,188,179,225
02/1969,279,216,188,238,152,198,173,201,205,252
03/1969,229,155,164,159,165,183,177,215,291,378
04/1969,263,200,196,188,177,220,192,182,227,276
05/1969,240,207,194,174,168,184,175,196,252,348
06/1969,321,205,194,191,180,175,191,188,220,281
07/1969,203,155,157,165,180,184,208,225,294,386
08/1969,189,199,166,178,183,191,200,219,280,362
09/1969,279,205,215,184,200,187,195,208,215,295
10/1969,272,197,186,174,181,184,216,215,199,366
11/1969,384,224,196,187,170,195,176,199,212,253
12/1969,255,176,199,181,179,179,190,216,231,398
01/1970,229,167,180,171,178,175,199,215,239,457
02/1970,368,242,220,190,191,183,187,204,193,241
03/1970,240,186,185,177,194,189,204,252,269,343
04/1970,220,175,187,180,205,212,198,238,239,394
05/1970,187,153,161,169,168,202,175,245,318,471
06/1970,263,232,204,197,202,188,216,226,230,297
07/1970,256,198,207,206,203,198,207,240,261,278
08/1970,239,192,175,177,181,197,207,250,261,381
09/1970,261,208,207,206,188,210,202,235,206,341
10/1970,433,273,260,197,189,185,184,185,169,197
11/1970,238,175,190,208,192,213,216,222,266,361
12/1970,198,164,163,169,176,166,229,218,294,512
01/1971,283,217,174,199,196,194,196,201,255,372
02/1971,479,286,207,195,205,185,173,171,198,196
03/1971,437,226,214,193,198,168,207,201,203,250
04/1971,313,210,205,209,204,211,173,209,230,334
05/1971,280,203,195,188,190,186,230,216,237,378
06/1971,259,198,205,185,183,185,210,242,287,356
07/1971,236,206,187,186,211,206,219,244,240,380
08/1971,259,194,190,187,197,219,238,235,273,334
09/1971,234,205,201,206,214,219,201,248,247,365
10/1971,351,218,202,266,152,188,201,215,237,323
11/1971,246,195,222,214,215,199,221,256,280,315
12/1971,252,178,186,208,183,213,222,253,284,398
01/1972,356,226,211,212,195,215,201,199,200,374
02/1972,530,263,267,218,198,176,169,200,181,199
03/1972,359,234,217,237,195,200,236,212,247,274
04/1972,317,208,201,210,221,189,224,222,265,364
05/1972,308,221,204,213,240,179,212,212,235,409
06/1972,267,203,187,188,237,218,235,247,263,393
07/1972,291,207,245,171,218,218,222,266,273,330
08/1972,272,189,216,223,221,218,245,253,272,341
09/1972,228,210,196,203,214,189,246,264,283,429
10/1972,272,227,191,222,210,214,246,262,268,361
11/1972,247,212,205,194,261,197,237,258,290,381
12/1972,255,215,205,205,211,211,217,282,271,427
01/1973,279,215,222,3137,181,217,236,243,257,387
02/1973,1088,547,575,396,476,410,431,422,418,636
03/1973,680,567,392,402,399,450,423,546,620,916
04/1973,685,484,383,562,374,408,459,474,611,908
05/1973,715,308,492,412,441,480,544,528,547,843
06/1973,499,355,473,427,392,506,507,519,580,987
07/1973,680,406,336,623,392,381,498,502,550,832
08/1973,704,536,383,382,354,449,429,716,438,775
09/1973,613,413,594,293,392,408,452,474,526,955
10/1973,605,368,324,313,303,343,347,471,759,1241
11/1973,740,484,479,367,618,353,449,438,453,693
12/1973,688,465,430,441,359,444,398,483,462,813
01/1974,417,338,356,346,495,379,448,514,576,1023
02/1974,795,531,463,455,396,446,337,542,415,494
03/1974,660,399,388,355,306,615,359,470,531,769
04/1974,936,460,440,696,271,323,365,374,431,550
05/1974,661,389,644,402,392,351,408,473,415,698
06/1974,558,666,350,414,392,418,382,450,521,653
07/1974,612,401,346,651,341,428,451,409,445,699
08/1974,575,341,669,245,395,441,537,466,424,665
09/1974,622,622,429,413,395,372,396,383,453,626
10/1974,597,620,325,397,406,437,425,410,422,639
11/1974,449,360,344,360,366,361,385,785,416,814
12/1974,577,337,696,182,285,396,392,420,472,848
01/1975,512,338,496,319,317,392,449,407,478,864
02/1975,653,368,411,345,356,370,406,394,532,724
03/1975,697,431,389,417,378,704,171,357,428,597
04/1975,633,451,360,353,361,357,323,580,399,758
05/1975,551,372,391,438,349,694,268,399,491,639
06/1975,659,357,388,350,360,342,324,630,485,680
07/1975,680,338,327,332,341,333,332,687,436,791
08/1975,1000,500,611,356,312,343,332,319,332,495
09/1975,562,335,641,317,360,359,396,394,513,744
10/1975,668,380,637,259,334,371,397,382,461,726
11/1975,468,294,328,315,301,344,799,393,592,788
12/1975,517,350,380,305,322,317,713,364,570,767
01/1976,721,368,324,268,597,306,352,386,478,815
