date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,80,77,79,75,75,73,90,73,84,86
08/1963,80,77,79,75,75,73,90,73,85,86
09/1963,80,77,79,75,75,73,90,73,85,86
10/1963,80,77,79,75,75,73,90,73,85,86
11/1963,79,77,79,75,75,73,89,73,85,86
12/1963,80,77,78,75,75,73,89,73,85,86
01/1964,78,77,79,75,75,73,89,73,85,86
02/1964,80,77,79,75,75,73,90,73,84,86
03/1964,80,77,79,75,75,73,90,73,83,86
04/1964,80,77,79,75,75,73,89,73,85,86
05/1964,80,77,79,75,75,73,90,73,85,86
06/1964,80,77,79,75,75,73,90,73,85,86
07/1964,94,86,83,79,92,89,88,100,97,115
08/1964,94,86,83,78,92,89,88,100,97,117
09/1964,94,86,83,79,92,89,88,100,97,117
10/1964,94,86,83,78,92,89,88,100,97,117
11/1964,94,86,83,79,92,89,88,100,97,117
12/1964,94,86,83,79,92,89,88,100,97,117
01/1965,94,86,83,79,92,89,88,100,97,117
02/1965,94,86,83,79,92,89,88,100,97,117
03/1965,94,86,83,79,92,89,87,100,97,117
04/1965,94,86,83,79,92,89,88,100,97,117
05/1965,94,86,83,79,92,89,88,100,97,117
06/1965,94,86,83,79,92,89,88,100,96,117
07/1965,105,81,97,95,98,88,102,106,107,134
08/1965,105,81,97,95,98,88,102,106,107,134
09/1965,105,81,97,95,98,88,102,106,107,134
10/1965,105,81,97,95,98,88,102,106,107,133
11/1965,105,81,97,95,98,88,102,106,107,133
12/1965,105,81,97,94,98,88,102,106,107,132
01/1966,105,80,97,92,98,88,102,105,107,131
02/1966,105,81,96,95,98,88,102,106,107,133
03/1966,105,81,97,95,98,88,102,106,107,133
04/1966,105,81,97,95,98,88,102,106,106,134
05/1966,105,81,97,95,97,88,102,106,106,132
06/1966,105,81,97,95,97,88,102,106,106,134
07/1966,118,108,105,103,106,104,106,111,114,135
08/1966,118,108,105,103,106,104,107,111,114,135
09/1966,118,108,105,103,106,104,107,111,114,135
10/1966,118,108,105,103,106,104,107,111,114,134
11/1966,118,108,105,103,106,104,107,111,114,134
12/1966,118,108,105,103,106,104,107,111,114,134
01/1967,118,108,105,103,106,104,107,111,114,134
02/1967,117,108,105,103,106,104,107,111,114,134
03/1967,118,108,105,103,106,104,107,111,114,134
04/1967,118,108,105,103,106,104,107,111,114,134
05/1967,118,108,105,103,105,104,107,111,114,134
06/1967,118,108,105,103,105,104,106,111,114,134
07/1967,153,129,132,111,128,115,120,142,128,173
08/1967,153,129,132,111,128,115,119,142,128,173
09/1967,152,129,132,111,128,115,119,142,128,173
10/1967,152,129,133,111,128,115,118,142,128,173
11/1967,152,129,133,111,128,115,119,142,128,172
12/1967,152,129,132,111,128,115,119,142,128,171
01/1968,152,129,132,111,128,115,119,142,128,172
02/1968,151,129,132,111,128,115,118,141,128,171
03/1968,151,129,132,111,128,115,118,141,128,172
04/1968,151,129,132,111,128,115,118,141,128,172
05/1968,151,129,132,111,128,115,118,141,128,171
06/1968,151,128,132,111,128,115,117,141,128,171
07/1968,209,167,149,140,120,125,122,119,119,144
08/1968,208,167,149,140,120,123,122,119,119,144
09/1968,208,167,149,140,120,123,122,119,119,144
10/1968,207,167,149,140,119,123,122,119,119,144
11/1968,207,167,149,140,120,123,122,119,119,144
12/1968,208,167,149,140,120,123,121,119,119,144
01/1969,208,167,149,140,120,123,121,119,119,144
02/1969,208,167,149,140,119,123,121,119,119,143
03/1969,208,167,149,140,119,123,121,119,119,143
04/1969,208,167,148,140,119,123,121,119,118,142
05/1969,208,167,149,140,118,123,121,119,117,141
06/1969,208,167,149,140,119,123,121,119,118,141
07/1969,245,195,153,176,134,139,123,122,125,136
08/1969,245,195,153,176,134,139,123,122,125,134
09/1969,245,195,153,175,134,139,123,122,125,135
10/1969,244,195,153,175,134,138,123,122,125,136
11/1969,243,195,153,174,134,139,123,122,125,136
12/1969,243,195,153,175,134,139,123,122,125,136
01/1970,244,195,153,175,134,139,123,122,125,136
02/1970,241,195,153,175,134,139,123,122,125,136
03/1970,244,195,153,175,134,139,123,122,125,136
04/1970,243,195,153,175,134,139,123,122,125,136
05/1970,242,195,153,175,134,139,123,122,125,136
06/1970,242,194,153,175,134,139,123,122,125,136
07/1970,203,195,173,172,149,162,152,164,161,168
