date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.001693443,,,,,,,,-0.015365234,0.0080289933
08/1963,0.0534753729,,,,,,,,0.0609522999,0.0474609144
09/1963,-0.012457245,,,,,,,-0.013955399,-0.027545432,-0.010660664
10/1963,0.0305468629,,,,,,,-0.006292649,0.0475017908,-0.000955148
11/1963,-0.005107142,,,,,,,-0.016362083,0.0038359382,-0.01644862
12/1963,0.0230066771,,,,,,,0.0085475769,0.0204797748,0.0003568453
01/1964,0.02787726,,,,,,,-0.010966604,-0.006003623,0.0115606762
02/1964,0.0174489349,,,,,,,0.0405694838,0.0266235025,0.019058812
03/1964,0.01718405,,,,,,,-0.006090177,0.0361449781,0.0148523472
04/1964,0.0045996308,,,,,,,0.0034946711,-0.009562027,0.0014549199
05/1964,0.0153808392,,,,,,,0.0455416051,0.0335427459,0.0208883153
06/1964,0.0176673962,,,,,,,-0.002901164,0.0039191179,0.0007489886
07/1964,0.0210874046,,,,,,,0.0015646149,0.0198593471,0.0101141248
08/1964,-0.011211348,,,,,,,-0.014336225,-0.013296525,-0.017138379
09/1964,0.0290786974,,,,,,,0.0304113659,0.0360719852,0.0324067369
10/1964,0.0099157472,,,,,,,0.0198248698,-0.012374119,0.0261932907
11/1964,0.0026933543,,,,,,,-0.000934478,0.0025674175,0.0101677881
12/1964,0.003857925,,,,,,,-0.001070121,0.000143838,0.0020772113
01/1965,0.0361589462,,,,,,,0.0622517786,0.0504403885,0.0543932414
02/1965,0.0043528231,,,,,,,0.0363240346,0.0204583846,0.0420094375
03/1965,-0.010840443,,,,,,,-0.019009164,0.0025282659,-0.003502012
04/1965,0.0346395755,,,,,,,0.0208332975,0.0354351238,0.0286303392
05/1965,-0.004519121,,,,,,,-0.010487596,0.0024087192,-0.016685265
06/1965,-0.047743386,,,,,,,-0.068849024,-0.070898472,-0.090021375
07/1965,0.0167215386,,,,,,,0.0175924263,0.0258002395,0.0188288394
08/1965,0.0274243148,,,,,,,0.0610062124,0.0472086321,0.0537055521
09/1965,0.033286297,,,,,,,0.0276878386,0.0187775523,0.0229441031
10/1965,0.0280262635,,,,,,,0.0332403194,0.0396963373,0.031095067
11/1965,-0.00136737,,,,,,,0.0486143008,0.0265911711,0.0307196532
12/1965,0.0110152454,,,,,,,0.0250671601,0.0273889962,0.033367402
01/1966,0.0070914384,,,,,,-0.062896214,0.0264111271,0.0351500187,0.0412670894
02/1966,-0.012210794,,,,,,0.0146248534,0.0191390477,0.0136627898,0.0039645802
03/1966,-0.023548335,,,,,,-0.04269332,0.0150434868,-0.010977236,-0.027976982
04/1966,0.0221678824,,,,,,-0.012415896,0.039646695,0.0369723032,0.0458979839
05/1966,-0.050250921,,,,,,-0.006745318,-0.065774648,-0.071600593,-0.059092716
06/1966,-0.012939136,,,,,,0.0024930501,0.0105033072,-0.001192864,0.0000369641
07/1966,-0.01083321,,,,,,-0.006641864,-0.025511146,-0.023162071,-0.024274767
08/1966,-0.071570743,,,,,,-0.059498833,-0.110897628,-0.085733914,-0.10372328
09/1966,-0.004900765,,,,,,-0.009900473,-0.013064356,-0.014209523,-0.025339881
10/1966,0.0516240409,,,,,,0.0196572809,-0.021754823,0.000800083,-0.003639755
11/1966,0.0097894302,,,,,,0.0415017401,0.1091049098,0.0472452642,0.0689428045
12/1966,0.0020352941,,,,,,0.0230517656,0.023907957,0.010577163,0.0361619397
01/1967,0.0784811517,,,,,,0.0808372886,0.1309730129,0.1093156643,0.1405278912
02/1967,0.0064176579,,,,,,0.0415818527,0.0335032829,0.0576186507,0.0227356095
03/1967,0.0406154041,,,,,,0.0334032297,0.056884989,0.0734174785,0.0649801298
04/1967,0.0416897277,,,,,,0.0301831204,0.0363939149,0.0687988139,0.0474634669
05/1967,-0.043861286,,,,,,-0.004521304,-0.018374189,-0.027594571,-0.023109839
06/1967,0.0225014715,,,,,,0.0195079731,0.0443045652,0.0381779518,0.0759344986
07/1967,0.0470633065,,,,,,0.0560267618,0.0511992452,0.0659813548,0.0644503134
08/1967,-0.005392663,,,,,,-0.025712994,-0.011022051,0.0207323245,-0.017930682
09/1967,0.0319897167,,,,,,0.0212036714,0.0414410089,0.0382930271,0.0665510476
10/1967,-0.030035622,,,,,,-0.02915745,-0.011794511,-0.007303475,-0.016160301
11/1967,0.0071051513,,,,,,-0.013836136,0.0103656914,0.0222134335,-0.003313935
12/1967,0.0286384077,,,,,,0.0577387672,0.0451232302,0.0528014261,0.0792338199
01/1968,-0.035089677,,,,,,-0.027289473,-0.030918981,-0.05270187,-0.055126696
02/1968,-0.02853177,,,,,,-0.051325847,-0.049110782,-0.050114049,-0.066096931
03/1968,0.0052411253,,,,,,0.0088286847,0.0034606628,0.030200709,-0.006710022
04/1968,0.0847893048,,,,,,0.1125917456,0.1287113442,0.130301545,0.1641443554
05/1968,0.0175889853,,,,,,0.0643014278,0.0703263826,0.0579265151,0.0561341804
06/1968,0.0129128164,,,,,,0.0025876936,0.0098405641,0.006707857,-0.003160734
07/1968,-0.016418244,,,,,,-0.062795424,-0.035853106,-0.036197897,-0.046519517
08/1968,0.016434331,,,,,,0.018192955,0.0269426053,0.0192256166,0.0234998262
09/1968,0.0410508456,,,,,,0.0275489385,0.0621856805,0.0586494551,0.0790726185
10/1968,0.0090757283,,,,,,0.0103504481,0.0035900996,0.0292112465,-0.011171882
11/1968,0.054124826,,,,,,0.0902250848,0.0651891222,0.0654455995,0.0785289397
