date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.013134555,-0.003963743,0.0105132873,-0.000795067,-0.018356867,0.0008569612,0.0008572989,-0.007565841,-0.014648238,-0.020926752
08/1963,0.0425103205,0.0445074632,0.0403745359,0.054886969,0.0693411702,0.0674813993,0.0711226096,0.0684972563,0.061467221,0.0580705853
09/1963,-0.027911148,0.0069301747,-0.025309314,-0.009642058,-0.015129825,-0.011767468,-0.003729446,-0.008003926,0.0043633459,-0.027438279
10/1963,-0.004983642,0.0264981177,0.0116830139,0.0382733383,0.0069534478,0.0415006733,0.0932590432,0.0623573856,0.0236854469,0.0143498293
11/1963,-0.009048561,0.0297324651,-0.001467242,-0.009338485,-0.00174336,-0.011939483,-0.046597612,-0.011743191,-0.003224845,0.0029075572
12/1963,0.0296648628,0.0092266024,0.0393258211,0.0525308765,-0.003790543,0.0129176562,0.0005837156,0.022754299,0.0046709862,-0.013081773
01/1964,0.015868575,0.0305767874,0.047965999,0.0336312339,0.0125807421,0.017543657,0.0124938459,0.0241784821,0.0272278114,-0.005574459
02/1964,0.0124409786,0.0013443755,0.0201164093,0.033299904,0.022623564,0.0143362789,0.0199597472,0.0023751159,0.0264923553,0.0256643069
03/1964,-0.007540772,-0.002565038,0.0281202858,0.0337157702,0.0388694129,0.0287464113,0.0040159755,0.0280052462,0.0177473909,0.0288828893
04/1964,0.0098724853,0.0102528854,0.0228413736,-0.016515333,-0.004050025,-0.02663732,0.032638579,-0.027733133,-0.008310894,0.0023371888
05/1964,0.0063717457,-0.003398038,0.0194190508,0.0331586775,-0.007550328,-0.003098019,0.0226809161,0.0028675298,0.0249313429,0.0288167359
06/1964,0.0252691743,0.0438476099,-0.001634839,0.0078903667,0.0224636117,0.0273520312,0.015198959,0.0063605382,0.0257859776,0.0344136818
07/1964,0.0493876253,-0.001333309,0.0166195187,0.0145483638,0.0136717275,0.0255157492,0.011795259,0.0472770446,0.0206492079,0.022756929
08/1964,-0.006513192,-0.010459048,-0.024614363,-0.022906527,-0.012639122,-0.015131025,-0.001222327,0.0100946984,-0.006569042,0.0058700654
09/1964,0.0240061813,0.0018320987,0.0203781092,0.0531198528,0.0448426602,0.0219905261,0.040150824,0.04270717,0.0281135975,0.0368058464
10/1964,0.0125098846,-0.001303881,0.0113947594,0.013113805,0.0168938866,0.0127667164,0.0111269389,0.0022359545,-0.003232517,0.0272535822
11/1964,0.0047516198,-0.013429317,0.0144377903,0.0129917956,-0.017019693,0.0097241086,0.0047252167,0.0013391596,0.0074363937,0.0128874667
12/1964,0.0028138902,0.0205974242,-0.00682353,0.0038142534,-0.013555287,-0.009272027,-0.0005118,0.02528354,0.0029560991,0.008156438
