date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.026942776,-0.009641387,-0.006007893,0.0051667971,-0.001021096,0.0075764891,-0.005275802,0.0037613249,-0.001379261,0.0066518445
08/1963,0.0913819554,0.0622406586,0.0610962384,0.0460302722,0.0532895343,0.0436862237,0.0498886449,0.0318260585,0.0431758425,0.0199473373
09/1963,-0.035814553,-0.00893178,0.0069129272,-0.017370358,-0.028829915,-0.032147962,-0.009522106,-0.013304587,-0.01323425,0.0116560771
10/1963,0.0759024836,0.0462351624,0.062902499,0.0128580233,0.0181063811,0.0021263354,-0.00211294,0.0076021508,0.0029827231,-0.005684505
11/1963,-0.005552441,-0.009536582,-0.004284103,-0.006899891,0.0022161139,0.0016406455,-0.012888491,-0.005996359,-0.008486355,-0.015833221
12/1963,0.0012301725,0.0218581888,0.010201449,0.0401347903,0.0241491976,0.0405324334,0.02469707,0.014165965,0.0214996464,0.0112794104
01/1964,0.0082919314,0.031986161,0.0319319442,0.0424578207,0.0223458936,0.0210219718,0.0092877343,0.0171845207,0.0151836835,0.0243384631
02/1964,0.0156806878,0.0306618815,0.0147192231,0.0202956398,0.0152668533,0.0146211935,0.0188382649,0.0103139966,0.0101278341,0.0187085571
03/1964,0.0270154744,0.0286652507,0.0066982863,0.0258008886,0.0133656316,0.0180861215,0.0119892676,0.0165149993,0.019055664,0.0101319913
04/1964,-0.043016755,-0.038685811,0.0173001785,0.0036273132,0.0269367782,0.0221045868,0.0087426929,0.0063437175,0.0094455344,0.0067304152
05/1964,-0.014983586,0.0223846011,0.0151383167,0.0215264585,0.0111568885,0.0199951693,0.0176548092,0.0167509871,0.0121912419,0.0176550354
06/1964,0.0207459434,0.0031115233,0.0319298766,-0.002463202,0.0260504367,0.0177598729,0.0245497975,0.0208075339,0.0144931178,0.0194297474
07/1964,0.0060414649,0.0036504511,0.0100500872,0.0266793551,0.0344168415,0.028126628,0.0278865608,0.0319945926,0.0338591421,0.0469890551
08/1964,-0.024099236,-0.016536719,-0.008166051,-0.018877287,-0.010267634,-0.007803889,-0.006638049,-0.002798262,0.0008140092,0.00247402
09/1964,0.0591004431,0.0379954709,0.0174249668,0.0370259692,0.0214618628,0.0355929214,0.0303478318,0.0282710798,0.022670078,0.0183843383
10/1964,-0.000864413,-0.009467741,-0.000253694,0.0150888799,0.0083548828,0.0282940721,0.0215439038,0.0206013263,0.0291252268,0.0078896627
11/1964,-0.015429497,-0.003899759,-0.013542745,0.0109425215,0.0063043791,0.0185020452,0.0104708828,0.0052025476,0.019229092,0.0164299175
12/1964,0.0084299985,-0.006499683,0.022220346,-0.000252422,0.0057477964,-0.011436934,-0.006485827,0.0074535995,-0.019707101,-0.002847797
01/1965,0.0607379075,0.0718093064,0.027466125,0.0346942872,0.0368142366,0.0202791099,0.0396031598,0.0367199226,0.0393823149,0.03606575
02/1965,0.0362061633,0.0247648767,0.0092420641,-0.00863246,-0.006652374,-0.00831579,0.0081381687,0.0126108026,0.0140117658,0.0152920539
03/1965,-0.009399144,0.0017613339,-0.006839185,-0.027701268,-0.011715992,-0.011668806,-0.005486362,-0.007883963,-0.000682899,-0.008488954
04/1965,0.0445141362,0.055925921,0.0498005486,0.027051476,0.0204608922,0.0266089565,0.0241148981,0.0187197559,0.0146747797,0.0112286127
05/1965,0.0025818866,-0.017159112,-0.006168359,0.0013552686,-0.000332194,-0.007000441,0.0034326667,-0.005524188,-0.00633605,-0.001458779
06/1965,-0.078516787,-0.063014656,-0.051938958,-0.036706854,-0.037444916,-0.040133888,-0.047942746,-0.051715317,-0.047349714,-0.045030382
07/1965,0.0422227112,0.0465489488,0.0076227992,0.0017615714,0.0285846468,0.0136628253,0.012413646,0.0228550907,0.0181498261,0.0125197663
08/1965,0.0959428644,0.0433291366,0.0265809946,0.0358421288,0.0100441789,0.0172354848,0.018596676,0.0291258351,0.0358522402,0.0183834581
09/1965,0.0592312015,0.0370742771,0.0368812894,0.0380053579,0.0211307304,0.0421788899,0.0097034471,0.0171526617,0.0130666668,0.0250649037
10/1965,0.0676828865,0.0565871727,0.0195576865,0.0365651733,0.0252610145,0.0152495414,0.0222280727,0.0228323354,0.0145396368,0.009091888
11/1965,0.0701684214,0.0168139139,-0.022109261,-0.000144286,0.0119834742,-0.002501226,0.0032877862,-0.010096429,0.0170239396,0.0042552339
12/1965,0.0386981866,0.0041521774,0.0086093279,0.0279814468,0.0108049754,0.0068714092,0.0059009797,0.0053195169,0.0049066896,0.0086002508
01/1966,0.0664337832,0.0302513916,-0.012914031,0.0104889993,-0.000736642,0.0140626929,0.0050892388,0.0156266707,0.0123328537,0.0215568392
02/1966,0.0709130976,0.0181617214,-0.008339866,-0.020619994,-0.035962108,-0.021861186,-0.022872779,-0.017798189,-0.017550372,-0.01312843
03/1966,-0.004836676,-0.009077649,-0.037537919,-0.014195912,-0.022865678,-0.029266036,-0.015234452,-0.022202787,-0.007389876,-0.009430309
04/1966,0.0562980995,0.0438496089,0.013325956,0.0304366696,0.0183694353,0.0127578111,0.0231144173,0.0213426859,0.006280033,0.0034298857
05/1966,-0.110189354,-0.058210155,-0.04915005,-0.056826683,-0.040908189,-0.039211763,-0.040604869,-0.038742371,-0.039821002,-0.034332891
06/1966,0.0221742011,-0.009224049,0.0051677214,-0.016341361,-0.0179648,-0.017987404,-0.027722498,-0.016861568,-0.007435165,-0.013899568
07/1966,-0.01977722,-0.017753297,-0.042464279,-0.007490714,0.0009939359,-0.011246267,-0.007476803,0.0064369108,-0.013299114,-0.003111663
08/1966,-0.090026574,-0.090291076,-0.065532273,-0.067825104,-0.072265529,-0.069051221,-0.081447761,-0.075043651,-0.072467571,-0.066039201
09/1966,-0.053626159,-0.013820947,-0.010426801,-0.011426852,-0.001912644,0.0040774922,0.0110227753,0.0211690011,0.0180088177,0.0210766991
10/1966,-0.056858501,0.0205620618,0.064578329,0.0518179066,0.0551801852,0.0612698823,0.0742658652,0.0558346052,0.0583420365,0.0301824645
11/1966,0.1556657612,0.1084017243,0.0220222936,-0.025051975,-0.009630335,-0.003716481,-0.005784728,0.0100732537,-0.00987298,-0.00636676
12/1966,-0.001939441,0.000817414,-0.013343836,0.0068367746,0.0033807323,0.0101619623,0.0050843456,0.020092852,0.0162736425,0.015826151
