date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.01005092,-0.005450105,0.0092481401,0.0106970416,-0.000546034,-0.010304698,-0.015145466,0.0011645038,-0.007516425,-0.010717938
08/1963,0.0579166115,0.0502295481,0.0447323947,0.0540143345,0.05505459,0.0623670199,0.054672655,0.0707769663,0.0397891209,0.0583725387
09/1963,-0.028843693,0.0092037559,-0.026544416,-0.016532091,-0.01213144,-0.012977538,-0.026307222,-0.013313092,-0.00818466,-0.024233493
10/1963,0.0169529055,0.0370015581,0.0485766879,0.0370240141,0.0010539577,0.0185594572,0.0028272643,0.0791356698,0.0231513651,0.022982924
11/1963,-0.001525778,0.0367978086,-0.006647924,-0.015841637,-0.012589464,-0.024853509,-0.011702718,-0.014044908,0.0180680509,0.0129876491
12/1963,0.0090610859,0.01805072,0.0153696887,0.0396704215,0.0198714282,0.0225308426,0.0262184044,0.0264180363,0.0117895884,0.0182475447
01/1964,0.0014284585,0.0398286639,0.0296118353,0.0195833496,0.0276202301,0.0349630213,0.0307867763,0.0160921677,0.0207225929,0.0250364842
02/1964,0.0341259898,0.0217054904,-0.000668066,0.0231072287,0.0058637907,0.0195513425,0.0310324489,0.0258421621,0.0372194248,0.0374396314
03/1964,0.0337499002,0.0400380356,0.000506977,0.019193535,0.0176596486,0.0183791882,0.0199055592,0.0226745551,0.0083047374,0.0125564038
04/1964,-0.000116313,-0.008028854,-0.002799354,0.0101272697,-0.015086758,-0.006691553,0.0172790228,0.0046925872,0.0112394411,0.0236318537
05/1964,-0.012303397,-0.00427013,0.0023727001,0.0185440202,0.0081899827,0.0176596916,0.015015796,0.0329119254,0.0337813444,0.0229387234
06/1964,0.0098825503,0.0337085348,0.028225728,0.0148532587,0.0103275853,0.0196187662,0.0248941495,0.0100337443,-0.000509129,0.0129650957
07/1964,0.02362925,-0.007268262,0.001844016,0.0323300206,0.0263135013,0.0123801544,0.024717441,0.0205447161,0.0201182798,0.0602580891
08/1964,-0.012021824,-0.018480394,-0.028361046,-0.018813582,-0.019044164,0.0016759916,-0.008620459,-0.007550353,0.0121759421,-0.014259679
09/1964,0.050932336,0.0371454224,0.0398620975,0.0091782324,0.0390138147,0.0290385218,0.0295980957,0.0338509936,0.0231200309,0.0473159761
10/1964,0.0266336695,0.0170678956,-0.010488371,0.011087802,0.0065830131,0.0071714422,0.0144881054,0.0277038454,0.0080867642,0.0199911969
11/1964,-0.010930047,-0.013335849,0.0078989239,0.0201379493,-0.00268913,0.0094810487,-0.005546216,-0.00568273,0.0185946469,0.0214486777
12/1964,0.001871583,0.0013884316,0.0193122501,-0.002487009,0.0070094715,-0.012002288,-0.009441186,-0.014447582,0.0144167659,0.0055325502
01/1965,0.0421023333,0.0593808816,0.0454281095,0.0186319991,0.0406098599,0.0378750475,0.0420493847,0.0132207247,0.0451435451,0.0606483968
02/1965,0.0319999024,0.0089144368,0.016547083,0.0138345457,0.0068102208,0.0085183689,-0.010264112,0.006709689,-0.005209285,-0.00101643
03/1965,0.0081761855,-0.00549614,-0.01145217,-0.010420206,-0.009784142,-0.011084804,-0.019326633,0.0078006039,-0.025016015,-0.024996505
04/1965,0.0581548397,0.0329396767,0.0295397044,0.0465856282,0.0491375232,0.0164341222,0.015026376,0.0235010068,0.0487828659,0.0299888749
05/1965,-0.023920247,0.0149927167,-0.007927547,0.000411927,-0.007310959,-0.005403623,-0.024346111,0.0041005597,-0.001541429,0.0096262199
06/1965,-0.067317767,-0.045679181,-0.073455805,-0.050241667,-0.06249698,-0.039119999,-0.038918601,-0.035837577,-0.052381938,-0.054915626
07/1965,0.0206611588,0.0239988009,0.0057912472,0.0125751532,0.0171206737,0.0147053188,0.0225093736,0.0393540696,0.0112717245,0.0223908591
08/1965,0.0499324446,0.0376703569,0.0321437505,0.0286085427,0.0464802487,0.0262191803,0.0264115199,0.0022460953,0.0300915538,0.0107036854
09/1965,0.0493816882,0.0435328385,0.0187230195,0.0466483161,0.0308705954,0.0172274505,0.0218802532,0.0248259294,0.0380217288,0.049891938
