date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.011390029,0.008834978,0.0030533613,0.0069734015,0.0010499176,0.0106564716,0.0069932354,0.0018959161,-0.015234541,-0.021576643
08/1963,0.0649275637,0.044697571,0.0456680619,0.0647039666,0.0614501846,0.0470733728,0.0643570496,0.0597034223,0.0712744403,0.0710283521
09/1963,-0.000279802,-0.02257398,0.001890956,-0.025694403,-0.028212308,-0.025411755,-0.003745845,-0.01925633,-0.017280916,0.0134200872
10/1963,0.0621767439,-0.001727618,0.0278145349,0.0019240487,0.0148324605,0.0172036787,0.1087433842,0.0082578747,0.0296344728,0.0046969376
11/1963,-0.010566953,-0.004556203,0.0108937962,0.0039571124,-0.014545839,-0.001110019,-0.053614909,-0.01097095,-0.007296455,-0.006426853
12/1963,0.0152252933,0.0513831491,0.0186659093,0.0255470598,0.029908852,0.0451440435,0.0051584645,0.0007917531,0.0204202835,-0.00872596
01/1964,0.0460082981,0.0258429423,0.037292196,0.0222352312,0.0021715588,0.0380031359,0.0090732499,0.030656798,0.017719753,0.0378911959
02/1964,0.0232123776,0.021948834,0.0016593984,0.0230473524,0.0184440365,0.0182180594,0.0151871402,0.0246068164,0.0533395202,0.0384530474
03/1964,0.0218170448,0.0067875246,0.005109608,0.0161066823,0.0254854904,0.0169490179,0.0154183727,0.0456177189,0.0496599885,0.0507564051
04/1964,-0.022002194,0.019648898,0.0049214656,0.003581099,0.0233302421,0.0167183512,0.0356145608,-0.002008369,-0.007822386,0.000142421
05/1964,0.0213194614,0.0189963075,-0.00227998,0.0179586745,0.013580901,0.0230712523,0.0330287885,0.0086225633,-0.014775376,0.0102649958
06/1964,0.0139227101,0.0131043049,0.0400314145,0.0159646437,0.0251927998,0.003049422,0.0120839502,0.0204943581,0.0247872407,0.0023613893
07/1964,-0.006163389,0.0120121605,0.0038155393,0.0335562817,0.0357627276,0.0279215013,0.0459018443,0.0252048913,0.0178343925,0.0314642277
08/1964,-0.025850028,-0.015075309,-0.013104449,-0.013828392,-0.016291289,-0.01662578,0.0126040976,-0.009421895,0.0083369907,0.0009616135
