date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.006173613,0.0113370801,0.0029281199,-0.017727971,0.0217168568,-0.007551574,-0.007448972,-0.010805792,-0.000503553,-0.01506856
08/1963,0.0593593752,0.0592222914,0.0397258957,0.0771850998,0.045282993,0.0779745243,0.0770448008,0.0797522454,0.0592151575,0.0637282402
09/1963,-0.002904065,-0.020082343,-0.000124049,-0.017144374,-0.008725616,-0.002407242,-0.000297699,-0.009959707,-0.02631239,-0.01832628
10/1963,0.044653762,0.0859737281,0.0335227233,0.0125480286,-0.011812901,0.0296393392,0.0250663886,0.0221607445,0.0026606542,0.0152439372
11/1963,-0.010872166,-0.035686356,0.0222182363,-0.003706106,-0.023758726,0.0060616827,-0.029400012,0.0052234836,-0.00015253,-0.021665718
12/1963,0.0281645416,0.0172609318,0.022118833,0.0372614468,0.0232134539,-0.001789168,0.0369584077,0.0053385563,0.0090566271,0.0344346864
01/1964,0.0421948447,0.022554125,0.0459771552,0.0097963022,0.0291310904,-0.001371229,0.0098078157,0.0467804158,0.019091633,0.0282339034
02/1964,0.017801453,0.0164588354,0.0040475558,0.0266619044,0.0240420117,0.0315054808,0.0505498636,0.0317438476,0.0412798983,0.0485969606
03/1964,0.0203012365,0.0138593357,0.0046863436,0.0293202715,0.0427816362,0.0533173065,0.0289260308,0.069565041,0.0172638342,0.0559212283
04/1964,-0.019440402,0.0320275098,0.0231931061,-0.017426179,0.0047937549,0.0216314665,0.0161181665,-0.044276017,0.0350376916,0.0011194225
05/1964,0.019880743,0.0222203277,0.0038110721,-0.001881407,0.0159555287,0.0173247639,0.0353103973,0.030472856,0.012663065,0.0223506336
06/1964,0.0090071887,0.0130973612,0.0353843977,0.032938355,0.0111897678,0.0030372896,0.010725442,0.0156366673,0.0030601788,0.0352235038
07/1964,0.0073265733,0.0448610852,-0.00165827,0.014732364,0.0195722128,0.0487731193,0.0111293467,0.0235888154,0.0132306724,0.0125086614
08/1964,-0.020743798,-0.001338043,-0.014643396,-0.018005055,-0.000644956,-0.011250059,-0.006863517,-0.00301169,0.0016246797,-0.020610462
09/1964,0.0278532664,0.034374065,0.0073434349,0.0288566282,0.0338517937,0.0446016964,0.0401343808,0.0460252983,0.0663958007,0.0483033688
10/1964,-0.003405401,0.023824327,-0.001515428,0.0166252208,0.014830651,0.0130968007,0.0098105751,0.005479051,0.0251294756,0.0260123334
11/1964,0.0158508496,0.0073165735,-0.006332807,0.0000611326,0.0227467492,0.0117226806,0.0086002174,-0.018113316,-0.03107406,-0.029083234
12/1964,0.0140814676,0.0024767169,0.0213581712,0.0071355012,0.0076387935,-0.028382445,0.0073368306,-0.027237652,-0.019656195,-0.032952364
01/1965,0.0641048931,0.0281591557,0.0104618486,0.0068605937,0.0254510231,0.0471416798,0.0310411404,0.0447997715,0.0623466941,0.076318744
02/1965,0.0108184445,-0.004507318,0.0106459731,-0.015622775,0.0290398791,0.0097415025,-0.003302677,0.0086625137,-0.000950154,0.030934302
03/1965,-0.018865084,-0.00312866,-0.010621491,-0.033057821,-0.012708385,-0.015090865,0.0017911588,-0.003470525,0.0180391564,-0.007886525
04/1965,0.0510433911,0.0522511511,0.0228812328,0.0201885874,0.0225670345,0.0407354818,0.0372789884,0.0208616454,0.0791843053,0.0536142382
05/1965,-0.000719702,-0.021071296,0.0191060576,-0.001242107,-0.004012303,0.0061152163,0.0037222288,-0.003178562,-0.030719953,-0.010835511
06/1965,-0.046101216,-0.053024943,-0.041912144,-0.034991567,-0.062812385,-0.05531358,-0.065199787,-0.034372851,-0.080402584,-0.070335278
07/1965,0.0209655243,0.0013936998,0.0214523895,-0.001357301,0.0238494197,0.0233131185,0.0452566728,0.0237833607,0.0371290244,0.039713775
08/1965,0.0347127529,0.032898567,0.046080194,0.0089297322,0.0533040187,0.0315902254,0.0222882433,0.0171264314,0.0441974796,0.0162172907
09/1965,0.0429124581,0.0475083786,0.0294516524,0.0312107243,0.0304154409,0.0142841637,0.0335337387,0.0504242254,0.0177698609,0.0595181432
10/1965,0.0385796525,0.0269807104,0.0238237905,0.0021792974,0.0326743049,0.0381387793,0.0490117197,0.0460687805,0.0652099227,0.0761188225
11/1965,-0.002784099,-0.002407846,0.0082418573,-0.015838456,0.0319600024,0.0085831239,0.0100297443,0.0024857199,-0.000544726,-0.009406456
12/1965,0.007574342,0.0164716306,0.0054951373,-0.000309913,0.0099501986,0.0293464471,0.02521041,0.0389542558,0.0680630476,0.0141469015
01/1966,-0.003185716,0.0044282343,0.0180478215,0.0022394919,0.0067494942,0.0430150131,0.0331953421,0.0463566609,0.0355926165,0.0473689946
02/1966,-0.011663985,-0.000444503,-0.021125421,-0.00893986,-0.007712439,-0.006071159,-0.001495167,-0.006253457,-0.005327537,-0.000501267
03/1966,-0.012769597,-0.022068409,-0.032159813,-0.040866036,-0.017200392,-0.01127059,-0.023253209,-0.030065872,-0.022579487,-0.044046551
04/1966,0.023324638,0.0272433017,0.0341634563,0.0197627607,0.0301318818,0.0128179111,0.0458222387,0.0352241183,0.011230831,0.0102151412
