date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.022490626,,,,,,,,,-0.001197499
08/1963,0.0340073158,,,,,,,,,0.0532260126
09/1963,0.0021164517,,,,,,,,,-0.012839245
10/1963,-0.002947037,,,,,,,,,0.0283512409
11/1963,-0.015224771,,,,,,,,,-0.00577558
12/1963,0.0006073816,,,,,,,,,0.021131112
01/1964,-0.000591291,,,,,,,,,0.025406911
02/1964,-0.000710462,,,,,,,,,0.0181312955
03/1964,0.023375577,,,,,,,,,0.0171852725
04/1964,-0.033837929,,,,,,,,,0.0040683168
05/1964,0.0625081482,,,,,,,,,0.0165933631
06/1964,0.0109126211,,,,,,,,,0.0156858741
07/1964,0.0007623731,,,,,,,,,0.0204486336
08/1964,-0.036431059,,,,,,,,,-0.011516637
09/1964,0.0179571219,,,,,,,,,0.0297533529
10/1964,0.0245971141,,,,,,,,,0.0088682583
11/1964,-0.038078162,,,,,,,,,0.0030980978
12/1964,0.0314162986,,,,,,,,,0.0033124678
01/1965,0.0529288236,,,,,,,,,0.0381994672
02/1965,0.0104189918,,,,,,,,,0.0074182683
03/1965,-0.0066842,,,,,,,,,-0.009830751
04/1965,0.016032049,,,,,,,,,0.0342607715
05/1965,-0.039136797,,,,,,,,,-0.004476288
06/1965,-0.070644497,,,,,,,,,-0.051405997
07/1965,0.0016062461,,,,,,,,,0.0175334435
08/1965,0.0134185031,,,,,,,,,0.03067215
09/1965,-0.016335042,,,,,,,,,0.0320378085
10/1965,0.011122229,,,,,,,,,0.0292307005
11/1965,-0.014445455,,,,,,,,,0.0034322807
12/1965,0.035714397,,,,,,,,,0.0132743519
01/1966,0.0177940592,,,,,,,,,0.0108866641
02/1966,-0.027796349,,,,,,,,,-0.008468117
03/1966,-0.001025794,,,,,,,,,-0.0213849
04/1966,0.0116949026,,,,,,,,,0.0248695336
05/1966,-0.060661958,,,,,,,,,-0.052472646
06/1966,-0.006717262,,,,,,,,,-0.010645375
07/1966,-0.009253628,,,,,,,,,-0.012730305
08/1966,-0.078996769,,,,,,,,,-0.074947147
09/1966,-0.079721404,,,,,,,,,-0.006372807
10/1966,-0.009611654,,,,,,,,,0.0432551579
11/1966,0.0377312171,,,,,,,,,0.0179174364
12/1966,0.0283368553,,,,,,,,,0.0053102472
01/1967,0.1759769217,,,,,,,,,0.0855211472
02/1967,0.0562184916,,,,,,,,,0.0112195376
03/1967,0.0758667361,,,,,,,,,0.0437392925
04/1967,0.0478867313,,,,,,,,,0.0421180385
05/1967,-0.018003356,,,,,,,,,-0.039788958
06/1967,0.0631853502,,,,,,,,,0.0267002987
07/1967,0.0506479031,,,,,,,,,0.0489384262
08/1967,-0.053570349,,,,,,,,,-0.005631429
09/1967,-0.029349775,,,,,,,,,0.0344256779
10/1967,-0.022196001,,,,,,,,,-0.026950744
11/1967,0.0132780408,,,,,,,,,0.0071782428
12/1967,0.1066233924,,,,,,,,,0.0336690379
01/1968,-0.054486214,,,,,,,,,-0.036211634
02/1968,-0.13632439,,,,,,,,,-0.033290986
03/1968,-0.001210302,,,,,,,,,0.0059778008
04/1968,0.2091974616,,,,,,,,,0.0944144714
05/1968,0.1155280333,,,,,,,,,0.0268689103
06/1968,-0.04090476,,,,,,,,,0.0115010522
07/1968,-0.066698426,,,,,,,,,-0.02178916
08/1968,0.0087529855,,,,,,,,,0.0178161658
09/1968,0.0507701222,,,,,,,,,0.0447292234
10/1968,0.0039383033,,,,,,,,,0.008725145
11/1968,0.089072243,,,,,,,,,0.0583231359
12/1968,-0.019318246,,,,,,,,,-0.035138288
01/1969,-0.014714375,,,,,,,,,-0.007154187
02/1969,-0.076420105,,,,,,,,,-0.053568544
03/1969,0.0387801583,,,,,,,,,0.0312881951
04/1969,0.0238305382,,,,,,,,,0.0198786351
05/1969,-0.018328106,,,,,,,,,0.0042893683
06/1969,-0.102653514,,,,,,,,,-0.066365026
07/1969,-0.104187122,,,,,,,,,-0.064368304
08/1969,0.0649504458,,,,,,,,,0.0517816605
09/1969,-0.025099097,,,,,,,,,-0.023534879
10/1969,0.1085354148,,,,,,,,,0.0561412471
11/1969,-0.062254674,,,,,,,,,-0.03243322
12/1969,-0.066928936,,,,,,,,,-0.019453584
01/1970,-0.095392265,,,,,,,,,-0.074701643
02/1970,0.0562563007,,,,,,,,,0.0574708313
03/1970,-0.038429344,,,,,,,,,-0.004471
04/1970,-0.221180871,,,,,,,,,-0.104132375
05/1970,-0.105032829,,,,,,,,,-0.063697394
06/1970,-0.124745598,,,,,,,,,-0.051686003
07/1970,0.0774886876,,,,,,,,,0.0744244769
08/1970,0.0695057658,,,,,,,,,0.0500695378
09/1970,0.2067191575,,,,,,,,,0.0466257364
10/1970,-0.035207915,,,,,,,,,-0.018101149
11/1970,0.0257993874,,,,,,,,,0.0506846019
12/1970,0.0021024457,,,,,,,,,0.0618231865
01/1971,0.0679297301,,,,,,,,,0.052059367
02/1971,0.0590951339,,,,,,,,,0.0170860357
03/1971,0.0826269364,,,,,,,,,0.0440772592
04/1971,0.048928923,,,,,,,,,0.0342349539
05/1971,-0.018302881,,,,,,,,,-0.03702428
06/1971,0.016282706,,,,,,,,,0.0026650621
07/1971,-0.093509127,,,,,,,,,-0.040573644
08/1971,0.1024625178,,,,,,,,,0.0421504115
09/1971,0.0117651894,,,,,,,,,-0.004956989
10/1971,-0.069585068,,,,,,,,,-0.040258349
11/1971,-0.011587268,,,,,,,,,-0.000804053
12/1971,0.1464841346,,,,,,,,,0.0903540158
01/1972,0.0770611349,,,,,,,,,0.0273896338
02/1972,0.0539337603,,,,,,,,,0.0309743132
03/1972,0.0087794261,,,,,,,,,0.0089738906
04/1972,-0.012294879,,,,,,,,,0.0059166255
05/1972,0.0040047605,,,,,,,,,0.0156541246
06/1972,-0.041816702,,,,,,,,,-0.021252895
07/1972,-0.027684828,,,,,,,,,-0.004702088
08/1972,-0.015514413,,,,,,,,,0.0357375936
09/1972,-0.012616312,,,,,,,,,-0.007904925
10/1972,-0.017608085,,,,,,,,,0.0092700039
11/1972,0.0237284335,,,,,,,,,0.0498247475
12/1972,0.0430018494,,,,,,,,,0.0097563663
01/1973,-0.074924238,,,,,,,,,-0.028317247
02/1973,-0.184544808,,,,,,,,,-0.043839476
03/1973,-0.050016819,,,,,,,,,-0.008532824
04/1973,-0.114594608,,,,,,,,,-0.051410461
05/1973,-0.081598647,,,,,,,,,-0.024271033
