date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.003235365,,,,,,,,,0.0058187205
08/1963,0.0539457787,,,,,,,,,0.0504963857
09/1963,-0.012480775,,,,,,,,,-0.013966235
10/1963,0.0171946543,,,,,,,,,0.0674214563
11/1963,0.0000634702,,,,,,,,,-0.025522955
12/1963,0.019291993,,,,,,,,,0.0272821649
01/1964,0.0247780901,,,,,,,,,0.027270447
02/1964,0.017331585,,,,,,,,,0.0205358509
03/1964,0.0164986196,,,,,,,,,0.0196475778
04/1964,0.0037324347,,,,,,,,,0.0047391982
05/1964,0.0145919126,,,,,,,,,0.0240963351
06/1964,0.017328458,,,,,,,,,0.0100106885
07/1964,0.019237378,,,,,,,,,0.0286952501
08/1964,-0.010987892,,,,,,,,,-0.015857411
09/1964,0.029759602,,,,,,,,,0.0294452442
10/1964,0.0077597127,,,,,,,,,0.0171072369
11/1964,0.0015490977,,,,,,,,,0.0121826047
12/1964,0.0042191007,,,,,,,,,-0.001948954
01/1965,0.0413407153,,,,,,,,,0.0163998134
02/1965,0.0097919558,,,,,,,,,-0.009610658
03/1965,-0.007894718,,,,,,,,,-0.023844319
04/1965,0.0358533268,,,,,,,,,0.0215082401
05/1965,-0.00477452,,,,,,,,,-0.003534843
06/1965,-0.054487745,,,,,,,,,-0.028756606
07/1965,0.0156266263,,,,,,,,,0.0278224277
08/1965,0.027781755,,,,,,,,,0.04605454
09/1965,0.0300249381,,,,,,,,,0.0407939746
10/1965,0.0267349003,,,,,,,,,0.0419241313
11/1965,0.0018049142,,,,,,,,,0.0113360922
12/1965,0.0129301755,,,,,,,,,0.015991138
01/1966,0.0098544923,,,,,,,,,0.0165304271
02/1966,-0.010709559,,,,,,,,,0.0024861378
03/1966,-0.024763849,,,,,,,,,-0.003616423
04/1966,0.0215673682,,,,,,,,,0.0409733847
05/1966,-0.052137425,,,,,,,,,-0.054348122
06/1966,-0.010776156,,,,,,,,,-0.009912063
07/1966,-0.0147834,,,,,,,,,0.0030848072
08/1966,-0.072821444,,,,,,,,,-0.09104934
09/1966,-0.005989598,,,,,,,,,-0.010843565
10/1966,0.0436208001,,,,,,,,,0.0394144507
11/1966,0.0148206085,,,,,,,,,0.0422437523
12/1966,0.0038210335,,,,,,,,,0.0170900407
01/1967,0.0859515554,,,,,,,,,0.0845119709
02/1967,0.010390789,,,,,,,,,0.0184744859
03/1967,0.0459085461,,,,,,,,,0.0286840962
04/1967,0.0408674339,,,,,,,,,0.0517209418
05/1967,-0.038538749,,,,,,,,,-0.048381899
06/1967,0.026154207,,,,,,,,,0.0323319782
07/1967,0.0487083352,,,,,,,,,0.0510585815
08/1967,-0.005717207,,,,,,,,,-0.006487771
09/1967,0.033994383,,,,,,,,,0.0362457732
10/1967,-0.026549604,,,,,,,,,-0.030313281
11/1967,0.0062218631,,,,,,,,,0.0157955039
12/1967,0.0346343248,,,,,,,,,0.0269231829
01/1968,-0.034706397,,,,,,,,,-0.050203699
02/1968,-0.033109127,,,,,,,,,-0.037718831
03/1968,0.0042958224,,,,,,,,,0.0210234186
04/1968,0.0947730577,,,,,,,,,0.0951529391
05/1968,0.0266865507,,,,,,,,,0.0320743463
06/1968,0.0130808122,,,,,,,,,-0.004765072
07/1968,-0.021794538,,,,,,,,,-0.028055467
08/1968,0.018149332,,,,,,,,,0.0087207358
09/1968,0.0444960702,,,,,,,,,0.0509629566
10/1968,0.0089325239,,,,,,,,,0.0031677064
11/1968,0.0578857992,,,,,,,,,0.073350605
12/1968,-0.034931466,,,,,,,,,-0.036908815
01/1969,-0.007835564,,,,,,,,,0.0068721428
02/1969,-0.053312517,,,,,,,,,-0.065402291
03/1969,0.0320867703,,,,,,,,,0.014371703
04/1969,0.0198954544,,,,,,,,,0.0204732736
05/1969,0.0040518867,,,,,,,,,0.0034730512
06/1969,-0.066622058,,,,,,,,,-0.069808154
07/1969,-0.067032459,,,,,,,,,-0.0536174
