date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.018510248,0.0057136397,-0.00252489,0.0095846418,-0.000334605,0.0163400958,-0.006015668,-0.006978389,-0.008044347,-0.013674921
08/1963,0.0763470021,0.0542111225,0.0521405092,0.043655116,0.0619132086,0.055798002,0.0558458714,0.0520361455,0.0950609098,0.0846446002
09/1963,-0.031372314,-0.005506193,0.0071380244,-0.026296704,-0.023887654,-0.024513626,0.0017985581,-0.023754669,0.0046660576,-0.017154337
10/1963,0.0403772674,0.1012844198,0.0310486467,0.0057806621,0.0146156748,0.0166088192,0.0009538528,0.0160192063,0.0246186478,0.0213619493
11/1963,-0.008860987,-0.03775011,0.022504319,-0.002907766,-0.008967736,-0.015816965,-0.02216311,-0.002325637,0.0026685664,-0.021766548
12/1963,0.0089205142,0.0195094791,0.0193313523,0.0314250988,0.0217887176,0.0305570185,0.0327673006,0.0198585258,0.0051402127,0.0260124864
01/1964,-0.005412865,0.0335671792,0.0463061913,0.0282739592,0.0149274716,0.0308797067,0.0085617127,0.0220231988,0.021332308,0.0336802787
02/1964,0.0253144723,0.0205773492,0.005530467,0.0217003863,0.0147311999,0.02069201,0.020328459,0.0235926139,0.0328424533,0.0202814059
03/1964,0.0294893925,0.0171371056,0.0021494528,0.0065918991,0.0085019629,0.0285769508,0.0351840759,0.0556245099,0.0555624608,0.0459971101
04/1964,0.0140889136,0.0113077665,0.0120033174,0.0209080517,0.000071383,0.0047437276,0.0271899197,-0.015039571,-0.050226231,-0.031089853
05/1964,-0.007449112,0.0334409871,0.0106392354,0.0092878148,-0.002578686,0.022247792,0.0095604168,0.0052717593,0.0124236385,0.0177973295
06/1964,0.01424501,0.0066958156,0.0372118862,0.0176493741,0.0165408063,0.0115496578,0.0188106732,0.0187047441,0.0126572115,0.0293688709
07/1964,0.0109866391,0.0011406291,0.0135877085,0.0497092623,0.0005566873,0.0226653715,0.0221634978,0.0494495075,0.0187410761,0.0320560002
08/1964,0.011989261,-0.0326313,-0.01631247,-0.000435293,-0.017409495,-0.020285303,-0.004820345,0.0049329533,-0.003877197,-0.008740017
09/1964,0.042214959,0.0209721603,0.0347839285,0.0352270806,0.0133127102,0.0263691546,0.0406663102,0.0266605541,0.0158917639,0.0444552917
10/1964,0.0057148237,0.0053269205,0.0001904396,0.0212496914,-0.001291349,0.0154862413,0.0083642483,0.0077336644,0.023650381,-0.001210022
11/1964,0.0156498004,0.0026265756,0.0074912971,0.0105407261,-0.002015411,0.0045287924,0.0001873158,-0.005452527,0.0082815962,0.0210778988
12/1964,0.0147455763,0.0027318101,-0.003112798,0.0070055946,0.0245507593,-0.000148654,-0.01454697,-0.01234019,-0.021988591,0.0069377372
01/1965,0.0358293467,0.0697340786,0.0503134988,0.0242914821,0.0224546306,0.0172278405,0.0430639189,0.0489086559,0.0542646636,0.0502684267
02/1965,0.0251121369,0.0112556804,0.0183998773,-0.010979422,0.0093211104,-0.014329697,0.0150553566,0.0204572916,0.0215738103,-0.001779387
03/1965,-0.021190374,-0.008749005,0.0023353442,-0.005225519,-0.019490317,-0.019853611,-0.012570533,-0.00218745,0.0017437181,-0.017435442
04/1965,0.0690819192,0.048468254,0.0352612064,0.0469832685,0.0320300856,0.0099553499,0.0256023444,0.0133315169,0.0369268369,0.0247840047
05/1965,-0.0092481,-0.003646949,-0.000093518,-0.014934169,0.0102094858,-0.007614921,-0.001361688,-0.00910484,-0.003148973,0.016689942
06/1965,-0.067829623,-0.049071937,-0.063994801,-0.0437869,-0.041391528,-0.025048298,-0.046530954,-0.055610691,-0.066068903,-0.060718613
