date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.009198919,0.002250676,-0.00682548,-0.010943573,-0.00252078,0.0057854442,0.0019981308,-0.004523743,0.0013134802,-0.000605643
08/1963,0.0733701492,0.0501899221,0.0495559743,0.0530775079,0.0403951874,0.0507665181,0.0501890582,0.0728283822,0.0772089559,0.0704282682
09/1963,-0.018267996,-0.032577625,-0.035623201,-0.009198906,0.0042417836,-0.013131484,-0.027155376,-0.009350711,0.0007947256,-0.005304773
10/1963,0.0231401516,-0.004361019,0.0051494331,0.0320152665,0.0648707674,0.0194866946,0.0058034525,0.0164270366,0.0301124379,0.0236466608
11/1963,-0.01549967,-0.031445006,-0.010377737,0.0071503625,0.0099938119,-0.003887889,-0.005323856,-0.00468573,-0.006146789,0.0134155192
12/1963,0.0114326311,0.0084593644,0.0374564737,0.0162575995,0.0158053166,0.0292293428,0.0227883529,0.0236715447,0.0213573646,-0.012269148
01/1964,-0.003272544,0.0134595532,0.034952479,0.033195292,0.0181671816,0.0274680915,0.0270779447,0.0296968785,0.0214384652,0.0155250525
02/1964,0.0185815118,0.0103178171,0.0115552667,0.0290473442,0.0103086509,0.0147071948,0.028984171,0.0139502712,0.0234666351,0.0325768423
03/1964,0.014403146,0.0133373622,0.0241229904,0.0152133708,0.0186804372,0.0080794824,0.0190952697,0.0271040713,0.021586987,0.0314361807
04/1964,-0.022906317,0.0001572533,-0.017247314,-0.003293723,-0.010810788,0.0186034127,0.0139367007,0.0159984867,0.0122027028,-0.004004002
05/1964,0.0407475249,0.015745449,0.020188188,0.0299839114,0.0007122136,0.0231347355,0.0167459207,0.0034969579,0.0110399359,0.0137168654
06/1964,0.0042450848,0.0117611667,0.0071786923,0.0073335036,0.0193608693,0.0162869884,0.0184123719,0.0196092931,0.0335100363,0.0266678139
07/1964,0.011613033,0.0246507825,0.0239109038,-0.005446159,0.010176568,0.0305173155,0.0351602884,0.030379646,0.0243391211,0.0291597263
08/1964,-0.005765219,-0.008428248,-0.017181756,0.0010072384,-0.006760819,-0.019759755,-0.015751986,-0.017423565,-0.002474355,-0.019627562
09/1964,0.0299156299,0.0067268762,0.0270557945,0.0350444591,0.0331173038,0.0146256807,0.0297185718,0.0651350064,0.0376843599,0.0477559832
10/1964,-0.007788029,0.0156350126,0.0032909189,0.0077256008,0.0139164313,0.0051628518,0.0180222108,0.0174276657,-0.001061587,0.0147714771
11/1964,-0.004320041,0.0164638449,0.0069906138,0.0040148525,0.0008000088,0.0027908452,-0.000139938,0.0016672413,0.0130133257,-0.017788476
12/1964,-0.018004895,-0.004243235,-0.010330919,0.0016942734,0.0001708568,0.0108217976,0.0205045949,0.0082579473,0.0037927513,0.0007648835
01/1965,0.0333479341,0.0379890327,0.0147416807,0.0281260658,0.0619407024,0.0337487829,0.0555069716,0.0554367812,0.0495914733,0.0719176206
02/1965,0.0337233708,0.0145912798,0.0062502012,-0.000631586,0.0015707828,0.008053904,0.01426789,-0.003151508,0.0059805848,0.0284284261
03/1965,-0.032885328,-0.027272289,-0.008827388,-0.001986404,-0.005482519,-0.001451705,-0.017605421,-0.005308755,-0.013032301,0.0110211214
04/1965,0.0305217139,0.0323442942,0.0174916277,0.0270737722,0.0307814405,0.0485036401,0.0155077429,0.045642673,0.0307453969,0.0483284948
