date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.0455491096,0.0508238312,0.0589473244,0.0410347446,0.0378493606,0.0491008723,0.0534778726,0.0581497413,0.0812473842,0.081244168
09/1963,-0.027635942,-0.028931779,-0.031097625,0.0135406397,0.0002964142,-0.020626714,-0.02690685,-0.00975289,0.001277813,0.001557376
10/1963,-0.008585346,-0.001244657,0.0084768597,0.0171454765,0.0480624852,0.0597094225,0.0111545506,0.0041938857,0.0180340226,0.0333406136
11/1963,-0.051470409,-0.001272639,0.0156046076,-0.020317555,0.0151648602,-0.002693758,-0.012112045,0.0003394447,-0.008861364,0.0015567661
12/1963,0.0027028696,0.0133602073,0.0428909818,0.0140700372,0.0231701414,0.0340739078,0.0095035698,0.0443028048,0.0278370734,0.0037175285
01/1964,0.0015293994,0.0419686885,0.012555061,0.0365625125,0.0135456348,0.0262385553,0.0320633248,0.0226622762,0.0306854211,0.0245367725
02/1964,0.0077863831,0.0072147291,0.0066620025,0.017021135,0.0268622536,0.0086632203,0.0268256026,0.0221343268,0.0174647038,0.0324164296
03/1964,0.0223813697,0.0222317974,0.0254946812,0.0024719175,0.0234772022,-0.002686292,0.0145988484,0.0273059542,0.02060143,0.0264404967
04/1964,-0.005885305,-0.011758407,-0.013017692,-0.002859657,-0.007052732,0.021411008,0.0251872175,0.0074083267,0.0227519817,0.0207558349
05/1964,0.0184086754,0.0323193528,0.026077992,0.0234341351,-0.005497073,0.0128860898,0.0276439358,0.0118235024,-0.002973672,0.0246984589
06/1964,0.0035836786,0.0029573721,0.0252534129,-0.002565405,0.0306438157,0.0162520472,0.0113252206,0.0282908455,0.0445694182,0.0181599727
07/1964,0.0250539493,0.0301368893,0.0139568111,-0.004854629,0.0095926666,0.0351091742,0.0268267627,0.039109826,0.0333882509,0.0317893934
08/1964,-0.008919622,-0.01275229,-0.012938263,0.0030138869,-0.006481342,-0.020344021,-0.015963568,-0.016643896,-0.011470096,0.0060558965
09/1964,0.0060088448,0.0170372051,0.0265020617,0.0314806764,0.0321791437,0.0135368316,0.0168667064,0.0358257481,0.04778162,0.0497374884
10/1964,0.0154838916,-0.001150141,0.0070001344,0.0345004766,-0.005741236,0.0037220337,0.0208377784,0.0163585601,-0.000686517,0.0124115868
11/1964,0.0178097551,0.001797818,-0.004061323,0.0199062689,-0.001068785,0.0058091777,-0.011697351,0.00960238,0.0156617102,0.0094275798
12/1964,-0.024095044,-0.002223536,-0.009402884,-0.001741689,-0.003140875,0.0141595376,0.0184410754,0.006448651,-0.002079807,0.0041265295
01/1965,0.0316094693,0.0268246592,0.021712451,0.0152151348,0.056631908,0.0686293596,0.0279929024,0.0567249876,0.0460963014,0.0449753608
02/1965,0.0057333475,0.0035396229,-0.003350146,0.0088452675,-0.005578138,0.0207598268,0.0105480901,-0.010727145,-0.003176967,0.0206092191
03/1965,-0.030468634,-0.024935983,-0.001376752,-0.002281647,-0.01142861,-0.002279637,-0.02143961,-0.006727741,-0.01157774,-0.006450577
04/1965,0.0302805175,0.0193813929,0.0276403932,0.0133811018,0.0595351446,0.0340039607,0.0202800834,0.0350170229,0.0216101115,0.0495204168
05/1965,-0.020369635,0.002434121,-0.017834989,0.0130218518,0.0117301974,-0.011861916,-0.008646627,0.0005239234,-0.004663445,-0.017154386
06/1965,-0.073846254,-0.059467987,-0.042179719,-0.040429839,-0.047294246,-0.031588965,-0.044488331,-0.045657521,-0.034220036,-0.055055699
07/1965,0.0202416638,0.0161525568,-0.002288959,0.0240658849,0.0000101621,0.0158434755,0.0239275714,0.0215426265,0.0299562159,0.0302006578
08/1965,0.0431448231,0.01691832,0.0431978446,0.0244181848,0.0255551285,0.0100872163,0.02530227,0.0282489425,0.0204870521,0.0394053651
09/1965,0.0151516435,0.028325957,0.0194725023,0.0401426845,0.043039693,0.0111987872,0.0318505695,0.0461832543,0.022532198,0.0264195506
10/1965,0.0170898398,0.0124062047,0.0173305943,0.0399888358,0.0116222587,0.0224017222,0.0203746459,0.0168307211,0.0284646194,0.047708377
11/1965,-0.002899149,-0.012312468,0.0096206842,-0.017782782,-0.019178108,0.0088176343,0.0019265987,-0.005564137,0.0232253535,0.0108820197
12/1965,-0.004242138,0.0090860908,0.008430082,0.0021012123,0.006232971,-0.004774712,0.006369816,0.0139813262,0.0375034916,0.0472016665
01/1966,0.0065259289,0.0017026709,-0.000925113,-0.017245201,-0.006562787,-0.005643237,0.0133138872,0.017294007,0.0311749804,0.0389923779
02/1966,-0.009044214,-0.016117669,-0.023238885,-0.004740901,-0.033780437,-0.014053952,-0.016876002,-0.034669597,-0.011251822,-0.006442989
03/1966,-0.032551607,-0.00026347,-0.018463296,-0.029726579,-0.037352345,-0.042152086,-0.021376891,-0.00294341,0.0027246799,-0.022027423
04/1966,0.0044353942,0.026499955,0.0383940238,0.0425506346,-0.013039929,0.0167864926,-0.002198341,0.0148977782,0.0244056265,0.0299944517
05/1966,-0.060203755,-0.044652934,-0.06493054,-0.039121256,-0.030035132,-0.037379178,-0.04554773,-0.048571112,-0.046630711,-0.011984978
