date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.009150532,-0.014083771,0.0007246687,0.0069950659,0.0084630831,0.0061973541,-0.004114692,-0.011257596,-0.010165641,-0.011753389
08/1963,0.042793813,0.0684085164,0.059028822,0.0559072108,0.0381085359,0.051448686,0.050210384,0.0595468034,0.0741957756,0.0806841901
09/1963,-0.001833824,-0.021300147,-0.008930437,-0.030983439,-0.018414361,-0.022260617,0.0177215787,-0.015566762,-0.008721097,-0.014821889
10/1963,0.0509954801,0.0387185829,0.0782766849,0.0219105075,0.0183463583,0.0227177826,0.0318071618,0.0178350569,0.0151521075,0.014735761
11/1963,-0.002196267,0.0001939768,-0.028088213,-0.003443681,-0.015916188,0.000240259,0.0241120459,-0.00415174,-0.016162065,-0.006487961
12/1963,0.0220607449,0.0142938492,0.0202047941,0.0307775294,0.0309818352,0.0402364992,0.0091219304,0.0176909348,0.0183095043,0.0088713179
01/1964,0.039599918,-0.008941466,0.02907004,0.0290205337,0.0155023597,0.0475992009,0.0341374914,0.0046032829,0.0328181309,0.0284165176
02/1964,0.0432226095,0.029993767,0.014025944,0.0291764929,0.0071000872,0.0176891206,0.0021923588,0.0462733215,0.0216862269,0.0311036431
03/1964,0.0335954136,0.0266806806,0.0185014783,0.0080264361,0.0155934911,0.029081968,0.0016561856,0.0371154978,0.0491934405,0.0541140294
04/1964,-0.026699977,-0.002628346,0.0124117696,0.0135629643,0.0129849886,0.0043586967,0.0121319795,0.0034806126,-0.014394357,-0.01012905
05/1964,0.0322472373,0.0172038169,0.0213888182,0.013757334,0.00994002,0.0126535468,0.0091434151,0.0131562105,0.0003358005,0.0215740751
06/1964,0.0034412251,0.0149768241,0.0065948617,0.0162797356,0.0135097599,0.0091632817,0.0409283691,0.0132144005,0.0238881875,0.0108290079
07/1964,0.0036791943,0.0197564404,0.0242099329,0.0443223783,0.0210132774,0.0129064378,-0.002645096,0.0154932445,0.0178537868,0.0244986147
08/1964,-0.024655276,0.0037913772,-0.021432009,0.0038021175,-0.003716252,-0.015328686,-0.017263534,-0.027259016,-0.015190964,-0.017645991
09/1964,0.029301636,0.038479697,0.0277722385,0.0356314524,0.0554219703,0.0361488407,0.0025384756,0.0183132092,0.0389006717,0.0400939963
10/1964,-0.00553953,-0.014364464,0.0190972784,0.0313109532,-0.004286494,0.0177326639,0.0056266531,0.0228895119,0.0082653981,-0.009786705
11/1964,0.0054437969,-0.004080569,0.0138906267,0.0042928756,0.0229933199,-0.010330116,-0.004417733,0.0114996751,0.0133319166,-0.027192123
12/1964,0.008113913,0.0154290273,-0.005743165,0.0073407022,0.0066864344,-0.010337788,0.0231901211,-0.005267242,-0.008832113,-0.01541474
01/1965,0.0736367811,0.0618223343,0.0598328592,0.0307783078,0.0342621677,0.0482539896,0.0134076715,-0.002249163,0.0436802918,0.0316320758
02/1965,0.0170650527,0.0211038757,0.0023885295,-0.008680216,0.0142763022,0.0258626362,0.0006819403,-0.019068176,0.029441419,0.0031795409
03/1965,-0.017118115,-0.004461784,-0.018058673,-0.009035583,-0.00730976,-0.019393981,-0.012835485,-0.02411367,0.0020020593,-0.010527475
04/1965,0.0489547455,0.0397653273,0.0354109902,0.0564593665,0.0573050353,0.0290811688,0.0213100172,0.016184948,0.0398003537,0.0145058847
05/1965,0.0110406948,0.0179534209,0.0060622927,-0.018101313,-0.022460289,-0.001482511,0.0211236823,-0.000149648,-0.001568036,-0.020978995
06/1965,-0.060364312,-0.07547375,-0.051699668,-0.049409189,-0.050915479,-0.05921167,-0.035068414,-0.026002753,-0.076989043,-0.049987234
07/1965,0.0302121069,0.0208978491,0.002538697,0.0302039559,0.0141767311,0.0282262735,0.0005438747,0.0253129979,0.0159605475,0.0263010948
08/1965,0.0593961831,0.0365728998,0.0198809755,0.0616211795,0.0383714401,0.020449651,0.0111094675,0.0306705135,0.0108963214,0.0593161377
09/1965,0.0387519718,0.0569741063,0.0226417696,0.0389938321,0.0576922477,0.0372767587,0.0259394856,0.042951933,0.0127504656,0.0208315881
