date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.001240297,,,,,,,,,
08/1963,0.053179913,,,,,,,,,
09/1963,-0.012809459,,,,,,,,,
10/1963,0.0282945342,,,,,,,,,
11/1963,-0.005816048,,,,,,,,,
12/1963,0.0210929599,,,,,,,,,
01/1964,0.0253428113,,,,,,,,,
02/1964,0.0180546234,,,,,,,,,
03/1964,0.0172086223,,,,,,,,,
04/1964,0.0039598679,,,,,,,,,
05/1964,0.0167310228,,,,,,,,,
06/1964,0.0156732662,,,,,,,,,
07/1964,0.0203958749,,,,,,,,,
08/1964,-0.011588439,,,,,,,,,
09/1964,0.0297210363,,,,,,,,,
10/1964,0.0089046839,,,,,,,,,
11/1964,0.0028627491,,,,,,,,,
12/1964,0.0034463614,,,,,,,,,
01/1965,0.0382356715,,,,,,,,,
02/1965,0.0074278182,,,,,,,,,
03/1965,-0.009801697,,,,,,,,,
04/1965,0.0341674265,,,,,,,,,
05/1965,-0.004630047,,,,,,,,,
06/1965,-0.051495576,,,,,,,,,
07/1965,0.0174751224,,,,,,,,,
08/1965,0.0305805051,,,,,,,,,
09/1965,0.0317006521,,,,,,,,,
10/1965,0.0291209136,,,,,,,,,
11/1965,0.0033201238,,,,,,,,,
12/1965,0.0134218496,,,,,,,,,
01/1966,0.010929198,,,,,,,,,
02/1966,-0.008575004,,,,,,,,,
03/1966,-0.021299977,,,,,,,,,
04/1966,0.0248046519,,,,,,,,,
05/1966,-0.052512297,,,,,,,,,
06/1966,-0.010630002,,,,,,,,,
07/1966,-0.012716671,,,,,,,,,
08/1966,-0.074962954,,,,,,,,,
09/1966,-0.006549962,,,,,,,,,
10/1966,0.043136839,,,,,,,,,
11/1966,0.017963188,,,,,,,,,
12/1966,0.0053787082,,,,,,,,,
01/1967,0.085780443,,,,,,,,,
02/1967,0.0113521787,,,,,,,,,
03/1967,0.0438450368,,,,,,,,,
04/1967,0.042148153,,,,,,,,,
05/1967,-0.039710948,,,,,,,,,
06/1967,0.0268854493,,,,,,,,,
07/1967,0.0489462323,,,,,,,,,
08/1967,-0.005795103,,,,,,,,,
09/1967,0.0342220028,,,,,,,,,
10/1967,-0.026932309,,,,,,,,,
11/1967,0.0071910834,,,,,,,,,
12/1967,0.0338465178,,,,,,,,,
01/1968,-0.036279962,,,,,,,,,
02/1968,-0.033568331,,,,,,,,,
