date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.0579067397,0.0725657009,0.0822835047,0.0611390801,0.0572283351,0.0584182605,0.0676601414,0.0636451598,0.0614218944,0.0429233777
09/1963,-0.024732161,-0.005298639,-0.024879894,-0.028093634,-0.023485285,-0.024519313,-0.016638466,-0.017269243,-0.02034072,-0.004693433
10/1963,0.0149284831,0.0458901822,0.0298855618,0.0248908447,0.013305632,0.0178792737,0.0315316016,0.0186469579,0.0007979078,0.043141197
11/1963,-0.022628866,0.0007596188,-0.013173461,-0.011449839,0.0049611127,-0.009445969,-0.011967965,-0.007413679,-0.028157995,0.0126359431
12/1963,0.0037281171,-0.010532821,0.0074913309,0.0136543093,0.0099971414,0.0198056378,0.0165094961,0.0132860226,0.0422560485,0.0218586378
01/1964,-0.013414472,0.0026160342,0.0190101207,0.01677722,0.0339082829,0.0125086291,0.0224884966,0.0097538757,0.0386778036,0.0300984229
02/1964,0.0155650508,0.0249649615,0.0480849814,0.0354995225,0.025205052,0.0236007148,0.0320063923,0.0107119503,0.0160966682,0.0120246471
03/1964,0.0200219203,0.0076647605,0.0326008591,0.0370535466,0.0198516345,0.0260629821,0.0220976972,0.0234469866,0.020479982,0.006822788
04/1964,-0.001620486,-0.017051063,-0.013083547,-0.034034241,-0.006227992,-0.002599293,0.0087339071,-0.011245133,0.0067509913,0.0158797421
05/1964,0.0159033957,0.0566115724,0.0191788443,0.0068822077,0.0097172608,0.007691415,0.0148655441,0.0060357078,0.0200104909,0.0181505957
06/1964,-0.016337303,0.0075142465,0.010462484,0.0225935522,0.0140568021,0.0207026261,0.0191127254,0.0126009142,0.0136151408,0.0181780851
07/1964,0.0122934047,-0.008465934,0.031720484,0.0096687318,0.0096276903,0.0158565363,0.030432262,0.0310865727,0.0313075286,0.0161330959
08/1964,-0.014263681,-0.023552053,-0.01966444,-0.000507534,-0.013965293,-0.003172495,-0.004182995,-0.013876711,-0.009947,-0.012858443
09/1964,0.0526734766,0.0684313662,0.048222014,0.0624148265,0.0419043221,0.031059319,0.0266884331,0.0189763728,0.0311913065,0.0245758212
10/1964,-0.005429791,-0.013561598,0.0085937112,0.0228558137,0.0092025888,0.0230082339,0.0128610297,0.0129136765,-0.003188157,0.0102279586
