date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.005373553,0.0109636857,-0.002494092,0.0181954707,0.0032180995,0.0006727225,-0.000779944,-0.005595655,-0.026137666,-0.007198985
08/1963,0.0570634405,0.057439563,0.04543626,0.0438299236,0.0465636321,0.052322803,0.0605000445,0.0634960584,0.0616468055,0.0647828277
09/1963,-0.005754995,-0.02179834,0.0000947962,-0.010807935,-0.019345985,-0.028902762,-0.025804986,-0.011020114,0.0016732695,-0.050828901
10/1963,0.0404365074,0.0607409957,0.0293670582,0.0133830456,0.0071398086,-0.000875227,0.0043991011,0.0178509884,0.0189549607,0.0570763789
11/1963,0.0016634979,-0.0347102,0.020126777,-0.017807714,-0.008659642,-0.000851258,-0.007354739,-0.003826828,-0.022685217,-0.000433032
12/1963,0.0269271443,0.0208477469,0.0254294167,0.0264898289,0.0103844093,0.0325727809,0.0199630006,0.0192191225,-0.006748017,0.012867172
01/1964,0.0330732098,0.0216035282,0.0371752517,0.0295388051,0.0131533013,0.0076123225,0.0247605284,0.0118403532,0.0072714723,0.0451217463
02/1964,0.0197369944,0.0153795848,0.0083724825,0.0182236193,0.0198946001,0.0180672535,0.0110256686,0.0116031081,0.0618336539,0.0603370128
03/1964,0.0148055374,0.0128070034,0.0069797198,0.0278010772,0.0224146517,0.0212339229,0.0338590422,0.0407797651,0.0163206797,0.0485031407
04/1964,-0.017224257,0.0345030611,0.0112744437,0.0070250295,0.0015666736,0.0124845068,-0.013921677,-0.003599539,0.0087393196,-0.009801453
05/1964,0.0232326105,0.0182041633,0.0052674123,0.0077309242,0.0052747437,0.0139436643,0.0190889019,0.0400159931,0.0005233893,0.0283533794
06/1964,0.0059745707,0.0138700122,0.0344202738,0.0130635358,0.0171105819,0.0150258948,0.0113944145,0.02327427,0.0174949489,0.0148835602
07/1964,0.0063915512,0.0445535301,0.0035611323,0.0376627027,0.0431002388,0.0304587954,0.0164695803,0.0126971069,0.0136307337,0.0080538008
08/1964,-0.021177526,-0.003306301,-0.016029363,-0.009091214,-0.00050089,-0.004997761,-0.006931455,0.0065356212,-0.01337019,-0.025306105
09/1964,0.0315024795,0.0343909155,0.0121656859,0.0335529406,0.0264356944,0.0430375981,0.0365069233,0.0428769093,0.0599118982,0.0341987876
10/1964,-0.006671185,0.0184257258,0.0119641685,-0.003847792,0.0237129714,0.0077173589,0.017543092,-0.015636855,0.0303962749,0.0166138166
11/1964,0.012955321,0.0056349988,-0.003783302,0.0118901191,0.0088306797,0.0138654503,-0.00574158,-0.018009997,-0.015742482,-0.012475463
12/1964,0.011931371,0.0058210607,0.0183750775,-0.014787947,-0.012432098,0.0072979756,-0.000837276,-0.013904449,-0.008627005,-0.022514421
01/1965,0.0673923288,0.0255436205,0.0066141994,0.0372431408,0.0469934944,0.0321637354,0.0419643794,0.0357466216,0.0581246602,0.0560982032
02/1965,0.0153005213,-0.006977197,-0.004577748,0.0130900104,0.0207241592,-0.013072373,0.0291762309,0.0189306201,0.0183573851,0.0220537754
03/1965,-0.018912332,-0.003552141,-0.020922621,-0.015649059,-0.008446506,-0.000625781,0.0037482777,-0.000339328,-0.003810273,0.0071465422
04/1965,0.0508746515,0.0432181961,0.0215020461,0.021376969,0.029351778,0.0160942135,0.041275605,0.0317888262,0.0623185427,0.0263036461
05/1965,-0.000143588,-0.019645566,0.0120740248,0.0128883161,-0.005502239,-0.001494224,-0.005792622,-0.010502585,-0.01449759,-0.008003604
06/1965,-0.046525876,-0.052229078,-0.035149818,-0.053823096,-0.049018303,-0.041195169,-0.062415233,-0.052613647,-0.080889195,-0.071136711
