date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.005300679,0.0030080895,0.0034511242,-0.004499916,-0.003444991,-0.006286511,,,-0.004824969,0.0221898052
08/1963,0.070263059,0.0527660265,,,,,,,,0.0342680637
09/1963,-0.014832029,-0.012428269,,,,,,,,-0.023106388
10/1963,0.0236798158,0.029883086,,,,,,,,0.0102815016
11/1963,-0.004218947,-0.004970011,,,,,,,,-0.021481198
12/1963,0.0060283553,0.0227669754,,,,,,,,0.0159223901
01/1964,0.0117562711,0.0099251986,0.0339513293,0.0305571385,0.0170579737,0.0207786422,,,0.0317379723,0.0424656927
02/1964,0.0286642056,0.0370113833,0.006157347,0.0136417219,0.017974364,0.0209285695,,,0.0252769786,0.0145161152
03/1964,0.0023086758,0.0227178697,0.0275676731,0.017636717,0.0265478112,0.0156910738,,,0.0101417529,0.0298964896
04/1964,0.0134064684,-0.001324831,-0.031641131,0.0199666017,-0.007710786,0.0001012275,,,0.0310653174,0.0113644179
05/1964,0.009971132,0.0117369536,0.0171158959,0.0286520633,-0.001264629,0.0180261344,,,0.0149295846,0.0163876864
06/1964,0.0403870349,0.0119034695,0.0065894859,0.016504383,0.0091788361,0.012314171,,,0.0124390052,0.0054693713
07/1964,-0.010310056,0.0230587888,0.0095463591,0.0447022163,0.0211265163,0.0299622373,,,0.0131592674,0.0178211922
08/1964,-0.016181569,-0.0101787,-0.022833233,0.0027084935,-0.014408879,-0.00892657,,,-0.013437802,-0.023445079
09/1964,0.0123244643,0.042353546,0.0228556664,0.033221222,0.0337889522,0.0359524166,,,0.0358997111,0.0232749523
10/1964,-0.003301387,0.0152307608,-0.007061679,0.0057328406,0.006955256,0.0052161756,,,0.0403813311,0.0277748395
11/1964,-0.020223578,0.0025432931,0.0151328325,-0.003094512,-0.002987996,0.0078100164,,,0.0215242932,0.0068612817
12/1964,0.0256157231,-0.00925956,0.0026429508,0.010492735,-0.006654844,-0.000767872,,,-0.008003015,-0.001361009
01/1965,0.0155770597,0.0325450639,0.0697831962,0.0441579974,0.0205663103,0.0492941866,,,0.0510776421,0.0522539946
02/1965,0.00404606,0.0001305666,0.02367384,0.0124026476,-0.002823224,0.0091069996,,,-0.001765607,0.0395912438
03/1965,-0.010729594,-0.015731786,-0.006853951,0.0011120773,-0.011219607,-0.011491979,,,-0.006070729,0.0012486015
04/1965,0.0324580092,0.0288777877,0.0514883586,0.0415975947,0.0456616726,0.0233897973,,,0.0192284663,0.0361474131
05/1965,-0.013056666,0.0120652218,-0.005312833,-0.007074834,-0.01586485,-0.00414725,,,0.0076253146,-0.00486105
06/1965,-0.055029745,-0.042030211,-0.052244969,-0.059828736,-0.048821161,-0.057112344,,,-0.035023671,-0.06344614
07/1965,0.013550082,0.0090387018,0.0335547025,0.0330034562,0.0015920259,0.0205007205,,,0.0255958958,0.0429916216
