date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.016110381,-0.016419696,-0.014428529,-0.012837445,-0.011873318,-0.006875759,-0.005049201,0.0006568364,-0.000841763,0.0033010315
08/1963,0.0329037517,0.0274158113,0.0484148136,0.0481013113,0.0712217607,0.0600345947,0.053033837,0.0645820595,0.0608976199,0.0483084737
09/1963,-0.014653355,-0.014772377,-0.00435152,-0.024909368,-0.014165621,-0.006127634,-0.022373375,-0.033294582,-0.019617043,-0.006241104
10/1963,0.0141831416,0.0151388109,0.0203623952,-0.001361341,0.0129246742,-0.009799634,0.0157127685,0.0016796029,0.0133573418,0.0496295428
11/1963,-0.034109896,-0.01129378,0.0160712358,0.0032596264,0.0021375105,-0.007176644,-0.007278594,-0.014306196,-0.010153157,-0.003912402
12/1963,-0.013224242,-0.010466114,0.0202279669,0.0060896677,0.0071110717,0.0096966457,0.0238695055,0.0292477522,0.0203708082,0.0250136756
01/1964,0.0377894159,0.0124511764,0.0117266381,-0.003967275,0.0274306668,0.0161531857,0.0162954347,0.0120953356,0.0216123469,0.0335331339
02/1964,0.0245980906,0.0186462619,0.001712433,0.0141155697,0.0242376992,0.0184354895,0.0400803995,0.0300162976,0.0213027856,0.0124584413
03/1964,0.0301212564,0.0246283773,0.0289892785,0.0362764196,0.0135630261,0.0283180209,0.0241258807,0.0155292517,0.0247797248,0.01064191
04/1964,0.0188218681,-0.015686993,0.0000106108,0.0178520414,-0.003996675,-0.007472592,-0.014573389,-0.008225041,0.0068557185,0.0101677968
05/1964,0.0094567787,0.0021200444,0.0029691079,0.0081088099,0.0211503391,0.0005951716,0.0157562712,0.0136649615,0.0134977298,0.021778173
06/1964,0.0023224359,0.0075815857,0.0244897398,0.0113792238,0.0118278851,0.0161755821,0.0239718105,0.0222135998,0.0122956481,0.0151765702
07/1964,0.0277577882,0.0154991988,0.0233524932,0.0183068895,0.0280846386,0.026273397,0.0243015769,0.0285358817,0.0279107231,0.0146639903
08/1964,-0.015987545,-0.016067123,-0.005252718,-0.006744669,-0.006697694,-0.006847241,-0.010551202,-0.012649673,-0.007692179,-0.013930354
09/1964,0.0331858811,0.0464853136,0.0277405889,0.0265571716,0.0158395031,0.0392660749,0.0435983797,0.0331709704,0.03946528,0.0237278093
10/1964,0.0186375227,0.0068394649,0.0167425809,0.0149429534,0.0174952774,0.022978922,0.0213888813,0.0011015047,0.0192366767,0.0020088755
11/1964,-0.013799707,-0.015545338,0.006152225,0.0137854723,0.0082096265,0.0144048723,0.0052010839,-0.002638037,-0.001196689,0.0031486802
12/1964,-0.022123432,0.0003419373,-0.000493299,0.0054498384,-0.001864682,0.0002385395,-0.001070294,-0.000490416,-0.014380382,0.0122000316
01/1965,0.0821957094,0.0648972213,0.067025684,0.0560744874,0.0507172042,0.0412707872,0.0335464006,0.0423996874,0.0564015198,0.0270890474
02/1965,0.0357544967,0.0273283321,0.0338556889,0.0204843246,0.0183522535,0.0218582181,0.0282037571,0.0151950081,0.0113150136,-0.004578174
03/1965,0.0094109844,0.0094438091,0.0043669683,-0.012044033,0.0064283782,0.0039380477,-0.004445833,-0.009296163,-0.013430117,-0.014948833
04/1965,0.0378478971,0.0401989996,0.0279753667,0.040612957,0.0327182778,0.0353225382,0.0303564063,0.0202119184,0.0260643838,0.0396356948
05/1965,-0.026017048,-0.011325454,-0.002587454,-0.001605814,-0.004155556,-0.008115979,-0.007412353,-0.014205845,-0.004704199,-0.00099734
06/1965,-0.083218235,-0.088887927,-0.073396062,-0.075227897,-0.071027493,-0.049128343,-0.037124247,-0.06011572,-0.060090935,-0.043229349
07/1965,0.0148707929,0.0286407838,0.0298960173,0.0247979832,0.0204085065,0.0193998919,0.024780342,0.0175963811,0.0142328595,0.0157504863
08/1965,0.0400363133,0.0491426403,0.0405515368,0.0395668089,0.0356572633,0.0407962594,0.0348264055,0.0419993735,0.0318025471,0.0238041544
09/1965,0.0267237456,0.0347360741,0.0278327712,0.0313502367,0.0180579527,0.0232486991,0.0282571238,0.0270754625,0.0323534597,0.0355916919
10/1965,0.063922391,0.0752436365,0.0397334749,0.0187873415,0.0246735686,0.022969799,0.0255378191,0.0286827999,0.0447271849,0.0240192615
11/1965,0.0482035051,0.0533367135,0.032758623,0.0121582648,0.0097350219,0.0153740655,0.0060820118,0.01708499,0.0069908857,-0.008618531
12/1965,0.0567889965,0.051605676,0.019840576,0.0251566068,0.0227294367,0.0283270583,0.0174377463,0.0122379432,0.0042123827,0.0092027505
01/1966,0.0821333983,0.0450370936,0.0143373852,0.0114249064,0.0218780104,0.003026968,0.0024500685,0.0204214357,-0.007708945,0.0142277145
02/1966,0.0421197629,0.0106872188,-0.005322053,-0.014256227,-0.01508496,-0.012918924,-0.015879857,-0.007601866,-0.009183514,-0.009061828
03/1966,0.0019313715,-0.029061793,-0.020332876,-0.022918669,-0.025131098,-0.020848375,-0.023571965,-0.019585504,-0.029447584,-0.017097771
04/1966,0.0357685701,0.0534493773,0.0173606389,0.0200417111,0.0224605875,0.0214108562,0.0287320917,0.0207191956,0.0213765975,0.0263863276
05/1966,-0.097536571,-0.065546552,-0.056602345,-0.041021071,-0.046882968,-0.046468966,-0.049215225,-0.058974276,-0.040180701,-0.05728666
06/1966,-0.007451849,0.0004652961,0.0019511915,-0.015536056,-0.005336149,-0.011663674,-0.011454865,-0.008946131,-0.003699487,-0.01592813
07/1966,-0.019861331,-0.014094813,-0.001725402,-0.014754357,-0.005671438,-0.019040545,-0.014779922,-0.002084683,-0.018362233,-0.012227383
08/1966,-0.11414828,-0.081106714,-0.084824366,-0.076769408,-0.076381359,-0.077431416,-0.06860881,-0.072331986,-0.061268704,-0.080117892
09/1966,-0.013969265,-0.014318651,-0.014081206,-0.002766606,-0.005324049,-0.00070163,-0.013483523,-0.002624536,0.0043306027,-0.012985582
10/1966,-0.037915164,-0.028100745,0.0119494532,0.0527956998,0.0744505923,0.0553848147,0.0489913468,0.0428188679,0.053319097,0.038534679
11/1966,0.0515145416,0.0336034104,0.0377567571,0.0116222927,0.0177906881,0.0021791753,0.0061011604,0.0144882464,0.0173218394,0.0202019872
12/1966,0.0134089239,0.0135754619,0.0272353792,0.0155039122,0.0296634784,0.0268242812,0.0143521216,0.0142444149,0.0049175599,-0.006797241
01/1967,0.2134500725,0.1776515351,0.1540320977,0.1169250009,0.1156413232,0.0972800357,0.0951116307,0.0987714316,0.0691869223,0.0688350012
02/1967,0.0516550824,0.0374156453,0.0115399573,0.0282186113,-0.005763337,0.0018391291,0.0005292997,0.0006904715,0.0101560038,0.0163152771
03/1967,0.062508983,0.0509189167,0.0535893049,0.0370620046,0.0466542866,0.0335806697,0.047177465,0.0626524601,0.035950118,0.0433241412
04/1967,0.0408839137,0.0266966861,0.0288907986,0.0340899267,0.0204544328,0.0108021866,0.0284672945,0.0676658027,0.026175447,0.0586905828
05/1967,0.0105397476,-0.016272964,-0.010323837,-0.02658781,-0.032318782,-0.023128848,-0.034932873,-0.040793172,-0.043374226,-0.050278434
06/1967,0.0984553645,0.0621786687,0.0521439298,0.0250269579,0.0273322781,0.0186422901,0.022820054,0.0252237935,0.0314446869,0.0186144668
07/1967,0.0985690427,0.0774960504,0.0672493278,0.0390097611,0.0619494418,0.0496014414,0.0597371333,0.0535415595,0.0249218536,0.05404257
08/1967,0.0078781534,0.0195084198,0.0104655297,0.0034319415,-0.002797195,-0.00036921,-0.007697274,-0.010821661,-0.010047771,-0.00809119
09/1967,0.0811842165,0.0369188054,0.0086886107,0.0248930522,0.0233966396,0.0234656619,0.0228078861,0.0227433934,0.029099484,0.0494282109
10/1967,-0.007277742,-0.039150684,-0.04436418,-0.055203814,-0.055471544,-0.04612809,-0.048763008,-0.042594446,-0.024116733,-0.001198843
11/1967,-0.005484336,0.0185262525,0.0048899059,-0.01104537,0.0162398449,0.0228232815,0.0127259832,0.0075307088,-0.007496459,0.0094199967
12/1967,0.098133516,0.057056541,0.0494881749,0.0493349202,0.0472191865,0.0409263681,0.0413257075,0.0324360339,0.0326650907,0.0205668782
01/1968,0.0691532244,0.0239697373,0.0020019134,-0.008125626,0.0027320359,-0.015078722,-0.016643058,-0.02550561,-0.035265405,-0.076089278
02/1968,-0.065778249,-0.04052366,-0.023873069,-0.025647203,-0.02655472,-0.029880722,-0.042553428,-0.040802615,-0.036302166,-0.02878776
03/1968,-0.015564631,-0.018559344,-0.012638246,-0.02185902,-0.006233532,-0.008369234,-0.007850837,-0.003867505,0.0124147598,0.0221861749
04/1968,0.1278010263,0.1006488114,0.0903051143,0.0864169571,0.091240941,0.1034705641,0.096789047,0.1081288805,0.072751685,0.0984347594
05/1968,0.0984071115,0.0436934719,0.031070352,0.0482199459,0.0484191542,0.0305172896,0.0171704404,0.0234641263,0.0275474462,0.01871373
06/1968,0.0287432623,0.0548957637,0.0457975826,0.0197296973,0.0305609619,0.0216294929,0.0202554667,0.0220020207,0.0005116889,-0.006278813
07/1968,-0.011913141,-0.022454505,-0.017593134,-0.023044652,-0.031439464,-0.028495505,-0.029013414,-0.017971279,0.0090720948,-0.032334133
08/1968,0.0474227785,0.0186843383,0.0189484041,0.0120148189,0.022989897,0.0241010932,0.0131216199,0.0208504234,0.0200202163,0.0128330383
09/1968,0.0776700708,0.0528556232,0.054348985,0.0464979728,0.0588710075,0.0604081975,0.0580746438,0.0450480701,0.0516403073,0.0298261633
10/1968,-0.006026812,0.0133066105,0.0136092446,0.0125114788,0.0146465374,0.022572667,0.0156210977,0.0239294601,0.0102576686,-0.002206603
11/1968,0.0711104415,0.0845787543,0.0953875357,0.0801605875,0.0654633146,0.0639811101,0.0516319893,0.0569082135,0.0442627172,0.0528092744
12/1968,0.043746042,-0.029258432,-0.02026355,-0.020329434,-0.024988728,-0.024452375,-0.033079285,-0.039674529,-0.032331107,-0.050510921
01/1969,0.0019136417,0.0135448862,-0.001320294,0.0067402241,-0.012173966,0.0011082332,-0.006079399,-0.003686935,-0.006278497,-0.015973989
02/1969,-0.099899927,-0.057448209,-0.07868061,-0.065200303,-0.062997926,-0.038835454,-0.067128036,-0.048179342,-0.063575819,-0.040497244
03/1969,0.0080520163,-0.002398516,0.019485579,-0.001196384,0.0187596563,0.0108146415,0.0172697932,0.035033268,0.0292588028,0.0511629212
04/1969,-0.001465155,0.0108089405,0.0058726205,0.0246078538,0.0101498733,0.0089982801,0.0220886838,0.0228281076,0.0325792422,0.0205156684
05/1969,0.0095085166,-0.003023742,-0.004500187,-0.000020861,0.0107509516,-0.004180402,-0.020665983,-0.002384135,0.011087786,0.0083846588
06/1969,-0.126502439,-0.089720497,-0.104523103,-0.076072294,-0.096912582,-0.086561855,-0.075346969,-0.086844771,-0.061851862,-0.042671125
07/1969,-0.109125762,-0.082653427,-0.069426727,-0.068371338,-0.070169537,-0.066447951,-0.068942295,-0.05541672,-0.08113713,-0.056298873
08/1969,0.0376745504,0.0346593668,0.0432667402,0.0526062446,0.0311908833,0.0475642453,0.0479190613,0.0519556004,0.0675383222,0.0543504949
09/1969,-0.050662155,-0.025013346,-0.032031583,-0.022462861,-0.02664523,-0.040662568,-0.050692128,0.0007482122,-0.027706672,-0.015383348
10/1969,0.1096877211,0.0785850913,0.0851689951,0.0953983585,0.0827841367,0.0617806184,0.0480963821,0.0594548248,0.0493754733,0.0446030069
11/1969,-0.075542452,-0.044433709,-0.048140751,-0.04360902,-0.05096348,-0.043108701,-0.053390813,-0.026089267,-0.021083311,-0.024641457
12/1969,-0.113006577,-0.074090709,-0.039325376,-0.019002823,-0.033065335,-0.019106952,-0.026554471,-0.0340737,-0.041407498,0.0078556759
01/1970,-0.004014009,-0.042456989,-0.043560211,-0.072872353,-0.074619694,-0.087612484,-0.102379411,-0.085261715,-0.068781644,-0.0732359
02/1970,0.041101539,0.0317597341,0.0653976184,0.0913813487,0.0609663493,0.0720910983,0.0686809434,0.0891654177,0.0720624783,0.0349131133
03/1970,-0.031242645,-0.01726271,-0.009378313,0.0070549274,-0.002398439,0.0001694915,0.0059906863,-0.00621942,-0.001170094,-0.008551481
04/1970,-0.191626124,-0.142633609,-0.132337869,-0.121440531,-0.147273557,-0.101903492,-0.121237828,-0.09800488,-0.098786963,-0.090423047
05/1970,-0.071799872,-0.113966445,-0.091748019,-0.080241936,-0.05497369,-0.052013067,-0.050211092,-0.08809891,-0.057745354,-0.061442104
06/1970,-0.127852821,-0.090044443,-0.09137168,-0.097305265,-0.07227805,-0.063710304,-0.050902583,-0.052056803,-0.017265484,-0.049367141
07/1970,0.0327277682,0.0690200844,0.0888187277,0.081038718,0.0984542246,0.0989860809,0.0813406095,0.0864745578,0.0773777572,0.0645886709
08/1970,0.0922264903,0.0865813334,0.0849471595,0.0606547466,0.0685644662,0.0584292635,0.0677321105,0.0509179516,0.0491245956,0.0392483167
09/1970,0.1929310319,0.1510955837,0.1122420154,0.0866942298,0.0631893808,0.0417220877,0.0411607247,0.0400467523,0.0416971415,0.0352714028
10/1970,-0.117339427,-0.085170893,-0.065259892,-0.047936046,-0.020029852,-0.037489796,-0.024176427,-0.017513725,-0.020690124,-0.000451342
11/1970,-0.052751023,0.0263655936,0.0268334678,0.0557477035,0.0508092566,0.0705663699,0.0575442064,0.0451125479,0.0470947945,0.0552608455
