date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,-0.03125
09/1971,,,,,-0.012048192,,,,,-0.043988269
10/1971,-0.149544721,-0.064591858,-0.033572336,-0.041252544,-0.016892376,-0.010493657,-0.048570967,-0.08307405,-0.003612125,-0.050196908
11/1971,-0.030957705,-0.040438422,-0.015063881,0.0034370813,-0.010341917,-0.007212009,-0.005092048,0.0163559923,0.0152727175,0.0126452453
12/1971,0.1557730763,0.1263327072,0.0783893041,0.0880349386,0.0679323568,0.0935890082,0.0804961321,0.0963466583,0.0972378492,0.0906365952
01/1972,0.0799625244,0.0594654741,0.0479018941,0.0123984465,0.0178611989,0.0052270323,0.0112956788,0.0558225346,0.0163686869,0.0394534497
02/1972,0.0478807932,0.0632900365,0.0200191346,0.0062948673,0.0146555512,0.0244661087,0.053013318,0.0275958613,0.0565500672,0.0581062051
03/1972,-0.025042984,0.0059023093,-0.023360431,0.0190579629,-0.009312583,-0.020160591,0.0162369991,0.0376449273,0.0051267545,0.0038212882
04/1972,0.0163759774,0.0162587283,0.0139881053,0.0058757232,0.0120356479,-0.003683481,0.0271498481,0.0002297849,0.013446085,0.0045991692
05/1972,-0.003315933,0.0015569059,-0.024308572,0.0019905393,0.0050093705,0.0162825883,0.0108852472,0.0237347595,0.0125623675,0.0497798256
06/1972,-0.091972302,-0.0269039,-0.031203852,-0.017374063,-0.03773665,-0.054886829,-0.039266669,-0.034416164,-0.00165325,-0.004992684
07/1972,-0.073345589,-0.01771485,-0.02980709,-0.006704064,-0.03550488,-0.027121465,-0.012981401,0.0010244328,-0.004220112,0.0211864597
08/1972,0.0462981868,0.0874699986,0.0665044783,0.0347981158,0.0145563917,0.0099798471,0.03896495,0.0199820172,0.0378788556,0.0126192613
09/1972,-0.04642115,-0.047556082,0.0194369294,-0.008806973,-0.019973418,-0.012431838,0.0017017554,-0.00967964,-0.008724542,-0.005244163
10/1972,0.0057142595,0.0048525516,-0.00149461,0.0263423319,0.0055528684,0.0140675414,0.0002381067,-0.006487631,0.0153141468,-0.015279175
11/1972,0.0875197367,0.1005446044,0.0789230098,0.0691118442,0.0689854958,0.0642092942,0.040558585,0.0188617283,0.0190383036,0.0446505226
12/1972,-0.033052356,-0.010787498,0.002507878,0.0066248527,0.0025606846,0.0115085821,0.018374403,0.0256960885,0.0372056466,0.0027997432
01/1973,-0.071871602,-0.034018776,-0.036603804,-0.003053814,0.0026325415,-0.038366918,-0.029230403,-0.0018043,-0.048200083,-0.036030731
02/1973,-0.07778101,-0.046102057,-0.055982404,-0.048919958,-0.048591743,-0.043762668,-0.014158075,-0.025815039,-0.051572559,-0.054753783
03/1973,0.0218177412,0.0182202792,0.0063987695,0.0373671492,-0.008209074,0.0067199238,-0.001282215,-0.012220927,-0.007261178,-0.031622228
04/1973,-0.074951577,-0.022175751,-0.013747221,-0.050587089,-0.027169513,-0.029401959,-0.051821265,-0.056874256,-0.075228042,-0.074160163
05/1973,-0.099565807,-0.040366084,-0.006337303,-0.055787131,-0.028605743,-0.01074974,-0.014097546,-0.02806573,-0.039257695,-0.002285274
06/1973,-0.052184685,-0.014700169,-0.03600147,-0.022664639,-0.033390045,-0.014514977,-0.000422216,-0.020100109,-0.003642394,0.0017105441
07/1973,0.0912068472,0.0429286496,0.1245896612,0.1071411228,0.0577604498,0.0818765267,0.0685430554,0.0374142874,0.0527131345,0.0400324563
08/1973,-0.025535911,-0.026747694,-0.032164012,-0.042001592,-0.027841063,-0.066200363,-0.043472582,-0.026018289,-0.039255999,-0.02244351
09/1973,0.1091670465,0.0795595771,0.0918167791,0.0808719224,0.0639196835,0.0749313833,-0.034007537,0.065223271,0.0377721494,0.0709534849
10/1973,-0.000450811,0.0051714044,-0.006795051,0.0012038568,0.0022761883,0.0038414799,0.0408713938,0.0011547582,-0.025889312,-0.002048296
11/1973,-0.153481012,-0.132675948,-0.162530746,-0.067271955,-0.134335235,-0.143873175,-0.12214494,-0.099674526,-0.12124823,-0.181465935
12/1973,-0.010639555,0.0443940663,-0.014281606,0.0453456686,0.0508079491,0.0282991681,0.0362064148,-0.016790841,-0.002365117,-0.013098728
01/1974,0.0833431079,0.0263471537,0.0598177855,-0.021008135,0.0026379913,0.023325555,-0.03284019,-0.004286589,-0.023244074,0.0130138202
02/1974,0.0321706666,0.0130978536,0.0446941419,0.0141397019,0.0135365662,-0.000074988,-0.008335815,-0.015239121,-0.023879968,0.0077587849
03/1974,-0.043906372,-0.022881527,-0.039106971,-0.026481733,-0.037111156,-0.00217613,-0.016335876,-0.012768237,-0.01513646,0.009716937
04/1974,-0.07775046,-0.042496637,-0.055865048,-0.066688417,-0.047095416,-0.0185971,-0.032284187,-0.039805949,-0.030432633,-0.057159375
05/1974,-0.042865299,-0.098528591,-0.033671974,-0.062415297,-0.020144619,-0.025142915,-0.004979318,-0.029023647,-0.070281161,-0.030425613
06/1974,-0.048492368,-0.014924996,-0.037781463,-0.011117008,-0.043670917,-0.033145139,-0.012717163,-0.017010184,-0.0230956,-0.009884553
07/1974,-0.050841394,-0.066491731,-0.043764364,-0.082304761,-0.102384724,-0.088900533,-0.078433808,-0.074419407,-0.076341002,-0.074780439
08/1974,-0.070225652,-0.0735659,-0.035971371,-0.096640286,-0.079525853,-0.070096639,-0.122756599,-0.095868434,-0.115188424,-0.082677201
09/1974,-0.077202214,-0.063332281,-0.066875353,-0.079056535,-0.097130851,-0.127378408,-0.146212478,-0.137870447,-0.080909747,-0.12634221
10/1974,0.0592933615,0.1178922316,0.0822279949,0.1361323751,0.159153145,0.1706828432,0.1957523328,0.1978920564,0.234039451,0.1951125348
11/1974,-0.062528746,-0.008987813,-0.032256289,-0.035221921,-0.038404033,-0.028016334,-0.043666709,-0.060955686,-0.028650614,-0.022697172
12/1974,-0.019656078,-0.003193423,-0.02711316,-0.007530648,-0.019702998,-0.03612556,-0.016000569,-0.027360613,-0.044218271,-0.050909915
01/1975,0.2668873963,0.1868131409,0.2072872138,0.1276881598,0.1586838833,0.1584040247,0.1280107584,0.0832573962,0.0750686064,0.207935819
02/1975,0.0333984485,0.0487384515,0.0369304791,0.039418875,0.0334434047,0.045702939,0.0932724334,0.1021529537,0.0573985142,0.0150762701
03/1975,0.0849187875,0.0389632493,0.0271520262,-0.003023556,0.006132879,0.0177941472,0.0086139357,0.0386069753,0.064886787,0.0301371926
04/1975,0.0313574422,0.0418529403,0.0411453637,0.0060394674,0.038138178,0.0374178885,0.0486704019,0.0657944906,0.065342408,0.0807098902
05/1975,0.0452079747,0.0592976763,0.0671742283,0.042790872,0.0455726996,0.0640529812,0.040445593,0.0414574539,0.0924184078,0.0471366843
06/1975,0.0788532362,0.0798500583,0.0632086485,0.068958242,0.0684214631,0.0736046689,0.0657084407,0.0425379324,0.0516451943,0.0219155002
07/1975,-0.018526003,-0.063378108,-0.043753417,-0.061563074,-0.030070278,-0.066927705,-0.065452316,-0.058221213,-0.069363268,-0.082100352
08/1975,-0.064861678,-0.019005314,-0.017025431,-0.043052622,-0.00634607,-0.014643265,-0.030324832,-0.013925601,-0.018822001,-0.018415367
09/1975,-0.035882735,-0.041057624,-0.031228099,-0.03701643,-0.035914261,-0.06154136,-0.044718337,-0.023143288,-0.036473752,-0.03406197
10/1975,0.0155924279,0.0499588618,0.0703811525,0.0860532446,0.0405160338,0.0653199863,0.0616035449,0.0647293684,0.0545806039,0.0707338972
11/1975,0.0167577988,0.0466585848,0.0353306755,0.0299414577,0.0354300913,0.0552011127,0.0327586005,0.0235619153,0.0045628651,0.051662427
12/1975,0.0106770812,-0.004271817,0.0002280401,-0.017349267,-0.023528579,0.0044599885,-0.014745986,-0.000294467,-0.013882896,-0.021983262
01/1976,0.1785633327,0.168566038,0.1157480916,0.1041648471,0.1327419362,0.141066761,0.1358400006,0.1506497629,0.1090089749,0.1131360574
02/1976,0.052556286,0.0262898111,-0.014593029,-0.000624759,-0.005162576,0.0337901923,0.0114955846,0.002988063,-0.000443865,0.0038659418
03/1976,-0.005894481,0.0116293252,0.0178785785,0.0266757529,0.0054980427,0.0365221103,0.0336974627,0.0456060886,0.0231048222,0.0250769813
04/1976,-0.016130992,-0.00221555,-0.023410395,-0.017225268,-0.011531239,-0.015384514,0.0025230335,0.0077867579,-0.015736284,-0.025994781
05/1976,-0.014662408,-0.023181432,-0.022780427,-0.019459898,-0.019251733,-0.014479673,-0.011487232,-0.008742389,0.0134781768,-0.002835371
06/1976,0.0466468894,0.0374120262,0.0432221749,0.0478962207,0.0606652801,0.0571799816,0.0342919988,0.040892254,0.0658600475,0.0348105695
07/1976,0.0164000006,0.0094887798,-0.014908506,-0.026709278,0.000370124,-0.004584554,-0.004211574,0.0036919642,-0.01522349,-0.018480179
08/1976,0.0246291646,0.023746298,0.0245048959,-0.012667348,0.0019256203,0.0043247978,-0.015180909,-0.009348252,0.0024564321,-0.009873532
09/1976,0.0282769431,0.0366227592,0.0137102102,0.0148883182,0.0275357092,0.0330971532,0.0136654624,0.0226951009,0.0240018817,0.039164758
10/1976,-0.009809846,-0.021911347,-0.028353457,-0.007092321,-0.021270961,-0.020881763,-0.02331666,-0.01838865,-0.029080659,-0.023563641
11/1976,0.0350421548,0.0236247533,0.0411546081,0.0297705851,0.0138310647,0.0221461172,0.004066593,-0.015146337,0.0053600611,-0.026056268
12/1976,0.0662794962,0.0638256562,0.0762393488,0.0694797381,0.057947182,0.0868190005,0.0651507214,0.0428001555,0.0457669595,0.0563444075
01/1977,-0.005224521,-0.006199143,-0.014315077,-0.020375901,-0.038611614,-0.020746268,-0.03336674,-0.073625692,-0.040559568,-0.066297923
02/1977,-0.043368139,-0.024932489,-0.016657702,-0.007816404,-0.003614746,-0.011464192,-0.020713854,-0.022952448,-0.012643304,-0.022283295
03/1977,-0.004683576,0.0127952837,-0.002935026,-0.011312371,-0.014328406,-0.01542993,-0.003706497,-0.009239768,-0.020086867,-0.011282199
