date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.01855602,-0.026004433,-0.000293684,-0.005047378,0.0198047331,0.0106607931,0.0008344951,-0.012753577,0.001937866,0.0033769348
08/1963,0.0748862497,0.0813992249,0.0600117643,0.0508554365,0.0424182251,0.0433953523,0.0515921563,0.0501580388,0.0525982452,0.0572638646
09/1963,-0.048762603,0.0037958346,0.0038808573,0.0113730222,-0.009554785,-0.031030375,-0.01064274,-0.025522329,-0.030603305,-0.006997178
10/1963,0.029240278,0.0193354343,0.0143544674,0.0279569664,0.0201722356,0.0196986856,0.0130893063,0.0029054666,0.0141792824,0.077590029
11/1963,0.0199494708,-0.01355465,-0.004048194,0.0216194961,-0.014103764,-0.003762507,-0.012905443,-0.002149402,-0.00424586,-0.021233541
12/1963,0.0166613732,0.0022265636,0.0363239406,0.0118719581,0.0252567934,0.0467080073,0.0190368551,-0.00119228,0.0416064299,0.0149371793
01/1964,0.0331091175,0.0314788199,0.0166889704,0.0249381254,0.0245043615,0.0346913233,0.0359633417,0.0117983261,0.0134502398,0.0335438425
02/1964,0.0620040957,0.0354150652,0.0096742551,0.0085461492,0.0322858813,0.010221332,0.0077708787,0.0261113837,0.0092155551,0.0277533041
03/1964,0.0441665693,0.0669042624,0.0417976196,0.0003282123,0.0323992814,0.0139127186,0.0142731736,0.0074348752,0.0186812861,0.0135561323
04/1964,-0.020731483,-0.045063137,0.0087792718,0.0183195211,-0.001779353,0.0157151961,0.015976657,0.0051047073,-0.007663759,0.0063327615
05/1964,0.037930902,0.0187344931,0.0196558267,0.003564867,0.0207130234,0.0173824418,0.0100574662,0.0076723377,-0.001182809,0.0311870405
06/1964,0.0309975925,0.0197179737,0.0076981868,0.0431173195,0.008875236,0.0178090919,0.0241485136,0.0102363561,0.0179908657,0.0001165954
07/1964,-0.002515213,0.0276890598,0.013092204,-0.006549286,0.0328964035,0.0265833188,0.0241021661,0.0235530658,0.0313767399,0.0256407004
08/1964,-0.025663434,-0.008273397,-0.00321635,-0.013837508,-0.000804833,-0.020156337,-0.003602376,-0.020761563,-0.007951022,-0.010618258
09/1964,0.0349284209,0.055231942,0.0449641611,0.0046933207,0.0407320146,0.0318110859,0.0236911412,0.039023949,0.0366655145,0.028583787
10/1964,0.0413113334,0.0098966538,0.0077905597,0.0033426133,0.0040646881,0.020136043,0.012924143,0.016225592,0.0126226254,-0.005827678
11/1964,-0.029644003,-0.022602278,-0.01012747,-0.016465898,0.0143631294,0.0073370502,0.0304741504,0.0020289227,0.0264465882,-0.003408587
12/1964,-0.014406853,-0.012048425,-0.031958212,0.0207410814,0.0044515584,0.0005954221,0.0079161249,0.0075050169,0.0007038161,0.0132299855
01/1965,0.0739992822,0.072505722,0.0381850359,0.009982191,0.0404533849,0.0168534967,0.0320967926,0.0334904582,0.0370921465,0.0600768211
02/1965,0.0336820884,0.0460833924,0.0056681689,0.0047880739,0.0199224851,-0.013753944,0.0174842599,0.0089346581,-0.002354167,0.0065501125
03/1965,-0.014736179,0.0027715896,-0.005445974,-0.012838453,-0.003139366,-0.017168456,-0.018595435,-0.008245327,-0.01606464,-0.008440835
04/1965,0.0377905806,0.0576445059,0.0314771609,0.0268924913,0.0264137338,0.0111472137,0.0406132622,0.0360592459,0.0401931141,0.0509100679
05/1965,-0.012407131,0.0063889261,-0.003007632,0.0201506876,-0.009203661,-0.001589259,-0.003637165,-0.013517514,-0.004873054,-0.009261944
06/1965,-0.085090673,-0.084825728,-0.044271179,-0.042480991,-0.051764257,-0.034274761,-0.04351612,-0.056446164,-0.036521102,-0.056481677
07/1965,0.0633482367,0.0331343453,0.0092029071,0.0199706648,0.0001547306,0.0069344137,0.0087149003,0.0174831264,0.0243879757,0.0232578771
08/1965,0.04890302,0.0133548859,0.0217448136,0.027277792,0.0306124938,0.0107734997,0.037956849,0.0249980131,0.0437975073,0.04437567
