date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0072038403,-0.007036344,0.0066872732,0.0075142754,0.002043751,-0.001855863,-0.008459309,0.0114337546,-0.004986388,-0.032483634
08/1963,0.0712049128,0.055671863,0.0493004183,0.0691942179,0.0544304911,0.0445576367,0.0677651958,0.0529145605,0.0601498463,0.0587494707
09/1963,-0.011078731,-0.028674244,-0.014103574,-0.026251113,-0.025925055,0.013113327,-0.010905654,-0.004109754,-0.004479138,-0.030461747
10/1963,0.1290298052,0.01022118,0.0624117436,0.0087117935,0.0102378507,0.0314495279,0.0107670526,0.0067989567,0.0005059167,0.0033452179
11/1963,-0.061234473,-0.000819698,-0.004571285,-0.002512808,-0.008786662,0.0336543762,-0.01922633,-0.017243515,-0.002809359,-0.003643022
12/1963,0.0019562885,0.0256256109,0.0416508395,0.0077222718,0.0415129808,0.0145710855,0.0114066722,0.0303552151,0.0035780183,0.007309486
01/1964,0.0098098492,0.0161795887,0.0606092303,0.0195106178,0.0197362391,0.0332620236,0.0212626467,0.0341301284,0.0170227367,0.0143539667
02/1964,0.0121310503,0.033780416,0.0245248398,0.0370783831,0.0156781917,0.0077902894,0.0046181734,0.0141286264,0.0306976969,0.016978016
03/1964,0.0045816017,0.0173442014,0.0288874132,0.0179476811,0.0134416143,-0.002619321,0.0249033167,0.0306404149,0.0340478559,0.0336445857
04/1964,0.0392174536,0.0175404838,-0.006574899,-0.006081391,-0.002321259,0.0097797229,0.0221313948,-0.000414992,0.0024090875,0.0138361856
05/1964,0.0277085171,0.0155973101,0.0245386204,0.0229532502,0.0074075424,-0.001156144,-0.000863776,0.0256367417,0.018429193,0.0060083706
06/1964,0.0147307658,0.0061957025,0.0039894541,0.0229433196,0.0098552549,0.0504464484,0.016788518,0.0250210389,0.0140586963,0.0225603259
07/1964,0.026854185,0.0578650666,0.0274178709,0.0200723314,-0.00411847,0.0260405768,0.0291302587,0.0215713319,0.0208775402,0.0102592477
08/1964,0.0052145268,0.0084955522,-0.025456109,-0.014320846,-0.017773388,-0.014738692,-0.00411009,-0.011731055,0.0035442464,-0.004425187
09/1964,0.0540257457,0.0308331038,0.0391620365,0.0306477091,0.0060493919,0.0439397261,0.0236700749,0.0398340888,0.0313937767,0.0472596717
10/1964,0.0143506107,0.0120903104,0.0228412539,0.0161999421,-0.009099077,0.0116749442,0.0202699255,-0.002871685,0.0142560895,0.0105598246
11/1964,-0.004381701,-0.007435455,0.0097831655,0.0166113701,-0.006975746,0.0122972028,0.0139656249,0.0167722872,0.0049082535,-0.003539112
12/1964,0.0128559585,0.0233727665,0.0018205661,0.0031818013,0.0165571996,-0.008170894,-0.010283061,0.0083451305,-0.022018313,-0.017455409
01/1965,0.054285486,0.0432499543,0.0592628157,0.0120775124,0.0340720724,0.0479203572,0.0166780117,0.033632012,0.054077979,0.0611547753
02/1965,0.0258957095,0.0044471452,0.0022782154,-0.004969462,0.0089714501,0.0078593764,-0.008002217,0.0073314143,0.0195037348,0.046922374
03/1965,-0.021364915,0.0040791195,-0.006168993,-0.017408939,-0.015904921,-0.017122305,-0.012273419,-0.012770206,-0.005042127,0.0104703916
04/1965,0.0442248058,0.071174648,0.0239335338,0.0362490615,0.0299875634,0.0317884358,0.0128354101,0.0297520491,0.0492068262,0.0397904208
05/1965,-0.000526421,-0.028845164,0.0045150955,-0.007103479,0.0120540107,-0.006110193,0.0008809124,-0.000882987,0.0075947411,-0.014561289
06/1965,-0.084802393,-0.06361484,-0.051115554,-0.033514466,-0.041384343,-0.043772288,-0.0279127,-0.05394208,-0.076121739,-0.082358421
07/1965,0.0369415439,0.0173030712,0.0200099144,0.0198476919,0.0217082742,0.0006832686,-0.011626649,0.0265626604,0.0262762082,0.0276751099
08/1965,0.0430817038,0.0559709738,0.0190703234,0.042685191,0.0439935344,0.0201252823,0.0071430377,0.0122753892,0.0433342575,0.0589461749
09/1965,0.0363129693,0.0505295504,0.0212467229,0.035967046,0.0109605972,0.024484666,0.0303823099,0.0391507314,0.071342551,0.0360628761
10/1965,0.0405746566,0.0577356245,0.031120246,0.0482564862,0.0301048607,0.0026653863,0.0183381485,0.0329307508,0.023354781,0.0362439347
11/1965,0.0149665709,0.0393367062,0.0085558861,0.0183814941,0.005131079,-0.021135089,-0.000087129,-0.021968095,-0.00916607,0.0433554419
12/1965,-0.0066413,0.0090057973,0.0363677268,0.0267353208,0.0198534668,0.002130595,0.0058329785,0.0044282387,0.0181832209,-0.003283939
01/1966,0.0172614786,0.0354852688,0.0049168268,0.0078145968,0.0264938102,-0.007581393,-0.012574219,-0.004518334,0.0143562214,0.0448823817
02/1966,0.0202711508,0.0024369359,0.0025902748,-0.005767999,-0.022969358,-0.012500008,-0.029001491,-0.028576836,-0.016964847,0.0008455525
03/1966,-0.005833085,-0.020634671,-0.023511389,-0.004128888,-0.008645881,-0.032955166,-0.022986884,-0.039290194,-0.005552769,-0.011529458
04/1966,0.0544391416,0.0364905637,0.0098250179,0.0344636248,0.0352122954,0.0157640038,0.0317623567,-0.003444261,0.0324134319,0.0286958573
05/1966,-0.043548591,-0.052165166,-0.054263154,-0.049253731,-0.054029271,-0.042082325,-0.046476312,-0.048082374,-0.081131679,-0.068020545
06/1966,-0.022721813,-0.003872114,-0.003622954,-0.016721972,-0.006255012,-0.00911251,-0.018656603,-0.016758975,0.0093458895,0.0000827453
07/1966,0.0121811719,-0.031298509,-0.01250648,-0.028176269,-0.006665658,-0.004800836,-0.0034312,-0.009236835,-0.000901395,-0.026310505
08/1966,-0.071344972,-0.088828872,-0.083163625,-0.065055774,-0.067542235,-0.072649387,-0.058952294,-0.067694213,-0.074956693,-0.082010144
09/1966,-0.034771633,-0.010364813,-0.031701863,-0.001181047,-7.543781E-6,-0.025162443,0.0176636376,0.0140214775,-0.009966633,0.002549909
10/1966,0.016356817,0.0099636844,0.0191546529,0.0342673862,0.0304957061,0.0495582162,0.093909915,0.0660098522,0.055376965,0.014031213
11/1966,0.0946186141,-0.003268229,0.0601197231,0.0246297978,0.0460206098,-0.006353624,-0.030212986,0.0047262298,0.0173670873,0.0416194691
12/1966,-0.004741535,-0.018834727,0.0209270147,-0.008818533,-0.004208401,0.0051141825,0.0047581137,0.0126128655,0.0226555085,0.0360157295
01/1967,0.1100756186,0.1110715207,0.0801427825,0.100615517,0.0868422602,0.0773341991,0.0439390893,0.0581577313,0.0775906738,0.108664181
02/1967,0.0351237908,-0.013084057,0.0328992151,0.004852058,0.0292748137,-0.007328363,-0.000577162,0.0011164951,0.0089296822,0.021681977
03/1967,0.0596096506,0.0504858023,0.0575197398,0.049154586,0.0488075365,0.0351017649,0.0293697116,0.0242152005,0.0466338887,0.0414256838
04/1967,0.0733634679,0.1010819638,0.031020586,0.07098025,0.0521031718,0.0438798436,0.0070666302,0.0233872952,0.0398126149,0.0113451179
05/1967,-0.039251814,-0.066062852,-0.048010975,-0.056994289,-0.034858928,-0.046143454,-0.038719515,-0.049103354,-0.020426899,-0.003806907
06/1967,0.0571340908,0.0090465496,0.0253576485,0.0140519974,0.032119623,0.0068300283,0.0137858997,0.004138778,0.0483447973,0.0524879139
07/1967,0.0744056276,0.0560409355,0.0199223618,0.0729770216,0.0649407391,0.0048515454,0.0565690551,0.0522934945,0.0445258326,0.0907445281
08/1967,-0.009524319,-0.01473597,-0.008973538,0.0028595786,-0.007472952,-0.017561668,-0.018823462,-0.010032198,0.0218372847,0.0017644283
09/1967,0.0346015272,0.0453445791,0.0530742631,0.0333689569,0.0351144521,0.0168789807,0.0127576726,0.0392626529,0.0372112263,0.0349901517
10/1967,-0.012830949,-0.007242158,0.0156295245,-0.026621196,-0.020299355,-0.038464171,-0.05605343,-0.027639713,-0.045544644,-0.061731101
11/1967,0.0160217315,-0.007500007,0.0287680814,-0.004214926,0.0163797429,0.0090144608,0.0121079271,0.0097567272,-0.023652245,-0.007946353
12/1967,0.0548986526,-0.000153325,0.0222812311,0.0299193522,0.0330439262,0.0297208827,0.0383703101,0.0221886468,0.0460430449,0.0237527012
01/1968,-0.087996722,-0.082997862,-0.057213419,-0.067047448,-0.038034409,0.0016558377,-0.045066861,0.0104140335,-0.017182304,-0.022912576
02/1968,-0.063186492,-0.056891305,-0.032735806,-0.0384781,-0.027751008,-0.025488896,-0.017071297,-0.026197099,-0.014985762,-0.022851373
03/1968,0.0268739888,0.0161604181,0.0333074847,0.0011573556,0.0104923203,-0.001250546,-0.014722762,0.0082950248,-0.008041635,-0.018120155
04/1968,0.1282852831,0.1174565684,0.1088339368,0.0992437888,0.0821113771,0.0503905041,0.0732885589,0.0732334406,0.0895949696,0.0926401521
