date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,-0.030534351,-0.110091746,,-0.012096774,0.0675675645,,-0.005536062,0.2173912972,-0.067307696
11/1973,-0.113981019,-0.123548156,-0.105837773,-0.122017645,-0.174254487,-0.141685189,-0.057591365,-0.134079895,-0.099478315,-0.070035726
12/1973,-0.007249947,-0.117271096,0.0386953679,0.0075209602,0.0025433936,0.0611237763,0.0499010968,0.0268086364,0.0479212123,0.0107818296
01/1974,-0.001171687,0.0315743698,0.0083354323,-0.064689791,0.0587990789,0.0416503936,0.0081409715,-0.022021062,-0.048192699,-0.037621414
02/1974,0.0016634054,0.0176064843,-0.022525708,0.0142384269,-0.012539971,0.0407178006,-0.001453251,0.0208053377,-0.004174845,-0.023634789
03/1974,-0.059191688,-0.028639708,-0.001256883,-0.019198643,-0.022372947,-0.017490127,-0.005199693,-0.023610881,-0.036525864,-0.02145886
04/1974,-0.033004841,-0.08140198,0.0186081095,-0.030415863,-0.050331301,-0.005562526,-0.039768874,-0.052177041,-0.036449894,-0.041728003
05/1974,-0.034222488,-0.022517381,-0.037426612,-0.002080766,-0.043565695,0.0034570518,-0.027419582,-0.027349444,-0.038528033,-0.08165759
06/1974,-0.027804012,-0.040360954,-0.04625604,0.0020605937,0.0106786977,-0.009412468,0.0020557401,-0.007303486,0.0224922549,0.0015644378
07/1974,-0.06802202,-0.18569864,-0.096397613,-0.106818996,-0.053947079,-0.051265128,-0.100779819,-0.071533989,-0.054542622,-0.014183034
08/1974,-0.103627682,-0.162147652,-0.118313481,-0.090921265,-0.06565748,-0.117720989,-0.040035346,-0.046718042,-0.085039481,-0.084872296
09/1974,-0.11620849,-0.119154504,-0.1125231,-0.147150056,-0.152790568,-0.136108014,-0.083666991,-0.134364541,-0.1067838,-0.039479059
10/1974,0.1122658118,0.1089538471,0.2287771108,0.170830426,0.2317313932,0.2480888527,0.1840853996,0.182863258,0.2085822287,0.177105572
11/1974,-0.053498363,-0.023335613,0.0026245449,-0.001421535,-0.046967119,-0.055674698,-0.063020535,-0.043429845,-0.013723791,-0.034413038
12/1974,-0.084567678,-0.071673408,-0.077445665,-0.007658213,0.0112556362,-0.045786792,-0.039768107,-0.025956221,0.0219041663,-0.008414249
01/1975,0.2512919498,0.19272881,0.2327081311,0.142270218,0.122775602,0.0441541977,0.1250114636,0.0227915402,0.0392268234,0.0614585568
02/1975,0.041350506,0.0627928042,0.0804671222,0.1416859748,0.1024196734,0.0891931459,0.0471113997,0.1050463907,0.0691547155,0.07386997
03/1975,0.0578775678,-0.038001031,0.0498926776,-0.016683681,0.018117991,-0.021711402,-0.008230836,0.0348767116,0.0741592908,0.0873472134
04/1975,0.0072967426,0.0880727722,0.0151285468,0.020647783,0.0529808076,0.0969649761,0.0662297549,0.0391804742,0.0698330344,0.0886915362
05/1975,0.0371763107,0.0627721451,0.0459725649,0.1071391822,0.0706386299,0.0491393855,0.0275673925,-0.010180997,0.056299034,0.0230976867
06/1975,0.0378642039,0.0424973479,0.0392388745,0.0450008646,0.0332931978,0.0391700808,0.0098333821,0.096822643,0.0395994448,0.0598356498
