date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.010372101,-0.0089604,0.0030525773,-0.001274125,0.0103760778,0.0067112117,0.0123620854,0.006885672,-0.002307723,-0.017327694
08/1963,0.0529941935,0.0512684753,0.0460796178,0.046366398,0.0605424905,0.0463222538,0.0496618939,0.0727942858,0.0597021318,0.0829808041
09/1963,-0.013924262,-0.011274377,0.0058660654,-0.00467214,-0.010454958,-0.029326175,-0.003630032,-0.02501865,-0.027674648,-0.017464402
10/1963,0.017426137,0.0405893809,0.0245734399,0.0219369886,0.0109584536,0.0958883245,0.0188897154,0.0067736206,0.0060260391,0.0381984521
11/1963,0.0150496957,-0.012910112,-0.003022574,-0.005387029,-0.008180175,-0.000693243,-0.007238117,-0.021801589,-0.005881622,-0.008654077
12/1963,0.0241576245,0.0381415144,0.0248605952,0.0205632535,0.002548379,0.0178571354,0.0319248504,0.0297870547,0.0204443691,-0.004484816
01/1964,-0.002583011,0.0292871099,0.0324068893,0.0296478053,0.0155770069,0.0137733987,0.0487340471,0.0117234633,0.025173837,0.0122970861
02/1964,0.026245808,0.0095483524,0.0257786748,0.0172833682,0.0151017764,0.0129020073,0.0016407825,0.0388454979,0.0389734153,0.0339273284
03/1964,-0.004449019,0.0117560645,0.0071736744,0.016626928,0.01366403,0.0177551839,0.0121779739,0.035197177,0.0400307615,0.0714406355
04/1964,-0.013755501,0.0127692464,0.001372087,0.025870105,-0.014340382,0.0008774722,0.0156691417,-0.003805983,-0.021122772,0.0031856598
05/1964,0.0011724427,0.0012595808,0.0231337667,0.0090770338,0.0096722386,0.0206669631,0.0175595167,0.0192167974,0.0231100639,0.0364229291
06/1964,0.0160116728,0.0156009098,0.0105917734,0.016375007,0.0460823601,0.0137855821,0.007267685,-0.000032807,0.0114415762,0.0195205966
07/1964,0.0250507059,0.0399422835,0.0212579384,0.0036017988,0.0221891442,0.0247263301,0.0200585363,0.0184062613,0.0337096261,0.008247707
08/1964,-0.018428243,-0.007793224,-0.00622507,-0.010036428,-0.016220407,-0.018272562,0.0009212927,-0.020234389,-0.009758467,-0.000562301
09/1964,0.0359565283,0.0113751973,0.0301539907,0.0303585271,0.0191954746,0.0317975348,0.0455681467,0.0595220781,0.0420575522,0.0314743015
10/1964,-0.001246014,0.001902781,0.0032123548,0.0354865662,0.0006450394,0.0226780978,0.0231630221,0.0062736186,0.0035388433,0.0133971023
