date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00893239,0.0079602142,0.0095082406,0.0003678002,0.0063275915,0.0000120818,0.0176863093,-0.01194957,-0.010988856,-0.024717489
08/1963,0.0563366242,0.0630202729,0.0409083502,0.0435711399,0.0406371526,0.0618435027,0.05370397,0.0764528253,0.0767548362,0.0576908417
09/1963,-0.007685191,-0.009077882,-0.041919358,0.0043927902,-0.023875908,-0.00498071,-0.015242794,0.0042064731,-0.012919123,-0.025844404
10/1963,0.0357768519,0.0933558238,-0.002941037,0.0203450757,0.0233160065,-0.00798893,0.0090301064,0.0480804166,0.0265817625,0.004505687
11/1963,0.0018870691,-0.038375515,-0.004333644,0.0148582521,-0.00380964,0.0049894788,-0.018450508,-0.020332265,-0.001695087,0.0004332458
12/1963,0.0263180118,0.015339393,0.0285526518,0.0126851513,0.0435710078,0.0275520136,0.0227091725,0.0078660457,0.0194257298,0.0041589587
01/1964,0.0361918088,0.0165603538,0.0225323942,0.0273843281,0.0446308713,0.0082969212,0.0184103238,0.0239230732,0.0415306568,0.0181894859
02/1964,0.0212555313,0.0108330988,0.0200145346,0.0021672161,0.0145576005,0.0178913267,0.0321120762,0.0483133326,0.0303691233,0.0613710252
03/1964,0.0112558174,0.0107852633,0.0129607202,-0.001089144,0.031627341,0.0371684003,0.0394752136,0.0473475568,0.0589920074,0.0187071123
04/1964,-0.020619188,0.0187911686,0.0242027615,0.018240421,0.0029762398,-0.005104087,0.0264025859,-0.003795601,-0.017886969,0.0073688159
05/1964,0.0191344565,0.0216133182,0.0070483669,0.0006777745,0.0101648445,0.0010814765,0.0317805933,0.0227455253,0.0388342981,0.0075250221
06/1964,0.0056896464,0.0174313518,0.015216131,0.0405427325,0.0106730207,0.0246485028,-0.001396907,0.01126159,0.0175080658,0.0252281662
07/1964,0.0105833567,0.0521662296,0.0372830868,0.0035490974,0.0203184205,0.0488656676,0.0152906789,0.0235922818,0.0178110664,0.0069923311
08/1964,-0.021475965,0.0021078731,-0.003748468,-0.018997227,0.0027917173,-0.007120547,-0.017310802,-0.001999056,0.0031579779,-0.012832461
09/1964,0.0273532732,0.0338606341,0.0227977579,0.0136804137,0.0332867197,0.0464411222,0.0380660392,0.0418614941,0.0442618568,0.070303745
10/1964,-0.003517236,0.0083731138,0.0251171921,0.0144513634,0.0054669541,0.0128381668,0.013589287,0.005626886,0.0039396362,0.0269709156
11/1964,0.0157843195,-0.000641703,0.021612666,-0.005432057,0.0111821906,0.0159715208,-0.00262062,-0.002920474,-0.031760536,-0.032819874
12/1964,0.0130912174,0.0112061706,-0.006906134,0.0175026331,0.0160232577,-0.028516614,-0.003487184,-0.01786518,-0.029305797,-0.026068046
01/1965,0.0650373908,0.0391423867,0.0186050432,0.0054474262,0.0278728096,0.0461282861,0.0390105068,0.0402893584,0.0676795535,0.0602971644
02/1965,0.0103079677,0.0002968468,-0.001738834,0.0007765263,0.0074431546,0.0154837859,0.0031695074,0.0138694782,0.0214544629,0.0093007153
03/1965,-0.019150148,0.00187453,-0.010344408,-0.017475845,-0.021572551,-0.011625901,-0.005484289,-0.002813765,0.0009553589,0.0100998865
04/1965,0.0477003807,0.0504498204,0.0144331709,0.0228361566,0.0209192953,0.0418597324,0.0296052415,0.0320776884,0.0440843467,0.0700841395
05/1965,-0.000577015,-0.021755194,-0.011769329,0.0139172585,-0.001410809,0.0082354145,-0.004152992,0.0048867243,-0.020826045,-0.027087762
06/1965,-0.04589281,-0.058888193,-0.036248129,-0.034406211,-0.058888606,-0.067198466,-0.051823287,-0.048641366,-0.065608312,-0.076631494
07/1965,0.0197433095,0.0043887766,0.0092055131,0.0093717072,0.0047109752,0.0163203171,0.0312676418,0.0472539489,0.0274203406,0.0428809515
08/1965,0.0348120498,0.027767258,0.0201936712,0.0186346463,0.0223676734,0.0493043961,0.0307279321,0.0080593035,0.0369873543,0.0238886249
09/1965,0.0410699932,0.0426596137,0.0294010044,0.0330517838,0.0223405692,0.0184034809,0.0251986018,0.0462216185,0.0217760286,0.0549083958
10/1965,0.0386343434,0.0181971268,0.0189719491,0.0194525098,0.0040064965,0.0391316694,0.0391289505,0.0418835064,0.061988282,0.0736397073
11/1965,-0.003638791,-0.001579641,0.0060833271,0.0011568196,-0.013619272,0.0103176257,0.0164709681,0.0228610311,-0.004517062,0.0015259626
12/1965,0.0076594238,0.0181024988,0.0010902823,0.0024725344,-0.000238123,0.016481087,0.027470383,0.0219602644,0.0553838737,0.0240248673
01/1966,-0.003470774,-0.003966611,0.0038430101,-0.000271782,-0.000934284,0.0251781315,0.0416409039,0.0275012154,0.0406913778,0.0532880001
02/1966,-0.011822791,-0.011106606,-0.029354245,-0.029458531,-0.001451665,-0.009952383,-0.011626332,0.0112420048,-0.001132387,-0.007049893
03/1966,-0.011252368,-0.018409997,-0.019946236,-0.027872467,-0.039238131,-0.002738922,-0.015964669,-0.023941384,-0.029442441,-0.03637937
04/1966,0.023524222,0.0239510663,0.0239592925,0.0315328797,0.0160027979,0.0290547863,0.0144786363,0.0434172654,0.0192956472,0.0156026393
05/1966,-0.044131184,-0.047239726,-0.03826189,-0.048663574,-0.046623208,-0.072670995,-0.052326337,-0.070878005,-0.081350678,-0.070454713
06/1966,-0.016536931,-0.021202577,-0.01651322,-0.030046362,0.0034447414,0.0102670709,-0.011984787,0.0293684592,-0.000583581,-0.014021096
07/1966,-0.017243991,-0.008840184,-0.014268908,-0.015608051,-0.00484601,-0.000868701,-0.015683833,0.0126942443,-0.01186734,-0.019798154
08/1966,-0.068487105,-0.071325706,-0.088409664,-0.07559,-0.082876951,-0.078807796,-0.042967867,-0.072661976,-0.079879503,-0.074161485
09/1966,-0.029274145,0.0035415377,0.0011156518,0.0195572866,-0.004395683,-0.00942397,0.0005383147,0.0202733199,-0.020810008,-0.024507627
10/1966,0.0317127982,0.0136570214,0.0592788531,0.0412818264,0.0734922026,0.0486311476,0.0780659239,0.0549578028,0.0479230047,0.0342587222
11/1966,0.0772522824,-0.005318588,0.0121514345,0.0088628001,-0.007988504,-0.005470562,-0.017919921,-0.003096133,-0.000973108,-0.023391322
12/1966,-0.009016426,-0.009933917,0.0130339048,0.0077862487,0.0077023944,0.0167857939,0.0184898841,-0.002718217,0.0084007557,-0.001817926
01/1967,0.0746174155,0.094208944,0.069143498,0.0754050028,0.0404555001,0.0978600232,0.0705218287,0.0889734489,0.1160740271,0.176410219
02/1967,0.0398567255,0.0003540218,0.0126256754,-0.00022159,-0.007668399,-0.008137654,0.0054917116,-0.017322113,0.0055616191,-0.00149503
03/1967,0.0434528951,0.0442733156,0.0437424852,0.0291124024,0.0401718296,0.0316270668,0.0436250963,0.0486232628,0.0483586955,0.0594117122
04/1967,0.0735544821,0.0813455051,0.0269917553,0.0326813926,0.0159266779,0.0210274975,0.0128348151,0.039850522,0.0270723175,0.036106336
05/1967,-0.05434038,-0.056617338,-0.029664253,-0.039795064,-0.03342425,-0.043370748,-0.039484091,-0.033604672,-0.030872876,-0.028175974
06/1967,0.0341203202,0.0025367553,0.0007040227,0.0172372772,0.0088266561,0.026562263,0.0308303621,0.0441984457,0.0479477783,0.0316813981
07/1967,0.0478326899,0.0488153446,0.0556231271,0.0491790199,0.0606257615,0.0035187376,0.068233225,0.0657490449,0.0886357969,0.0800720257
08/1967,-0.010026285,-0.001697893,-0.008155965,-0.01881828,0.0047920362,-0.011848382,-0.020326446,-0.005953937,0.0161041072,0.0210342615
09/1967,0.0521125731,0.0299047439,0.0352075692,0.0083211908,0.0233681733,0.0389986406,0.0119755657,0.0321679251,0.0303130126,0.0303931589
10/1967,0.0145979723,-0.041160964,-0.036463274,-0.043099156,-0.053987314,-0.018546629,-0.055407228,-0.043103358,-0.048084593,-0.049414991
11/1967,0.0170526409,0.0090204205,0.0034887257,0.0146898101,0.0088731248,0.0014479884,-0.004645999,-0.013534466,-0.009396144,0.0089573051
12/1967,0.0137474121,0.0367590189,0.0305842639,0.0323239652,0.0412105583,0.0232924822,0.0476022801,0.0617822563,0.0523005079,0.0385677059
01/1968,-0.084481375,-0.037204591,-0.041055431,-0.035566176,-0.039635516,0.004922399,-0.012460456,0.0040908106,-0.019066346,-0.009349033
02/1968,-0.034765089,-0.029320042,-0.036862437,-0.033234682,-0.016986419,-0.022595644,-0.03171906,-0.041747375,-0.042654019,-0.031965133
