date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,10051097,9619775,9223083,18977988,29783997,34598036,53637521,16091338,29198190,24680403
08/1963,9916695,9261965,9195728,18910816,30097349,34701925,53762818,15969350,29006609,24890871
09/1963,10547035,9914181,9757796,19991630,31420112,36043231,56228990,17443160,30235682,26434014
10/1963,10824062,9545903,9493695,19507530,30423702,35278594,56575319,17410688,30235878,26396047
11/1963,10827788,9708145,9982780,20039749,31092573,35140666,58388757,17737169,32314802,30051935
12/1963,10680723,9725163,9875721,19748275,30855430,34481391,59248092,17577914,31876975,27491687
01/1964,10792709,9716385,9977272,20610114,31367270,35726273,60397106,17978226,33060873,27467648
02/1964,11304788,9532937,10296438,20990531,34146862,36789234,62549491,18479860,34655189,27879006
03/1964,11501086,9888394,10456098,21035991,34561246,37137440,63523615,19188395,35814656,28019734
04/1964,11631019,10211749,10514852,21533834,34976915,37648317,64254791,19845097,37456407,28307563
05/1964,11790403,9965735,10223961,21290398,35764891,38573140,65311423,19562971,36374383,29398672
06/1964,12336088,9794399,10020995,21417882,36308130,38276458,65388927,19770712,37574315,29967691
07/1964,30960845,10373779,20473376,57704912,31324366,57875305,29957330,64748105,19144903,15699648
08/1964,31691126,10429697,20926695,59266234,31750815,59527808,30588052,63972316,19523029,16202085
09/1964,31428274,10208079,20270759,58582467,31098988,58000297,30214275,62585094,19190157,16450750
10/1964,32670793,10638924,20911099,60154243,32139932,59725315,31139637,63162114,19870294,17229264
11/1964,33139536,10707872,21307855,59809238,33123859,60542053,31143018,63275504,20062785,17151331
12/1964,31366700,10696798,21397211,58218280,33303075,61436145,31774433,61943232,19997590,17229055
01/1965,32198580,11083925,21622007,59164344,33683083,61863285,31694475,63866273,19794786,17371356
02/1965,33664268,11610669,23162676,62280846,34062625,62714943,33298436,65211691,20729064,17782290
03/1965,33715954,12048607,23417410,62134767,33672477,61339726,33702155,65372264,21300156,18058255
04/1965,33012943,11910854,23040720,62175997,32991674,59870957,33252486,64436980,20997670,17934945
05/1965,34898477,12522180,23885335,66077203,34049373,60912353,33943450,66778382,21586032,19014307
06/1965,35261774,12313480,23580926,63760008,33803291,60563902,33843591,67606016,21713705,18586451
07/1965,19379807,14153523,20101097,44771934,29357890,65022565,60731552,61664308,31743868,11919823
08/1965,19273817,14490779,20256454,45599684,29664213,66511602,60749331,62454837,33024341,12365545
09/1965,19843639,15068242,21227660,46558184,30086544,67605337,61683960,64139634,34570205,12769609
10/1965,19867389,15663073,21893032,48862060,30843848,70869521,64486775,65382113,35735348,13163273
11/1965,20025616,16419104,22777181,51869272,31352095,72374192,66218018,66080699,37128941,14019942
12/1965,20687448,17180463,23094882,49500285,31032905,72012824,66255106,63577700,37638919,14481850
01/1966,21869400,17456332,24054037,50568134,32597310,73899928,66643225,64827154,37644458,14842412
02/1966,21209704,17944045,24806525,51200111,32359118,74199333,67242436,65478069,38279142,15746102
03/1966,21113268,18182076,24497277,50147084,31990270,71737618,65110731,65191959,39513070,15532789
04/1966,20685134,17801333,24197220,48026886,31375348,70013555,63634371,62982866,39086419,15353414
05/1966,21399430,17716673,25159968,47660457,31175063,71586358,65718300,64733237,41360926,15993400
06/1966,20493383,16588838,23675549,44035954,29798914,67312932,61811950,61683641,39199295,14653207
07/1966,12597100,35969447,20035549,20334919,24966514,60445301,59567946,78184357,55496461,19998030
08/1966,12469543,33854086,19770937,19914759,24939404,60100389,58713358,77849594,55367737,19735981
09/1966,11409987,31831072,18355853,18260813,23228907,55413448,53262398,73111346,51417776,17584529
10/1966,11056034,30849042,17804181,17979554,22667637,53515416,54110454,73195753,50893531,17657387
11/1966,11046790,31881339,18026016,18335725,22987523,56044974,54858960,79374562,52751314,18219708
12/1966,11358047,33508137,18582879,18801124,24232737,55710740,53083739,76775490,55713820,19316402
